,group,variable,month,3. NACIDOS VIVOS CON PESO MENOR A 2500G SERV/DOM,3. NACIDOS VIVOS CON PESO MENOR A 2500G SERV/DOM,TOTALES,TOTALES,TOTALES
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,11,0,11,0,11
TIRAQUE (CBBA),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,2,0,2,0,2
TRIGAL,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,14,0,14,0,14
TUPIZA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,0,1,0,1,1
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,2,0,2,0,2
VALLEGRANDE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,3,0,3,0,3
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,3,0,3,0,3
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,10,0,10,0,10
VILLAZON,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,3,0,3,0,3
VINTO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
WARNES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,1,0,1,0,1
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,2,0,2,0,2
YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-12-01,2,0,2,0,2
