,group,variable,month,2. NACIDOS VIVOS EN MUJERES DE 15 A 49 AÑOS CON 4 CPN SERV/DOM,2. NACIDOS VIVOS EN MUJERES DE 15 A 49 AÑOS CON 4 CPN SERV/DOM,TOTALES,TOTALES,TOTALES
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,27,4,27,4,31
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,19,3,19,3,22
SAN CARLOS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,8,0,8,0,8
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,19,5,19,5,24
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,82,1,82,1,83
SAN JAVIER(STC),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,30,0,30,0,30
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,23,0,23,0,23
SAN JUAN DE YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,0,1,0,1
SAN JULIAN,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,2,0,2,0,2
SAN LORENZO(PND),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,4,3,4,3,7
SAN LORENZO(TJA),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,3,0,3,0,3
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,16,11,16,11,27
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,12,1,12,1,13
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,11,1,11,1,12
SAN PEDRO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,3,0,3,0,3
SAN PEDRO DE BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,7,12,7,12,19
SAN PEDRO DE CURAHUARA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,0,2,0,2,2
SAN PEDRO DE MACHA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,7,11,7,11,18
SAN RAFAEL,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,0,1,0,1
SAN RAMON SCZ,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,8,0,8,0,8
SANTA ANA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,20,1,20,1,21
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,614,0,614,0,614
SANTA ROSA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,6,1,6,1,7
SANTA ROSA DEL SARA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,3,0,3,0,3
SANTIAGO DE CALLAPA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,3,1,3,4
SANTIAGO DE HUARI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,1,1,1,2
SANTIAGO DE HUATA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,0,2,0,2,2
SANTUARIO DE QUILLACAS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,0,3,0,3,3
SAPAHAQUI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,3,1,3,1,4
SENA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,9,1,9,1,10
SHINAOTA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,35,2,35,2,37
SICA SICA (VILLA AROMA),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,3,4,3,4,7
SICAYA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,3,2,3,2,5
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,29,2,29,2,31
SOPACHUY,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,4,0,4,0,4
SORACACHI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,4,3,4,3,7
SORATA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,6,5,6,5,11
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,383,0,383,0,383
TACACOMA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,2,0,2,0,2
TACOBAMBA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,0,1,0,1,1
TAPACARI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,6,1,6,7
TARABUCO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,3,2,3,2,5
TARACO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,2,1,2,1,3
TARATA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,4,0,4,0,4
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,228,0,228,0,228
TARVITA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,5,0,5,0,5
TEOPONTE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,10,1,10,1,11
TIAHUANACU,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,6,0,6,0,6
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,2,5,2,5,7
TIPUANI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,3,0,3,0,3
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,46,1,46,1,47
TOCO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,2,0,2,0,2
TODOS SANTOS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,0,1,0,1
TOLATA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,0,1,0,1
TOLEDO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,0,1,0,1
TOMAVE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,2,0,2,0,2
TOMINA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,4,1,4,1,5
TORO TORO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,6,4,6,4,10
TOTORA(CBBA),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,8,0,8,0,8
TOTORA(ORR),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,0,1,0,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,36,0,36,0,36
TUPIZA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,53,6,53,6,59
UMALA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,0,1,0,1,1
UNCIA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,10,5,10,5,15
URIONDO (A. CONCEPCION),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,3,0,3,0,3
URUBICHA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,5,0,5,0,5
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,1,1,1,2
VACAS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,3,0,3,0,3
VALLEGRANDE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,21,0,21,0,21
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,39,2,39,2,41
VILA VILA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,2,0,2,0,2
VILLA CHARCAS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,3,4,3,4,7
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,58,0,58,0,58
VILLA RIVERO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,2,0,2,0,2
VILLA SERRANO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,2,1,2,1,3
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,104,2,104,2,106
VILLA VACA GUZMAN (MUYUPAMPA),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,2,1,2,1,3
VILLAZON,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,26,1,26,1,27
VINTO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,53,0,53,0,53
VITICHI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,2,2,2,2,4
WALDO BALLIVIAN,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,0,1,0,1
WARNES,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,109,0,109,0,109
YACO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,2,1,2,3
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,105,0,105,0,105
YAMPARAEZ,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,2,0,2,0,2
YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,76,0,76,0,76
YOCALLA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,0,1,0,1,1
YOTALA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,2,0,2,0,2
ZUDAÑEZ,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,5,0,5,0,5
ACACIO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,1,0,1,0,1
ACHACACHI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,29,7,29,7,36
ACHOCALLA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,5,1,5,1,6
AIQUILE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,15,1,15,1,16
ALTO BENI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,6,0,6,0,6
ANCORAIMES,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,0,4,0,4,4
APOLO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,13,5,13,5,18
ARAMPAMPA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,2,2,2,2,4
ARBIETO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,6,0,6,0,6
ARQUE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,1,11,1,11,12
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,51,0,51,0,51
ATOCHA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,9,0,9,0,9
AUCAPATA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,1,2,1,2,3
AYATA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,5,1,5,1,6
AYO AYO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,1,2,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,1,3,1,3,4
AZURDUY,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,5,3,5,3,8
BATALLAS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,3,2,3,2,5
BERMEJO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,37,0,37,0,37
BETANZOS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,18,4,18,4,22
BOYUIBE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,4,0,4,0,4
BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,4,0,4,0,4
CABEZAS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,11,0,11,0,11
CAIROMA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,3,1,3,1,4
"CAIZA ""D""",recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,9,0,9,0,9
CAJUATA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,8,1,8,1,9
CALAMARCA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,3,2,3,2,5
CAMARGO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,15,0,15,0,15
CAMATAQUI (C. VILLA ABECIA),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,0,1,0,1,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,35,0,35,0,35
CAPINOTA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,12,1,12,1,13
CAQUIAVIRI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,1,1,1,1,2
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,6,0,6,0,6
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,57,2,57,2,59
CARAPARI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,13,0,13,0,13
CARIPUYO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,3,5,3,5,8
CHACARILLA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,0,1,0,1,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,39,4,39,4,43
CHAQUI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,3,0,3,0,3
CHARAGUA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,39,3,39,3,42
CHAYANTA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,10,3,10,3,13
CHOQUE COTA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,7,0,7,0,7
CHUMA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,2,1,2,1,3
CHUQUIHUTA AYLLU JUCUMANI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,5,1,5,1,6
CKOCHAS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,5,8,5,8,13
CLIZA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,27,0,27,0,27
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,2,0,2,0,2
COCAPATA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,3,6,3,6,9
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,529,1,529,1,530
COLCAPIRHUA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,12,0,12,0,12
"COLCHA ""K""",recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,4,5,4,5,9
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,5,0,5,0,5
COLPA BELGICA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,1,0,1,0,1
COLQUECHACA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,13,8,13,8,21
COLQUENCHA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,6,2,6,2,8
COLQUIRI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,1,6,1,6,7
COMARAPA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,12,0,12,0,12
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,17,1,17,1,18
CORIPATA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,2,0,2,0,2
CORO CORO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,3,1,3,1,4
COROICO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,15,2,15,2,17
CORQUE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,1,1,1,1,2
COTAGAITA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,5,3,5,3,8
COTOCA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,54,3,54,3,57
CUATRO CAÑADAS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,18,0,18,0,18
CUCHUMUELA (V. G. VILLARROEL),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,1,0,1,0,1
CUEVO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,2,0,2,0,2
CULPINA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,10,6,10,6,16
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,0,2,0,2,2
DESAGUADERO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,4,0,4,0,4
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,531,22,531,22,553
EL PUENTE(STC),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,3,0,3,0,3
EL PUENTE(TJA),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,4,0,4,0,4
EL TORNO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,71,1,71,1,72
EL VILLAR,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,2,0,2,0,2
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,8,0,8,0,8
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,25,1,25,1,26
ESCOMA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,2,0,2,0,2
EUCALIPTUS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,2,0,2,0,2
FERNANDEZ ALONSO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,6,0,6,0,6
FILADELFIA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,1,0,1,0,1
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,3,0,3,0,3
GENERAL SAAVEDRA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-02-01,7,0,7,0,7
