,group,variable,month,6. NACIDOS VIVOS ATENDIDOS POR PERSONAL DE SALUD SERV/DOM,6. NACIDOS VIVOS ATENDIDOS POR PERSONAL DE SALUD SERV/DOM,TOTALES,TOTALES,TOTALES
TACOBAMBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,2,0,2,2
TACOPAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,3,1,3,4
TAPACARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,3,16,3,16,19
TARABUCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,6,3,6,3,9
TARACO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,2,1,2,3
TARATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,4,0,4,0,4
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,305,0,305,0,305
TARVITA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,5,0,5,0,5
TEOPONTE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,4,0,4,0,4
TIAHUANACU,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,6,1,6,1,7
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,4,2,4,6
TIPUANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,3,0,3,0,3
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,3,1,3,4
TIRAQUE (CBBA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,1,1,1,2
TOCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,0,2,0,2
TODOS SANTOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,0,1,0,1
TOLATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,0,1,0,1
TOLEDO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,3,0,3,0,3
TOMAVE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,1,2,1,3
TOMINA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,4,1,4,1,5
TORO TORO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,7,4,7,4,11
TOTORA(CBBA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,8,1,8,1,9
TOTORA(ORR),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,0,2,0,2
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,11,0,11,0,11
TUPIZA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,10,7,10,7,17
TURCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,0,1,0,1
UMALA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,2,0,2,2
UNCIA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,12,5,12,5,17
URIONDO (A. CONCEPCION),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,3,0,3,0,3
URUBICHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,5,0,5,0,5
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,37,1,37,1,38
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,57,3,57,3,60
VILA VILA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,1,2,1,3
VILLA CHARCAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,3,3,3,3,6
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,69,0,69,0,69
VILLA RIVERO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,0,2,0,2
VILLA SERRANO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,1,2,1,3
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,124,2,124,2,126
VILLA VACA GUZMAN (MUYUPAMPA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,0,2,0,2
VINTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,57,0,57,0,57
VITICHI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,2,2,2,4
WALDO BALLIVIAN,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,0,1,0,1
YACO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,2,1,2,3
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,122,0,122,0,122
YAMPARAEZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,0,2,0,2
YANACACHI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,0,1,0,1
YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,9,0,9,0,9
YOCALLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,2,0,2,2
YOTALA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,0,2,0,2
YUNCHARA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,2,1,2,3
ACACIO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,1,2,1,2,3
ACHACACHI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,1,4,1,4,5
ACHOCALLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,5,1,5,1,6
AIQUILE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,0,1,0,1,1
ALALAY,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,0,2,0,2,2
ALTO BENI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,6,0,6,0,6
ANCORAIMES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,0,4,0,4,4
ANDAMARCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,1,0,1,0,1
ANZALDO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,0,1,0,1,1
APOLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,19,7,19,7,26
ARAMPAMPA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,3,2,3,2,5
ARQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,2,11,2,11,13
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,53,0,53,0,53
AUCAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,1,5,1,5,6
AYATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,5,3,5,3,8
AYO AYO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,1,4,1,4,5
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,14,7,14,7,21
AZURDUY,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,5,3,5,3,8
BATALLAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,0,1,0,1,1
BERMEJO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,2,0,2,0,2
BETANZOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,18,3,18,3,21
BOLIVAR,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,2,0,2,0,2
BOYUIBE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,4,0,4,0,4
BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,5,0,5,0,5
CABEZAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,13,1,13,1,14
CAIROMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,3,1,3,1,4
"CAIZA ""D""",recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,9,0,9,0,9
CAJUATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,10,2,10,2,12
CALACOTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,0,1,0,1,1
CALAMARCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,1,5,1,5,6
CAMARGO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,15,0,15,0,15
CAMATAQUI (C. VILLA ABECIA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,0,1,0,1,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,40,0,40,0,40
CAPINOTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,14,1,14,1,15
CAQUIAVIRI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,1,4,1,4,5
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,9,1,9,1,10
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,2,2,2,2,4
CARAPARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,13,0,13,0,13
CARIPUYO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,3,6,3,6,9
CARMEN RIVERO TORREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,8,0,8,0,8
CHACARILLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,0,1,0,1,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,39,3,39,3,42
CHAQUI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,3,1,3,1,4
CHARAGUA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,44,5,44,5,49
CHAYANTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,12,3,12,3,15
CHOQUE COTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,13,0,13,0,13
CHUMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,5,4,5,4,9
CHUQUIHUTA AYLLU JUCUMANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,1,3,1,3,4
CKOCHAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,5,9,5,9,14
CLIZA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,27,0,27,0,27
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,4,0,4,0,4
COCAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,4,8,4,8,12
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,793,0,793,0,793
"COLCHA ""K""",recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,4,4,4,4,8
COLLANA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,1,0,1,0,1
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,3,1,3,1,4
COLPA BELGICA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,3,0,3,0,3
COLQUECHACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,13,9,13,9,22
COLQUENCHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,6,2,6,2,8
COLQUIRI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,5,8,5,8,13
COMANCHE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,0,1,0,1,1
COMARAPA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,13,0,13,0,13
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,1,0,1,0,1
CORIPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,2,0,2,0,2
CORO CORO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,2,3,2,3,5
COROICO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,16,3,16,3,19
CORQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,1,4,1,4,5
COTAGAITA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,6,2,6,2,8
COTOCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,74,3,74,3,77
CUATRO CAÑADAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,18,0,18,0,18
CUCHUMUELA (V. G. VILLARROEL),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,1,0,1,0,1
CUEVO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,1,1,1,1,2
CULPINA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,3,6,3,6,9
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,0,1,0,1,1
CURVA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,733,11,733,11,744
EL CHORO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,1,0,1,0,1
EL PUENTE(STC),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,4,0,4,0,4
EL PUENTE(TJA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,4,0,4,0,4
EL TORNO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,20,1,20,1,21
EL VILLAR,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,2,0,2,0,2
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,7,1,7,1,8
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,0,1,0,1,1
ESCOMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,2,0,2,0,2
EUCALIPTUS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,2,0,2,0,2
EUREKA (SANTOS MERCADO),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,1,0,1,0,1
FERNANDEZ ALONSO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,6,0,6,0,6
FILADELFIA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,1,0,1,0,1
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,3,1,3,1,4
GRAL. J.J. PEREZ (CHARAZANI),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,2,8,2,8,10
GUANAY,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,6,1,6,1,7
GUAQUI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,2,2,2,2,4
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,73,0,73,0,73
GUTIERREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,12,2,12,2,14
HUACARAJE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,1,0,1,0,1
HUACARETA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,3,0,3,0,3
HUACAYA (VILLA DE HUACAYA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,1,1,1,1,2
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,14,0,14,0,14
HUARINA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,1,0,1,0,1
HUAYLLAMARCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,1,1,1,1,2
HUMANATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-02-01,0,1,0,1,1
