,group,variable,month,REPETIDAS TOTAL 4.3 REPETIDAS,REPETIDAS TOTAL 4.3 REPETIDAS,TOTALES,TOTALES,TOTALES
AYATA,consultas prenatales,repetidas,2010-02-01,21,0,21,0,21
AYO AYO,consultas prenatales,repetidas,2010-02-01,17,0,17,0,17
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2010-02-01,109,3,109,3,112
AZURDUY,consultas prenatales,repetidas,2010-02-01,32,12,32,12,44
BATALLAS,consultas prenatales,repetidas,2010-02-01,58,2,58,2,60
BAURES,consultas prenatales,repetidas,2010-02-01,27,0,27,0,27
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2010-02-01,4,1,4,1,5
BELEN DE URMIRI,consultas prenatales,repetidas,2010-02-01,2,3,2,3,5
BELLA FLOR,consultas prenatales,repetidas,2010-02-01,5,7,5,7,12
BERMEJO,consultas prenatales,repetidas,2010-02-01,249,0,249,0,249
BETANZOS,consultas prenatales,repetidas,2010-02-01,166,24,166,24,190
BOLIVAR,consultas prenatales,repetidas,2010-02-01,14,2,14,2,16
BOLPEBRA,consultas prenatales,repetidas,2010-02-01,6,4,6,4,10
BOYUIBE,consultas prenatales,repetidas,2010-02-01,33,1,33,1,34
BUENA VISTA,consultas prenatales,repetidas,2010-02-01,61,0,61,0,61
CABEZAS,consultas prenatales,repetidas,2010-02-01,107,1,107,1,108
CAIROMA,consultas prenatales,repetidas,2010-02-01,37,1,37,1,38
"CAIZA ""D""",consultas prenatales,repetidas,2010-02-01,30,17,30,17,47
CAJUATA,consultas prenatales,repetidas,2010-02-01,34,3,34,3,37
CALACOTO,consultas prenatales,repetidas,2010-02-01,6,10,6,10,16
CALAMARCA,consultas prenatales,repetidas,2010-02-01,55,3,55,3,58
CAMARGO,consultas prenatales,repetidas,2010-02-01,94,9,94,9,103
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2010-02-01,21,4,21,4,25
CAMIRI,consultas prenatales,repetidas,2010-02-01,320,1,320,1,321
CAPINOTA,consultas prenatales,repetidas,2010-02-01,205,0,205,0,205
CAQUIAVIRI,consultas prenatales,repetidas,2010-02-01,21,4,21,4,25
CARACOLLO,consultas prenatales,repetidas,2010-02-01,189,4,189,4,193
CARANAVI,consultas prenatales,repetidas,2010-02-01,272,13,272,13,285
CARAPARI,consultas prenatales,repetidas,2010-02-01,86,5,86,5,91
CARIPUYO,consultas prenatales,repetidas,2010-02-01,29,6,29,6,35
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2010-02-01,15,0,15,0,15
CATACORA,consultas prenatales,repetidas,2010-02-01,6,0,6,0,6
CHACARILLA,consultas prenatales,repetidas,2010-02-01,2,0,2,0,2
CHALLAPATA,consultas prenatales,repetidas,2010-02-01,195,22,195,22,217
CHAQUI,consultas prenatales,repetidas,2010-02-01,19,3,19,3,22
CHARAGUA,consultas prenatales,repetidas,2010-02-01,177,8,177,8,185
CHARAÑA,consultas prenatales,repetidas,2010-02-01,9,1,9,1,10
CHAYANTA,consultas prenatales,repetidas,2010-02-01,67,6,67,6,73
CHIMORE,consultas prenatales,repetidas,2010-02-01,113,0,113,0,113
CHIPAYA,consultas prenatales,repetidas,2010-02-01,21,0,21,0,21
CHOQUE COTA,consultas prenatales,repetidas,2010-02-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2010-02-01,126,2,126,2,128
CHUMA,consultas prenatales,repetidas,2010-02-01,34,3,34,3,37
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,repetidas,2010-02-01,43,0,43,0,43
CKOCHAS,consultas prenatales,repetidas,2010-02-01,55,1,55,1,56
CLIZA,consultas prenatales,repetidas,2010-02-01,206,0,206,0,206
COBIJA,consultas prenatales,repetidas,2010-02-01,630,0,630,0,630
COCAPATA,consultas prenatales,repetidas,2010-02-01,10,47,10,47,57
COCHABAMBA,consultas prenatales,repetidas,2010-02-01,6179,2,6179,2,6181
COIPASA,consultas prenatales,repetidas,2010-02-01,1,0,1,0,1
COLCAPIRHUA,consultas prenatales,repetidas,2010-02-01,549,0,549,0,549
"COLCHA ""K""",consultas prenatales,repetidas,2010-02-01,31,3,31,3,34
COLLANA,consultas prenatales,repetidas,2010-02-01,6,0,6,0,6
COLOMI,consultas prenatales,repetidas,2010-02-01,137,0,137,0,137
COLPA BELGICA,consultas prenatales,repetidas,2010-02-01,45,0,45,0,45
COLQUECHACA,consultas prenatales,repetidas,2010-02-01,104,41,104,41,145
COLQUENCHA,consultas prenatales,repetidas,2010-02-01,45,0,45,0,45
COLQUIRI,consultas prenatales,repetidas,2010-02-01,51,53,51,53,104
COMANCHE,consultas prenatales,repetidas,2010-02-01,11,0,11,0,11
COMARAPA,consultas prenatales,repetidas,2010-02-01,143,0,143,0,143
COMBAYA,consultas prenatales,repetidas,2010-02-01,2,3,2,3,5
CONCEPCION,consultas prenatales,repetidas,2010-02-01,99,0,99,0,99
COPACABANA,consultas prenatales,repetidas,2010-02-01,44,9,44,9,53
CORIPATA,consultas prenatales,repetidas,2010-02-01,67,0,67,0,67
CORO CORO,consultas prenatales,repetidas,2010-02-01,18,5,18,5,23
COROICO,consultas prenatales,repetidas,2010-02-01,99,2,99,2,101
CORQUE,consultas prenatales,repetidas,2010-02-01,15,7,15,7,22
COTAGAITA,consultas prenatales,repetidas,2010-02-01,81,7,81,7,88
COTOCA,consultas prenatales,repetidas,2010-02-01,364,0,364,0,364
CUATRO CAÑADAS,consultas prenatales,repetidas,2010-02-01,131,0,131,0,131
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2010-02-01,8,0,8,0,8
CUEVO,consultas prenatales,repetidas,2010-02-01,22,6,22,6,28
CULPINA,consultas prenatales,repetidas,2010-02-01,68,9,68,9,77
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2010-02-01,30,0,30,0,30
CURVA,consultas prenatales,repetidas,2010-02-01,2,3,2,3,5
DESAGUADERO,consultas prenatales,repetidas,2010-02-01,28,0,28,0,28
EL ALTO,consultas prenatales,repetidas,2010-02-01,5517,7,5517,7,5524
EL CHORO,consultas prenatales,repetidas,2010-02-01,11,6,11,6,17
EL PUENTE(STC),consultas prenatales,repetidas,2010-02-01,72,1,72,1,73
EL PUENTE(TJA),consultas prenatales,repetidas,2010-02-01,73,1,73,1,74
EL TORNO,consultas prenatales,repetidas,2010-02-01,326,1,326,1,327
EL VILLAR,consultas prenatales,repetidas,2010-02-01,24,1,24,1,25
ENTRE RIOS TRJ,consultas prenatales,repetidas,2010-02-01,128,13,128,13,141
ENTRE RIOS CBBA,consultas prenatales,repetidas,2010-02-01,201,0,201,0,201
ESCOMA,consultas prenatales,repetidas,2010-02-01,35,4,35,4,39
ESMERALDA,consultas prenatales,repetidas,2010-02-01,3,0,3,0,3
EUCALIPTUS,consultas prenatales,repetidas,2010-02-01,36,0,36,0,36
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2010-02-01,3,4,3,4,7
EXALTACION,consultas prenatales,repetidas,2010-02-01,23,0,23,0,23
FERNANDEZ ALONSO,consultas prenatales,repetidas,2010-02-01,108,0,108,0,108
FILADELFIA,consultas prenatales,repetidas,2010-02-01,12,0,12,0,12
GENERAL SAAVEDRA,consultas prenatales,repetidas,2010-02-01,71,0,71,0,71
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2010-02-01,36,4,36,4,40
GUANAY,consultas prenatales,repetidas,2010-02-01,85,0,85,0,85
GUAQUI,consultas prenatales,repetidas,2010-02-01,17,0,17,0,17
GUAYARAMERIN,consultas prenatales,repetidas,2010-02-01,341,28,341,28,369
GUTIERREZ,consultas prenatales,repetidas,2010-02-01,42,1,42,1,43
HUACARETA,consultas prenatales,repetidas,2010-02-01,48,4,48,4,52
HUACAYA (VILLA DE HUACAYA),consultas prenatales,repetidas,2010-02-01,10,10,10,10,20
HUACHACALLA,consultas prenatales,repetidas,2010-02-01,8,0,8,0,8
HUANUNI,consultas prenatales,repetidas,2010-02-01,220,0,220,0,220
HUARACAJE,consultas prenatales,repetidas,2010-02-01,30,0,30,0,30
HUARINA,consultas prenatales,repetidas,2010-02-01,10,0,10,0,10
HUAYLLAMARCA,consultas prenatales,repetidas,2010-02-01,19,0,19,0,19
HUMANATA,consultas prenatales,repetidas,2010-02-01,8,3,8,3,11
ICHOCA,consultas prenatales,repetidas,2010-02-01,7,5,7,5,12
ICLA,consultas prenatales,repetidas,2010-02-01,29,4,29,4,33
INCAHUASI,consultas prenatales,repetidas,2010-02-01,62,18,62,18,80
INGAVI (HUMAITA),consultas prenatales,repetidas,2010-02-01,1,1,1,1,2
INQUISIVI,consultas prenatales,repetidas,2010-02-01,19,5,19,5,24
IRUPANA (VILLA DE LANZA),consultas prenatales,repetidas,2010-02-01,50,0,50,0,50
IXIAMAS,consultas prenatales,repetidas,2010-02-01,45,0,45,0,45
JESUS DE MACHACA,consultas prenatales,repetidas,2010-02-01,51,3,51,3,54
LA ASUNTA,consultas prenatales,repetidas,2010-02-01,191,0,191,0,191
LA GUARDIA,consultas prenatales,repetidas,2010-02-01,702,0,702,0,702
LA PAZ,consultas prenatales,repetidas,2010-02-01,7198,28,7198,28,7226
LAGUNILLAS,consultas prenatales,repetidas,2010-02-01,47,3,47,3,50
LAJA,consultas prenatales,repetidas,2010-02-01,53,0,53,0,53
LAS CARRERAS,consultas prenatales,repetidas,2010-02-01,6,17,6,17,23
LICOMA PAMPA,consultas prenatales,repetidas,2010-02-01,14,0,14,0,14
LLALLAGUA,consultas prenatales,repetidas,2010-02-01,238,5,238,5,243
LLICA,consultas prenatales,repetidas,2010-02-01,19,4,19,4,23
LORETO,consultas prenatales,repetidas,2010-02-01,13,0,13,0,13
LURIBAY,consultas prenatales,repetidas,2010-02-01,11,0,11,0,11
MACHACAMARCA,consultas prenatales,repetidas,2010-02-01,11,0,11,0,11
MACHARETI,consultas prenatales,repetidas,2010-02-01,51,9,51,9,60
MAGDALENA,consultas prenatales,repetidas,2010-02-01,66,4,66,4,70
MAIRANA,consultas prenatales,repetidas,2010-02-01,79,0,79,0,79
MALLA,consultas prenatales,repetidas,2010-02-01,2,3,2,3,5
MAPIRI,consultas prenatales,repetidas,2010-02-01,78,2,78,2,80
MECAPACA,consultas prenatales,repetidas,2010-02-01,31,3,31,3,34
MINEROS,consultas prenatales,repetidas,2010-02-01,135,0,135,0,135
MIZQUE,consultas prenatales,repetidas,2010-02-01,100,16,100,16,116
MOCOMOCO,consultas prenatales,repetidas,2010-02-01,30,2,30,2,32
MOJINETE,consultas prenatales,repetidas,2010-02-01,3,1,3,1,4
MOJOCOYA,consultas prenatales,repetidas,2010-02-01,36,1,36,1,37
MONTEAGUDO,consultas prenatales,repetidas,2010-02-01,231,12,231,12,243
MONTERO,consultas prenatales,repetidas,2010-02-01,794,0,794,0,794
MORO MORO,consultas prenatales,repetidas,2010-02-01,8,1,8,1,9
MOROCHATA,consultas prenatales,repetidas,2010-02-01,35,9,35,9,44
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,repetidas,2010-02-01,8,0,8,0,8
NAZACARA DE PACAJES,consultas prenatales,repetidas,2010-02-01,0,2,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,repetidas,2010-02-01,8,0,8,0,8
OCURI,consultas prenatales,repetidas,2010-02-01,48,23,48,23,71
OKINAWA,consultas prenatales,repetidas,2010-02-01,138,0,138,0,138
OMEREQUE,consultas prenatales,repetidas,2010-02-01,37,0,37,0,37
ORURO,consultas prenatales,repetidas,2010-02-01,2230,2,2230,2,2232
PADCAYA,consultas prenatales,repetidas,2010-02-01,103,4,103,4,107
PADILLA,consultas prenatales,repetidas,2010-02-01,92,8,92,8,100
PAILON,consultas prenatales,repetidas,2010-02-01,136,0,136,0,136
PALCA,consultas prenatales,repetidas,2010-02-01,20,3,20,3,23
PALOS BLANCOS,consultas prenatales,repetidas,2010-02-01,202,2,202,2,204
PAMPA AULLAGAS,consultas prenatales,repetidas,2010-02-01,5,0,5,0,5
PAMPA GRANDE,consultas prenatales,repetidas,2010-02-01,65,0,65,0,65
PAPEL PAMPA,consultas prenatales,repetidas,2010-02-01,7,3,7,3,10
PASORAPA,consultas prenatales,repetidas,2010-02-01,6,0,6,0,6
PATACAMAYA,consultas prenatales,repetidas,2010-02-01,177,3,177,3,180
PAZÑA,consultas prenatales,repetidas,2010-02-01,37,6,37,6,43
PELECHUCO,consultas prenatales,repetidas,2010-02-01,18,1,18,1,19
POCOATA,consultas prenatales,repetidas,2010-02-01,60,2,60,2,62
POCONA,consultas prenatales,repetidas,2010-02-01,35,1,35,1,36
POJO (CBBA),consultas prenatales,repetidas,2010-02-01,64,0,64,0,64
POOPO,consultas prenatales,repetidas,2010-02-01,23,0,23,0,23
PORCO,consultas prenatales,repetidas,2010-02-01,68,0,68,0,68
POROMA,consultas prenatales,repetidas,2010-02-01,48,11,48,11,59
PORONGO,consultas prenatales,repetidas,2010-02-01,32,4,32,4,36
PORTACHUELO,consultas prenatales,repetidas,2010-02-01,212,0,212,0,212
PORVENIR,consultas prenatales,repetidas,2010-02-01,31,0,31,0,31
POSTRER VALLE,consultas prenatales,repetidas,2010-02-01,6,0,6,0,6
POTOSI,consultas prenatales,repetidas,2010-02-01,1379,0,1379,0,1379
PRESTO,consultas prenatales,repetidas,2010-02-01,23,10,23,10,33
PUCARA,consultas prenatales,repetidas,2010-02-01,2,2,2,2,4
PUCARANI,consultas prenatales,repetidas,2010-02-01,112,0,112,0,112
PUERTO ACOSTA,consultas prenatales,repetidas,2010-02-01,19,0,19,0,19
PUERTO CARABUCO,consultas prenatales,repetidas,2010-02-01,37,3,37,3,40
PUERTO GONZALO MORENO,consultas prenatales,repetidas,2010-02-01,29,3,29,3,32
PUERTO PEREZ,consultas prenatales,repetidas,2010-02-01,11,1,11,1,12
PUERTO QUIJARRO,consultas prenatales,repetidas,2010-02-01,74,0,74,0,74
PUERTO RICO,consultas prenatales,repetidas,2010-02-01,44,0,44,0,44
PUERTO SILES,consultas prenatales,repetidas,2010-02-01,7,0,7,0,7
PUERTO SUAREZ,consultas prenatales,repetidas,2010-02-01,144,0,144,0,144
PUERTO VILLARROEL,consultas prenatales,repetidas,2010-02-01,436,0,436,0,436
PUNA,consultas prenatales,repetidas,2010-02-01,80,10,80,10,90
PUNATA,consultas prenatales,repetidas,2010-02-01,269,1,269,1,270
QUIABAYA,consultas prenatales,repetidas,2010-02-01,14,10,14,10,24
QUILLACOLLO,consultas prenatales,repetidas,2010-02-01,474,6,474,6,480
QUIME,consultas prenatales,repetidas,2010-02-01,4,13,4,13,17
QUIRUSILLAS,consultas prenatales,repetidas,2010-02-01,3,0,3,0,3
RAVELO,consultas prenatales,repetidas,2010-02-01,66,13,66,13,79
REYES,consultas prenatales,repetidas,2010-02-01,59,1,59,1,60
RIBERALTA,consultas prenatales,repetidas,2010-02-01,883,6,883,6,889
ROBORE,consultas prenatales,repetidas,2010-02-01,91,0,91,0,91
RURRENABAQUE,consultas prenatales,repetidas,2010-02-01,120,8,120,8,128
SABAYA,consultas prenatales,repetidas,2010-02-01,14,1,14,1,15
SACABA,consultas prenatales,repetidas,2010-02-01,779,0,779,0,779
SACABAMBA,consultas prenatales,repetidas,2010-02-01,14,0,14,0,14
SACACA,consultas prenatales,repetidas,2010-02-01,87,5,87,5,92
SAIPINA,consultas prenatales,repetidas,2010-02-01,61,3,61,3,64
SALINAS DE GARCI MENDOZA,consultas prenatales,repetidas,2010-02-01,38,6,38,6,44
SAMAIPATA,consultas prenatales,repetidas,2010-02-01,44,0,44,0,44
SAN AGUSTIN,consultas prenatales,repetidas,2010-02-01,4,0,4,0,4
SAN ANDRES,consultas prenatales,repetidas,2010-02-01,55,0,55,0,55
SAN ANDRES DE MACHACA,consultas prenatales,repetidas,2010-02-01,34,5,34,5,39
SAN ANTONIO DE ESMORUCO,consultas prenatales,repetidas,2010-02-01,6,0,6,0,6
SAN ANTONIO DE LOMERIO,consultas prenatales,repetidas,2010-02-01,40,0,40,0,40
SAN BENITO,consultas prenatales,repetidas,2010-02-01,131,3,131,3,134
SAN BORJA,consultas prenatales,repetidas,2010-02-01,183,15,183,15,198
SAN BUENA VENTURA,consultas prenatales,repetidas,2010-02-01,91,2,91,2,93
SAN CARLOS,consultas prenatales,repetidas,2010-02-01,151,0,151,0,151
SAN IGNACIO,consultas prenatales,repetidas,2010-02-01,119,6,119,6,125
SAN IGNACIO DE VELASCO,consultas prenatales,repetidas,2010-02-01,419,52,419,52,471
SAN JAVIER(BNI),consultas prenatales,repetidas,2010-02-01,26,0,26,0,26
SAN JAVIER(STC),consultas prenatales,repetidas,2010-02-01,128,2,128,2,130
SAN JOAQUIN,consultas prenatales,repetidas,2010-02-01,24,33,24,33,57
SAN JOSE DE CHIQUITOS,consultas prenatales,repetidas,2010-02-01,78,0,78,0,78
SAN JUAN DE YAPACANI,consultas prenatales,repetidas,2010-02-01,67,0,67,0,67
SAN JULIAN,consultas prenatales,repetidas,2010-02-01,191,2,191,2,193
SAN LORENZO(PND),consultas prenatales,repetidas,2010-02-01,17,0,17,0,17
SAN LORENZO(TJA),consultas prenatales,repetidas,2010-02-01,104,7,104,7,111
SAN LUCAS,consultas prenatales,repetidas,2010-02-01,190,75,190,75,265
SAN MATIAS,consultas prenatales,repetidas,2010-02-01,131,8,131,8,139
SAN MIGUEL DE VELASCO,consultas prenatales,repetidas,2010-02-01,85,2,85,2,87
SAN PABLO DE LIPEZ,consultas prenatales,repetidas,2010-02-01,4,1,4,1,5
SAN PEDRO,consultas prenatales,repetidas,2010-02-01,97,0,97,0,97
SAN PEDRO DE BUENA VISTA,consultas prenatales,repetidas,2010-02-01,46,8,46,8,54
SAN PEDRO DE CURAHUARA,consultas prenatales,repetidas,2010-02-01,15,2,15,2,17
SAN PEDRO DE TIQUINA,consultas prenatales,repetidas,2010-02-01,15,2,15,2,17
SAN RAFAEL,consultas prenatales,repetidas,2010-02-01,34,2,34,2,36
SAN RAMON BENI,consultas prenatales,repetidas,2010-02-01,32,0,32,0,32
SAN RAMON SCZ,consultas prenatales,repetidas,2010-02-01,91,0,91,0,91
SANTA ANA,consultas prenatales,repetidas,2010-02-01,149,2,149,2,151
SANTA CRUZ DE LA SIERRA,consultas prenatales,repetidas,2010-02-01,9251,8,9251,8,9259
SANTA ROSA,consultas prenatales,repetidas,2010-02-01,51,1,51,1,52
SANTA ROSA DEL SARA,consultas prenatales,repetidas,2010-02-01,117,4,117,4,121
SANTIAGO DE CALLAPA,consultas prenatales,repetidas,2010-02-01,9,10,9,10,19
SANTIAGO DE HUARI,consultas prenatales,repetidas,2010-02-01,38,7,38,7,45
SANTIAGO DE HUATA,consultas prenatales,repetidas,2010-02-01,15,0,15,0,15
SANTIAGO DE MACHACA,consultas prenatales,repetidas,2010-02-01,7,0,7,0,7
SANTIVAÑES,consultas prenatales,repetidas,2010-02-01,23,0,23,0,23
SANTUARIO DE QUILLACAS,consultas prenatales,repetidas,2010-02-01,11,5,11,5,16
SAPAHAQUI,consultas prenatales,repetidas,2010-02-01,22,4,22,4,26
SENA,consultas prenatales,repetidas,2010-02-01,19,0,19,0,19
SHINAOTA,consultas prenatales,repetidas,2010-02-01,274,0,274,0,274
SICA SICA (VILLA AROMA),consultas prenatales,repetidas,2010-02-01,75,3,75,3,78
SICAYA,consultas prenatales,repetidas,2010-02-01,12,0,12,0,12
SIPE SIPE,consultas prenatales,repetidas,2010-02-01,246,0,246,0,246
SOPACHUY,consultas prenatales,repetidas,2010-02-01,40,3,40,3,43
SORACACHI,consultas prenatales,repetidas,2010-02-01,31,10,31,10,41
SORATA,consultas prenatales,repetidas,2010-02-01,70,9,70,9,79
SUCRE,consultas prenatales,repetidas,2010-02-01,2514,15,2514,15,2529
TACACHI,consultas prenatales,repetidas,2010-02-01,3,0,3,0,3
TACACOMA,consultas prenatales,repetidas,2010-02-01,16,3,16,3,19
TACOBAMBA,consultas prenatales,repetidas,2010-02-01,15,1,15,1,16
TACOPAYA,consultas prenatales,repetidas,2010-02-01,39,6,39,6,45
TAHUA,consultas prenatales,repetidas,2010-02-01,4,0,4,0,4
TAPACARI,consultas prenatales,repetidas,2010-02-01,106,12,106,12,118
TARABUCO,consultas prenatales,repetidas,2010-02-01,104,28,104,28,132
TARACO,consultas prenatales,repetidas,2010-02-01,4,0,4,0,4
TARATA,consultas prenatales,repetidas,2010-02-01,56,0,56,0,56
TARIJA,consultas prenatales,repetidas,2010-02-01,1396,0,1396,0,1396
TARVITA,consultas prenatales,repetidas,2010-02-01,75,28,75,28,103
TEOPONTE,consultas prenatales,repetidas,2010-02-01,36,5,36,5,41
TIAWANACU,consultas prenatales,repetidas,2010-02-01,45,4,45,4,49
TINGUIPAYA,consultas prenatales,repetidas,2010-02-01,29,12,29,12,41
TIPUANI,consultas prenatales,repetidas,2010-02-01,89,0,89,0,89
TIQUIPAYA,consultas prenatales,repetidas,2010-02-01,395,0,395,0,395
TIRAQUE (CBBA),consultas prenatales,repetidas,2010-02-01,82,0,82,0,82
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,repetidas,2010-02-01,4,1,4,1,5
TOCO,consultas prenatales,repetidas,2010-02-01,26,0,26,0,26
TODOS SANTOS,consultas prenatales,repetidas,2010-02-01,2,0,2,0,2
TOLATA,consultas prenatales,repetidas,2010-02-01,21,0,21,0,21
TOLEDO,consultas prenatales,repetidas,2010-02-01,28,0,28,0,28
TOMAVE,consultas prenatales,repetidas,2010-02-01,18,1,18,1,19
TOMINA,consultas prenatales,repetidas,2010-02-01,46,4,46,4,50
TORO TORO,consultas prenatales,repetidas,2010-02-01,22,1,22,1,23
TOTORA(CBBA),consultas prenatales,repetidas,2010-02-01,151,0,151,0,151
TOTORA(ORR),consultas prenatales,repetidas,2010-02-01,6,6,6,6,12
TRIGAL,consultas prenatales,repetidas,2010-02-01,5,3,5,3,8
TRINIDAD,consultas prenatales,repetidas,2010-02-01,1080,0,1080,0,1080
TUPIZA,consultas prenatales,repetidas,2010-02-01,253,21,253,21,274
TURCO,consultas prenatales,repetidas,2010-02-01,12,1,12,1,13
UMALA,consultas prenatales,repetidas,2010-02-01,13,8,13,8,21
UNCIA,consultas prenatales,repetidas,2010-02-01,108,14,108,14,122
URIONDO (A. CONCEPCION),consultas prenatales,repetidas,2010-02-01,100,2,100,2,102
URUBICHA,consultas prenatales,repetidas,2010-02-01,45,0,45,0,45
UYUNI,consultas prenatales,repetidas,2010-02-01,183,10,183,10,193
VACAS,consultas prenatales,repetidas,2010-02-01,45,0,45,0,45
VALLEGRANDE,consultas prenatales,repetidas,2010-02-01,95,2,95,2,97
VIACHA,consultas prenatales,repetidas,2010-02-01,262,6,262,6,268
VILA VILA,consultas prenatales,repetidas,2010-02-01,20,0,20,0,20
VILLA CHARCAS,consultas prenatales,repetidas,2010-02-01,60,17,60,17,77
VILLA MONTES,consultas prenatales,repetidas,2010-02-01,274,10,274,10,284
VILLA NUEVA (LOMA ALTA),consultas prenatales,repetidas,2010-02-01,7,1,7,1,8
VILLA RIVERO,consultas prenatales,repetidas,2010-02-01,28,0,28,0,28
VILLA SERRANO,consultas prenatales,repetidas,2010-02-01,58,16,58,16,74
VILLA TUNARI,consultas prenatales,repetidas,2010-02-01,485,1,485,1,486
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,repetidas,2010-02-01,51,18,51,18,69
VILLAZON,consultas prenatales,repetidas,2010-02-01,327,1,327,1,328
VINTO,consultas prenatales,repetidas,2010-02-01,217,0,217,0,217
VITICHI,consultas prenatales,repetidas,2010-02-01,40,1,40,1,41
WALDO BALLIVIAN,consultas prenatales,repetidas,2010-02-01,9,0,9,0,9
WARNES,consultas prenatales,repetidas,2010-02-01,492,4,492,4,496
YACO,consultas prenatales,repetidas,2010-02-01,19,5,19,5,24
YACUIBA,consultas prenatales,repetidas,2010-02-01,579,4,579,4,583
YAMPARAEZ,consultas prenatales,repetidas,2010-02-01,32,2,32,2,34
YANACACHI,consultas prenatales,repetidas,2010-02-01,15,0,15,0,15
YAPACANI,consultas prenatales,repetidas,2010-02-01,418,4,418,4,422
YOCALLA,consultas prenatales,repetidas,2010-02-01,24,3,24,3,27
YOTALA,consultas prenatales,repetidas,2010-02-01,54,1,54,1,55
YUNCHARA,consultas prenatales,repetidas,2010-02-01,11,18,11,18,29
ZUDAÑEZ,consultas prenatales,repetidas,2010-02-01,26,5,26,5,31
ACACIO,consultas prenatales,repetidas,2010-03-01,32,3,32,3,35
ACHACACHI,consultas prenatales,repetidas,2010-03-01,271,12,271,12,283
ACHOCALLA,consultas prenatales,repetidas,2010-03-01,58,3,58,3,61
AIQUILE,consultas prenatales,repetidas,2010-03-01,198,1,198,1,199
ALALAY,consultas prenatales,repetidas,2010-03-01,3,1,3,1,4
ALCALA,consultas prenatales,repetidas,2010-03-01,18,1,18,1,19
ALTO BENI,consultas prenatales,repetidas,2010-03-01,54,7,54,7,61
