municipality,group,variable,month,10.3. Nº de comunidades que participaron en el CAI de establecimiento,TOTAL
TRINIDAD,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,1,1
TUPIZA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,5,5
TURCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,6,6
UMALA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,2,2
VACAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,7,7
VIACHA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,17,17
VILLA CHARCAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,6,6
VILLA TUNARI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,8,8
VINTO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,2,2
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,2,2
WARNES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,11,11
YACUIBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,3,3
YOTALA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,5,5
ZUDAÑEZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-02-01,6,6
ACHACACHI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,10,10
ACHOCALLA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,4,4
ANCORAIMES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,8,8
ANDAMARCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,58,58
ANZALDO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,4,4
APOLO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,4,4
ARANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,5,5
AUCAPATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,5,5
AYATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,6,6
AYO AYO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,9,9
BERMEJO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,2,2
BETANZOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,4,4
BOYUIBE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,6,6
BUENA VISTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,1,1
CABEZAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,7,7
CAJUATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,7,7
CAQUIAVIRI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,3,3
CARACOLLO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,21,21
CARANGAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,3,3
CHARAGUA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,3,3
CHOQUE COTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,8,8
CHUA COCANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,8,8
CHUMA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,5,5
CLIZA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,9,9
COCAPATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,4,4
COCHABAMBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,1,1
COIPASA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,6,6
COLCAPIRHUA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,6,6
"COLCHA ""K""",actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,1,1
COLLANA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,4,4
COLPA BELGICA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,1,1
COLQUENCHA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,2,2
COLQUIRI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,15,15
COMARAPA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,41,41
CONCEPCION,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,7,7
CORIPATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,2,2
CORQUE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,8,8
COTOCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,6,6
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,4,4
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,4,4
CURVA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,1,1
DESAGUADERO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,5,5
EL ALTO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,42,42
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,4,4
EL TORNO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,8,8
ESCARA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,4,4
EUCALIPTUS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,2,2
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,1,1
FILADELFIA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,5,5
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,7,7
GUAQUI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,5,5
GUAYARAMERIN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,2,2
GUTIERREZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,12,12
HUATAJATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,3,3
ICHOCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,2,2
LA PAZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,36,36
LA RIVERA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-03-01,1,1
