,group,variable,month,DIABETES MELLITUS I - II CANTIDAD,DIABETES MELLITUS I - II CANTIDAD,TOTALES,TOTALES,TOTALES
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,83,126,83,126,209
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,2,15,2,15,17
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,3,2,3,2,5
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,1,0,1,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,6,0,6,6
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,1,9,1,9,10
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,9,15,9,15,24
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,3,6,3,6,9
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,2,1,2,1,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,802,468,802,468,1270
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,2,0,2,0,2
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,1,0,1,0,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,3,4,3,4,7
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,1,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,2,4,2,4,6
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,266,515,266,515,781
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,1,0,1,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,1,5,1,5,6
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,52,47,52,47,99
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,2,0,2,2
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,2,6,2,6,8
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,3,0,3,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,196,406,196,406,602
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,35,38,35,38,73
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,15,29,15,29,44
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,2,2,2,2,4
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,7,8,7,8,15
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,12,35,12,35,47
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,0,1,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,4,10,4,10,14
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,1,11,1,11,12
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,7,4,7,4,11
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,1,4,1,4,5
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,1,0,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,13,31,13,31,44
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,23,27,23,27,50
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,17,13,17,13,30
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-08-01,1,0,1,0,1
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,2,0,2,0,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,3,7,3,7,10
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,6,0,6,6
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,1,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,2,0,2,2
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,2,0,2,2
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,1,0,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,40,33,40,33,73
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,1,0,1,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,7,8,7,8,15
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,6,8,6,8,14
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,1,0,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,4,13,4,13,17
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,69,74,69,74,143
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,9,18,9,18,27
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,1,1,1,1,2
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,3,5,3,5,8
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,2,8,2,8,10
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,1,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,10,9,10,9,19
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,19,54,19,54,73
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,324,384,324,384,708
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,9,13,9,13,22
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,1,0,1,0,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,4,10,4,10,14
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,4,4,4,4,8
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,1,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,1,2,1,2,3
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,13,14,13,14,27
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,6,0,6,6
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,1,0,1,1
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,1,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,73,158,73,158,231
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,14,43,14,43,57
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,2,7,2,7,9
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,1,0,1,0,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,1,3,1,3,4
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,3,2,3,2,5
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,4,6,4,6,10
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,1,0,1,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,2,0,2,2
INGAVI (HUMAITA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,1,2,1,2,3
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,2,11,2,11,13
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,367,480,367,480,847
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,1,0,1,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,1,0,1,1
LURIBAY,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,1,0,1,0,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,1,0,1,0,1
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,1,0,1,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,11,10,11,10,21
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,1,1,1,1,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,4,3,4,3,7
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,84,113,84,113,197
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,1,0,1,1
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,2,0,2,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,201,410,201,410,611
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,2,1,2,1,3
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,3,5,3,5,8
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,1,0,1,1
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,4,0,4,4
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,1,0,1,1
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,1,0,1,0,1
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,2,0,2,2
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,2,0,2,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,45,80,45,80,125
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,24,54,24,54,78
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,1,0,1,0,1
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,2,4,2,4,6
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,15,31,15,31,46
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,4,2,4,2,6
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,22,33,22,33,55
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,4,17,4,17,21
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,1,1,1,1,2
REYES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,12,24,12,24,36
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,5,10,5,10,15
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,7,0,7,7
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,4,6,4,6,10
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,10,32,10,32,42
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,2,10,2,10,12
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,1,1,1,1,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,3,4,3,4,7
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,5,4,5,4,9
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,6,20,6,20,26
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,8,0,8,8
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,24,43,24,43,67
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,4,0,4,4
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,58,73,58,73,131
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,5,14,5,14,19
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,1,6,1,6,7
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,1,0,1,0,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,1,4,1,4,5
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,5,3,5,3,8
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,2,5,2,5,7
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,222,413,222,413,635
SENA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,1,0,1,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,3,5,3,5,8
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,1,0,1,1
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,1,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,267,485,267,485,752
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,1,0,1,0,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,2,3,2,3,5
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,21,17,21,17,38
TINGUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,2,0,2,2
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,3,0,3,3
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,3,7,3,7,10
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,1,1,1,1,2
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,1,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,176,391,176,391,567
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,5,9,5,9,14
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,17,49,17,49,66
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,1,1,1,1,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,17,17,17,17,34
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,8,18,8,18,26
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,1,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,8,22,8,22,30
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,3,10,3,10,13
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,18,15,18,15,33
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,2,0,2,2
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,8,22,8,22,30
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,90,60,90,60,150
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,12,20,12,20,32
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,0,1,0,1,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-09-01,1,2,1,2,3
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,1,2,1,2,3
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,6,8,6,8,14
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,0,2,0,2,2
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,0,1,0,1,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,1,0,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,50,73,50,73,123
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,0,1,0,1,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,6,4,6,4,10
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,4,20,4,20,24
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,42,58,42,58,100
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,11,21,11,21,32
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,3,0,3,0,3
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,4,2,4,2,6
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,1,14,1,14,15
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,2,0,2,0,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,1,0,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,10,46,10,46,56
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,321,427,321,427,748
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,9,14,9,14,23
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,1,0,1,0,1
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,1,4,1,4,5
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,2,17,2,17,19
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,4,3,4,3,7
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,0,1,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,2,2,2,2,4
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,40,20,40,20,60
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,1,1,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,83,118,83,118,201
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,3,5,3,5,8
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,23,51,23,51,74
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,1,8,1,8,9
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,3,2,3,2,5
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,1,0,1,0,1
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,0,4,0,4,4
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,3,6,3,6,9
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,6,14,6,14,20
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,1,4,1,4,5
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,0,1,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,5,13,5,13,18
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,264,389,264,389,653
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,1,2,1,2,3
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,0,1,0,1,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,1,1,1,1,2
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,2,3,2,3,5
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,1,0,1,0,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,10,11,10,11,21
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,1,0,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,4,3,4,3,7
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,13,20,13,20,33
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,229,345,229,345,574
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,4,11,4,11,15
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,0,1,0,1,1
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,0,2,0,2,2
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,2,3,2,3,5
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,0,1,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,36,67,36,67,103
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,27,39,27,39,66
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-10-01,1,0,1,0,1
