,group,variable,month,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS 10 A 14,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS 15 A 19,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS 20 A 34,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS 35 A 49,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS 50 Y +,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS < A 10,TOTALES
PAPEL PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,2,8,9,0,0,19
PASORAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,6,2,0,0,9
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,3,19,4,0,0,26
PAZÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,1,10,0,0,11
PELECHUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,12,6,0,0,19
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,1,9,41,20,0,0,71
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,21,47,20,0,89
POJO (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,25,15,1,0,42
POOPO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,10,0,0,0,10
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,30,13,2,0,46
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,1,8,29,21,1,0,60
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,2,19,16,0,0,37
PORTACHUELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,5,18,4,0,0,27
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,3,6,6,2,0,17
POSTRER VALLE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,2,2,0,0,4
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,1,58,327,222,38,0,646
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,2,4,9,5,0,20
PUCARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,1,4,0,0,5
PUCARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,5,48,35,3,0,91
PUERTO ACOSTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,3,4,1,0,8
PUERTO CARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,21,16,0,0,37
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,2,5,34,10,0,0,51
PUERTO PEREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,3,3,1,0,8
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,1,0,0,0,0,0,1
PUERTO RICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,3,15,7,1,0,26
PUERTO SUAREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,2,19,6,0,0,27
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,7,63,37,3,0,110
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,2,19,12,0,0,33
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,1,5,39,26,3,0,74
QUIABAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,12,3,0,0,15
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,6,84,27,0,0,117
QUIME,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,22,9,2,0,34
QUIRUSILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,3,0,0,0,3
RAQAYPAMPA(ETA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,13,5,0,0,19
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,10,21,12,0,44
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,3,9,4,0,16
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,1,59,161,60,0,0,281
ROBORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,3,11,0,0,0,14
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,5,32,11,3,0,51
SABAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,7,3,0,0,10
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,2,13,114,67,2,0,198
SACABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,4,4,0,0,8
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,14,8,0,0,23
SAIPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,1,3,8,4,0,0,16
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,13,0,0,0,13
SAMAIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,4,28,10,0,0,42
SAN AGUSTIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,3,2,0,0,5
SAN ANDRES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,2,8,7,3,0,20
SAN ANDRES DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,0,4,3,0,7
SAN ANTONIO DE ESMORUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,0,1,0,0,1
SAN ANTONIO DE LOMERIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,26,14,0,0,41
SAN BENITO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,18,13,2,0,34
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,3,30,78,18,0,129
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,1,4,17,11,0,0,33
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,3,18,7,0,29
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,4,21,31,8,0,64
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,3,23,130,52,1,0,209
SAN JAVIER(BNI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,2,3,1,0,7
SAN JAVIER(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,5,21,12,0,0,38
SAN JOAQUIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,0,1,0,0,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,23,7,0,0,31
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,1,1,2,0,4
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,17,59,24,4,0,104
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,2,10,6,0,0,18
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,1,2,42,32,2,0,79
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,11,74,60,2,0,147
SAN MATIAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,2,13,2,0,0,17
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,11,55,29,2,0,97
SAN PABLO DE LIPEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,1,0,1,6,4,0,12
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,3,14,14,5,1,37
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,6,37,12,0,55
SAN PEDRO DE CURAHUARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,3,7,0,0,10
SAN PEDRO DE MACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,39,22,1,0,63
SAN PEDRO DE QUEMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,0,2,0,0,2
SAN PEDRO DE TIQUINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,4,10,2,0,16
SAN PEDRO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,2,7,3,0,0,12
SAN RAFAEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,2,8,43,15,0,0,68
SAN RAMON BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,1,4,1,0,6
SAN RAMON SCZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,14,6,0,0,20
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,13,4,0,0,18
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,2,22,197,205,43,0,469
SANTA ROSA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,0,5,0,0,5
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,7,34,28,5,0,74
SANTIAGO DE CALLAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,4,2,2,0,8
SANTIAGO DE HUARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,9,1,0,0,11
SANTIAGO DE HUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,2,6,3,1,13
SANTIAGO DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,5,3,0,0,8
SANTIVAÑES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,8,5,0,0,14
SANTUARIO DE QUILLACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,3,4,0,0,7
SAPAHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,9,4,0,0,14
SENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,8,19,11,0,38
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,13,36,17,3,0,69
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,3,13,24,9,0,49
SICAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,11,4,1,0,17
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,7,129,42,0,0,178
SOPACHUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,4,7,14,0,0,25
SORACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,11,14,0,0,26
SORATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,30,21,3,0,55
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,26,238,131,10,0,405
TACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,3,0,0,0,3
TACACOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,8,20,7,0,36
TACOBAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,3,12,12,0,0,27
TACOPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,5,6,4,0,0,15
TAHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,1,1,0,0,2
TAPACARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,3,23,35,1,0,62
TARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,19,18,0,0,37
TARACO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,8,7,1,0,16
TARATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,16,9,0,0,25
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,13,74,37,1,0,125
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,2,23,11,5,0,41
TEOPONTE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,3,15,10,0,0,28
TIAHUANACU,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,17,14,1,0,32
TINGUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,4,13,11,1,30
TIPUANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,5,12,2,0,0,19
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,6,38,19,1,0,64
TIRAQUE (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,6,41,39,1,0,87
