,group,variable,month,PÍLDORA: USUARIAS CONTINUAS 10 A 14,PÍLDORA: USUARIAS CONTINUAS 15 A 19,PÍLDORA: USUARIAS CONTINUAS 20 A 34,PÍLDORA: USUARIAS CONTINUAS 35 A 49,PÍLDORA: USUARIAS CONTINUAS 50 Y +,PÍLDORA: USUARIAS CONTINUAS < A 10,TOTALES
SAN PABLO DE LIPEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,5,3,2,0,10
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,1,1,1,0,3
SAN PEDRO DE MACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,2,4,0,0,6
SAN PEDRO DE QUEMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,2,0,0,0,2
SAN PEDRO DE TIQUINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
SAN PEDRO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
SAN RAFAEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,12,14,0,0,26
SAN RAMON BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,0,5,1,0,6
SAN RAMON SCZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,5,1,0,0,6
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,3,2,0,0,5
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,1,11,63,57,15,4,151
SANTA ROSA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,13,6,8,0,27
SANTIAGO DE HUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
SANTIVAÑES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
SENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,1,3,0,0,4
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,4,1,1,0,6
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,1,3,2,0,6
SICAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,0,2,0,0,2
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,1,9,6,0,0,16
SOPACHUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,4,2,0,0,6
SORACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
SORATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,3,1,0,0,4
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,1,23,17,2,0,43
TACACOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,1,1,0,0,2
TAPACARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
TARACO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
TARATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,1,16,9,3,0,29
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,1,3,0,0,4
TEOPONTE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
TIAHUANACU,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
TIPUANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,1,1,0,0,2
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,1,14,3,0,0,18
TIRAQUE (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,2,3,0,0,5
TOMINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,1,4,2,0,0,7
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,1,1,0,0,0,2
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,3,2,3,0,8
TRIGAL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,2,0,0,0,2
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,4,5,2,0,11
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,2,15,7,0,24
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,5,0,0,0,5
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,8,4,0,0,12
URUBICHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,0,1,6,0,7
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,2,7,2,0,11
VACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,1,8,3,0,0,12
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,3,1,0,0,4
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,3,3,0,0,6
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,8,1,0,0,9
VILLA NUEVA (LOMA ALTA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,2,1,0,0,0,3
VILLA RIVERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
VILLA SERRANO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,1,1,6,3,0,11
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,22,17,1,0,40
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,1,11,3,0,0,15
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,9,1,0,0,10
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,8,9,0,0,17
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,8,66,34,4,0,112
YACO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,0,1,1,0,2
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,1,1,7,2,0,0,11
YANACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,0,0,1,0,1
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,0,14,7,0,21
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,1,0,0,0,0,1
ZUDAÑEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-01-01,0,0,4,3,0,0,7
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,3,0,0,0,3
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,2,2,2,0,6
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,3,0,0,0,3
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,1,1,0,0,2
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,2,5,0,0,7
ANCORAIMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,0,1,1,0,2
ANTEQUERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
ANZALDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
APOLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,2,1,0,0,3
ARAMPAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
ARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,0,0,1,0,1
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,2,0,0,0,2
ARQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,1,4,2,1,0,8
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,2,5,2,0,9
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,1,2,2,0,5
AUCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,1,1,2,0,4
AYATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,2,1,0,0,3
AYO AYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,8,8,0,0,16
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,0,1,1,0,2
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,1,2,0,0,3
BAURES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,0,3,3,0,6
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,1,0,0,0,0,1
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,1,5,5,0,0,11
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,4,2,1,0,7
BOLPEBRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,2,1,0,0,3
BOYUIBE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,0,1,2,0,3
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,0,10,4,0,14
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,1,6,10,0,17
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,6,1,0,0,7
CAJUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,0,1,1,0,2
CALAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,2,1,1,0,4
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,1,0,1,0,0,2
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,1,2,0,0,3
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,0,2,3,0,5
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,2,0,0,0,2
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,1,2,2,0,0,5
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,1,4,2,1,0,8
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,1,8,9,1,0,19
CARIPUYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,2,3,1,0,6
CATACORA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,0,1,0,0,1
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,9,11,6,0,26
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,1,3,7,2,1,0,14
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
CHUMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,1,8,5,0,0,14
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,0,1,0,0,1
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,0,4,0,0,4
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,3,13,12,1,0,29
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,1,1,1,0,0,3
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,1,18,16,3,0,38
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,1,4,0,0,5
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,9,4,1,0,14
COLLANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,0,1,2,0,3
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,1,5,3,0,0,9
COLPA BELGICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,6,2,0,0,8
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,2,2,0,0,4
COLQUENCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,2,1,0,0,3
COLQUIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,1,1,0,0,2
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,1,3,2,0,0,6
CONCEPCION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,2,12,11,0,0,25
COPACABANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,5,1,0,0,6
CORIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,4,0,0,0,4
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,0,1,0,0,1
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,2,18,21,14,0,55
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,5,3,0,0,8
CUEVO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,2,1,0,0,3
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,1,4,6,1,0,12
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
DESAGUADERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,0,1,1,0,2
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,1,33,20,0,0,54
EL PUENTE(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,1,1,13,7,0,0,22
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,2,1,0,0,3
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,1,15,11,0,27
EL VILLAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,1,2,11,3,0,17
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,2,11,9,1,0,23
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,3,9,1,0,13
ESCOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
EUCALIPTUS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,0,1,0,0,1
EUREKA (SANTOS MERCADO),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,1,0,2,0,0,0,3
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,1,0,4,1,0,6
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,2,28,7,0,37
GAIOC JATUN AYLLU YURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,0,3,3,0,6
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,12,6,0,0,18
GIA-TIM,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,0,7,1,0,8
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,1,0,1,0,2
GUANAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias continuas,2024-02-01,0,0,1,2,0,0,3
