,group,variable,month,DIU: USUARIAS NUEVAS 10 A 14,DIU: USUARIAS NUEVAS 15 A 19,DIU: USUARIAS NUEVAS 20 A 34,DIU: USUARIAS NUEVAS 35 A 49,DIU: USUARIAS NUEVAS 50 Y +,DIU: USUARIAS NUEVAS < A 10,TOTALES
TINGUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,5,1,0,0,6
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,1,0,0,2
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,1,2,1,0,0,4
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,2,0,0,0,2
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,4,0,0,0,4
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,6,0,0,0,6
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,2,0,0,0,2
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,3,6,2,0,0,11
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-11-01,0,0,1,0,0,0,1
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,0,1,0,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,4,2,0,0,6
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,0,1,0,0,1
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,2,57,19,0,0,78
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,0,1,0,0,1
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,1,0,0,2
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,26,7,0,0,33
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,3,3,0,0,6
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
ESCOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,2,0,0,3
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,6,87,19,0,0,112
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,2,0,0,0,2
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,0,1,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,3,1,0,0,4
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,9,10,1,0,0,20
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,1,0,0,2
PAMPA GRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,1,0,0,2
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,3,4,0,0,7
PORTACHUELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,1,0,0,2
POSTRER VALLE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,8,7,3,0,0,18
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,1,0,0,2
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,2,5,0,0,0,7
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,1,18,2,0,0,21
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,1,2,0,0,0,0,3
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,1,0,0,0,0,1
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,3,0,0,0,3
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,1,2,0,0,0,3
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,0,1,0,0,1
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,2,0,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,20,81,20,0,0,121
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,2,0,0,0,2
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,8,23,4,0,0,35
TARATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,7,42,32,0,0,81
TINGUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,0,1,0,0,1
TIRAQUE (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,3,0,0,0,3
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,0,1,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,1,3,14,1,0,0,19
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,3,0,0,0,3
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,1,0,0,2
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,3,0,0,4
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,2,0,0,0,2
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,4,0,0,0,4
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,2,0,0,0,2
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,2,0,0,0,2
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,3,7,1,0,0,11
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
YUNCHARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-12-01,0,0,1,0,0,0,1
