,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA DE TB SENSIBLE CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA DE TB SENSIBLE CANTIDAD,TOTALES
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,3,1,4
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,0,1,1
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,2,3
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,4,1,5
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,1,2
CUEVO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,1,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,34,12,46
EL PUENTE(STC),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,3,3,6
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,5,2,7
ESCOMA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,0,1,1
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,1,2
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,1,2
GUTIERREZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,0,1,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,5,1,6
ICLA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,0,1,1
INQUISIVI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,1,2
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,4,3,7
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,10,5,15
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,27,15,42
LAGUNILLAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,4,0,4
LURIBAY,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,0,1,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,3,2,5
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,25,3,28
NUEVO MANOA (NUEVA ESPERANZA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,1,2
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
OMEREQUE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,16,9,25
PADCAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,0,1,1
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
PAMPA GRANDE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
POCONA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
PORONGO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,2,0,2
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,14,6,20
PRESTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
PUERTO GONZALO MORENO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,15,4,19
PUNA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,0,1,1
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,4,3,7
QUIME,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,0,1,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,4,6,10
ROBORE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,2,1,3
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,6,3,9
SAN BENITO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,1,2
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,0,3,3
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,3,0,3
SAN JOAQUIN,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,3,1,4
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,1,2
SAN MATIAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,2,0,2
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,2,0,2
SAN PEDRO DE MACHA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,197,74,271
SANTA ROSA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,2,0,2
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
SENA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,5,5,10
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,3,1,4
SOPACHUY,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,0,1,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,15,8,23
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,3,6,9
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,2,1,3
TIRAQUE (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,3,2,5
TOLATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
TOTORA(CBBA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,12,1,13
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,2,0,2
URIONDO (A. CONCEPCION),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,0,1,1
UYUNI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,2,0,2
VACAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,0,1,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,1,0,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,5,0,5
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,2,3,5
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,2,1,3
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,4,6,10
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,6,8,14
YAMPARAEZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,0,1,1
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,2,1,3
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-11-01,2,1,3
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
APOLO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,0,1,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,2,3
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,1,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,11,7,18
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,2,0,2
CHAYANTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,7,1,8
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,5,3,8
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,27,13,40
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,1,2
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,2,1,3
COPACABANA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,2,1,3
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,1,2
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,2,3
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,5,3,8
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,1,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,20,15,35
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,2,2,4
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,4,4,8
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,0,1,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,3,3,6
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
ICLA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,1,2
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,3,1,4
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,8,3,11
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,46,23,69
LICOMA PAMPA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
MACHARETI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,0,1,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,1,2
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,2,2,4
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,8,3,11
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,3,2,5
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
POROMA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
PORONGO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,4,3,7
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,2,2,4
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,8,4,12
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,7,4,11
REYES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,2,0,2
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,10,4,14
ROBORE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,8,5,13
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,0,2,2
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,3,0,3
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,2,3
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,2,2,4
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,1,2
SAN MATIAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,157,73,230
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,1,2
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,3,3,6
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,10,5,15
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,2,0,2
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,0,1,1
TARATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,0,1,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,4,6,10
TINGUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,1,2
TIRAQUE (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,2,1,3
TOMAVE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,12,3,15
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,1,2
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,3,1,4
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,8,2,10
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,0,1,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,2,1,3
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,3,1,4
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,11,1,12
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,0,1,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,4,4,8
ZUDAÑEZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-12-01,1,0,1
