,group,variable,month,TOTAL 3.6 CIRUGIA BUCAL MENOR CANTIDAD,TOTAL 3.6 CIRUGIA BUCAL MENOR CANTIDAD,TOTALES,TOTALES,TOTALES
ALALAY,atencion odontologica, cirugia bucal menor,2014-02-01,2,6,2,6,8
ALCALA,atencion odontologica, cirugia bucal menor,2014-02-01,10,27,10,27,37
ALTO BENI,atencion odontologica, cirugia bucal menor,2014-02-01,14,37,14,37,51
ANCORAIMES,atencion odontologica, cirugia bucal menor,2014-02-01,26,43,26,43,69
ANDAMARCA,atencion odontologica, cirugia bucal menor,2014-02-01,17,21,17,21,38
ANTEQUERA,atencion odontologica, cirugia bucal menor,2014-02-01,9,20,9,20,29
ANZALDO,atencion odontologica, cirugia bucal menor,2014-02-01,9,19,9,19,28
APOLO,atencion odontologica, cirugia bucal menor,2014-02-01,9,15,9,15,24
ARAMPAMPA,atencion odontologica, cirugia bucal menor,2014-02-01,5,6,5,6,11
ARANI,atencion odontologica, cirugia bucal menor,2014-02-01,6,46,6,46,52
ARBIETO,atencion odontologica, cirugia bucal menor,2014-02-01,9,16,9,16,25
ARQUE,atencion odontologica, cirugia bucal menor,2014-02-01,14,38,14,38,52
ASCENCION DE GUARAYOS,atencion odontologica, cirugia bucal menor,2014-02-01,9,31,9,31,40
ATOCHA,atencion odontologica, cirugia bucal menor,2014-02-01,98,106,98,106,204
AUCAPATA,atencion odontologica, cirugia bucal menor,2014-02-01,22,18,22,18,40
AYATA,atencion odontologica, cirugia bucal menor,2014-02-01,25,48,25,48,73
AYO AYO,atencion odontologica, cirugia bucal menor,2014-02-01,22,45,22,45,67
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, cirugia bucal menor,2014-02-01,39,57,39,57,96
AZURDUY,atencion odontologica, cirugia bucal menor,2014-02-01,2,19,2,19,21
BATALLAS,atencion odontologica, cirugia bucal menor,2014-02-01,12,28,12,28,40
BAURES,atencion odontologica, cirugia bucal menor,2014-02-01,2,3,2,3,5
BELEN DE ANDAMARCA,atencion odontologica, cirugia bucal menor,2014-02-01,7,3,7,3,10
BELEN DE URMIRI,atencion odontologica, cirugia bucal menor,2014-02-01,8,5,8,5,13
BERMEJO,atencion odontologica, cirugia bucal menor,2014-02-01,368,485,368,485,853
BETANZOS,atencion odontologica, cirugia bucal menor,2014-02-01,38,64,38,64,102
BOLIVAR,atencion odontologica, cirugia bucal menor,2014-02-01,7,13,7,13,20
BOLPEBRA,atencion odontologica, cirugia bucal menor,2014-02-01,0,2,0,2,2
BUENA VISTA,atencion odontologica, cirugia bucal menor,2014-02-01,1,5,1,5,6
CABEZAS,atencion odontologica, cirugia bucal menor,2014-02-01,24,59,24,59,83
CAIROMA,atencion odontologica, cirugia bucal menor,2014-02-01,32,50,32,50,82
"CAIZA ""D""",atencion odontologica, cirugia bucal menor,2014-02-01,14,26,14,26,40
CAJUATA,atencion odontologica, cirugia bucal menor,2014-02-01,36,31,36,31,67
CALACOTO,atencion odontologica, cirugia bucal menor,2014-02-01,8,2,8,2,10
CALAMARCA,atencion odontologica, cirugia bucal menor,2014-02-01,38,72,38,72,110
CAMARGO,atencion odontologica, cirugia bucal menor,2014-02-01,22,30,22,30,52
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, cirugia bucal menor,2014-02-01,2,12,2,12,14
CAMIRI,atencion odontologica, cirugia bucal menor,2014-02-01,49,67,49,67,116
CAPINOTA,atencion odontologica, cirugia bucal menor,2014-02-01,22,25,22,25,47
CAQUIAVIRI,atencion odontologica, cirugia bucal menor,2014-02-01,18,24,18,24,42
CARACOLLO,atencion odontologica, cirugia bucal menor,2014-02-01,40,75,40,75,115
CARANAVI,atencion odontologica, cirugia bucal menor,2014-02-01,21,20,21,20,41
CARAPARI,atencion odontologica, cirugia bucal menor,2014-02-01,45,85,45,85,130
CARIPUYO,atencion odontologica, cirugia bucal menor,2014-02-01,14,7,14,7,21
CARMEN RIVERO TORREZ,atencion odontologica, cirugia bucal menor,2014-02-01,1,2,1,2,3
CATACORA,atencion odontologica, cirugia bucal menor,2014-02-01,15,16,15,16,31
CHALLAPATA,atencion odontologica, cirugia bucal menor,2014-02-01,98,134,98,134,232
CHAQUI,atencion odontologica, cirugia bucal menor,2014-02-01,9,9,9,9,18
CHARAGUA,atencion odontologica, cirugia bucal menor,2014-02-01,52,126,52,126,178
CHARAÑA,atencion odontologica, cirugia bucal menor,2014-02-01,2,1,2,1,3
CHAYANTA,atencion odontologica, cirugia bucal menor,2014-02-01,17,29,17,29,46
CHIMORE,atencion odontologica, cirugia bucal menor,2014-02-01,11,22,11,22,33
CHIPAYA,atencion odontologica, cirugia bucal menor,2014-02-01,7,13,7,13,20
CHOQUE COTA,atencion odontologica, cirugia bucal menor,2014-02-01,5,9,5,9,14
CHUA COCANI,atencion odontologica, cirugia bucal menor,2014-02-01,7,17,7,17,24
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, cirugia bucal menor,2014-02-01,5,20,5,20,25
CHUMA,atencion odontologica, cirugia bucal menor,2014-02-01,85,136,85,136,221
CKOCHAS,atencion odontologica, cirugia bucal menor,2014-02-01,19,10,19,10,29
CLIZA,atencion odontologica, cirugia bucal menor,2014-02-01,39,62,39,62,101
COBIJA,atencion odontologica, cirugia bucal menor,2014-02-01,75,94,75,94,169
COCAPATA,atencion odontologica, cirugia bucal menor,2014-02-01,28,64,28,64,92
COCHABAMBA,atencion odontologica, cirugia bucal menor,2014-02-01,527,702,527,702,1229
COIPASA,atencion odontologica, cirugia bucal menor,2014-02-01,6,2,6,2,8
COLCAPIRHUA,atencion odontologica, cirugia bucal menor,2014-02-01,19,51,19,51,70
"COLCHA ""K""",atencion odontologica, cirugia bucal menor,2014-02-01,9,23,9,23,32
COLLANA,atencion odontologica, cirugia bucal menor,2014-02-01,13,22,13,22,35
COLOMI,atencion odontologica, cirugia bucal menor,2014-02-01,14,18,14,18,32
COLPA BELGICA,atencion odontologica, cirugia bucal menor,2014-02-01,5,10,5,10,15
COLQUECHACA,atencion odontologica, cirugia bucal menor,2014-02-01,43,43,43,43,86
COLQUENCHA,atencion odontologica, cirugia bucal menor,2014-02-01,4,20,4,20,24
COLQUIRI,atencion odontologica, cirugia bucal menor,2014-02-01,44,72,44,72,116
COMANCHE,atencion odontologica, cirugia bucal menor,2014-02-01,8,19,8,19,27
COMARAPA,atencion odontologica, cirugia bucal menor,2014-02-01,32,44,32,44,76
CONCEPCION,atencion odontologica, cirugia bucal menor,2014-02-01,13,29,13,29,42
COPACABANA,atencion odontologica, cirugia bucal menor,2014-02-01,41,28,41,28,69
CORO CORO,atencion odontologica, cirugia bucal menor,2014-02-01,15,21,15,21,36
CORQUE,atencion odontologica, cirugia bucal menor,2014-02-01,13,17,13,17,30
COTAGAITA,atencion odontologica, cirugia bucal menor,2014-02-01,42,65,42,65,107
COTOCA,atencion odontologica, cirugia bucal menor,2014-02-01,6,45,6,45,51
CUATRO CAÑADAS,atencion odontologica, cirugia bucal menor,2014-02-01,15,57,15,57,72
CUEVO,atencion odontologica, cirugia bucal menor,2014-02-01,4,10,4,10,14
CULPINA,atencion odontologica, cirugia bucal menor,2014-02-01,12,32,12,32,44
CURAHUARA DE CARANGAS,atencion odontologica, cirugia bucal menor,2014-02-01,13,21,13,21,34
CURVA,atencion odontologica, cirugia bucal menor,2014-02-01,10,20,10,20,30
DESAGUADERO,atencion odontologica, cirugia bucal menor,2014-02-01,20,19,20,19,39
EL ALTO,atencion odontologica, cirugia bucal menor,2014-02-01,1032,1306,1032,1306,2338
EL PUENTE(STC),atencion odontologica, cirugia bucal menor,2014-02-01,14,35,14,35,49
EL PUENTE(TJA),atencion odontologica, cirugia bucal menor,2014-02-01,56,99,56,99,155
EL TORNO,atencion odontologica, cirugia bucal menor,2014-02-01,61,73,61,73,134
EL VILLAR,atencion odontologica, cirugia bucal menor,2014-02-01,5,5,5,5,10
ENTRE RIOS TRJ,atencion odontologica, cirugia bucal menor,2014-02-01,151,216,151,216,367
ENTRE RIOS CBBA,atencion odontologica, cirugia bucal menor,2014-02-01,10,17,10,17,27
ESCOMA,atencion odontologica, cirugia bucal menor,2014-02-01,29,30,29,30,59
EUCALIPTUS,atencion odontologica, cirugia bucal menor,2014-02-01,10,8,10,8,18
FERNANDEZ ALONSO,atencion odontologica, cirugia bucal menor,2014-02-01,25,27,25,27,52
FILADELFIA,atencion odontologica, cirugia bucal menor,2014-02-01,23,15,23,15,38
GENERAL SAAVEDRA,atencion odontologica, cirugia bucal menor,2014-02-01,11,16,11,16,27
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, cirugia bucal menor,2014-02-01,54,51,54,51,105
GUANAY,atencion odontologica, cirugia bucal menor,2014-02-01,26,26,26,26,52
GUAQUI,atencion odontologica, cirugia bucal menor,2014-02-01,44,51,44,51,95
GUAYARAMERIN,atencion odontologica, cirugia bucal menor,2014-02-01,31,69,31,69,100
GUTIERREZ,atencion odontologica, cirugia bucal menor,2014-02-01,9,55,9,55,64
HUACARETA,atencion odontologica, cirugia bucal menor,2014-02-01,6,12,6,12,18
HUACAYA (VILLA DE HUACAYA),atencion odontologica, cirugia bucal menor,2014-02-01,6,14,6,14,20
HUACHACALLA,atencion odontologica, cirugia bucal menor,2014-02-01,6,8,6,8,14
HUANUNI,atencion odontologica, cirugia bucal menor,2014-02-01,34,61,34,61,95
HUARACAJE,atencion odontologica, cirugia bucal menor,2014-02-01,4,5,4,5,9
HUARINA,atencion odontologica, cirugia bucal menor,2014-02-01,12,12,12,12,24
HUATAJATA,atencion odontologica, cirugia bucal menor,2014-02-01,6,11,6,11,17
HUAYLLAMARCA,atencion odontologica, cirugia bucal menor,2014-02-01,20,26,20,26,46
HUMANATA,atencion odontologica, cirugia bucal menor,2014-02-01,34,24,34,24,58
ICHOCA,atencion odontologica, cirugia bucal menor,2014-02-01,11,12,11,12,23
ICLA,atencion odontologica, cirugia bucal menor,2014-02-01,21,24,21,24,45
INCAHUASI,atencion odontologica, cirugia bucal menor,2014-02-01,8,9,8,9,17
INQUISIVI,atencion odontologica, cirugia bucal menor,2014-02-01,29,46,29,46,75
IRUPANA (VILLA DE LANZA),atencion odontologica, cirugia bucal menor,2014-02-01,11,11,11,11,22
IXIAMAS,atencion odontologica, cirugia bucal menor,2014-02-01,25,25,25,25,50
JESUS DE MACHACA,atencion odontologica, cirugia bucal menor,2014-02-01,21,51,21,51,72
LA ASUNTA,atencion odontologica, cirugia bucal menor,2014-02-01,29,59,29,59,88
LA GUARDIA,atencion odontologica, cirugia bucal menor,2014-02-01,35,48,35,48,83
LA PAZ,atencion odontologica, cirugia bucal menor,2014-02-01,1033,1350,1033,1350,2383
LA RIVERA,atencion odontologica, cirugia bucal menor,2014-02-01,0,1,0,1,1
LAGUNILLAS,atencion odontologica, cirugia bucal menor,2014-02-01,6,20,6,20,26
LAJA,atencion odontologica, cirugia bucal menor,2014-02-01,26,42,26,42,68
LAS CARRERAS,atencion odontologica, cirugia bucal menor,2014-02-01,6,14,6,14,20
LICOMA PAMPA,atencion odontologica, cirugia bucal menor,2014-02-01,7,19,7,19,26
LLALLAGUA,atencion odontologica, cirugia bucal menor,2014-02-01,28,86,28,86,114
LLICA,atencion odontologica, cirugia bucal menor,2014-02-01,22,32,22,32,54
LURIBAY,atencion odontologica, cirugia bucal menor,2014-02-01,4,11,4,11,15
MACHACAMARCA,atencion odontologica, cirugia bucal menor,2014-02-01,9,10,9,10,19
MACHARETI,atencion odontologica, cirugia bucal menor,2014-02-01,4,2,4,2,6
MAGDALENA,atencion odontologica, cirugia bucal menor,2014-02-01,24,36,24,36,60
MAIRANA,atencion odontologica, cirugia bucal menor,2014-02-01,1,1,1,1,2
MALLA,atencion odontologica, cirugia bucal menor,2014-02-01,4,2,4,2,6
MAPIRI,atencion odontologica, cirugia bucal menor,2014-02-01,18,21,18,21,39
MECAPACA,atencion odontologica, cirugia bucal menor,2014-02-01,30,20,30,20,50
MINEROS,atencion odontologica, cirugia bucal menor,2014-02-01,2,14,2,14,16
MIZQUE,atencion odontologica, cirugia bucal menor,2014-02-01,35,58,35,58,93
MOCOMOCO,atencion odontologica, cirugia bucal menor,2014-02-01,59,67,59,67,126
MOJOCOYA,atencion odontologica, cirugia bucal menor,2014-02-01,34,45,34,45,79
MONTEAGUDO,atencion odontologica, cirugia bucal menor,2014-02-01,65,76,65,76,141
MONTERO,atencion odontologica, cirugia bucal menor,2014-02-01,69,110,69,110,179
MORO MORO,atencion odontologica, cirugia bucal menor,2014-02-01,11,13,11,13,24
MOROCHATA,atencion odontologica, cirugia bucal menor,2014-02-01,34,25,34,25,59
OCURI,atencion odontologica, cirugia bucal menor,2014-02-01,31,57,31,57,88
OKINAWA,atencion odontologica, cirugia bucal menor,2014-02-01,1,3,1,3,4
OMEREQUE,atencion odontologica, cirugia bucal menor,2014-02-01,2,14,2,14,16
ORURO,atencion odontologica, cirugia bucal menor,2014-02-01,260,423,260,423,683
PADCAYA,atencion odontologica, cirugia bucal menor,2014-02-01,54,59,54,59,113
PADILLA,atencion odontologica, cirugia bucal menor,2014-02-01,19,63,19,63,82
PAILON,atencion odontologica, cirugia bucal menor,2014-02-01,31,30,31,30,61
PALCA,atencion odontologica, cirugia bucal menor,2014-02-01,60,78,60,78,138
PALOS BLANCOS,atencion odontologica, cirugia bucal menor,2014-02-01,17,38,17,38,55
PAMPA AULLAGAS,atencion odontologica, cirugia bucal menor,2014-02-01,4,5,4,5,9
PAMPA GRANDE,atencion odontologica, cirugia bucal menor,2014-02-01,3,9,3,9,12
PAPEL PAMPA,atencion odontologica, cirugia bucal menor,2014-02-01,14,24,14,24,38
PASORAPA,atencion odontologica, cirugia bucal menor,2014-02-01,5,1,5,1,6
PATACAMAYA,atencion odontologica, cirugia bucal menor,2014-02-01,32,39,32,39,71
PAZÑA,atencion odontologica, cirugia bucal menor,2014-02-01,5,8,5,8,13
PELECHUCO,atencion odontologica, cirugia bucal menor,2014-02-01,13,23,13,23,36
POCOATA,atencion odontologica, cirugia bucal menor,2014-02-01,17,29,17,29,46
POCONA,atencion odontologica, cirugia bucal menor,2014-02-01,20,43,20,43,63
POJO (CBBA),atencion odontologica, cirugia bucal menor,2014-02-01,8,20,8,20,28
POOPO,atencion odontologica, cirugia bucal menor,2014-02-01,5,10,5,10,15
PORCO,atencion odontologica, cirugia bucal menor,2014-02-01,3,11,3,11,14
POROMA,atencion odontologica, cirugia bucal menor,2014-02-01,15,20,15,20,35
PORONGO,atencion odontologica, cirugia bucal menor,2014-02-01,11,6,11,6,17
PORTACHUELO,atencion odontologica, cirugia bucal menor,2014-02-01,39,59,39,59,98
PORVENIR,atencion odontologica, cirugia bucal menor,2014-02-01,35,33,35,33,68
POSTRER VALLE,atencion odontologica, cirugia bucal menor,2014-02-01,2,13,2,13,15
POTOSI,atencion odontologica, cirugia bucal menor,2014-02-01,319,450,319,450,769
PRESTO,atencion odontologica, cirugia bucal menor,2014-02-01,14,10,14,10,24
PUCARA,atencion odontologica, cirugia bucal menor,2014-02-01,4,9,4,9,13
PUCARANI,atencion odontologica, cirugia bucal menor,2014-02-01,104,136,104,136,240
PUERTO ACOSTA,atencion odontologica, cirugia bucal menor,2014-02-01,16,34,16,34,50
PUERTO CARABUCO,atencion odontologica, cirugia bucal menor,2014-02-01,79,49,79,49,128
PUERTO GONZALO MORENO,atencion odontologica, cirugia bucal menor,2014-02-01,6,3,6,3,9
PUERTO PEREZ,atencion odontologica, cirugia bucal menor,2014-02-01,13,2,13,2,15
PUERTO QUIJARRO,atencion odontologica, cirugia bucal menor,2014-02-01,2,4,2,4,6
PUERTO RICO,atencion odontologica, cirugia bucal menor,2014-02-01,43,40,43,40,83
PUERTO SUAREZ,atencion odontologica, cirugia bucal menor,2014-02-01,0,7,0,7,7
PUERTO VILLARROEL,atencion odontologica, cirugia bucal menor,2014-02-01,32,45,32,45,77
PUNA,atencion odontologica, cirugia bucal menor,2014-02-01,21,39,21,39,60
PUNATA,atencion odontologica, cirugia bucal menor,2014-02-01,36,33,36,33,69
QUIABAYA,atencion odontologica, cirugia bucal menor,2014-02-01,6,19,6,19,25
QUILLACOLLO,atencion odontologica, cirugia bucal menor,2014-02-01,55,131,55,131,186
QUIME,atencion odontologica, cirugia bucal menor,2014-02-01,51,59,51,59,110
QUIRUSILLAS,atencion odontologica, cirugia bucal menor,2014-02-01,0,1,0,1,1
RAVELO,atencion odontologica, cirugia bucal menor,2014-02-01,7,39,7,39,46
REYES,atencion odontologica, cirugia bucal menor,2014-02-01,29,35,29,35,64
RIBERALTA,atencion odontologica, cirugia bucal menor,2014-02-01,135,311,135,311,446
ROBORE,atencion odontologica, cirugia bucal menor,2014-02-01,3,9,3,9,12
RURRENABAQUE,atencion odontologica, cirugia bucal menor,2014-02-01,33,23,33,23,56
SABAYA,atencion odontologica, cirugia bucal menor,2014-02-01,7,14,7,14,21
SACABA,atencion odontologica, cirugia bucal menor,2014-02-01,164,242,164,242,406
SACABAMBA,atencion odontologica, cirugia bucal menor,2014-02-01,7,9,7,9,16
SACACA,atencion odontologica, cirugia bucal menor,2014-02-01,22,30,22,30,52
SALINAS DE GARCI MENDOZA,atencion odontologica, cirugia bucal menor,2014-02-01,21,41,21,41,62
SAMAIPATA,atencion odontologica, cirugia bucal menor,2014-02-01,2,1,2,1,3
SAN AGUSTIN,atencion odontologica, cirugia bucal menor,2014-02-01,5,9,5,9,14
SAN ANDRES,atencion odontologica, cirugia bucal menor,2014-02-01,20,24,20,24,44
SAN ANDRES DE MACHACA,atencion odontologica, cirugia bucal menor,2014-02-01,13,22,13,22,35
SAN ANTONIO DE ESMORUCO,atencion odontologica, cirugia bucal menor,2014-02-01,3,4,3,4,7
SAN ANTONIO DE LOMERIO,atencion odontologica, cirugia bucal menor,2014-02-01,12,31,12,31,43
SAN BENITO,atencion odontologica, cirugia bucal menor,2014-02-01,5,4,5,4,9
SAN BORJA,atencion odontologica, cirugia bucal menor,2014-02-01,6,28,6,28,34
SAN BUENA VENTURA,atencion odontologica, cirugia bucal menor,2014-02-01,9,15,9,15,24
SAN CARLOS,atencion odontologica, cirugia bucal menor,2014-02-01,8,15,8,15,23
SAN IGNACIO,atencion odontologica, cirugia bucal menor,2014-02-01,105,112,105,112,217
SAN IGNACIO DE VELASCO,atencion odontologica, cirugia bucal menor,2014-02-01,33,32,33,32,65
SAN JAVIER(BNI),atencion odontologica, cirugia bucal menor,2014-02-01,3,5,3,5,8
SAN JAVIER(STC),atencion odontologica, cirugia bucal menor,2014-02-01,4,5,4,5,9
SAN JOAQUIN,atencion odontologica, cirugia bucal menor,2014-02-01,19,21,19,21,40
SAN JOSE DE CHIQUITOS,atencion odontologica, cirugia bucal menor,2014-02-01,35,40,35,40,75
SAN JUAN DE YAPACANI,atencion odontologica, cirugia bucal menor,2014-02-01,16,9,16,9,25
SAN JULIAN,atencion odontologica, cirugia bucal menor,2014-02-01,21,67,21,67,88
SAN LORENZO(PND),atencion odontologica, cirugia bucal menor,2014-02-01,9,6,9,6,15
SAN LORENZO(TJA),atencion odontologica, cirugia bucal menor,2014-02-01,62,189,62,189,251
SAN LUCAS,atencion odontologica, cirugia bucal menor,2014-02-01,36,56,36,56,92
SAN MATIAS,atencion odontologica, cirugia bucal menor,2014-02-01,3,3,3,3,6
SAN MIGUEL DE VELASCO,atencion odontologica, cirugia bucal menor,2014-02-01,20,34,20,34,54
SAN PABLO DE LIPEZ,atencion odontologica, cirugia bucal menor,2014-02-01,1,1,1,1,2
SAN PEDRO,atencion odontologica, cirugia bucal menor,2014-02-01,19,29,19,29,48
SAN PEDRO DE BUENA VISTA,atencion odontologica, cirugia bucal menor,2014-02-01,31,45,31,45,76
SAN PEDRO DE CURAHUARA,atencion odontologica, cirugia bucal menor,2014-02-01,9,18,9,18,27
SAN PEDRO DE QUEMES,atencion odontologica, cirugia bucal menor,2014-02-01,0,2,0,2,2
SAN PEDRO DE TIQUINA,atencion odontologica, cirugia bucal menor,2014-02-01,17,20,17,20,37
SAN RAFAEL,atencion odontologica, cirugia bucal menor,2014-02-01,8,16,8,16,24
SAN RAMON BENI,atencion odontologica, cirugia bucal menor,2014-02-01,17,12,17,12,29
SAN RAMON SCZ,atencion odontologica, cirugia bucal menor,2014-02-01,12,16,12,16,28
SANTA ANA,atencion odontologica, cirugia bucal menor,2014-02-01,16,40,16,40,56
SANTA CRUZ DE LA SIERRA,atencion odontologica, cirugia bucal menor,2014-02-01,778,1090,778,1090,1868
SANTA ROSA,atencion odontologica, cirugia bucal menor,2014-02-01,13,10,13,10,23
SANTA ROSA DEL SARA,atencion odontologica, cirugia bucal menor,2014-02-01,33,48,33,48,81
SANTIAGO DE CALLAPA,atencion odontologica, cirugia bucal menor,2014-02-01,3,9,3,9,12
SANTIAGO DE HUARI,atencion odontologica, cirugia bucal menor,2014-02-01,22,32,22,32,54
SANTIAGO DE HUATA,atencion odontologica, cirugia bucal menor,2014-02-01,22,18,22,18,40
SANTIAGO DE MACHACA,atencion odontologica, cirugia bucal menor,2014-02-01,17,20,17,20,37
SANTIVAÑES,atencion odontologica, cirugia bucal menor,2014-02-01,2,4,2,4,6
SANTUARIO DE QUILLACAS,atencion odontologica, cirugia bucal menor,2014-02-01,3,5,3,5,8
SAPAHAQUI,atencion odontologica, cirugia bucal menor,2014-02-01,36,46,36,46,82
SENA,atencion odontologica, cirugia bucal menor,2014-02-01,14,24,14,24,38
SHINAOTA,atencion odontologica, cirugia bucal menor,2014-02-01,8,20,8,20,28
SICA SICA (VILLA AROMA),atencion odontologica, cirugia bucal menor,2014-02-01,45,68,45,68,113
SICAYA,atencion odontologica, cirugia bucal menor,2014-02-01,6,12,6,12,18
SIPE SIPE,atencion odontologica, cirugia bucal menor,2014-02-01,24,58,24,58,82
SOPACHUY,atencion odontologica, cirugia bucal menor,2014-02-01,8,27,8,27,35
SORACACHI,atencion odontologica, cirugia bucal menor,2014-02-01,24,20,24,20,44
SORATA,atencion odontologica, cirugia bucal menor,2014-02-01,12,26,12,26,38
SUCRE,atencion odontologica, cirugia bucal menor,2014-02-01,266,381,266,381,647
TACACHI,atencion odontologica, cirugia bucal menor,2014-02-01,3,3,3,3,6
TACACOMA,atencion odontologica, cirugia bucal menor,2014-02-01,44,50,44,50,94
TACOBAMBA,atencion odontologica, cirugia bucal menor,2014-02-01,6,18,6,18,24
