,group,variable,month,TOTAL 3.4 CONSULTAS NUEVAS DE 60 AÑOS Y MÁS CANTIDAD,TOTAL 3.4 CONSULTAS NUEVAS DE 60 AÑOS Y MÁS CANTIDAD,TOTALES,TOTALES,TOTALES
VILLA CHARCAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,3,0,3,3
VILLA MONTES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,55,18,55,18,73
VILLA RIVERO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,1,0,1,1
VILLA SERRANO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,3,3,3,3,6
VILLA TUNARI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,29,13,29,13,42
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,6,1,6,1,7
VILLAZON,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,11,8,11,8,19
VINTO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,2,2,2,4
VITICHI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,5,2,5,7
WALDO BALLIVIAN,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,4,2,4,6
WARNES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,11,9,11,9,20
YACO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,7,3,7,3,10
YACUIBA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,32,23,32,23,55
YAMPARAEZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,6,19,6,19,25
YAPACANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,9,4,9,4,13
YOCALLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,16,1,16,1,17
YOTALA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,2,2,2,4
YUNCHARA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,15,16,15,16,31
ZUDAÑEZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,1,1,1,2
ACACIO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,0,3,0,3,3
ACHACACHI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,37,28,37,28,65
ACHOCALLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,7,1,7,1,8
AIQUILE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,6,5,6,5,11
ALALAY,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,0,1,0,1
ALCALA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,0,3,0,3
ALTO BENI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,4,1,4,5
ANCORAIMES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,14,22,14,22,36
ANDAMARCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,11,4,11,4,15
ANTEQUERA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,4,1,4,5
ANZALDO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,11,18,11,18,29
APOLO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,2,2,2,4
ARAMPAMPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,0,2,0,2
ARANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,10,3,10,13
ARBIETO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,16,14,16,14,30
ARQUE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,4,8,4,8,12
ASCENCION DE GUARAYOS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,7,2,7,9
ATOCHA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,16,28,16,28,44
AUCAPATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,6,8,6,8,14
AYATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,5,2,5,2,7
AYO AYO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,14,3,14,17
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,5,12,5,12,17
AZURDUY,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,0,1,0,1
BATALLAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,10,4,10,4,14
BAURES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,0,2,0,2
BELEN DE ANDAMARCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,4,1,4,1,5
BELEN DE URMIRI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,0,1,0,1
BERMEJO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,22,19,22,19,41
BETANZOS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,16,12,16,12,28
BOLPEBRA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,0,1,0,1
BUENA VISTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,1,2,1,3
CABEZAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,4,10,4,10,14
CAIROMA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,7,10,7,10,17
"CAIZA ""D""",atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,6,3,6,9
CAJUATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,1,2,1,3
CALACOTO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,0,2,0,2,2
CALAMARCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,22,29,22,29,51
CAMARGO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,7,12,7,12,19
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,10,1,10,11
CAMIRI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,21,19,21,19,40
CAPINOTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,16,22,16,22,38
CAQUIAVIRI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,5,3,5,3,8
CARACOLLO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,8,19,8,19,27
CARANAVI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,33,19,33,19,52
CARAPARI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,11,13,11,13,24
CARIPUYO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,0,2,0,2
CARMEN RIVERO TORREZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,8,5,8,5,13
CATACORA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,0,2,0,2
CHALLAPATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,21,16,21,16,37
CHAQUI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,4,4,4,4,8
CHARAGUA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,6,7,6,7,13
CHAYANTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,4,6,4,6,10
CHIMORE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,1,1,1,2
CHIPAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,0,2,0,2,2
CHUA COCANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,7,3,7,10
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,4,0,4,0,4
CHUMA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,39,42,39,42,81
CKOCHAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,7,5,7,5,12
CLIZA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,10,47,10,47,57
COBIJA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,16,4,16,4,20
COCAPATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,2,2,2,4
COCHABAMBA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,354,366,354,366,720
COIPASA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,4,8,4,8,12
COLCAPIRHUA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,4,2,4,6
"COLCHA ""K""",atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,0,6,0,6,6
COLLANA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,4,12,4,12,16
COLOMI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,0,5,0,5,5
COLPA BELGICA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,0,1,0,1
COLQUECHACA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,15,14,15,14,29
COLQUENCHA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,0,1,0,1,1
COLQUIRI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,12,8,12,8,20
COMANCHE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,11,2,11,2,13
COMARAPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,7,9,7,9,16
CONCEPCION,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,5,10,5,10,15
COPACABANA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,6,6,6,6,12
CORO CORO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,5,7,5,7,12
CORQUE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,13,9,13,9,22
COTAGAITA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,29,22,29,22,51
CUATRO CAÑADAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,4,19,4,19,23
CUEVO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,4,3,4,3,7
CULPINA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,7,12,7,12,19
CURAHUARA DE CARANGAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,9,12,9,12,21
CURVA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,8,2,8,10
DESAGUADERO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,15,18,15,18,33
EL ALTO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,192,156,192,156,348
EL PUENTE(STC),atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,2,1,2,3
EL PUENTE(TJA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,9,21,9,21,30
EL TORNO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,40,25,40,25,65
EL VILLAR,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,0,1,0,1
ENTRE RIOS TRJ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,18,32,18,32,50
ENTRE RIOS CBBA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,9,9,9,9,18
ESCOMA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,4,4,4,4,8
EUCALIPTUS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,7,5,7,5,12
FERNANDEZ ALONSO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,6,9,6,9,15
GENERAL SAAVEDRA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,13,6,13,6,19
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,17,11,17,11,28
GUANAY,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,4,3,4,3,7
GUAQUI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,29,35,29,35,64
GUAYARAMERIN,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,29,8,29,8,37
GUTIERREZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,8,2,8,10
HUACARETA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,5,4,5,4,9
HUACHACALLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,2,3,2,5
HUANUNI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,6,5,6,5,11
HUARINA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,14,3,14,3,17
HUATAJATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,13,12,13,12,25
HUAYLLAMARCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,16,7,16,7,23
HUMANATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,20,10,20,10,30
ICHOCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,9,5,9,5,14
ICLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,2,2,2,4
INCAHUASI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,4,2,4,2,6
INQUISIVI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,4,4,4,4,8
IRUPANA (VILLA DE LANZA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,10,2,10,12
IXIAMAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,2,2,2,4
JESUS DE MACHACA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,17,11,17,11,28
LA ASUNTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,6,3,6,9
LA GUARDIA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,22,23,22,23,45
LA PAZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,620,580,620,580,1200
LA RIVERA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,2,1,2,3
LAGUNILLAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,0,2,0,2,2
LAJA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,15,9,15,9,24
LAS CARRERAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,5,8,5,8,13
LICOMA PAMPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,9,7,9,7,16
LLALLAGUA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,12,9,12,9,21
LLICA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,7,5,7,5,12
LURIBAY,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,4,5,4,5,9
MACHACAMARCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,4,6,4,6,10
MACHARETI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,0,1,0,1,1
MAGDALENA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,10,3,10,3,13
MAIRANA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,7,5,7,5,12
MALLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,7,0,7,0,7
MAPIRI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,4,3,4,3,7
MECAPACA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,3,2,3,5
MINEROS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,1,2,1,3
MIZQUE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,11,12,11,12,23
MOCOMOCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,14,7,14,7,21
MOJOCOYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,14,11,14,11,25
MONTEAGUDO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,47,30,47,30,77
MONTERO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,39,25,39,25,64
MORO MORO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,3,2,3,5
MOROCHATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,5,9,5,9,14
OCURI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,4,3,4,7
OKINAWA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,0,3,0,3
OMEREQUE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,4,3,4,7
ORURO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,158,141,158,141,299
PADCAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,8,6,8,6,14
PADILLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,7,19,7,19,26
PAILON,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,10,6,10,6,16
PALCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,13,8,13,8,21
PALOS BLANCOS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,13,2,13,15
PAMPA AULLAGAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,3,2,3,5
PAPEL PAMPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,23,19,23,19,42
PASORAPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,0,3,0,3
PATACAMAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,0,4,0,4,4
PAZÑA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,1,2,1,3
POCOATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,10,7,10,7,17
POCONA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,8,11,8,11,19
POOPO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,3,3,3,6
POROMA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,12,3,12,3,15
PORONGO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,0,1,0,1
PORTACHUELO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,5,4,5,4,9
PORVENIR,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,23,9,23,9,32
POSTRER VALLE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,0,2,0,2,2
POTOSI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,103,101,103,101,204
PRESTO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,5,4,5,4,9
PUCARA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,0,2,0,2,2
PUCARANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,36,21,36,21,57
PUERTO ACOSTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,5,11,5,11,16
PUERTO CARABUCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,34,5,34,5,39
PUERTO GONZALO MORENO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,0,3,0,3
PUERTO PEREZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,9,3,9,12
PUERTO QUIJARRO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,0,7,0,7,7
PUERTO RICO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,7,6,7,6,13
PUERTO SUAREZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,0,1,0,1
PUERTO VILLARROEL,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,0,3,0,3
PUNA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,8,11,8,11,19
PUNATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,51,21,51,21,72
QUIABAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,5,11,5,11,16
QUILLACOLLO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,38,47,38,47,85
QUIME,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,13,6,13,6,19
QUIRUSILLAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,0,1,0,1,1
RAVELO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,4,1,4,5
REYES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,58,50,58,50,108
RIBERALTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,8,15,8,15,23
ROBORE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,4,10,4,10,14
RURRENABAQUE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,0,3,0,3
SABAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,10,10,10,10,20
SACABA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,191,254,191,254,445
SACABAMBA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,5,9,5,9,14
SACACA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,1,1,1,2
SALINAS DE GARCI MENDOZA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,8,6,8,6,14
SAMAIPATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,4,5,4,5,9
SAN AGUSTIN,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,0,1,0,1
SAN ANDRES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,1,1,1,1,2
SAN ANDRES DE MACHACA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,10,15,10,15,25
SAN ANTONIO DE LOMERIO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,6,3,6,9
SAN BENITO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,13,32,13,32,45
SAN BUENA VENTURA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,4,3,4,7
SAN CARLOS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,24,12,24,12,36
SAN IGNACIO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,8,2,8,2,10
SAN IGNACIO DE VELASCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,23,18,23,18,41
SAN JAVIER(STC),atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,7,7,7,7,14
SAN JOAQUIN,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,2,1,2,1,3
SAN JOSE DE CHIQUITOS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,1,3,1,4
SAN JUAN DE YAPACANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,4,0,4,0,4
SAN JULIAN,atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,16,16,16,16,32
SAN LORENZO(PND),atencion odontologica, consultas nuevas de 60 anos y mas,2014-02-01,3,4,3,4,7
