,group,variable,month,TOTAL 310 ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTAL 310 ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
VINTO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,56,86,56,86,142
VITICHI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,1,4,1,4,5
WALDO BALLIVIAN,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,1,1,1,1,2
WARNES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,24,51,24,51,75
YACO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,0,3,0,3,3
YACUIBA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,55,107,55,107,162
YAMPARAEZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,45,57,45,57,102
YAPACANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,71,92,71,92,163
YOCALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,10,7,10,7,17
YOTALA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,11,9,11,9,20
YUNCHARA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,32,55,32,55,87
ZUDAÑEZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,3,0,3,0,3
ACACIO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,20,47,20,47,67
ACHACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,14,42,14,42,56
ACHOCALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,37,38,37,38,75
AIQUILE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,76,63,76,63,139
ALALAY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,0,2,0,2,2
ALCALA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,1,0,1,0,1
ALTO BENI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,9,8,9,8,17
ANCORAIMES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,8,9,8,9,17
ANDAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,4,20,4,20,24
ANTEQUERA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,1,0,1,0,1
ANZALDO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,78,70,78,70,148
APOLO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,8,24,8,24,32
ARAMPAMPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,63,58,63,58,121
ARANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,44,98,44,98,142
ARBIETO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,38,70,38,70,108
ARQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,30,11,30,11,41
ASCENCION DE GUARAYOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,44,48,44,48,92
ATOCHA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,80,127,80,127,207
AUCAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,7,8,7,8,15
AYATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,10,7,10,7,17
AYO AYO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,165,221,165,221,386
AZURDUY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,5,6,5,6,11
BATALLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,3,6,3,6,9
BAURES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,31,7,31,7,38
BELEN DE ANDAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,9,3,9,3,12
BELEN DE URMIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,0,1,0,1,1
BERMEJO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,200,285,200,285,485
BETANZOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,23,16,23,16,39
BOLIVAR,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,1,1,1,1,2
BOLPEBRA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,2,2,2,2,4
BUENA VISTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,9,2,9,2,11
CABEZAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,92,102,92,102,194
CAIROMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,32,38,32,38,70
"CAIZA ""D""",atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,1,7,1,7,8
CAJUATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,15,18,15,18,33
CALACOTO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,3,0,3,0,3
CALAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,68,66,68,66,134
CAMARGO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,12,22,12,22,34
CAMIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,73,63,73,63,136
CAPINOTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,265,293,265,293,558
CAQUIAVIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,22,19,22,19,41
CARACOLLO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,15,32,15,32,47
CARANAVI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,69,47,69,47,116
CARAPARI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,15,15,15,15,30
CARIPUYO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,4,8,4,8,12
CATACORA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,0,1,0,1,1
CHALLAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,183,167,183,167,350
CHARAGUA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,72,85,72,85,157
CHARAÑA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,19,12,19,12,31
CHAYANTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,18,11,18,11,29
CHIMORE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,27,47,27,47,74
CHIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,7,27,7,27,34
CHOQUE COTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,10,4,10,4,14
CHUA COCANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,6,7,6,7,13
CHUMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,23,27,23,27,50
CKOCHAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,1,1,1,1,2
CLIZA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,36,73,36,73,109
COBIJA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,138,191,138,191,329
COCAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,16,31,16,31,47
COCHABAMBA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,3277,4897,3277,4897,8174
COIPASA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,22,15,22,15,37
COLCAPIRHUA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,71,95,71,95,166
"COLCHA ""K""",atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,2,3,2,3,5
COLLANA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,10,13,10,13,23
COLOMI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,27,32,27,32,59
COLPA BELGICA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,227,270,227,270,497
COLQUECHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,39,31,39,31,70
COLQUENCHA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,5,5,5,5,10
COLQUIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,7,13,7,13,20
COMANCHE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,0,4,0,4,4
COMARAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,43,64,43,64,107
CONCEPCION,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,19,31,19,31,50
COPACABANA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,6,7,6,7,13
CORIPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,12,12,12,12,24
CORO CORO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,6,4,6,4,10
CORQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,4,0,4,0,4
COTAGAITA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,22,44,22,44,66
COTOCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,15,70,15,70,85
CUATRO CAÑADAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,41,129,41,129,170
CUEVO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,2,10,2,10,12
CULPINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,28,17,28,17,45
CURAHUARA DE CARANGAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,3,5,3,5,8
CURVA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,7,28,7,28,35
DESAGUADERO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,15,15,15,15,30
EL ALTO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,1545,1972,1545,1972,3517
EL CHORO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,14,28,14,28,42
EL PUENTE(STC),atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,12,20,12,20,32
EL PUENTE(TJA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,6,16,6,16,22
EL TORNO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,72,116,72,116,188
EL VILLAR,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,14,17,14,17,31
ENTRE RIOS TRJ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,118,116,118,116,234
ENTRE RIOS CBBA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,118,168,118,168,286
ESCOMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,2,6,2,6,8
EUCALIPTUS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,8,33,8,33,41
FERNANDEZ ALONSO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,24,29,24,29,53
FILADELFIA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,6,7,6,7,13
GENERAL SAAVEDRA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,6,15,6,15,21
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,42,56,42,56,98
GUANAY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,14,32,14,32,46
GUAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,29,47,29,47,76
GUAYARAMERIN,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,234,363,234,363,597
GUTIERREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,14,10,14,10,24
HUACARETA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,1,1,1,1,2
HUACAYA (VILLA DE HUACAYA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,13,18,13,18,31
HUACHACALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,2,3,2,3,5
HUANUNI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,114,111,114,111,225
HUARINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,3,2,3,2,5
HUATAJATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,23,44,23,44,67
HUAYLLAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,24,21,24,21,45
HUMANATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,7,3,7,3,10
ICHOCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,6,11,6,11,17
ICLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,67,45,67,45,112
INCAHUASI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,31,32,31,32,63
INQUISIVI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,7,8,7,8,15
IXIAMAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,12,8,12,8,20
JESUS DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,8,22,8,22,30
LA GUARDIA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,99,120,99,120,219
LA PAZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,5955,2248,5955,2248,8203
LA RIVERA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,0,1,0,1,1
LAGUNILLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,4,2,4,2,6
LAS CARRERAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,5,6,5,6,11
LICOMA PAMPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,3,11,3,11,14
LLALLAGUA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,84,78,84,78,162
LLICA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,6,9,6,9,15
LURIBAY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,4,0,4,0,4
MACHACAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,12,4,12,4,16
MACHARETI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,4,4,4,4,8
MAGDALENA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,6,7,6,7,13
MAIRANA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,13,15,13,15,28
MALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,3,3,3,3,6
MAPIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,23,15,23,15,38
MECAPACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,20,17,20,17,37
MINEROS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,8,24,8,24,32
MIZQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,37,28,37,28,65
MOCOMOCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,5,18,5,18,23
MOJOCOYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,3,13,3,13,16
MONTEAGUDO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,41,97,41,97,138
MONTERO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,301,316,301,316,617
MORO MORO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,9,13,9,13,22
MOROCHATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,75,118,75,118,193
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,6,6,6,6,12
OCURI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,3,2,3,2,5
OKINAWA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-02-01,3,4,3,4,7
