,group,variable,month,TOTAL 3.1 PRIMERA CONSULTA CANTIDAD,TOTAL 3.1 PRIMERA CONSULTA CANTIDAD,TOTALES,TOTALES,TOTALES
CAMARGO,atencion odontologica, primera consulta,2014-02-01,67,78,67,78,145
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, primera consulta,2014-02-01,15,29,15,29,44
CAMIRI,atencion odontologica, primera consulta,2014-02-01,120,150,120,150,270
CAPINOTA,atencion odontologica, primera consulta,2014-02-01,42,94,42,94,136
CAQUIAVIRI,atencion odontologica, primera consulta,2014-02-01,36,48,36,48,84
CARACOLLO,atencion odontologica, primera consulta,2014-02-01,29,59,29,59,88
CARANAVI,atencion odontologica, primera consulta,2014-02-01,120,113,120,113,233
CARAPARI,atencion odontologica, primera consulta,2014-02-01,119,165,119,165,284
CARIPUYO,atencion odontologica, primera consulta,2014-02-01,26,26,26,26,52
CARMEN RIVERO TORREZ,atencion odontologica, primera consulta,2014-02-01,39,34,39,34,73
CATACORA,atencion odontologica, primera consulta,2014-02-01,7,6,7,6,13
CHALLAPATA,atencion odontologica, primera consulta,2014-02-01,188,235,188,235,423
CHAQUI,atencion odontologica, primera consulta,2014-02-01,27,16,27,16,43
CHARAGUA,atencion odontologica, primera consulta,2014-02-01,199,272,199,272,471
CHARAÑA,atencion odontologica, primera consulta,2014-02-01,8,6,8,6,14
CHAYANTA,atencion odontologica, primera consulta,2014-02-01,38,68,38,68,106
CHIMORE,atencion odontologica, primera consulta,2014-02-01,67,92,67,92,159
CHIPAYA,atencion odontologica, primera consulta,2014-02-01,16,28,16,28,44
CHOQUE COTA,atencion odontologica, primera consulta,2014-02-01,13,12,13,12,25
CHUA COCANI,atencion odontologica, primera consulta,2014-02-01,3,2,3,2,5
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, primera consulta,2014-02-01,26,48,26,48,74
CHUMA,atencion odontologica, primera consulta,2014-02-01,112,149,112,149,261
CKOCHAS,atencion odontologica, primera consulta,2014-02-01,27,23,27,23,50
CLIZA,atencion odontologica, primera consulta,2014-02-01,47,83,47,83,130
COBIJA,atencion odontologica, primera consulta,2014-02-01,391,444,391,444,835
COCAPATA,atencion odontologica, primera consulta,2014-02-01,50,107,50,107,157
COCHABAMBA,atencion odontologica, primera consulta,2014-02-01,1729,2439,1729,2439,4168
COIPASA,atencion odontologica, primera consulta,2014-02-01,13,10,13,10,23
COLCAPIRHUA,atencion odontologica, primera consulta,2014-02-01,52,83,52,83,135
"COLCHA ""K""",atencion odontologica, primera consulta,2014-02-01,24,43,24,43,67
COLLANA,atencion odontologica, primera consulta,2014-02-01,24,28,24,28,52
COLOMI,atencion odontologica, primera consulta,2014-02-01,54,76,54,76,130
COLPA BELGICA,atencion odontologica, primera consulta,2014-02-01,26,40,26,40,66
COLQUECHACA,atencion odontologica, primera consulta,2014-02-01,76,91,76,91,167
COLQUENCHA,atencion odontologica, primera consulta,2014-02-01,4,14,4,14,18
COLQUIRI,atencion odontologica, primera consulta,2014-02-01,88,131,88,131,219
COMANCHE,atencion odontologica, primera consulta,2014-02-01,9,16,9,16,25
COMARAPA,atencion odontologica, primera consulta,2014-02-01,66,104,66,104,170
CONCEPCION,atencion odontologica, primera consulta,2014-02-01,137,168,137,168,305
COPACABANA,atencion odontologica, primera consulta,2014-02-01,71,79,71,79,150
CORIPATA,atencion odontologica, primera consulta,2014-02-01,35,46,35,46,81
CORO CORO,atencion odontologica, primera consulta,2014-02-01,25,23,25,23,48
CORQUE,atencion odontologica, primera consulta,2014-02-01,23,30,23,30,53
COTAGAITA,atencion odontologica, primera consulta,2014-02-01,170,238,170,238,408
COTOCA,atencion odontologica, primera consulta,2014-02-01,69,144,69,144,213
CUATRO CAÑADAS,atencion odontologica, primera consulta,2014-02-01,107,211,107,211,318
CUEVO,atencion odontologica, primera consulta,2014-02-01,24,48,24,48,72
CULPINA,atencion odontologica, primera consulta,2014-02-01,57,95,57,95,152
CURAHUARA DE CARANGAS,atencion odontologica, primera consulta,2014-02-01,43,67,43,67,110
CURVA,atencion odontologica, primera consulta,2014-02-01,16,33,16,33,49
DESAGUADERO,atencion odontologica, primera consulta,2014-02-01,69,104,69,104,173
EL ALTO,atencion odontologica, primera consulta,2014-02-01,3079,4205,3079,4205,7284
EL CHORO,atencion odontologica, primera consulta,2014-02-01,12,14,12,14,26
EL PUENTE(STC),atencion odontologica, primera consulta,2014-02-01,96,97,96,97,193
EL PUENTE(TJA),atencion odontologica, primera consulta,2014-02-01,111,173,111,173,284
EL TORNO,atencion odontologica, primera consulta,2014-02-01,271,318,271,318,589
EL VILLAR,atencion odontologica, primera consulta,2014-02-01,47,56,47,56,103
ENTRE RIOS TRJ,atencion odontologica, primera consulta,2014-02-01,224,340,224,340,564
ENTRE RIOS CBBA,atencion odontologica, primera consulta,2014-02-01,41,94,41,94,135
ESCOMA,atencion odontologica, primera consulta,2014-02-01,14,21,14,21,35
EUCALIPTUS,atencion odontologica, primera consulta,2014-02-01,28,39,28,39,67
FERNANDEZ ALONSO,atencion odontologica, primera consulta,2014-02-01,59,71,59,71,130
FILADELFIA,atencion odontologica, primera consulta,2014-02-01,20,29,20,29,49
GENERAL SAAVEDRA,atencion odontologica, primera consulta,2014-02-01,29,47,29,47,76
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, primera consulta,2014-02-01,74,103,74,103,177
GUANAY,atencion odontologica, primera consulta,2014-02-01,44,76,44,76,120
GUAQUI,atencion odontologica, primera consulta,2014-02-01,82,106,82,106,188
GUAYARAMERIN,atencion odontologica, primera consulta,2014-02-01,305,491,305,491,796
GUTIERREZ,atencion odontologica, primera consulta,2014-02-01,82,132,82,132,214
HUACARETA,atencion odontologica, primera consulta,2014-02-01,32,54,32,54,86
HUACAYA (VILLA DE HUACAYA),atencion odontologica, primera consulta,2014-02-01,25,47,25,47,72
HUACHACALLA,atencion odontologica, primera consulta,2014-02-01,27,18,27,18,45
HUANUNI,atencion odontologica, primera consulta,2014-02-01,103,108,103,108,211
HUARACAJE,atencion odontologica, primera consulta,2014-02-01,10,29,10,29,39
HUATAJATA,atencion odontologica, primera consulta,2014-02-01,44,73,44,73,117
HUAYLLAMARCA,atencion odontologica, primera consulta,2014-02-01,53,61,53,61,114
HUMANATA,atencion odontologica, primera consulta,2014-02-01,74,16,74,16,90
ICHOCA,atencion odontologica, primera consulta,2014-02-01,27,40,27,40,67
ICLA,atencion odontologica, primera consulta,2014-02-01,67,78,67,78,145
INCAHUASI,atencion odontologica, primera consulta,2014-02-01,37,36,37,36,73
INQUISIVI,atencion odontologica, primera consulta,2014-02-01,54,64,54,64,118
IRUPANA (VILLA DE LANZA),atencion odontologica, primera consulta,2014-02-01,74,136,74,136,210
IXIAMAS,atencion odontologica, primera consulta,2014-02-01,69,69,69,69,138
JESUS DE MACHACA,atencion odontologica, primera consulta,2014-02-01,54,95,54,95,149
LA ASUNTA,atencion odontologica, primera consulta,2014-02-01,147,186,147,186,333
LA GUARDIA,atencion odontologica, primera consulta,2014-02-01,140,191,140,191,331
LA PAZ,atencion odontologica, primera consulta,2014-02-01,3471,4517,3471,4517,7988
LA RIVERA,atencion odontologica, primera consulta,2014-02-01,3,8,3,8,11
LAGUNILLAS,atencion odontologica, primera consulta,2014-02-01,10,21,10,21,31
LAJA,atencion odontologica, primera consulta,2014-02-01,54,77,54,77,131
LAS CARRERAS,atencion odontologica, primera consulta,2014-02-01,20,27,20,27,47
LICOMA PAMPA,atencion odontologica, primera consulta,2014-02-01,55,60,55,60,115
LLALLAGUA,atencion odontologica, primera consulta,2014-02-01,85,132,85,132,217
LLICA,atencion odontologica, primera consulta,2014-02-01,30,45,30,45,75
LURIBAY,atencion odontologica, primera consulta,2014-02-01,24,40,24,40,64
MACHACAMARCA,atencion odontologica, primera consulta,2014-02-01,29,30,29,30,59
MACHARETI,atencion odontologica, primera consulta,2014-02-01,16,16,16,16,32
MAGDALENA,atencion odontologica, primera consulta,2014-02-01,43,65,43,65,108
MAIRANA,atencion odontologica, primera consulta,2014-02-01,41,41,41,41,82
MALLA,atencion odontologica, primera consulta,2014-02-01,4,5,4,5,9
MAPIRI,atencion odontologica, primera consulta,2014-02-01,72,85,72,85,157
MECAPACA,atencion odontologica, primera consulta,2014-02-01,33,27,33,27,60
MINEROS,atencion odontologica, primera consulta,2014-02-01,25,56,25,56,81
MIZQUE,atencion odontologica, primera consulta,2014-02-01,61,82,61,82,143
MOCOMOCO,atencion odontologica, primera consulta,2014-02-01,52,87,52,87,139
MOJOCOYA,atencion odontologica, primera consulta,2014-02-01,56,97,56,97,153
MONTEAGUDO,atencion odontologica, primera consulta,2014-02-01,112,210,112,210,322
MONTERO,atencion odontologica, primera consulta,2014-02-01,353,480,353,480,833
MORO MORO,atencion odontologica, primera consulta,2014-02-01,29,45,29,45,74
MOROCHATA,atencion odontologica, primera consulta,2014-02-01,47,60,47,60,107
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica, primera consulta,2014-02-01,12,0,12,0,12
OCURI,atencion odontologica, primera consulta,2014-02-01,38,81,38,81,119
OKINAWA,atencion odontologica, primera consulta,2014-02-01,13,22,13,22,35
OMEREQUE,atencion odontologica, primera consulta,2014-02-01,21,46,21,46,67
ORURO,atencion odontologica, primera consulta,2014-02-01,837,1165,837,1165,2002
PADCAYA,atencion odontologica, primera consulta,2014-02-01,189,243,189,243,432
PADILLA,atencion odontologica, primera consulta,2014-02-01,80,156,80,156,236
PAILON,atencion odontologica, primera consulta,2014-02-01,56,71,56,71,127
PALCA,atencion odontologica, primera consulta,2014-02-01,85,104,85,104,189
PALOS BLANCOS,atencion odontologica, primera consulta,2014-02-01,74,131,74,131,205
PAMPA AULLAGAS,atencion odontologica, primera consulta,2014-02-01,14,24,14,24,38
PAMPA GRANDE,atencion odontologica, primera consulta,2014-02-01,32,42,32,42,74
PAPEL PAMPA,atencion odontologica, primera consulta,2014-02-01,44,39,44,39,83
PASORAPA,atencion odontologica, primera consulta,2014-02-01,27,30,27,30,57
PATACAMAYA,atencion odontologica, primera consulta,2014-02-01,79,113,79,113,192
PAZÑA,atencion odontologica, primera consulta,2014-02-01,5,12,5,12,17
PELECHUCO,atencion odontologica, primera consulta,2014-02-01,29,42,29,42,71
POCOATA,atencion odontologica, primera consulta,2014-02-01,32,45,32,45,77
POCONA,atencion odontologica, primera consulta,2014-02-01,99,150,99,150,249
POJO (CBBA),atencion odontologica, primera consulta,2014-02-01,53,95,53,95,148
POOPO,atencion odontologica, primera consulta,2014-02-01,18,25,18,25,43
PORCO,atencion odontologica, primera consulta,2014-02-01,19,20,19,20,39
POROMA,atencion odontologica, primera consulta,2014-02-01,35,42,35,42,77
PORONGO,atencion odontologica, primera consulta,2014-02-01,209,191,209,191,400
PORTACHUELO,atencion odontologica, primera consulta,2014-02-01,50,98,50,98,148
PORVENIR,atencion odontologica, primera consulta,2014-02-01,232,248,232,248,480
POSTRER VALLE,atencion odontologica, primera consulta,2014-02-01,14,28,14,28,42
POTOSI,atencion odontologica, primera consulta,2014-02-01,603,1107,603,1107,1710
PRESTO,atencion odontologica, primera consulta,2014-02-01,38,51,38,51,89
PUCARA,atencion odontologica, primera consulta,2014-02-01,31,30,31,30,61
PUCARANI,atencion odontologica, primera consulta,2014-02-01,117,171,117,171,288
PUERTO ACOSTA,atencion odontologica, primera consulta,2014-02-01,2,1,2,1,3
PUERTO CARABUCO,atencion odontologica, primera consulta,2014-02-01,227,164,227,164,391
PUERTO GONZALO MORENO,atencion odontologica, primera consulta,2014-02-01,49,58,49,58,107
PUERTO PEREZ,atencion odontologica, primera consulta,2014-02-01,26,41,26,41,67
PUERTO QUIJARRO,atencion odontologica, primera consulta,2014-02-01,120,99,120,99,219
PUERTO RICO,atencion odontologica, primera consulta,2014-02-01,144,217,144,217,361
PUERTO SUAREZ,atencion odontologica, primera consulta,2014-02-01,7,20,7,20,27
PUERTO VILLARROEL,atencion odontologica, primera consulta,2014-02-01,84,139,84,139,223
PUNA,atencion odontologica, primera consulta,2014-02-01,72,117,72,117,189
PUNATA,atencion odontologica, primera consulta,2014-02-01,53,70,53,70,123
QUIABAYA,atencion odontologica, primera consulta,2014-02-01,34,38,34,38,72
QUILLACOLLO,atencion odontologica, primera consulta,2014-02-01,158,276,158,276,434
QUIME,atencion odontologica, primera consulta,2014-02-01,62,75,62,75,137
QUIRUSILLAS,atencion odontologica, primera consulta,2014-02-01,12,21,12,21,33
RAVELO,atencion odontologica, primera consulta,2014-02-01,77,107,77,107,184
REYES,atencion odontologica, primera consulta,2014-02-01,22,22,22,22,44
RIBERALTA,atencion odontologica, primera consulta,2014-02-01,446,903,446,903,1349
ROBORE,atencion odontologica, primera consulta,2014-02-01,90,119,90,119,209
RURRENABAQUE,atencion odontologica, primera consulta,2014-02-01,85,120,85,120,205
SABAYA,atencion odontologica, primera consulta,2014-02-01,41,50,41,50,91
SACABA,atencion odontologica, primera consulta,2014-02-01,266,500,266,500,766
SACABAMBA,atencion odontologica, primera consulta,2014-02-01,10,16,10,16,26
SACACA,atencion odontologica, primera consulta,2014-02-01,41,77,41,77,118
SALINAS DE GARCI MENDOZA,atencion odontologica, primera consulta,2014-02-01,65,63,65,63,128
SAMAIPATA,atencion odontologica, primera consulta,2014-02-01,22,50,22,50,72
SAN AGUSTIN,atencion odontologica, primera consulta,2014-02-01,3,3,3,3,6
SAN ANDRES,atencion odontologica, primera consulta,2014-02-01,49,54,49,54,103
SAN ANDRES DE MACHACA,atencion odontologica, primera consulta,2014-02-01,32,37,32,37,69
SAN ANTONIO DE ESMORUCO,atencion odontologica, primera consulta,2014-02-01,5,11,5,11,16
SAN ANTONIO DE LOMERIO,atencion odontologica, primera consulta,2014-02-01,77,88,77,88,165
SAN BENITO,atencion odontologica, primera consulta,2014-02-01,23,27,23,27,50
SAN BORJA,atencion odontologica, primera consulta,2014-02-01,24,41,24,41,65
SAN BUENA VENTURA,atencion odontologica, primera consulta,2014-02-01,80,106,80,106,186
SAN CARLOS,atencion odontologica, primera consulta,2014-02-01,90,133,90,133,223
SAN IGNACIO,atencion odontologica, primera consulta,2014-02-01,332,451,332,451,783
SAN IGNACIO DE VELASCO,atencion odontologica, primera consulta,2014-02-01,117,140,117,140,257
SAN JAVIER(STC),atencion odontologica, primera consulta,2014-02-01,115,133,115,133,248
SAN JOAQUIN,atencion odontologica, primera consulta,2014-02-01,18,12,18,12,30
SAN JOSE DE CHIQUITOS,atencion odontologica, primera consulta,2014-02-01,174,214,174,214,388
SAN JUAN DE YAPACANI,atencion odontologica, primera consulta,2014-02-01,18,35,18,35,53
SAN JULIAN,atencion odontologica, primera consulta,2014-02-01,309,1519,309,1519,1828
SAN LORENZO(PND),atencion odontologica, primera consulta,2014-02-01,20,30,20,30,50
SAN LORENZO(TJA),atencion odontologica, primera consulta,2014-02-01,149,439,149,439,588
SAN LUCAS,atencion odontologica, primera consulta,2014-02-01,81,148,81,148,229
SAN MATIAS,atencion odontologica, primera consulta,2014-02-01,27,31,27,31,58
SAN MIGUEL DE VELASCO,atencion odontologica, primera consulta,2014-02-01,45,68,45,68,113
SAN PABLO DE LIPEZ,atencion odontologica, primera consulta,2014-02-01,43,33,43,33,76
SAN PEDRO,atencion odontologica, primera consulta,2014-02-01,86,121,86,121,207
SAN PEDRO DE BUENA VISTA,atencion odontologica, primera consulta,2014-02-01,59,87,59,87,146
SAN PEDRO DE CURAHUARA,atencion odontologica, primera consulta,2014-02-01,23,30,23,30,53
SAN PEDRO DE QUEMES,atencion odontologica, primera consulta,2014-02-01,9,15,9,15,24
SAN PEDRO DE TIQUINA,atencion odontologica, primera consulta,2014-02-01,21,20,21,20,41
SAN RAFAEL,atencion odontologica, primera consulta,2014-02-01,10,25,10,25,35
SAN RAMON BENI,atencion odontologica, primera consulta,2014-02-01,126,105,126,105,231
SAN RAMON SCZ,atencion odontologica, primera consulta,2014-02-01,145,162,145,162,307
SANTA ANA,atencion odontologica, primera consulta,2014-02-01,89,113,89,113,202
SANTA CRUZ DE LA SIERRA,atencion odontologica, primera consulta,2014-02-01,4903,6409,4903,6409,11312
SANTA ROSA,atencion odontologica, primera consulta,2014-02-01,11,12,11,12,23
SANTA ROSA DEL SARA,atencion odontologica, primera consulta,2014-02-01,150,259,150,259,409
SANTIAGO DE CALLAPA,atencion odontologica, primera consulta,2014-02-01,4,9,4,9,13
SANTIAGO DE HUARI,atencion odontologica, primera consulta,2014-02-01,64,84,64,84,148
SANTIAGO DE HUATA,atencion odontologica, primera consulta,2014-02-01,33,39,33,39,72
SANTIAGO DE MACHACA,atencion odontologica, primera consulta,2014-02-01,38,70,38,70,108
SANTIVAÑES,atencion odontologica, primera consulta,2014-02-01,18,35,18,35,53
SANTUARIO DE QUILLACAS,atencion odontologica, primera consulta,2014-02-01,22,27,22,27,49
SAPAHAQUI,atencion odontologica, primera consulta,2014-02-01,65,81,65,81,146
SENA,atencion odontologica, primera consulta,2014-02-01,30,41,30,41,71
SHINAOTA,atencion odontologica, primera consulta,2014-02-01,24,34,24,34,58
SICA SICA (VILLA AROMA),atencion odontologica, primera consulta,2014-02-01,77,97,77,97,174
SICAYA,atencion odontologica, primera consulta,2014-02-01,30,55,30,55,85
SIPE SIPE,atencion odontologica, primera consulta,2014-02-01,61,158,61,158,219
SOPACHUY,atencion odontologica, primera consulta,2014-02-01,55,95,55,95,150
SORACACHI,atencion odontologica, primera consulta,2014-02-01,50,33,50,33,83
SORATA,atencion odontologica, primera consulta,2014-02-01,23,38,23,38,61
SUCRE,atencion odontologica, primera consulta,2014-02-01,1734,2727,1734,2727,4461
TACACHI,atencion odontologica, primera consulta,2014-02-01,1,6,1,6,7
TACACOMA,atencion odontologica, primera consulta,2014-02-01,43,68,43,68,111
TACOBAMBA,atencion odontologica, primera consulta,2014-02-01,8,23,8,23,31
TACOPAYA,atencion odontologica, primera consulta,2014-02-01,25,53,25,53,78
TAPACARI,atencion odontologica, primera consulta,2014-02-01,86,110,86,110,196
TARABUCO,atencion odontologica, primera consulta,2014-02-01,62,107,62,107,169
TARACO,atencion odontologica, primera consulta,2014-02-01,44,43,44,43,87
TARATA,atencion odontologica, primera consulta,2014-02-01,51,80,51,80,131
TARIJA,atencion odontologica, primera consulta,2014-02-01,1310,1971,1310,1971,3281
TARVITA,atencion odontologica, primera consulta,2014-02-01,111,188,111,188,299
TEOPONTE,atencion odontologica, primera consulta,2014-02-01,55,86,55,86,141
