,group,variable,month,TOTAL 312 OTRAS ACCIONES CANTIDAD,TOTAL 312 OTRAS ACCIONES CANTIDAD,TOTALES,TOTALES,TOTALES
ATOCHA,atencion odontologica,otras acciones,2014-02-01,175.0,241.0,175.0,241.0,416.0
AYATA,atencion odontologica,otras acciones,2014-02-01,3.0,16.0,3.0,16.0,19.0
AYO AYO,atencion odontologica,otras acciones,2014-02-01,18.0,46.0,18.0,46.0,64.0
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,otras acciones,2014-02-01,44.0,52.0,44.0,52.0,96.0
AZURDUY,atencion odontologica,otras acciones,2014-02-01,19.0,46.0,19.0,46.0,65.0
BAURES,atencion odontologica,otras acciones,2014-02-01,22.0,3.0,22.0,3.0,25.0
BELEN DE ANDAMARCA,atencion odontologica,otras acciones,2014-02-01,4.0,6.0,4.0,6.0,10.0
BELEN DE URMIRI,atencion odontologica,otras acciones,2014-02-01,6.0,7.0,6.0,7.0,13.0
BERMEJO,atencion odontologica,otras acciones,2014-02-01,242.0,330.0,242.0,330.0,572.0
BETANZOS,atencion odontologica,otras acciones,2014-02-01,52.0,83.0,52.0,83.0,135.0
BOLIVAR,atencion odontologica,otras acciones,2014-02-01,2.0,7.0,2.0,7.0,9.0
BUENA VISTA,atencion odontologica,otras acciones,2014-02-01,20.0,18.0,20.0,18.0,38.0
CABEZAS,atencion odontologica,otras acciones,2014-02-01,31.0,75.0,31.0,75.0,106.0
CAIROMA,atencion odontologica,otras acciones,2014-02-01,5.0,9.0,5.0,9.0,14.0
"CAIZA ""D""",atencion odontologica,otras acciones,2014-02-01,23.0,46.0,23.0,46.0,69.0
CAJUATA,atencion odontologica,otras acciones,2014-02-01,13.0,21.0,13.0,21.0,34.0
CALACOTO,atencion odontologica,otras acciones,2014-02-01,3.0,0.0,3.0,0.0,3.0
CALAMARCA,atencion odontologica,otras acciones,2014-02-01,90.0,115.0,90.0,115.0,205.0
CAMARGO,atencion odontologica,otras acciones,2014-02-01,109.0,207.0,109.0,207.0,316.0
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,otras acciones,2014-02-01,15.0,25.0,15.0,25.0,40.0
CAMIRI,atencion odontologica,otras acciones,2014-02-01,87.0,144.0,87.0,144.0,231.0
CAPINOTA,atencion odontologica,otras acciones,2014-02-01,18.0,37.0,18.0,37.0,55.0
CAQUIAVIRI,atencion odontologica,otras acciones,2014-02-01,13.0,21.0,13.0,21.0,34.0
CARACOLLO,atencion odontologica,otras acciones,2014-02-01,91.0,150.0,91.0,150.0,241.0
CARANAVI,atencion odontologica,otras acciones,2014-02-01,51.0,54.0,51.0,54.0,105.0
CARAPARI,atencion odontologica,otras acciones,2014-02-01,51.0,52.0,51.0,52.0,103.0
CARIPUYO,atencion odontologica,otras acciones,2014-02-01,8.0,6.0,8.0,6.0,14.0
CHALLAPATA,atencion odontologica,otras acciones,2014-02-01,91.0,134.0,91.0,134.0,225.0
CHAQUI,atencion odontologica,otras acciones,2014-02-01,28.0,20.0,28.0,20.0,48.0
CHARAGUA,atencion odontologica,otras acciones,2014-02-01,9.0,27.0,9.0,27.0,36.0
CHARAÑA,atencion odontologica,otras acciones,2014-02-01,0.0,1.0,0.0,1.0,1.0
CHAYANTA,atencion odontologica,otras acciones,2014-02-01,24.0,70.0,24.0,70.0,94.0
CHIMORE,atencion odontologica,otras acciones,2014-02-01,30.0,30.0,30.0,30.0,60.0
CHIPAYA,atencion odontologica,otras acciones,2014-02-01,6.0,14.0,6.0,14.0,20.0
CHOQUE COTA,atencion odontologica,otras acciones,2014-02-01,19.0,9.0,19.0,9.0,28.0
CHUA COCANI,atencion odontologica,otras acciones,2014-02-01,10.0,20.0,10.0,20.0,30.0
CHUMA,atencion odontologica,otras acciones,2014-02-01,28.0,40.0,28.0,40.0,68.0
CKOCHAS,atencion odontologica,otras acciones,2014-02-01,13.0,13.0,13.0,13.0,26.0
CLIZA,atencion odontologica,otras acciones,2014-02-01,45.0,79.0,45.0,79.0,124.0
COBIJA,atencion odontologica,otras acciones,2014-02-01,161.0,205.0,161.0,205.0,366.0
COCAPATA,atencion odontologica,otras acciones,2014-02-01,7.0,16.0,7.0,16.0,23.0
COCHABAMBA,atencion odontologica,otras acciones,2014-02-01,2064.0,2515.0,2064.0,2515.0,4579.0
COIPASA,atencion odontologica,otras acciones,2014-02-01,2.0,2.0,2.0,2.0,4.0
COLCAPIRHUA,atencion odontologica,otras acciones,2014-02-01,54.0,121.0,54.0,121.0,175.0
"COLCHA ""K""",atencion odontologica,otras acciones,2014-02-01,23.0,50.0,23.0,50.0,73.0
COLLANA,atencion odontologica,otras acciones,2014-02-01,16.0,28.0,16.0,28.0,44.0
COLOMI,atencion odontologica,otras acciones,2014-02-01,13.0,14.0,13.0,14.0,27.0
COLQUECHACA,atencion odontologica,otras acciones,2014-02-01,38.0,64.0,38.0,64.0,102.0
COLQUIRI,atencion odontologica,otras acciones,2014-02-01,52.0,142.0,52.0,142.0,194.0
COMANCHE,atencion odontologica,otras acciones,2014-02-01,7.0,16.0,7.0,16.0,23.0
COMARAPA,atencion odontologica,otras acciones,2014-02-01,10.0,5.0,10.0,5.0,15.0
COPACABANA,atencion odontologica,otras acciones,2014-02-01,34.0,27.0,34.0,27.0,61.0
CORO CORO,atencion odontologica,otras acciones,2014-02-01,4.0,4.0,4.0,4.0,8.0
CORQUE,atencion odontologica,otras acciones,2014-02-01,9.0,15.0,9.0,15.0,24.0
COTAGAITA,atencion odontologica,otras acciones,2014-02-01,83.0,137.0,83.0,137.0,220.0
CUATRO CAÑADAS,atencion odontologica,otras acciones,2014-02-01,22.0,86.0,22.0,86.0,108.0
CUEVO,atencion odontologica,otras acciones,2014-02-01,39.0,55.0,39.0,55.0,94.0
CULPINA,atencion odontologica,otras acciones,2014-02-01,16.0,24.0,16.0,24.0,40.0
CURAHUARA DE CARANGAS,atencion odontologica,otras acciones,2014-02-01,54.0,51.0,54.0,51.0,105.0
DESAGUADERO,atencion odontologica,otras acciones,2014-02-01,4.0,10.0,4.0,10.0,14.0
EL ALTO,atencion odontologica,otras acciones,2014-02-01,1307.0,1712.0,1307.0,1712.0,3019.0
EL CHORO,atencion odontologica,otras acciones,2014-02-01,8.0,10.0,8.0,10.0,18.0
EL PUENTE(STC),atencion odontologica,otras acciones,2014-02-01,6.0,30.0,6.0,30.0,36.0
EL PUENTE(TJA),atencion odontologica,otras acciones,2014-02-01,14.0,27.0,14.0,27.0,41.0
EL TORNO,atencion odontologica,otras acciones,2014-02-01,29.0,100.0,29.0,100.0,129.0
EL VILLAR,atencion odontologica,otras acciones,2014-02-01,27.0,38.0,27.0,38.0,65.0
ENTRE RIOS TRJ,atencion odontologica,otras acciones,2014-02-01,63.0,139.0,63.0,139.0,202.0
ENTRE RIOS CBBA,atencion odontologica,otras acciones,2014-02-01,42.0,146.0,42.0,146.0,188.0
ESCOMA,atencion odontologica,otras acciones,2014-02-01,7.0,1.0,7.0,1.0,8.0
EUCALIPTUS,atencion odontologica,otras acciones,2014-02-01,21.0,34.0,21.0,34.0,55.0
FERNANDEZ ALONSO,atencion odontologica,otras acciones,2014-02-01,16.0,18.0,16.0,18.0,34.0
FILADELFIA,atencion odontologica,otras acciones,2014-02-01,2.0,12.0,2.0,12.0,14.0
GENERAL SAAVEDRA,atencion odontologica,otras acciones,2014-02-01,7.0,11.0,7.0,11.0,18.0
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,otras acciones,2014-02-01,25.0,35.0,25.0,35.0,60.0
GUANAY,atencion odontologica,otras acciones,2014-02-01,1.0,2.0,1.0,2.0,3.0
GUAQUI,atencion odontologica,otras acciones,2014-02-01,25.0,24.0,25.0,24.0,49.0
GUAYARAMERIN,atencion odontologica,otras acciones,2014-02-01,22.0,19.0,22.0,19.0,41.0
GUTIERREZ,atencion odontologica,otras acciones,2014-02-01,16.0,20.0,16.0,20.0,36.0
HUACARETA,atencion odontologica,otras acciones,2014-02-01,24.0,38.0,24.0,38.0,62.0
HUACAYA (VILLA DE HUACAYA),atencion odontologica,otras acciones,2014-02-01,14.0,28.0,14.0,28.0,42.0
HUACHACALLA,atencion odontologica,otras acciones,2014-02-01,18.0,6.0,18.0,6.0,24.0
HUANUNI,atencion odontologica,otras acciones,2014-02-01,125.0,157.0,125.0,157.0,282.0
HUARINA,atencion odontologica,otras acciones,2014-02-01,24.0,16.0,24.0,16.0,40.0
HUATAJATA,atencion odontologica,otras acciones,2014-02-01,1.0,7.0,1.0,7.0,8.0
HUAYLLAMARCA,atencion odontologica,otras acciones,2014-02-01,88.0,78.0,88.0,78.0,166.0
HUMANATA,atencion odontologica,otras acciones,2014-02-01,17.0,20.0,17.0,20.0,37.0
ICHOCA,atencion odontologica,otras acciones,2014-02-01,6.0,6.0,6.0,6.0,12.0
ICLA,atencion odontologica,otras acciones,2014-02-01,61.0,79.0,61.0,79.0,140.0
INCAHUASI,atencion odontologica,otras acciones,2014-02-01,40.0,54.0,40.0,54.0,94.0
INQUISIVI,atencion odontologica,otras acciones,2014-02-01,17.0,24.0,17.0,24.0,41.0
IXIAMAS,atencion odontologica,otras acciones,2014-02-01,33.0,63.0,33.0,63.0,96.0
JESUS DE MACHACA,atencion odontologica,otras acciones,2014-02-01,20.0,34.0,20.0,34.0,54.0
LA GUARDIA,atencion odontologica,otras acciones,2014-02-01,22.0,14.0,22.0,14.0,36.0
LA PAZ,atencion odontologica,otras acciones,2014-02-01,1987.0,2635.0,1987.0,2635.0,4622.0
LA RIVERA,atencion odontologica,otras acciones,2014-02-01,3.0,8.0,3.0,8.0,11.0
LAJA,atencion odontologica,otras acciones,2014-02-01,4.0,4.0,4.0,4.0,8.0
LAS CARRERAS,atencion odontologica,otras acciones,2014-02-01,0.0,5.0,0.0,5.0,5.0
LICOMA PAMPA,atencion odontologica,otras acciones,2014-02-01,2.0,2.0,2.0,2.0,4.0
LLALLAGUA,atencion odontologica,otras acciones,2014-02-01,80.0,185.0,80.0,185.0,265.0
LLICA,atencion odontologica,otras acciones,2014-02-01,37.0,52.0,37.0,52.0,89.0
MACHACAMARCA,atencion odontologica,otras acciones,2014-02-01,24.0,28.0,24.0,28.0,52.0
MACHARETI,atencion odontologica,otras acciones,2014-02-01,23.0,25.0,23.0,25.0,48.0
MAGDALENA,atencion odontologica,otras acciones,2014-02-01,16.0,26.0,16.0,26.0,42.0
MAIRANA,atencion odontologica,otras acciones,2014-02-01,6.0,9.0,6.0,9.0,15.0
MAPIRI,atencion odontologica,otras acciones,2014-02-01,20.0,41.0,20.0,41.0,61.0
MECAPACA,atencion odontologica,otras acciones,2014-02-01,13.0,9.0,13.0,9.0,22.0
MINEROS,atencion odontologica,otras acciones,2014-02-01,11.0,35.0,11.0,35.0,46.0
MIZQUE,atencion odontologica,otras acciones,2014-02-01,28.0,79.0,28.0,79.0,107.0
MOCOMOCO,atencion odontologica,otras acciones,2014-02-01,6.0,8.0,6.0,8.0,14.0
MOJOCOYA,atencion odontologica,otras acciones,2014-02-01,31.0,72.0,31.0,72.0,103.0
MONTEAGUDO,atencion odontologica,otras acciones,2014-02-01,90.0,215.0,90.0,215.0,305.0
MONTERO,atencion odontologica,otras acciones,2014-02-01,27.0,37.0,27.0,37.0,64.0
MORO MORO,atencion odontologica,otras acciones,2014-02-01,1.0,2.0,1.0,2.0,3.0
MOROCHATA,atencion odontologica,otras acciones,2014-02-01,25.0,44.0,25.0,44.0,69.0
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,otras acciones,2014-02-01,4.0,6.0,4.0,6.0,10.0
OCURI,atencion odontologica,otras acciones,2014-02-01,3.0,11.0,3.0,11.0,14.0
OMEREQUE,atencion odontologica,otras acciones,2014-02-01,34.0,66.0,34.0,66.0,100.0
ORURO,atencion odontologica,otras acciones,2014-02-01,889.0,1369.0,889.0,1369.0,2258.0
PADCAYA,atencion odontologica,otras acciones,2014-02-01,43.0,83.0,43.0,83.0,126.0
PADILLA,atencion odontologica,otras acciones,2014-02-01,11.0,15.0,11.0,15.0,26.0
PAILON,atencion odontologica,otras acciones,2014-02-01,10.0,26.0,10.0,26.0,36.0
PALCA,atencion odontologica,otras acciones,2014-02-01,21.0,28.0,21.0,28.0,49.0
PALOS BLANCOS,atencion odontologica,otras acciones,2014-02-01,14.0,11.0,14.0,11.0,25.0
PAMPA AULLAGAS,atencion odontologica,otras acciones,2014-02-01,4.0,7.0,4.0,7.0,11.0
PAMPA GRANDE,atencion odontologica,otras acciones,2014-02-01,13.0,7.0,13.0,7.0,20.0
PAPEL PAMPA,atencion odontologica,otras acciones,2014-02-01,31.0,25.0,31.0,25.0,56.0
PASORAPA,atencion odontologica,otras acciones,2014-02-01,3.0,4.0,3.0,4.0,7.0
PATACAMAYA,atencion odontologica,otras acciones,2014-02-01,26.0,58.0,26.0,58.0,84.0
PAZÑA,atencion odontologica,otras acciones,2014-02-01,12.0,9.0,12.0,9.0,21.0
POCOATA,atencion odontologica,otras acciones,2014-02-01,36.0,52.0,36.0,52.0,88.0
POCONA,atencion odontologica,otras acciones,2014-02-01,34.0,39.0,34.0,39.0,73.0
POJO (CBBA),atencion odontologica,otras acciones,2014-02-01,24.0,54.0,24.0,54.0,78.0
POOPO,atencion odontologica,otras acciones,2014-02-01,28.0,39.0,28.0,39.0,67.0
PORCO,atencion odontologica,otras acciones,2014-02-01,22.0,14.0,22.0,14.0,36.0
POROMA,atencion odontologica,otras acciones,2014-02-01,25.0,18.0,25.0,18.0,43.0
PORONGO,atencion odontologica,otras acciones,2014-02-01,6.0,3.0,6.0,3.0,9.0
PORTACHUELO,atencion odontologica,otras acciones,2014-02-01,28.0,63.0,28.0,63.0,91.0
PORVENIR,atencion odontologica,otras acciones,2014-02-01,6.0,9.0,6.0,9.0,15.0
POSTRER VALLE,atencion odontologica,otras acciones,2014-02-01,1.0,8.0,1.0,8.0,9.0
POTOSI,atencion odontologica,otras acciones,2014-02-01,422.0,710.0,422.0,710.0,1132.0
PRESTO,atencion odontologica,otras acciones,2014-02-01,13.0,11.0,13.0,11.0,24.0
PUCARA,atencion odontologica,otras acciones,2014-02-01,2.0,9.0,2.0,9.0,11.0
PUCARANI,atencion odontologica,otras acciones,2014-02-01,27.0,39.0,27.0,39.0,66.0
PUERTO ACOSTA,atencion odontologica,otras acciones,2014-02-01,3.0,4.0,3.0,4.0,7.0
PUERTO CARABUCO,atencion odontologica,otras acciones,2014-02-01,14.0,20.0,14.0,20.0,34.0
PUERTO GONZALO MORENO,atencion odontologica,otras acciones,2014-02-01,2.0,0.0,2.0,0.0,2.0
PUERTO RICO,atencion odontologica,otras acciones,2014-02-01,30.0,6.0,30.0,6.0,36.0
PUERTO VILLARROEL,atencion odontologica,otras acciones,2014-02-01,13.0,57.0,13.0,57.0,70.0
PUNA,atencion odontologica,otras acciones,2014-02-01,77.0,143.0,77.0,143.0,220.0
PUNATA,atencion odontologica,otras acciones,2014-02-01,46.0,58.0,46.0,58.0,104.0
QUIABAYA,atencion odontologica,otras acciones,2014-02-01,4.0,4.0,4.0,4.0,8.0
QUILLACOLLO,atencion odontologica,otras acciones,2014-02-01,206.0,223.0,206.0,223.0,429.0
QUIME,atencion odontologica,otras acciones,2014-02-01,40.0,21.0,40.0,21.0,61.0
RAVELO,atencion odontologica,otras acciones,2014-02-01,2.0,3.0,2.0,3.0,5.0
REYES,atencion odontologica,otras acciones,2014-02-01,15.0,10.0,15.0,10.0,25.0
RIBERALTA,atencion odontologica,otras acciones,2014-02-01,20.0,45.0,20.0,45.0,65.0
RURRENABAQUE,atencion odontologica,otras acciones,2014-02-01,15.0,15.0,15.0,15.0,30.0
SABAYA,atencion odontologica,otras acciones,2014-02-01,13.0,16.0,13.0,16.0,29.0
SACABA,atencion odontologica,otras acciones,2014-02-01,137.0,288.0,137.0,288.0,425.0
SACABAMBA,atencion odontologica,otras acciones,2014-02-01,0.0,2.0,0.0,2.0,2.0
SACACA,atencion odontologica,otras acciones,2014-02-01,5.0,13.0,5.0,13.0,18.0
SALINAS DE GARCI MENDOZA,atencion odontologica,otras acciones,2014-02-01,19.0,43.0,19.0,43.0,62.0
SAN AGUSTIN,atencion odontologica,otras acciones,2014-02-01,4.0,5.0,4.0,5.0,9.0
SAN ANDRES,atencion odontologica,otras acciones,2014-02-01,5.0,12.0,5.0,12.0,17.0
SAN ANDRES DE MACHACA,atencion odontologica,otras acciones,2014-02-01,12.0,15.0,12.0,15.0,27.0
SAN ANTONIO DE ESMORUCO,atencion odontologica,otras acciones,2014-02-01,11.0,19.0,11.0,19.0,30.0
SAN ANTONIO DE LOMERIO,atencion odontologica,otras acciones,2014-02-01,2.0,3.0,2.0,3.0,5.0
SAN BENITO,atencion odontologica,otras acciones,2014-02-01,29.0,48.0,29.0,48.0,77.0
SAN BORJA,atencion odontologica,otras acciones,2014-02-01,1.0,4.0,1.0,4.0,5.0
SAN CARLOS,atencion odontologica,otras acciones,2014-02-01,3.0,4.0,3.0,4.0,7.0
SAN IGNACIO,atencion odontologica,otras acciones,2014-02-01,25.0,21.0,25.0,21.0,46.0
SAN IGNACIO DE VELASCO,atencion odontologica,otras acciones,2014-02-01,8.0,4.0,8.0,4.0,12.0
SAN JOSE DE CHIQUITOS,atencion odontologica,otras acciones,2014-02-01,71.0,60.0,71.0,60.0,131.0
SAN JUAN DE YAPACANI,atencion odontologica,otras acciones,2014-02-01,4.0,5.0,4.0,5.0,9.0
SAN JULIAN,atencion odontologica,otras acciones,2014-02-01,185.0,224.0,185.0,224.0,409.0
SAN LORENZO(PND),atencion odontologica,otras acciones,2014-02-01,0.0,4.0,0.0,4.0,4.0
SAN LORENZO(TJA),atencion odontologica,otras acciones,2014-02-01,178.0,480.0,178.0,480.0,658.0
SAN LUCAS,atencion odontologica,otras acciones,2014-02-01,40.0,24.0,40.0,24.0,64.0
SAN MATIAS,atencion odontologica,otras acciones,2014-02-01,0.0,7.0,0.0,7.0,7.0
SAN MIGUEL DE VELASCO,atencion odontologica,otras acciones,2014-02-01,31.0,85.0,31.0,85.0,116.0
SAN PABLO DE LIPEZ,atencion odontologica,otras acciones,2014-02-01,3.0,6.0,3.0,6.0,9.0
SAN PEDRO,atencion odontologica,otras acciones,2014-02-01,16.0,28.0,16.0,28.0,44.0
SAN PEDRO DE BUENA VISTA,atencion odontologica,otras acciones,2014-02-01,39.0,48.0,39.0,48.0,87.0
SAN PEDRO DE CURAHUARA,atencion odontologica,otras acciones,2014-02-01,2.0,5.0,2.0,5.0,7.0
SAN PEDRO DE TIQUINA,atencion odontologica,otras acciones,2014-02-01,9.0,11.0,9.0,11.0,20.0
SAN RAFAEL,atencion odontologica,otras acciones,2014-02-01,3.0,7.0,3.0,7.0,10.0
SAN RAMON SCZ,atencion odontologica,otras acciones,2014-02-01,1.0,1.0,1.0,1.0,2.0
SANTA ANA,atencion odontologica,otras acciones,2014-02-01,51.0,72.0,51.0,72.0,123.0
SANTA CRUZ DE LA SIERRA,atencion odontologica,otras acciones,2014-02-01,658.0,1198.0,658.0,1198.0,1856.0
SANTA ROSA,atencion odontologica,otras acciones,2014-02-01,1.0,1.0,1.0,1.0,2.0
SANTA ROSA DEL SARA,atencion odontologica,otras acciones,2014-02-01,2.0,7.0,2.0,7.0,9.0
SANTIAGO DE CALLAPA,atencion odontologica,otras acciones,2014-02-01,2.0,3.0,2.0,3.0,5.0
SANTIAGO DE HUARI,atencion odontologica,otras acciones,2014-02-01,61.0,72.0,61.0,72.0,133.0
SANTIAGO DE HUATA,atencion odontologica,otras acciones,2014-02-01,7.0,8.0,7.0,8.0,15.0
SANTIAGO DE MACHACA,atencion odontologica,otras acciones,2014-02-01,7.0,9.0,7.0,9.0,16.0
SANTIVAÑES,atencion odontologica,otras acciones,2014-02-01,17.0,18.0,17.0,18.0,35.0
SANTUARIO DE QUILLACAS,atencion odontologica,otras acciones,2014-02-01,9.0,18.0,9.0,18.0,27.0
SENA,atencion odontologica,otras acciones,2014-02-01,0.0,1.0,0.0,1.0,1.0
SHINAOTA,atencion odontologica,otras acciones,2014-02-01,7.0,15.0,7.0,15.0,22.0
SICA SICA (VILLA AROMA),atencion odontologica,otras acciones,2014-02-01,13.0,25.0,13.0,25.0,38.0
SICAYA,atencion odontologica,otras acciones,2014-02-01,10.0,26.0,10.0,26.0,36.0
SIPE SIPE,atencion odontologica,otras acciones,2014-02-01,22.0,39.0,22.0,39.0,61.0
SORACACHI,atencion odontologica,otras acciones,2014-02-01,22.0,23.0,22.0,23.0,45.0
SORATA,atencion odontologica,otras acciones,2014-02-01,19.0,18.0,19.0,18.0,37.0
SUCRE,atencion odontologica,otras acciones,2014-02-01,227.0,438.0,227.0,438.0,665.0
TACACHI,atencion odontologica,otras acciones,2014-02-01,1.0,2.0,1.0,2.0,3.0
TACACOMA,atencion odontologica,otras acciones,2014-02-01,4.0,3.0,4.0,3.0,7.0
TACOBAMBA,atencion odontologica,otras acciones,2014-02-01,2.0,2.0,2.0,2.0,4.0
TACOPAYA,atencion odontologica,otras acciones,2014-02-01,1.0,1.0,1.0,1.0,2.0
TAPACARI,atencion odontologica,otras acciones,2014-02-01,50.0,42.0,50.0,42.0,92.0
TARABUCO,atencion odontologica,otras acciones,2014-02-01,2.0,11.0,2.0,11.0,13.0
TARACO,atencion odontologica,otras acciones,2014-02-01,20.0,17.0,20.0,17.0,37.0
TARATA,atencion odontologica,otras acciones,2014-02-01,9.0,21.0,9.0,21.0,30.0
TARIJA,atencion odontologica,otras acciones,2014-02-01,1043.0,1910.0,1043.0,1910.0,2953.0
TARVITA,atencion odontologica,otras acciones,2014-02-01,26.0,84.0,26.0,84.0,110.0
TEOPONTE,atencion odontologica,otras acciones,2014-02-01,1.0,2.0,1.0,2.0,3.0
TIAWANACU,atencion odontologica,otras acciones,2014-02-01,92.0,0.0,92.0,0.0,92.0
TINGUIPAYA,atencion odontologica,otras acciones,2014-02-01,13.0,12.0,13.0,12.0,25.0
TIPUANI,atencion odontologica,otras acciones,2014-02-01,9.0,5.0,9.0,5.0,14.0
TIQUIPAYA,atencion odontologica,otras acciones,2014-02-01,62.0,116.0,62.0,116.0,178.0
TIRAQUE (CBBA),atencion odontologica,otras acciones,2014-02-01,33.0,76.0,33.0,76.0,109.0
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,otras acciones,2014-02-01,0.0,1.0,0.0,1.0,1.0
TOCO,atencion odontologica,otras acciones,2014-02-01,2.0,8.0,2.0,8.0,10.0
TOLATA,atencion odontologica,otras acciones,2014-02-01,56.0,57.0,56.0,57.0,113.0
TOLEDO,atencion odontologica,otras acciones,2014-02-01,1.0,5.0,1.0,5.0,6.0
TOMAVE,atencion odontologica,otras acciones,2014-02-01,54.0,83.0,54.0,83.0,137.0
TOMINA,atencion odontologica,otras acciones,2014-02-01,137.0,196.0,137.0,196.0,333.0
TORO TORO,atencion odontologica,otras acciones,2014-02-01,58.0,128.0,58.0,128.0,186.0
TOTORA(CBBA),atencion odontologica,otras acciones,2014-02-01,5.0,7.0,5.0,7.0,12.0
TOTORA(ORR),atencion odontologica,otras acciones,2014-02-01,3.0,9.0,3.0,9.0,12.0
TRINIDAD,atencion odontologica,otras acciones,2014-02-01,79.0,137.0,79.0,137.0,216.0
TUPIZA,atencion odontologica,otras acciones,2014-02-01,17.0,20.0,17.0,20.0,37.0
TURCO,atencion odontologica,otras acciones,2014-02-01,30.0,34.0,30.0,34.0,64.0
UNCIA,atencion odontologica,otras acciones,2014-02-01,13.0,23.0,13.0,23.0,36.0
URIONDO (A. CONCEPCION),atencion odontologica,otras acciones,2014-02-01,87.0,159.0,87.0,159.0,246.0
URUBICHA,atencion odontologica,otras acciones,2014-02-01,10.0,9.0,10.0,9.0,19.0
UYUNI,atencion odontologica,otras acciones,2014-02-01,14.0,35.0,14.0,35.0,49.0
VACAS,atencion odontologica,otras acciones,2014-02-01,12.0,24.0,12.0,24.0,36.0
VALLEGRANDE,atencion odontologica,otras acciones,2014-02-01,5.0,7.0,5.0,7.0,12.0
VIACHA,atencion odontologica,otras acciones,2014-02-01,108.0,173.0,108.0,173.0,281.0
VILLA CHARCAS,atencion odontologica,otras acciones,2014-02-01,6.0,10.0,6.0,10.0,16.0
VILLA MONTES,atencion odontologica,otras acciones,2014-02-01,162.0,331.0,162.0,331.0,493.0
VILLA RIVERO,atencion odontologica,otras acciones,2014-02-01,5.0,0.0,5.0,0.0,5.0
VILLA SERRANO,atencion odontologica,otras acciones,2014-02-01,43.0,80.0,43.0,80.0,123.0
VILLA TUNARI,atencion odontologica,otras acciones,2014-02-01,59.0,89.0,59.0,89.0,148.0
VINTO,atencion odontologica,otras acciones,2014-02-01,18.0,32.0,18.0,32.0,50.0
VITICHI,atencion odontologica,otras acciones,2014-02-01,26.0,52.0,26.0,52.0,78.0
WALDO BALLIVIAN,atencion odontologica,otras acciones,2014-02-01,7.0,11.0,7.0,11.0,18.0
WARNES,atencion odontologica,otras acciones,2014-02-01,20.0,38.0,20.0,38.0,58.0
YACO,atencion odontologica,otras acciones,2014-02-01,4.0,10.0,4.0,10.0,14.0
YACUIBA,atencion odontologica,otras acciones,2014-02-01,58.0,63.0,58.0,63.0,121.0
YAMPARAEZ,atencion odontologica,otras acciones,2014-02-01,36.0,64.0,36.0,64.0,100.0
YAPACANI,atencion odontologica,otras acciones,2014-02-01,58.0,92.0,58.0,92.0,150.0
YOCALLA,atencion odontologica,otras acciones,2014-02-01,25.0,39.0,25.0,39.0,64.0
YOTALA,atencion odontologica,otras acciones,2014-02-01,47.0,47.0,47.0,47.0,94.0
YUNCHARA,atencion odontologica,otras acciones,2014-02-01,17.0,51.0,17.0,51.0,68.0
ZUDAÑEZ,atencion odontologica,otras acciones,2014-02-01,40.0,62.0,40.0,62.0,102.0
ACACIO,atencion odontologica,otras acciones,2014-03-01,15.0,16.0,15.0,16.0,31.0
ACHACACHI,atencion odontologica,otras acciones,2014-03-01,94.0,90.0,94.0,90.0,184.0
ACHOCALLA,atencion odontologica,otras acciones,2014-03-01,2.0,0.0,2.0,0.0,2.0
AIQUILE,atencion odontologica,otras acciones,2014-03-01,1.0,0.0,1.0,0.0,1.0
ALALAY,atencion odontologica,otras acciones,2014-03-01,1.0,4.0,1.0,4.0,5.0
ALCALA,atencion odontologica,otras acciones,2014-03-01,21.0,23.0,21.0,23.0,44.0
ALTO BENI,atencion odontologica,otras acciones,2014-03-01,0.0,2.0,0.0,2.0,2.0
