,group,variable,month,TOTAL 3.8 ENDODONCIAS CANTIDAD,TOTAL 3.8 ENDODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
ESCOMA,atencion odontologica, endodoncias,2014-02-01,0,4,0,4,4
EUCALIPTUS,atencion odontologica, endodoncias,2014-02-01,4,1,4,1,5
FERNANDEZ ALONSO,atencion odontologica, endodoncias,2014-02-01,4,6,4,6,10
FILADELFIA,atencion odontologica, endodoncias,2014-02-01,1,4,1,4,5
GENERAL SAAVEDRA,atencion odontologica, endodoncias,2014-02-01,1,5,1,5,6
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, endodoncias,2014-02-01,2,3,2,3,5
GUANAY,atencion odontologica, endodoncias,2014-02-01,9,5,9,5,14
GUAQUI,atencion odontologica, endodoncias,2014-02-01,2,12,2,12,14
GUAYARAMERIN,atencion odontologica, endodoncias,2014-02-01,13,27,13,27,40
GUTIERREZ,atencion odontologica, endodoncias,2014-02-01,2,0,2,0,2
HUACARETA,atencion odontologica, endodoncias,2014-02-01,1,1,1,1,2
HUACAYA (VILLA DE HUACAYA),atencion odontologica, endodoncias,2014-02-01,4,9,4,9,13
HUACHACALLA,atencion odontologica, endodoncias,2014-02-01,5,1,5,1,6
HUANUNI,atencion odontologica, endodoncias,2014-02-01,12,27,12,27,39
HUARINA,atencion odontologica, endodoncias,2014-02-01,1,1,1,1,2
HUATAJATA,atencion odontologica, endodoncias,2014-02-01,1,2,1,2,3
HUAYLLAMARCA,atencion odontologica, endodoncias,2014-02-01,3,9,3,9,12
HUMANATA,atencion odontologica, endodoncias,2014-02-01,1,0,1,0,1
ICLA,atencion odontologica, endodoncias,2014-02-01,1,3,1,3,4
INCAHUASI,atencion odontologica, endodoncias,2014-02-01,8,13,8,13,21
IRUPANA (VILLA DE LANZA),atencion odontologica, endodoncias,2014-02-01,1,2,1,2,3
IXIAMAS,atencion odontologica, endodoncias,2014-02-01,1,6,1,6,7
JESUS DE MACHACA,atencion odontologica, endodoncias,2014-02-01,1,2,1,2,3
LA ASUNTA,atencion odontologica, endodoncias,2014-02-01,35,41,35,41,76
LA GUARDIA,atencion odontologica, endodoncias,2014-02-01,13,13,13,13,26
LA PAZ,atencion odontologica, endodoncias,2014-02-01,890,1159,890,1159,2049
LAGUNILLAS,atencion odontologica, endodoncias,2014-02-01,0,7,0,7,7
LAS CARRERAS,atencion odontologica, endodoncias,2014-02-01,2,8,2,8,10
LICOMA PAMPA,atencion odontologica, endodoncias,2014-02-01,2,2,2,2,4
LLALLAGUA,atencion odontologica, endodoncias,2014-02-01,14,47,14,47,61
LLICA,atencion odontologica, endodoncias,2014-02-01,1,1,1,1,2
LURIBAY,atencion odontologica, endodoncias,2014-02-01,2,2,2,2,4
MACHACAMARCA,atencion odontologica, endodoncias,2014-02-01,6,3,6,3,9
MAGDALENA,atencion odontologica, endodoncias,2014-02-01,3,6,3,6,9
MAIRANA,atencion odontologica, endodoncias,2014-02-01,1,3,1,3,4
MAPIRI,atencion odontologica, endodoncias,2014-02-01,16,20,16,20,36
MECAPACA,atencion odontologica, endodoncias,2014-02-01,4,7,4,7,11
MINEROS,atencion odontologica, endodoncias,2014-02-01,0,6,0,6,6
MIZQUE,atencion odontologica, endodoncias,2014-02-01,2,6,2,6,8
MOCOMOCO,atencion odontologica, endodoncias,2014-02-01,1,4,1,4,5
MOJOCOYA,atencion odontologica, endodoncias,2014-02-01,10,8,10,8,18
MONTEAGUDO,atencion odontologica, endodoncias,2014-02-01,8,9,8,9,17
MONTERO,atencion odontologica, endodoncias,2014-02-01,2,19,2,19,21
MORO MORO,atencion odontologica, endodoncias,2014-02-01,0,1,0,1,1
MOROCHATA,atencion odontologica, endodoncias,2014-02-01,1,5,1,5,6
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica, endodoncias,2014-02-01,0,1,0,1,1
OMEREQUE,atencion odontologica, endodoncias,2014-02-01,2,4,2,4,6
ORURO,atencion odontologica, endodoncias,2014-02-01,362,349,362,349,711
PADCAYA,atencion odontologica, endodoncias,2014-02-01,8,12,8,12,20
PADILLA,atencion odontologica, endodoncias,2014-02-01,0,16,0,16,16
PAILON,atencion odontologica, endodoncias,2014-02-01,1,1,1,1,2
PALCA,atencion odontologica, endodoncias,2014-02-01,5,9,5,9,14
PALOS BLANCOS,atencion odontologica, endodoncias,2014-02-01,3,3,3,3,6
PAMPA GRANDE,atencion odontologica, endodoncias,2014-02-01,1,1,1,1,2
PAPEL PAMPA,atencion odontologica, endodoncias,2014-02-01,16,12,16,12,28
PATACAMAYA,atencion odontologica, endodoncias,2014-02-01,9,9,9,9,18
PAZÑA,atencion odontologica, endodoncias,2014-02-01,0,10,0,10,10
PELECHUCO,atencion odontologica, endodoncias,2014-02-01,1,1,1,1,2
POCOATA,atencion odontologica, endodoncias,2014-02-01,1,0,1,0,1
POCONA,atencion odontologica, endodoncias,2014-02-01,5,15,5,15,20
POJO (CBBA),atencion odontologica, endodoncias,2014-02-01,3,6,3,6,9
POOPO,atencion odontologica, endodoncias,2014-02-01,3,2,3,2,5
PORCO,atencion odontologica, endodoncias,2014-02-01,1,2,1,2,3
POROMA,atencion odontologica, endodoncias,2014-02-01,8,7,8,7,15
PORONGO,atencion odontologica, endodoncias,2014-02-01,1,0,1,0,1
PORTACHUELO,atencion odontologica, endodoncias,2014-02-01,2,3,2,3,5
PORVENIR,atencion odontologica, endodoncias,2014-02-01,1,0,1,0,1
POTOSI,atencion odontologica, endodoncias,2014-02-01,316,553,316,553,869
PRESTO,atencion odontologica, endodoncias,2014-02-01,0,1,0,1,1
PUCARANI,atencion odontologica, endodoncias,2014-02-01,1,0,1,0,1
PUERTO ACOSTA,atencion odontologica, endodoncias,2014-02-01,1,5,1,5,6
PUERTO CARABUCO,atencion odontologica, endodoncias,2014-02-01,15,24,15,24,39
PUERTO GONZALO MORENO,atencion odontologica, endodoncias,2014-02-01,1,5,1,5,6
PUERTO RICO,atencion odontologica, endodoncias,2014-02-01,4,5,4,5,9
PUERTO SUAREZ,atencion odontologica, endodoncias,2014-02-01,0,7,0,7,7
PUERTO VILLARROEL,atencion odontologica, endodoncias,2014-02-01,34,61,34,61,95
PUNA,atencion odontologica, endodoncias,2014-02-01,2,3,2,3,5
PUNATA,atencion odontologica, endodoncias,2014-02-01,48,43,48,43,91
QUILLACOLLO,atencion odontologica, endodoncias,2014-02-01,125,150,125,150,275
QUIME,atencion odontologica, endodoncias,2014-02-01,17,2,17,2,19
QUIRUSILLAS,atencion odontologica, endodoncias,2014-02-01,0,1,0,1,1
RAVELO,atencion odontologica, endodoncias,2014-02-01,3,4,3,4,7
REYES,atencion odontologica, endodoncias,2014-02-01,3,1,3,1,4
RIBERALTA,atencion odontologica, endodoncias,2014-02-01,6,11,6,11,17
ROBORE,atencion odontologica, endodoncias,2014-02-01,2,0,2,0,2
SABAYA,atencion odontologica, endodoncias,2014-02-01,3,4,3,4,7
SACABA,atencion odontologica, endodoncias,2014-02-01,64,110,64,110,174
SACABAMBA,atencion odontologica, endodoncias,2014-02-01,4,3,4,3,7
SACACA,atencion odontologica, endodoncias,2014-02-01,2,4,2,4,6
SALINAS DE GARCI MENDOZA,atencion odontologica, endodoncias,2014-02-01,4,7,4,7,11
SAMAIPATA,atencion odontologica, endodoncias,2014-02-01,0,3,0,3,3
SAN AGUSTIN,atencion odontologica, endodoncias,2014-02-01,0,1,0,1,1
SAN ANDRES DE MACHACA,atencion odontologica, endodoncias,2014-02-01,7,8,7,8,15
SAN BENITO,atencion odontologica, endodoncias,2014-02-01,0,1,0,1,1
SAN BORJA,atencion odontologica, endodoncias,2014-02-01,3,6,3,6,9
SAN BUENA VENTURA,atencion odontologica, endodoncias,2014-02-01,1,4,1,4,5
SAN CARLOS,atencion odontologica, endodoncias,2014-02-01,7,26,7,26,33
SAN IGNACIO,atencion odontologica, endodoncias,2014-02-01,4,10,4,10,14
SAN IGNACIO DE VELASCO,atencion odontologica, endodoncias,2014-02-01,4,3,4,3,7
SAN JAVIER(STC),atencion odontologica, endodoncias,2014-02-01,2,8,2,8,10
SAN JOSE DE CHIQUITOS,atencion odontologica, endodoncias,2014-02-01,3,3,3,3,6
SAN JULIAN,atencion odontologica, endodoncias,2014-02-01,18,33,18,33,51
SAN LORENZO(PND),atencion odontologica, endodoncias,2014-02-01,1,0,1,0,1
SAN LORENZO(TJA),atencion odontologica, endodoncias,2014-02-01,34,72,34,72,106
SAN LUCAS,atencion odontologica, endodoncias,2014-02-01,17,30,17,30,47
SAN MATIAS,atencion odontologica, endodoncias,2014-02-01,7,7,7,7,14
SAN MIGUEL DE VELASCO,atencion odontologica, endodoncias,2014-02-01,3,12,3,12,15
SAN PEDRO,atencion odontologica, endodoncias,2014-02-01,1,5,1,5,6
SAN PEDRO DE BUENA VISTA,atencion odontologica, endodoncias,2014-02-01,5,0,5,0,5
SAN PEDRO DE QUEMES,atencion odontologica, endodoncias,2014-02-01,0,2,0,2,2
SAN PEDRO DE TIQUINA,atencion odontologica, endodoncias,2014-02-01,1,2,1,2,3
SAN RAFAEL,atencion odontologica, endodoncias,2014-02-01,1,8,1,8,9
SAN RAMON BENI,atencion odontologica, endodoncias,2014-02-01,3,2,3,2,5
SAN RAMON SCZ,atencion odontologica, endodoncias,2014-02-01,5,7,5,7,12
SANTA ANA,atencion odontologica, endodoncias,2014-02-01,0,3,0,3,3
SANTA CRUZ DE LA SIERRA,atencion odontologica, endodoncias,2014-02-01,717,1019,717,1019,1736
SANTA ROSA,atencion odontologica, endodoncias,2014-02-01,0,1,0,1,1
SANTA ROSA DEL SARA,atencion odontologica, endodoncias,2014-02-01,8,22,8,22,30
SANTIAGO DE HUARI,atencion odontologica, endodoncias,2014-02-01,4,6,4,6,10
SANTIAGO DE HUATA,atencion odontologica, endodoncias,2014-02-01,9,8,9,8,17
SANTIAGO DE MACHACA,atencion odontologica, endodoncias,2014-02-01,0,2,0,2,2
SANTIVAÑES,atencion odontologica, endodoncias,2014-02-01,3,7,3,7,10
SANTUARIO DE QUILLACAS,atencion odontologica, endodoncias,2014-02-01,2,5,2,5,7
SAPAHAQUI,atencion odontologica, endodoncias,2014-02-01,4,2,4,2,6
SENA,atencion odontologica, endodoncias,2014-02-01,0,2,0,2,2
SHINAOTA,atencion odontologica, endodoncias,2014-02-01,1,2,1,2,3
SICA SICA (VILLA AROMA),atencion odontologica, endodoncias,2014-02-01,1,1,1,1,2
SIPE SIPE,atencion odontologica, endodoncias,2014-02-01,11,35,11,35,46
SOPACHUY,atencion odontologica, endodoncias,2014-02-01,6,13,6,13,19
SORACACHI,atencion odontologica, endodoncias,2014-02-01,4,5,4,5,9
SORATA,atencion odontologica, endodoncias,2014-02-01,3,3,3,3,6
SUCRE,atencion odontologica, endodoncias,2014-02-01,364,599,364,599,963
TACOPAYA,atencion odontologica, endodoncias,2014-02-01,0,3,0,3,3
TAPACARI,atencion odontologica, endodoncias,2014-02-01,21,24,21,24,45
TARABUCO,atencion odontologica, endodoncias,2014-02-01,6,5,6,5,11
TARATA,atencion odontologica, endodoncias,2014-02-01,1,6,1,6,7
TARIJA,atencion odontologica, endodoncias,2014-02-01,468,537,468,537,1005
TARVITA,atencion odontologica, endodoncias,2014-02-01,0,4,0,4,4
TIAWANACU,atencion odontologica, endodoncias,2014-02-01,10,7,10,7,17
TINGUIPAYA,atencion odontologica, endodoncias,2014-02-01,0,2,0,2,2
TIPUANI,atencion odontologica, endodoncias,2014-02-01,1,8,1,8,9
TIQUIPAYA,atencion odontologica, endodoncias,2014-02-01,31,38,31,38,69
TIRAQUE (CBBA),atencion odontologica, endodoncias,2014-02-01,2,24,2,24,26
TOCO,atencion odontologica, endodoncias,2014-02-01,7,9,7,9,16
TOLATA,atencion odontologica, endodoncias,2014-02-01,4,5,4,5,9
TOLEDO,atencion odontologica, endodoncias,2014-02-01,0,1,0,1,1
TOMAVE,atencion odontologica, endodoncias,2014-02-01,2,5,2,5,7
TOMINA,atencion odontologica, endodoncias,2014-02-01,4,9,4,9,13
TORO TORO,atencion odontologica, endodoncias,2014-02-01,0,5,0,5,5
TOTORA(CBBA),atencion odontologica, endodoncias,2014-02-01,0,2,0,2,2
TRINIDAD,atencion odontologica, endodoncias,2014-02-01,68,87,68,87,155
TUPIZA,atencion odontologica, endodoncias,2014-02-01,69,149,69,149,218
TURCO,atencion odontologica, endodoncias,2014-02-01,0,6,0,6,6
UNCIA,atencion odontologica, endodoncias,2014-02-01,7,22,7,22,29
URIONDO (A. CONCEPCION),atencion odontologica, endodoncias,2014-02-01,19,47,19,47,66
URUBICHA,atencion odontologica, endodoncias,2014-02-01,2,4,2,4,6
UYUNI,atencion odontologica, endodoncias,2014-02-01,1,10,1,10,11
VACAS,atencion odontologica, endodoncias,2014-02-01,4,9,4,9,13
VALLEGRANDE,atencion odontologica, endodoncias,2014-02-01,15,20,15,20,35
VIACHA,atencion odontologica, endodoncias,2014-02-01,26,31,26,31,57
VILLA CHARCAS,atencion odontologica, endodoncias,2014-02-01,1,1,1,1,2
VILLA MONTES,atencion odontologica, endodoncias,2014-02-01,43,60,43,60,103
VILLA RIVERO,atencion odontologica, endodoncias,2014-02-01,0,7,0,7,7
VILLA SERRANO,atencion odontologica, endodoncias,2014-02-01,2,2,2,2,4
VILLA TUNARI,atencion odontologica, endodoncias,2014-02-01,29,59,29,59,88
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, endodoncias,2014-02-01,4,8,4,8,12
VILLAZON,atencion odontologica, endodoncias,2014-02-01,46,76,46,76,122
VINTO,atencion odontologica, endodoncias,2014-02-01,7,18,7,18,25
VITICHI,atencion odontologica, endodoncias,2014-02-01,5,10,5,10,15
WALDO BALLIVIAN,atencion odontologica, endodoncias,2014-02-01,1,3,1,3,4
WARNES,atencion odontologica, endodoncias,2014-02-01,5,1,5,1,6
YACUIBA,atencion odontologica, endodoncias,2014-02-01,107,117,107,117,224
YAMPARAEZ,atencion odontologica, endodoncias,2014-02-01,4,3,4,3,7
YAPACANI,atencion odontologica, endodoncias,2014-02-01,16,57,16,57,73
YOCALLA,atencion odontologica, endodoncias,2014-02-01,0,1,0,1,1
YOTALA,atencion odontologica, endodoncias,2014-02-01,3,6,3,6,9
YUNCHARA,atencion odontologica, endodoncias,2014-02-01,3,12,3,12,15
ZUDAÑEZ,atencion odontologica, endodoncias,2014-02-01,1,1,1,1,2
ACACIO,atencion odontologica, endodoncias,2014-03-01,1,5,1,5,6
ACHACACHI,atencion odontologica, endodoncias,2014-03-01,5,10,5,10,15
ACHOCALLA,atencion odontologica, endodoncias,2014-03-01,2,5,2,5,7
AIQUILE,atencion odontologica, endodoncias,2014-03-01,19,22,19,22,41
ALALAY,atencion odontologica, endodoncias,2014-03-01,0,1,0,1,1
ALCALA,atencion odontologica, endodoncias,2014-03-01,6,3,6,3,9
ALTO BENI,atencion odontologica, endodoncias,2014-03-01,1,0,1,0,1
ANCORAIMES,atencion odontologica, endodoncias,2014-03-01,0,1,0,1,1
ANDAMARCA,atencion odontologica, endodoncias,2014-03-01,3,1,3,1,4
ANTEQUERA,atencion odontologica, endodoncias,2014-03-01,0,1,0,1,1
APOLO,atencion odontologica, endodoncias,2014-03-01,2,0,2,0,2
ARAMPAMPA,atencion odontologica, endodoncias,2014-03-01,4,1,4,1,5
ARANI,atencion odontologica, endodoncias,2014-03-01,3,4,3,4,7
ARBIETO,atencion odontologica, endodoncias,2014-03-01,0,4,0,4,4
ARQUE,atencion odontologica, endodoncias,2014-03-01,2,3,2,3,5
ATOCHA,atencion odontologica, endodoncias,2014-03-01,48,73,48,73,121
AYO AYO,atencion odontologica, endodoncias,2014-03-01,1,1,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, endodoncias,2014-03-01,30,35,30,35,65
BATALLAS,atencion odontologica, endodoncias,2014-03-01,2,2,2,2,4
BAURES,atencion odontologica, endodoncias,2014-03-01,5,3,5,3,8
BELEN DE ANDAMARCA,atencion odontologica, endodoncias,2014-03-01,4,1,4,1,5
BELEN DE URMIRI,atencion odontologica, endodoncias,2014-03-01,2,1,2,1,3
BERMEJO,atencion odontologica, endodoncias,2014-03-01,22,117,22,117,139
BETANZOS,atencion odontologica, endodoncias,2014-03-01,6,7,6,7,13
BOYUIBE,atencion odontologica, endodoncias,2014-03-01,0,1,0,1,1
BUENA VISTA,atencion odontologica, endodoncias,2014-03-01,1,4,1,4,5
CABEZAS,atencion odontologica, endodoncias,2014-03-01,22,5,22,5,27
CAIROMA,atencion odontologica, endodoncias,2014-03-01,14,8,14,8,22
"CAIZA ""D""",atencion odontologica, endodoncias,2014-03-01,1,5,1,5,6
CAJUATA,atencion odontologica, endodoncias,2014-03-01,0,1,0,1,1
CALAMARCA,atencion odontologica, endodoncias,2014-03-01,4,11,4,11,15
CAMARGO,atencion odontologica, endodoncias,2014-03-01,4,15,4,15,19
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, endodoncias,2014-03-01,3,1,3,1,4
CAMIRI,atencion odontologica, endodoncias,2014-03-01,13,9,13,9,22
CAPINOTA,atencion odontologica, endodoncias,2014-03-01,17,17,17,17,34
CARACOLLO,atencion odontologica, endodoncias,2014-03-01,6,19,6,19,25
CARANAVI,atencion odontologica, endodoncias,2014-03-01,25,45,25,45,70
CARAPARI,atencion odontologica, endodoncias,2014-03-01,14,19,14,19,33
CARIPUYO,atencion odontologica, endodoncias,2014-03-01,0,6,0,6,6
CHALLAPATA,atencion odontologica, endodoncias,2014-03-01,11,10,11,10,21
CHARAGUA,atencion odontologica, endodoncias,2014-03-01,1,3,1,3,4
CHAYANTA,atencion odontologica, endodoncias,2014-03-01,0,7,0,7,7
CHIMORE,atencion odontologica, endodoncias,2014-03-01,7,8,7,8,15
CHIPAYA,atencion odontologica, endodoncias,2014-03-01,0,2,0,2,2
CHUA COCANI,atencion odontologica, endodoncias,2014-03-01,1,6,1,6,7
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, endodoncias,2014-03-01,11,14,11,14,25
CHUMA,atencion odontologica, endodoncias,2014-03-01,15,22,15,22,37
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, endodoncias,2014-03-01,2,6,2,6,8
CLIZA,atencion odontologica, endodoncias,2014-03-01,3,8,3,8,11
COBIJA,atencion odontologica, endodoncias,2014-03-01,11,53,11,53,64
COCAPATA,atencion odontologica, endodoncias,2014-03-01,18,16,18,16,34
COCHABAMBA,atencion odontologica, endodoncias,2014-03-01,895,1106,895,1106,2001
COIPASA,atencion odontologica, endodoncias,2014-03-01,2,2,2,2,4
COLCAPIRHUA,atencion odontologica, endodoncias,2014-03-01,23,44,23,44,67
"COLCHA ""K""",atencion odontologica, endodoncias,2014-03-01,0,1,0,1,1
COLLANA,atencion odontologica, endodoncias,2014-03-01,2,18,2,18,20
COLOMI,atencion odontologica, endodoncias,2014-03-01,10,4,10,4,14
COLPA BELGICA,atencion odontologica, endodoncias,2014-03-01,0,3,0,3,3
COLQUECHACA,atencion odontologica, endodoncias,2014-03-01,8,16,8,16,24
COLQUENCHA,atencion odontologica, endodoncias,2014-03-01,9,11,9,11,20
COLQUIRI,atencion odontologica, endodoncias,2014-03-01,1,3,1,3,4
COMARAPA,atencion odontologica, endodoncias,2014-03-01,31,39,31,39,70
CONCEPCION,atencion odontologica, endodoncias,2014-03-01,0,24,0,24,24
COPACABANA,atencion odontologica, endodoncias,2014-03-01,6,4,6,4,10
CORO CORO,atencion odontologica, endodoncias,2014-03-01,0,1,0,1,1
CORQUE,atencion odontologica, endodoncias,2014-03-01,4,5,4,5,9
COTAGAITA,atencion odontologica, endodoncias,2014-03-01,40,42,40,42,82
COTOCA,atencion odontologica, endodoncias,2014-03-01,2,3,2,3,5
CUATRO CAÑADAS,atencion odontologica, endodoncias,2014-03-01,4,12,4,12,16
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, endodoncias,2014-03-01,2,0,2,0,2
CUEVO,atencion odontologica, endodoncias,2014-03-01,2,0,2,0,2
CULPINA,atencion odontologica, endodoncias,2014-03-01,4,11,4,11,15
CURAHUARA DE CARANGAS,atencion odontologica, endodoncias,2014-03-01,1,4,1,4,5
DESAGUADERO,atencion odontologica, endodoncias,2014-03-01,3,4,3,4,7
EL ALTO,atencion odontologica, endodoncias,2014-03-01,445,554,445,554,999
EL PUENTE(STC),atencion odontologica, endodoncias,2014-03-01,0,2,0,2,2
EL PUENTE(TJA),atencion odontologica, endodoncias,2014-03-01,10,20,10,20,30
EL TORNO,atencion odontologica, endodoncias,2014-03-01,22,42,22,42,64
EL VILLAR,atencion odontologica, endodoncias,2014-03-01,1,0,1,0,1
ENTRE RIOS TRJ,atencion odontologica, endodoncias,2014-03-01,4,19,4,19,23
ENTRE RIOS CBBA,atencion odontologica, endodoncias,2014-03-01,7,16,7,16,23
ESCOMA,atencion odontologica, endodoncias,2014-03-01,0,4,0,4,4
EUCALIPTUS,atencion odontologica, endodoncias,2014-03-01,3,5,3,5,8
FERNANDEZ ALONSO,atencion odontologica, endodoncias,2014-03-01,3,6,3,6,9
FILADELFIA,atencion odontologica, endodoncias,2014-03-01,3,1,3,1,4
GENERAL SAAVEDRA,atencion odontologica, endodoncias,2014-03-01,3,3,3,3,6
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, endodoncias,2014-03-01,2,4,2,4,6
GUANAY,atencion odontologica, endodoncias,2014-03-01,11,6,11,6,17
GUAQUI,atencion odontologica, endodoncias,2014-03-01,3,8,3,8,11
GUAYARAMERIN,atencion odontologica, endodoncias,2014-03-01,9,33,9,33,42
HUACARETA,atencion odontologica, endodoncias,2014-03-01,0,9,0,9,9
HUACAYA (VILLA DE HUACAYA),atencion odontologica, endodoncias,2014-03-01,4,5,4,5,9
HUACHACALLA,atencion odontologica, endodoncias,2014-03-01,0,3,0,3,3
HUANUNI,atencion odontologica, endodoncias,2014-03-01,10,16,10,16,26
HUARACAJE,atencion odontologica, endodoncias,2014-03-01,0,1,0,1,1
HUARINA,atencion odontologica, endodoncias,2014-03-01,1,0,1,0,1
HUATAJATA,atencion odontologica, endodoncias,2014-03-01,3,4,3,4,7
HUAYLLAMARCA,atencion odontologica, endodoncias,2014-03-01,4,4,4,4,8
HUMANATA,atencion odontologica, endodoncias,2014-03-01,7,12,7,12,19
ICLA,atencion odontologica, endodoncias,2014-03-01,15,5,15,5,20
INCAHUASI,atencion odontologica, endodoncias,2014-03-01,0,3,0,3,3
IRUPANA (VILLA DE LANZA),atencion odontologica, endodoncias,2014-03-01,5,9,5,9,14
IXIAMAS,atencion odontologica, endodoncias,2014-03-01,2,2,2,2,4
JESUS DE MACHACA,atencion odontologica, endodoncias,2014-03-01,3,5,3,5,8
LA ASUNTA,atencion odontologica, endodoncias,2014-03-01,15,17,15,17,32
LA GUARDIA,atencion odontologica, endodoncias,2014-03-01,12,18,12,18,30
LA PAZ,atencion odontologica, endodoncias,2014-03-01,821,1012,821,1012,1833
LAGUNILLAS,atencion odontologica, endodoncias,2014-03-01,0,3,0,3,3
LAS CARRERAS,atencion odontologica, endodoncias,2014-03-01,1,0,1,0,1
LICOMA PAMPA,atencion odontologica, endodoncias,2014-03-01,6,3,6,3,9
LLALLAGUA,atencion odontologica, endodoncias,2014-03-01,21,43,21,43,64
LLICA,atencion odontologica, endodoncias,2014-03-01,0,1,0,1,1
MACHACAMARCA,atencion odontologica, endodoncias,2014-03-01,1,0,1,0,1
MACHARETI,atencion odontologica, endodoncias,2014-03-01,1,0,1,0,1
MAGDALENA,atencion odontologica, endodoncias,2014-03-01,3,11,3,11,14
MAIRANA,atencion odontologica, endodoncias,2014-03-01,1,1,1,1,2
MAPIRI,atencion odontologica, endodoncias,2014-03-01,17,11,17,11,28
MECAPACA,atencion odontologica, endodoncias,2014-03-01,1,0,1,0,1
MINEROS,atencion odontologica, endodoncias,2014-03-01,0,5,0,5,5
MIZQUE,atencion odontologica, endodoncias,2014-03-01,3,4,3,4,7
MOCOMOCO,atencion odontologica, endodoncias,2014-03-01,0,3,0,3,3
MOJOCOYA,atencion odontologica, endodoncias,2014-03-01,7,10,7,10,17
MONTEAGUDO,atencion odontologica, endodoncias,2014-03-01,6,14,6,14,20
MONTERO,atencion odontologica, endodoncias,2014-03-01,42,45,42,45,87
MORO MORO,atencion odontologica, endodoncias,2014-03-01,0,1,0,1,1
MOROCHATA,atencion odontologica, endodoncias,2014-03-01,2,6,2,6,8
OCURI,atencion odontologica, endodoncias,2014-03-01,2,3,2,3,5
OKINAWA,atencion odontologica, endodoncias,2014-03-01,2,0,2,0,2
