,group,variable,month,TOTAL 3.2 CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,TOTAL 3.2 CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
TUPIZA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,53,40,53,40,93
TURCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,24,24,24,24,48
UMALA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,22,17,22,17,39
UNCIA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,26,33,26,33,59
URIONDO (A. CONCEPCION),atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,34,36,34,36,70
URUBICHA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,4,3,4,3,7
UYUNI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,39,21,39,21,60
VACAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,17,20,17,20,37
VALLEGRANDE,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,102,120,102,120,222
VIACHA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,210,199,210,199,409
VILA VILA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,6,4,6,4,10
VILLA CHARCAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,17,18,17,18,35
VILLA MONTES,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,44,78,44,78,122
VILLA NUEVA (LOMA ALTA),atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,3,5,3,5,8
VILLA RIVERO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,13,13,13,13,26
VILLA SERRANO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,130,104,130,104,234
VILLA TUNARI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,190,182,190,182,372
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,75,71,75,71,146
VILLAZON,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,150,186,150,186,336
VINTO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,178,148,178,148,326
VITICHI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,9,11,9,11,20
WALDO BALLIVIAN,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,7,4,7,4,11
WARNES,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,93,71,93,71,164
YACO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,1,3,1,3,4
YACUIBA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,19,23,19,23,42
YAMPARAEZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,117,112,117,112,229
YAPACANI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,142,172,142,172,314
YOCALLA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,23,22,23,22,45
YOTALA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,15,17,15,17,32
YUNCHARA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,10,7,10,7,17
ZUDAÑEZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,4,2,4,2,6
ACACIO,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,42,58,42,58,100
ACHACACHI,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,27,82,27,82,109
ACHOCALLA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,110,126,110,126,236
AIQUILE,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,89,67,89,67,156
ALALAY,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,1,0,1,0,1
ALCALA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,12,15,12,15,27
ALTO BENI,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,16,13,16,13,29
ANCORAIMES,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,19,18,19,18,37
ANDAMARCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,7,31,7,31,38
ANTEQUERA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,8,2,8,2,10
ANZALDO,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,58,43,58,43,101
APOLO,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,17,25,17,25,42
ARAMPAMPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,82,69,82,69,151
ARANI,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,43,68,43,68,111
ARBIETO,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,73,125,73,125,198
ARQUE,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,45,40,45,40,85
ASCENCION DE GUARAYOS,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,52,64,52,64,116
ATOCHA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,123,112,123,112,235
AUCAPATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,10,6,10,6,16
AYATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,17,8,17,8,25
AYO AYO,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,21,15,21,15,36
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,52,31,52,31,83
AZURDUY,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,29,26,29,26,55
BATALLAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,11,36,11,36,47
BAURES,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,13,8,13,8,21
BELEN DE ANDAMARCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,37,13,37,13,50
BELEN DE URMIRI,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,12,8,12,8,20
BERMEJO,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,102,84,102,84,186
BETANZOS,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,66,35,66,35,101
BOLIVAR,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,6,6,6,6,12
BOLPEBRA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,5,2,5,2,7
BUENA VISTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,1,5,1,5,6
CABEZAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,92,91,92,91,183
CAIROMA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,33,36,33,36,69
"CAIZA ""D""",atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,18,32,18,32,50
CAJUATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,33,38,33,38,71
CALACOTO,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,11,6,11,6,17
CALAMARCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,132,97,132,97,229
CAMARGO,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,85,157,85,157,242
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,8,3,8,3,11
CAMIRI,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,117,103,117,103,220
CAPINOTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,150,183,150,183,333
CAQUIAVIRI,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,36,25,36,25,61
CARACOLLO,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,57,75,57,75,132
CARANAVI,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,159,92,159,92,251
CARAPARI,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,11,9,11,9,20
CARIPUYO,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,16,12,16,12,28
CARMEN RIVERO TORREZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,18,25,18,25,43
CATACORA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,3,0,3,0,3
CHALLAPATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,256,196,256,196,452
CHAQUI,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,5,3,5,3,8
CHARAGUA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,57,61,57,61,118
CHARAÑA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,19,13,19,13,32
CHAYANTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,47,28,47,28,75
CHIMORE,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,117,140,117,140,257
CHIPAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,3,7,3,7,10
CHOQUE COTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,5,0,5,0,5
CHUA COCANI,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,6,9,6,9,15
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,45,49,45,49,94
CHUMA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,30,40,30,40,70
CKOCHAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,2,1,2,1,3
CLIZA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,76,42,76,42,118
COBIJA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,271,283,271,283,554
COCAPATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,26,47,26,47,73
COCHABAMBA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,2089,2176,2089,2176,4265
COIPASA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,8,8,8,8,16
COLCAPIRHUA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,281,368,281,368,649
"COLCHA ""K""",atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,18,31,18,31,49
COLLANA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,24,21,24,21,45
COLOMI,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,79,73,79,73,152
COLPA BELGICA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,22,39,22,39,61
COLQUECHACA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,62,34,62,34,96
COLQUENCHA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,0,2,0,2,2
COLQUIRI,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,26,36,26,36,62
COMANCHE,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,2,4,2,4,6
COMARAPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,42,59,42,59,101
CONCEPCION,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,73,84,73,84,157
COPACABANA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,33,36,33,36,69
CORIPATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,6,1,6,1,7
CORO CORO,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,9,0,9,0,9
CORQUE,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,1,4,1,4,5
COTAGAITA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,41,33,41,33,74
COTOCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,61,102,61,102,163
CUATRO CAÑADAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,115,175,115,175,290
CUEVO,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,9,13,9,13,22
CULPINA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,70,36,70,36,106
CURAHUARA DE CARANGAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,20,19,20,19,39
CURVA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,15,31,15,31,46
DESAGUADERO,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,10,14,10,14,24
EL ALTO,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,2688,2677,2688,2677,5365
EL CHORO,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,10,20,10,20,30
EL PUENTE(STC),atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,48,63,48,63,111
EL PUENTE(TJA),atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,14,6,14,6,20
EL TORNO,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,100,128,100,128,228
EL VILLAR,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,37,33,37,33,70
ENTRE RIOS TRJ,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,90,54,90,54,144
ENTRE RIOS CBBA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,132,198,132,198,330
ESCOMA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,10,4,10,4,14
EUCALIPTUS,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,7,35,7,35,42
FERNANDEZ ALONSO,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,34,26,34,26,60
FILADELFIA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,10,7,10,7,17
GENERAL SAAVEDRA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,21,21,21,21,42
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,87,91,87,91,178
GUANAY,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,26,46,26,46,72
GUAQUI,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,32,20,32,20,52
GUAYARAMERIN,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,58,64,58,64,122
GUTIERREZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,67,63,67,63,130
HUACARETA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,47,41,47,41,88
HUACAYA (VILLA DE HUACAYA),atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,22,20,22,20,42
HUACHACALLA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,0,5,0,5,5
HUANUNI,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,78,67,78,67,145
HUARACAJE,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,6,3,6,3,9
HUARINA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,4,2,4,2,6
HUATAJATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,25,26,25,26,51
HUAYLLAMARCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,39,15,39,15,54
HUMANATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,18,16,18,16,34
ICHOCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,14,22,14,22,36
ICLA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,124,78,124,78,202
INCAHUASI,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,69,51,69,51,120
INQUISIVI,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,37,30,37,30,67
IRUPANA (VILLA DE LANZA),atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,54,61,54,61,115
IXIAMAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,19,14,19,14,33
JESUS DE MACHACA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,11,30,11,30,41
LA ASUNTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,73,65,73,65,138
LA GUARDIA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,202,172,202,172,374
LA PAZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,3343,3401,3343,3401,6744
LAGUNILLAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,2,1,2,1,3
LAJA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,30,41,30,41,71
LAS CARRERAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,9,2,9,2,11
LICOMA PAMPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,23,11,23,11,34
LLALLAGUA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,213,207,213,207,420
LLICA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,5,11,5,11,16
LURIBAY,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,7,7,7,7,14
MACHACAMARCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,12,10,12,10,22
MACHARETI,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,21,20,21,20,41
MAGDALENA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,13,16,13,16,29
MAIRANA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,45,32,45,32,77
MALLA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,4,0,4,0,4
MAPIRI,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,37,29,37,29,66
MECAPACA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,19,10,19,10,29
MINEROS,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,39,43,39,43,82
MIZQUE,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,52,52,52,52,104
MOCOMOCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,10,20,10,20,30
MOJOCOYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,35,42,35,42,77
MONTEAGUDO,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,127,141,127,141,268
MONTERO,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,262,390,262,390,652
MORO MORO,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,38,49,38,49,87
MOROCHATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,106,87,106,87,193
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,3,0,3,0,3
OCURI,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,4,13,4,13,17
OKINAWA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,7,1,7,1,8
OMEREQUE,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,18,23,18,23,41
ORURO,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,845,933,845,933,1778
PADCAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,27,36,27,36,63
PADILLA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,40,67,40,67,107
PAILON,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,54,37,54,37,91
PALCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,99,93,99,93,192
PALOS BLANCOS,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,65,67,65,67,132
PAMPA AULLAGAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,20,22,20,22,42
PAMPA GRANDE,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,23,14,23,14,37
PAPEL PAMPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,75,11,75,11,86
PASORAPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,16,15,16,15,31
PATACAMAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,122,150,122,150,272
PAZÑA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,3,4,3,4,7
PELECHUCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,47,29,47,29,76
POCOATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,47,21,47,21,68
POCONA,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,58,102,58,102,160
POJO (CBBA),atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,64,66,64,66,130
POOPO,atencion odontologica, consultas nuevas menores de 5 anos,2014-02-01,20,16,20,16,36
