,group,variable,month,TOTAL 3.3 CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,TOTAL 3.3 CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
TIAWANACU,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,66,150,66,150,216
TINGUIPAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,19,53,19,53,72
TIPUANI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,55,44,55,44,99
TIQUIPAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,352,962,352,962,1314
TIRAQUE (CBBA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,32,89,32,89,121
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,14,11,14,11,25
TOCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,19,73,19,73,92
TOLATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,42,64,42,64,106
TOLEDO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,10,24,10,24,34
TOMAVE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,26,97,26,97,123
TOMINA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,88,175,88,175,263
TORO TORO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,63,104,63,104,167
TOTORA(CBBA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,58,114,58,114,172
TOTORA(ORR),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,3,13,3,13,16
TRIGAL,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,17,29,17,29,46
TRINIDAD,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,525,743,525,743,1268
TUPIZA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,111,141,111,141,252
TURCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,34,64,34,64,98
UMALA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,5,11,5,11,16
UNCIA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,69,142,69,142,211
URIONDO (A. CONCEPCION),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,387,816,387,816,1203
URUBICHA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,23,56,23,56,79
UYUNI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,109,184,109,184,293
VACAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,43,122,43,122,165
VALLEGRANDE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,89,139,89,139,228
VIACHA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,135,269,135,269,404
VILA VILA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,3,7,3,7,10
VILLA CHARCAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,20,51,20,51,71
VILLA MONTES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,659,1188,659,1188,1847
VILLA NUEVA (LOMA ALTA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,12,14,12,14,26
VILLA RIVERO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,14,56,14,56,70
VILLA SERRANO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,23,55,23,55,78
VILLA TUNARI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,150,258,150,258,408
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,63,150,63,150,213
VILLAZON,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,89,230,89,230,319
VINTO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,87,229,87,229,316
VITICHI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,25,59,25,59,84
WALDO BALLIVIAN,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,15,29,15,29,44
WARNES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,70,147,70,147,217
YACO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,10,15,10,15,25
YACUIBA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,510,1114,510,1114,1624
YAMPARAEZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,40,120,40,120,160
YAPACANI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,90,161,90,161,251
YOCALLA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,39,90,39,90,129
YOTALA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,18,78,18,78,96
YUNCHARA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,114,253,114,253,367
ZUDAÑEZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,16,66,16,66,82
ACACIO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,12,30,12,30,42
ACHACACHI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,82,242,82,242,324
ACHOCALLA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,38,89,38,89,127
AIQUILE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,59,68,59,68,127
ALALAY,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,0,14,0,14,14
ALCALA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,25,48,25,48,73
ALTO BENI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,13,40,13,40,53
ANCORAIMES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,18,28,18,28,46
ANDAMARCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,22,46,22,46,68
ANTEQUERA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,24,41,24,41,65
ANZALDO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,42,51,42,51,93
APOLO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,24,61,24,61,85
ARAMPAMPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,6,27,6,27,33
ARANI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,19,54,19,54,73
ARBIETO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,17,101,17,101,118
ARQUE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,48,108,48,108,156
ASCENCION DE GUARAYOS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,14,21,14,21,35
ATOCHA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,482,645,482,645,1127
AUCAPATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,27,28,27,28,55
AYATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,60,88,60,88,148
AYO AYO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,28,79,28,79,107
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,208,247,208,247,455
AZURDUY,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,9,20,9,20,29
BATALLAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,5,59,5,59,64
BAURES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,37,39,37,39,76
BELEN DE ANDAMARCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,18,18,18,18,36
BELEN DE URMIRI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,6,14,6,14,20
BERMEJO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,682,1070,682,1070,1752
BETANZOS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,90,192,90,192,282
BOLIVAR,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,16,28,16,28,44
BOLPEBRA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,1,4,1,4,5
BUENA VISTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,8,17,8,17,25
CABEZAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,113,186,113,186,299
CAIROMA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,73,106,73,106,179
"CAIZA ""D""",atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,19,57,19,57,76
CAJUATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,41,70,41,70,111
CALACOTO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,15,18,15,18,33
CALAMARCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,94,217,94,217,311
CAMARGO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,49,138,49,138,187
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,9,46,9,46,55
CAMIRI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,2802,173,2802,173,2975
CAPINOTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,145,214,145,214,359
CAQUIAVIRI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,30,73,30,73,103
CARACOLLO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,89,173,89,173,262
CARANAVI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,49,105,49,105,154
CARAPARI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,179,340,179,340,519
CARIPUYO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,22,36,22,36,58
CARMEN RIVERO TORREZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,15,39,15,39,54
CATACORA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,25,21,25,21,46
CHALLAPATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,341,390,341,390,731
CHAQUI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,18,9,18,9,27
CHARAGUA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,102,211,102,211,313
CHARAÑA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,2,3,2,3,5
CHAYANTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,26,112,26,112,138
CHIMORE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,61,62,61,62,123
CHIPAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,26,48,26,48,74
CHOQUE COTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,17,21,17,21,38
CHUA COCANI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,12,32,12,32,44
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,3,6,3,6,9
CHUMA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,125,237,125,237,362
CKOCHAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,28,20,28,20,48
CLIZA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,155,199,155,199,354
COBIJA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,445,589,445,589,1034
COCAPATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,56,121,56,121,177
COCHABAMBA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,3684,5415,3684,5415,9099
COIPASA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,45,36,45,36,81
COLCAPIRHUA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,60,92,60,92,152
"COLCHA ""K""",atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,9,14,9,14,23
COLLANA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,26,34,26,34,60
COLOMI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,27,47,27,47,74
COLPA BELGICA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,114,145,114,145,259
COLQUECHACA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,53,91,53,91,144
COLQUENCHA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,12,24,12,24,36
COLQUIRI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,72,159,72,159,231
COMANCHE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,10,35,10,35,45
COMARAPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,85,157,85,157,242
CONCEPCION,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,39,61,39,61,100
COPACABANA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,61,49,61,49,110
CORIPATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,1,2,1,2,3
CORO CORO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,21,32,21,32,53
CORQUE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,20,33,20,33,53
COTAGAITA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,156,237,156,237,393
COTOCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,1,169,1,169,170
CUATRO CAÑADAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,54,127,54,127,181
CUEVO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,41,59,41,59,100
CULPINA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,39,110,39,110,149
CURAHUARA DE CARANGAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,34,58,34,58,92
CURVA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,10,24,10,24,34
DESAGUADERO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,45,29,45,29,74
EL ALTO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,3440,5504,3440,5504,8944
EL CHORO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,18,5,18,5,23
EL PUENTE(STC),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,30,80,30,80,110
EL PUENTE(TJA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,91,196,91,196,287
EL TORNO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,243,414,243,414,657
EL VILLAR,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,14,29,14,29,43
ENTRE RIOS TRJ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,278,507,278,507,785
ENTRE RIOS CBBA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,6,19,6,19,25
ESCOMA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,37,34,37,34,71
EUCALIPTUS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,30,37,30,37,67
FERNANDEZ ALONSO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,55,90,55,90,145
FILADELFIA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,35,41,35,41,76
GENERAL SAAVEDRA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,9,62,9,62,71
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,79,97,79,97,176
GUANAY,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,18,30,18,30,48
GUAQUI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,49,74,49,74,123
GUAYARAMERIN,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,300,477,300,477,777
GUTIERREZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,41,129,41,129,170
HUACARETA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,10,59,10,59,69
HUACAYA (VILLA DE HUACAYA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,22,58,22,58,80
HUACHACALLA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,25,11,25,11,36
HUANUNI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,82,95,82,95,177
HUARACAJE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,12,16,12,16,28
HUARINA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,10,29,10,29,39
HUATAJATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,6,35,6,35,41
HUAYLLAMARCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,66,120,66,120,186
HUMANATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,36,40,36,40,76
ICHOCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,9,33,9,33,42
ICLA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,32,72,32,72,104
INCAHUASI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,50,74,50,74,124
INQUISIVI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,29,78,29,78,107
IRUPANA (VILLA DE LANZA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,55,91,55,91,146
IXIAMAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,80,93,80,93,173
JESUS DE MACHACA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,46,104,46,104,150
LA ASUNTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,147,156,147,156,303
LA GUARDIA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,64,90,64,90,154
LA PAZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,3511,6458,3511,6458,9969
LA RIVERA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,2,7,2,7,9
LAGUNILLAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,26,54,26,54,80
LAJA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,36,58,36,58,94
LAS CARRERAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,14,36,14,36,50
LICOMA PAMPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,19,36,19,36,55
LLALLAGUA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,74,326,74,326,400
LLICA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,54,78,54,78,132
LURIBAY,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,16,29,16,29,45
MACHACAMARCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,42,30,42,30,72
MACHARETI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,15,19,15,19,34
MAGDALENA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,95,136,95,136,231
MAIRANA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,20,44,20,44,64
MALLA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,3,3,3,3,6
MAPIRI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,59,129,59,129,188
MECAPACA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,41,34,41,34,75
MINEROS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,4,145,4,145,149
MIZQUE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,68,121,68,121,189
MOCOMOCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,56,103,56,103,159
MOJOCOYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,71,132,71,132,203
MONTEAGUDO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,113,421,113,421,534
MONTERO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,143,416,143,416,559
MORO MORO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,12,12,12,12,24
MOROCHATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,48,51,48,51,99
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,1,0,1,0,1
OCURI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,40,67,40,67,107
OKINAWA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,3,26,3,26,29
OMEREQUE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,12,29,12,29,41
ORURO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,1435,2266,1435,2266,3701
PADCAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,196,318,196,318,514
PADILLA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,75,144,75,144,219
PAILON,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,37,38,37,38,75
PALCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,70,138,70,138,208
PALOS BLANCOS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,39,76,39,76,115
PAMPA AULLAGAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,9,28,9,28,37
PAMPA GRANDE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,0,15,0,15,15
PAPEL PAMPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,22,44,22,44,66
PASORAPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,107,154,107,154,261
PATACAMAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,41,95,41,95,136
PAZÑA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,10,19,10,19,29
PELECHUCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,16,46,16,46,62
POCOATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,40,66,40,66,106
POCONA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,72,109,72,109,181
POJO (CBBA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,45,97,45,97,142
POOPO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,16,16,16,16,32
PORCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,11,14,11,14,25
POROMA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-02-01,33,27,33,27,60
