,group,variable,month,TOTAL 3.7 RESTAURACIONES CANTIDAD,TOTAL 3.7 RESTAURACIONES CANTIDAD,TOTALES,TOTALES,TOTALES
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, restauraciones,2014-02-01,4,27,4,27,31
CAMIRI,atencion odontologica, restauraciones,2014-02-01,64,214,64,214,278
CAPINOTA,atencion odontologica, restauraciones,2014-02-01,127,115,127,115,242
CAQUIAVIRI,atencion odontologica, restauraciones,2014-02-01,12,26,12,26,38
CARACOLLO,atencion odontologica, restauraciones,2014-02-01,45,99,45,99,144
CARANAVI,atencion odontologica, restauraciones,2014-02-01,108,146,108,146,254
CARAPARI,atencion odontologica, restauraciones,2014-02-01,100,160,100,160,260
CARIPUYO,atencion odontologica, restauraciones,2014-02-01,18,19,18,19,37
CARMEN RIVERO TORREZ,atencion odontologica, restauraciones,2014-02-01,6,22,6,22,28
CATACORA,atencion odontologica, restauraciones,2014-02-01,13,6,13,6,19
CHALLAPATA,atencion odontologica, restauraciones,2014-02-01,216,286,216,286,502
CHARAGUA,atencion odontologica, restauraciones,2014-02-01,71,71,71,71,142
CHARAÑA,atencion odontologica, restauraciones,2014-02-01,0,2,0,2,2
CHAYANTA,atencion odontologica, restauraciones,2014-02-01,26,71,26,71,97
CHIMORE,atencion odontologica, restauraciones,2014-02-01,39,91,39,91,130
CHIPAYA,atencion odontologica, restauraciones,2014-02-01,8,17,8,17,25
CHOQUE COTA,atencion odontologica, restauraciones,2014-02-01,1,4,1,4,5
CHUA COCANI,atencion odontologica, restauraciones,2014-02-01,4,18,4,18,22
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, restauraciones,2014-02-01,27,56,27,56,83
CHUMA,atencion odontologica, restauraciones,2014-02-01,36,75,36,75,111
CKOCHAS,atencion odontologica, restauraciones,2014-02-01,5,8,5,8,13
CLIZA,atencion odontologica, restauraciones,2014-02-01,60,98,60,98,158
COBIJA,atencion odontologica, restauraciones,2014-02-01,331,462,331,462,793
COCAPATA,atencion odontologica, restauraciones,2014-02-01,29,58,29,58,87
COCHABAMBA,atencion odontologica, restauraciones,2014-02-01,3882,5588,3882,5588,9470
COIPASA,atencion odontologica, restauraciones,2014-02-01,23,41,23,41,64
COLCAPIRHUA,atencion odontologica, restauraciones,2014-02-01,197,387,197,387,584
"COLCHA ""K""",atencion odontologica, restauraciones,2014-02-01,6,25,6,25,31
COLLANA,atencion odontologica, restauraciones,2014-02-01,16,5,16,5,21
COLOMI,atencion odontologica, restauraciones,2014-02-01,24,44,24,44,68
COLPA BELGICA,atencion odontologica, restauraciones,2014-02-01,7,44,7,44,51
COLQUECHACA,atencion odontologica, restauraciones,2014-02-01,36,44,36,44,80
COLQUENCHA,atencion odontologica, restauraciones,2014-02-01,15,19,15,19,34
COLQUIRI,atencion odontologica, restauraciones,2014-02-01,19,59,19,59,78
COMANCHE,atencion odontologica, restauraciones,2014-02-01,6,1,6,1,7
COMARAPA,atencion odontologica, restauraciones,2014-02-01,56,200,56,200,256
CONCEPCION,atencion odontologica, restauraciones,2014-02-01,13,37,13,37,50
COPACABANA,atencion odontologica, restauraciones,2014-02-01,16,26,16,26,42
CORIPATA,atencion odontologica, restauraciones,2014-02-01,8,10,8,10,18
CORO CORO,atencion odontologica, restauraciones,2014-02-01,18,10,18,10,28
CORQUE,atencion odontologica, restauraciones,2014-02-01,6,15,6,15,21
COTAGAITA,atencion odontologica, restauraciones,2014-02-01,106,173,106,173,279
COTOCA,atencion odontologica, restauraciones,2014-02-01,17,77,17,77,94
CUATRO CAÑADAS,atencion odontologica, restauraciones,2014-02-01,27,102,27,102,129
CUEVO,atencion odontologica, restauraciones,2014-02-01,19,21,19,21,40
CULPINA,atencion odontologica, restauraciones,2014-02-01,19,27,19,27,46
CURAHUARA DE CARANGAS,atencion odontologica, restauraciones,2014-02-01,10,22,10,22,32
CURVA,atencion odontologica, restauraciones,2014-02-01,5,16,5,16,21
DESAGUADERO,atencion odontologica, restauraciones,2014-02-01,30,60,30,60,90
EL ALTO,atencion odontologica, restauraciones,2014-02-01,3346,4719,3346,4719,8065
EL CHORO,atencion odontologica, restauraciones,2014-02-01,6,6,6,6,12
EL PUENTE(STC),atencion odontologica, restauraciones,2014-02-01,12,40,12,40,52
EL PUENTE(TJA),atencion odontologica, restauraciones,2014-02-01,18,73,18,73,91
EL TORNO,atencion odontologica, restauraciones,2014-02-01,98,245,98,245,343
EL VILLAR,atencion odontologica, restauraciones,2014-02-01,12,18,12,18,30
ENTRE RIOS TRJ,atencion odontologica, restauraciones,2014-02-01,92,215,92,215,307
ENTRE RIOS CBBA,atencion odontologica, restauraciones,2014-02-01,43,138,43,138,181
ESCOMA,atencion odontologica, restauraciones,2014-02-01,20,12,20,12,32
EUCALIPTUS,atencion odontologica, restauraciones,2014-02-01,11,33,11,33,44
FERNANDEZ ALONSO,atencion odontologica, restauraciones,2014-02-01,34,63,34,63,97
FILADELFIA,atencion odontologica, restauraciones,2014-02-01,11,19,11,19,30
GENERAL SAAVEDRA,atencion odontologica, restauraciones,2014-02-01,5,34,5,34,39
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, restauraciones,2014-02-01,31,49,31,49,80
GUANAY,atencion odontologica, restauraciones,2014-02-01,21,23,21,23,44
GUAQUI,atencion odontologica, restauraciones,2014-02-01,18,28,18,28,46
GUAYARAMERIN,atencion odontologica, restauraciones,2014-02-01,268,432,268,432,700
GUTIERREZ,atencion odontologica, restauraciones,2014-02-01,28,39,28,39,67
HUACARETA,atencion odontologica, restauraciones,2014-02-01,22,55,22,55,77
HUACAYA (VILLA DE HUACAYA),atencion odontologica, restauraciones,2014-02-01,19,26,19,26,45
HUACHACALLA,atencion odontologica, restauraciones,2014-02-01,18,4,18,4,22
HUANUNI,atencion odontologica, restauraciones,2014-02-01,62,136,62,136,198
HUARACAJE,atencion odontologica, restauraciones,2014-02-01,8,11,8,11,19
HUARINA,atencion odontologica, restauraciones,2014-02-01,2,9,2,9,11
HUATAJATA,atencion odontologica, restauraciones,2014-02-01,7,9,7,9,16
HUAYLLAMARCA,atencion odontologica, restauraciones,2014-02-01,55,52,55,52,107
HUMANATA,atencion odontologica, restauraciones,2014-02-01,11,12,11,12,23
ICHOCA,atencion odontologica, restauraciones,2014-02-01,6,17,6,17,23
ICLA,atencion odontologica, restauraciones,2014-02-01,36,46,36,46,82
INCAHUASI,atencion odontologica, restauraciones,2014-02-01,53,62,53,62,115
INQUISIVI,atencion odontologica, restauraciones,2014-02-01,15,29,15,29,44
IRUPANA (VILLA DE LANZA),atencion odontologica, restauraciones,2014-02-01,40,66,40,66,106
IXIAMAS,atencion odontologica, restauraciones,2014-02-01,12,25,12,25,37
JESUS DE MACHACA,atencion odontologica, restauraciones,2014-02-01,32,39,32,39,71
LA ASUNTA,atencion odontologica, restauraciones,2014-02-01,34,62,34,62,96
LA GUARDIA,atencion odontologica, restauraciones,2014-02-01,83,136,83,136,219
LA PAZ,atencion odontologica, restauraciones,2014-02-01,257608,6445,257608,6445,264053
LA RIVERA,atencion odontologica, restauraciones,2014-02-01,1,2,1,2,3
LAGUNILLAS,atencion odontologica, restauraciones,2014-02-01,10,38,10,38,48
LAJA,atencion odontologica, restauraciones,2014-02-01,14,28,14,28,42
LAS CARRERAS,atencion odontologica, restauraciones,2014-02-01,6,12,6,12,18
LICOMA PAMPA,atencion odontologica, restauraciones,2014-02-01,27,13,27,13,40
LLALLAGUA,atencion odontologica, restauraciones,2014-02-01,85,259,85,259,344
LLICA,atencion odontologica, restauraciones,2014-02-01,11,20,11,20,31
LURIBAY,atencion odontologica, restauraciones,2014-02-01,11,15,11,15,26
MACHACAMARCA,atencion odontologica, restauraciones,2014-02-01,20,17,20,17,37
MACHARETI,atencion odontologica, restauraciones,2014-02-01,8,10,8,10,18
MAGDALENA,atencion odontologica, restauraciones,2014-02-01,62,85,62,85,147
MAIRANA,atencion odontologica, restauraciones,2014-02-01,11,27,11,27,38
MALLA,atencion odontologica, restauraciones,2014-02-01,5,7,5,7,12
MAPIRI,atencion odontologica, restauraciones,2014-02-01,36,77,36,77,113
MECAPACA,atencion odontologica, restauraciones,2014-02-01,19,24,19,24,43
MINEROS,atencion odontologica, restauraciones,2014-02-01,21,115,21,115,136
MIZQUE,atencion odontologica, restauraciones,2014-02-01,52,95,52,95,147
MOCOMOCO,atencion odontologica, restauraciones,2014-02-01,13,34,13,34,47
MOJOCOYA,atencion odontologica, restauraciones,2014-02-01,26,51,26,51,77
MONTEAGUDO,atencion odontologica, restauraciones,2014-02-01,124,216,124,216,340
MONTERO,atencion odontologica, restauraciones,2014-02-01,112,275,112,275,387
MORO MORO,atencion odontologica, restauraciones,2014-02-01,3,2,3,2,5
MOROCHATA,atencion odontologica, restauraciones,2014-02-01,44,79,44,79,123
OCURI,atencion odontologica, restauraciones,2014-02-01,7,29,7,29,36
OKINAWA,atencion odontologica, restauraciones,2014-02-01,0,8,0,8,8
OMEREQUE,atencion odontologica, restauraciones,2014-02-01,12,17,12,17,29
ORURO,atencion odontologica, restauraciones,2014-02-01,914,1649,914,1649,2563
PADCAYA,atencion odontologica, restauraciones,2014-02-01,58,126,58,126,184
PADILLA,atencion odontologica, restauraciones,2014-02-01,39,100,39,100,139
PAILON,atencion odontologica, restauraciones,2014-02-01,32,98,32,98,130
PALCA,atencion odontologica, restauraciones,2014-02-01,34,50,34,50,84
PALOS BLANCOS,atencion odontologica, restauraciones,2014-02-01,25,95,25,95,120
PAMPA AULLAGAS,atencion odontologica, restauraciones,2014-02-01,9,30,9,30,39
PAMPA GRANDE,atencion odontologica, restauraciones,2014-02-01,9,20,9,20,29
PAPEL PAMPA,atencion odontologica, restauraciones,2014-02-01,37,71,37,71,108
PASORAPA,atencion odontologica, restauraciones,2014-02-01,6,5,6,5,11
PATACAMAYA,atencion odontologica, restauraciones,2014-02-01,62,59,62,59,121
PAZÑA,atencion odontologica, restauraciones,2014-02-01,3,26,3,26,29
PELECHUCO,atencion odontologica, restauraciones,2014-02-01,38,49,38,49,87
POCOATA,atencion odontologica, restauraciones,2014-02-01,15,23,15,23,38
POCONA,atencion odontologica, restauraciones,2014-02-01,50,105,50,105,155
POJO (CBBA),atencion odontologica, restauraciones,2014-02-01,45,94,45,94,139
POOPO,atencion odontologica, restauraciones,2014-02-01,36,41,36,41,77
PORCO,atencion odontologica, restauraciones,2014-02-01,7,4,7,4,11
POROMA,atencion odontologica, restauraciones,2014-02-01,13,9,13,9,22
PORONGO,atencion odontologica, restauraciones,2014-02-01,6,6,6,6,12
PORTACHUELO,atencion odontologica, restauraciones,2014-02-01,40,84,40,84,124
PORVENIR,atencion odontologica, restauraciones,2014-02-01,53,86,53,86,139
POSTRER VALLE,atencion odontologica, restauraciones,2014-02-01,16,14,16,14,30
POTOSI,atencion odontologica, restauraciones,2014-02-01,635,1365,635,1365,2000
PRESTO,atencion odontologica, restauraciones,2014-02-01,13,21,13,21,34
PUCARA,atencion odontologica, restauraciones,2014-02-01,1,7,1,7,8
PUCARANI,atencion odontologica, restauraciones,2014-02-01,36,59,36,59,95
PUERTO ACOSTA,atencion odontologica, restauraciones,2014-02-01,6,18,6,18,24
PUERTO CARABUCO,atencion odontologica, restauraciones,2014-02-01,93,51,93,51,144
PUERTO GONZALO MORENO,atencion odontologica, restauraciones,2014-02-01,66,69,66,69,135
PUERTO QUIJARRO,atencion odontologica, restauraciones,2014-02-01,27,94,27,94,121
PUERTO RICO,atencion odontologica, restauraciones,2014-02-01,20,20,20,20,40
PUERTO SUAREZ,atencion odontologica, restauraciones,2014-02-01,7,32,7,32,39
PUERTO VILLARROEL,atencion odontologica, restauraciones,2014-02-01,79,174,79,174,253
PUNA,atencion odontologica, restauraciones,2014-02-01,30,63,30,63,93
PUNATA,atencion odontologica, restauraciones,2014-02-01,114,201,114,201,315
QUIABAYA,atencion odontologica, restauraciones,2014-02-01,2,5,2,5,7
QUILLACOLLO,atencion odontologica, restauraciones,2014-02-01,712,1044,712,1044,1756
QUIME,atencion odontologica, restauraciones,2014-02-01,78,74,78,74,152
QUIRUSILLAS,atencion odontologica, restauraciones,2014-02-01,0,5,0,5,5
RAVELO,atencion odontologica, restauraciones,2014-02-01,5,40,5,40,45
REYES,atencion odontologica, restauraciones,2014-02-01,27,28,27,28,55
RIBERALTA,atencion odontologica, restauraciones,2014-02-01,173,427,173,427,600
ROBORE,atencion odontologica, restauraciones,2014-02-01,46,69,46,69,115
RURRENABAQUE,atencion odontologica, restauraciones,2014-02-01,87,81,87,81,168
SABAYA,atencion odontologica, restauraciones,2014-02-01,10,22,10,22,32
SACABA,atencion odontologica, restauraciones,2014-02-01,429,758,429,758,1187
SACABAMBA,atencion odontologica, restauraciones,2014-02-01,4,16,4,16,20
SACACA,atencion odontologica, restauraciones,2014-02-01,16,32,16,32,48
SALINAS DE GARCI MENDOZA,atencion odontologica, restauraciones,2014-02-01,81,100,81,100,181
SAMAIPATA,atencion odontologica, restauraciones,2014-02-01,25,50,25,50,75
SAN AGUSTIN,atencion odontologica, restauraciones,2014-02-01,1,1,1,1,2
SAN ANDRES,atencion odontologica, restauraciones,2014-02-01,13,25,13,25,38
SAN ANDRES DE MACHACA,atencion odontologica, restauraciones,2014-02-01,19,19,19,19,38
SAN ANTONIO DE ESMORUCO,atencion odontologica, restauraciones,2014-02-01,1,6,1,6,7
SAN ANTONIO DE LOMERIO,atencion odontologica, restauraciones,2014-02-01,7,8,7,8,15
SAN BENITO,atencion odontologica, restauraciones,2014-02-01,6,21,6,21,27
SAN BORJA,atencion odontologica, restauraciones,2014-02-01,28,53,28,53,81
SAN BUENA VENTURA,atencion odontologica, restauraciones,2014-02-01,12,35,12,35,47
SAN CARLOS,atencion odontologica, restauraciones,2014-02-01,50,77,50,77,127
SAN IGNACIO,atencion odontologica, restauraciones,2014-02-01,139,313,139,313,452
SAN IGNACIO DE VELASCO,atencion odontologica, restauraciones,2014-02-01,56,55,56,55,111
SAN JAVIER(BNI),atencion odontologica, restauraciones,2014-02-01,4,6,4,6,10
SAN JAVIER(STC),atencion odontologica, restauraciones,2014-02-01,20,25,20,25,45
SAN JOAQUIN,atencion odontologica, restauraciones,2014-02-01,8,22,8,22,30
SAN JOSE DE CHIQUITOS,atencion odontologica, restauraciones,2014-02-01,79,56,79,56,135
SAN JUAN DE YAPACANI,atencion odontologica, restauraciones,2014-02-01,15,44,15,44,59
SAN JULIAN,atencion odontologica, restauraciones,2014-02-01,85,185,85,185,270
SAN LORENZO(PND),atencion odontologica, restauraciones,2014-02-01,13,4,13,4,17
SAN LORENZO(TJA),atencion odontologica, restauraciones,2014-02-01,97,296,97,296,393
SAN LUCAS,atencion odontologica, restauraciones,2014-02-01,33,75,33,75,108
SAN MATIAS,atencion odontologica, restauraciones,2014-02-01,12,16,12,16,28
SAN MIGUEL DE VELASCO,atencion odontologica, restauraciones,2014-02-01,23,23,23,23,46
SAN PEDRO,atencion odontologica, restauraciones,2014-02-01,37,77,37,77,114
SAN PEDRO DE BUENA VISTA,atencion odontologica, restauraciones,2014-02-01,23,52,23,52,75
SAN PEDRO DE CURAHUARA,atencion odontologica, restauraciones,2014-02-01,2,3,2,3,5
SAN PEDRO DE QUEMES,atencion odontologica, restauraciones,2014-02-01,0,9,0,9,9
SAN PEDRO DE TIQUINA,atencion odontologica, restauraciones,2014-02-01,10,8,10,8,18
SAN RAFAEL,atencion odontologica, restauraciones,2014-02-01,5,28,5,28,33
SAN RAMON BENI,atencion odontologica, restauraciones,2014-02-01,2,13,2,13,15
SAN RAMON SCZ,atencion odontologica, restauraciones,2014-02-01,32,43,32,43,75
SANTA ANA,atencion odontologica, restauraciones,2014-02-01,5,65,5,65,70
SANTA CRUZ DE LA SIERRA,atencion odontologica, restauraciones,2014-02-01,2659,5588,2659,5588,8247
SANTA ROSA,atencion odontologica, restauraciones,2014-02-01,3,5,3,5,8
SANTA ROSA DEL SARA,atencion odontologica, restauraciones,2014-02-01,21,145,21,145,166
SANTIAGO DE HUARI,atencion odontologica, restauraciones,2014-02-01,158,169,158,169,327
SANTIAGO DE HUATA,atencion odontologica, restauraciones,2014-02-01,13,11,13,11,24
SANTIAGO DE MACHACA,atencion odontologica, restauraciones,2014-02-01,25,39,25,39,64
SANTIVAÑES,atencion odontologica, restauraciones,2014-02-01,19,33,19,33,52
SANTUARIO DE QUILLACAS,atencion odontologica, restauraciones,2014-02-01,12,10,12,10,22
SAPAHAQUI,atencion odontologica, restauraciones,2014-02-01,16,15,16,15,31
SENA,atencion odontologica, restauraciones,2014-02-01,7,2,7,2,9
SHINAOTA,atencion odontologica, restauraciones,2014-02-01,31,91,31,91,122
SICA SICA (VILLA AROMA),atencion odontologica, restauraciones,2014-02-01,28,63,28,63,91
SICAYA,atencion odontologica, restauraciones,2014-02-01,5,12,5,12,17
SIPE SIPE,atencion odontologica, restauraciones,2014-02-01,86,292,86,292,378
SOPACHUY,atencion odontologica, restauraciones,2014-02-01,19,51,19,51,70
SORACACHI,atencion odontologica, restauraciones,2014-02-01,25,38,25,38,63
SORATA,atencion odontologica, restauraciones,2014-02-01,36,108,36,108,144
SUCRE,atencion odontologica, restauraciones,2014-02-01,2353,3498,2353,3498,5851
TACACHI,atencion odontologica, restauraciones,2014-02-01,0,6,0,6,6
TACACOMA,atencion odontologica, restauraciones,2014-02-01,5,11,5,11,16
TACOBAMBA,atencion odontologica, restauraciones,2014-02-01,0,7,0,7,7
TACOPAYA,atencion odontologica, restauraciones,2014-02-01,8,20,8,20,28
TAPACARI,atencion odontologica, restauraciones,2014-02-01,77,67,77,67,144
TARABUCO,atencion odontologica, restauraciones,2014-02-01,18,48,18,48,66
TARACO,atencion odontologica, restauraciones,2014-02-01,22,25,22,25,47
TARATA,atencion odontologica, restauraciones,2014-02-01,40,49,40,49,89
TARIJA,atencion odontologica, restauraciones,2014-02-01,1593,3176,1593,3176,4769
TARVITA,atencion odontologica, restauraciones,2014-02-01,9,31,9,31,40
TEOPONTE,atencion odontologica, restauraciones,2014-02-01,14,35,14,35,49
TIAWANACU,atencion odontologica, restauraciones,2014-02-01,35,25,35,25,60
TINGUIPAYA,atencion odontologica, restauraciones,2014-02-01,3,17,3,17,20
TIPUANI,atencion odontologica, restauraciones,2014-02-01,8,9,8,9,17
TIQUIPAYA,atencion odontologica, restauraciones,2014-02-01,334,742,334,742,1076
TIRAQUE (CBBA),atencion odontologica, restauraciones,2014-02-01,21,39,21,39,60
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, restauraciones,2014-02-01,4,4,4,4,8
TOCO,atencion odontologica, restauraciones,2014-02-01,24,17,24,17,41
TOLATA,atencion odontologica, restauraciones,2014-02-01,14,18,14,18,32
TOLEDO,atencion odontologica, restauraciones,2014-02-01,3,22,3,22,25
TOMAVE,atencion odontologica, restauraciones,2014-02-01,27,72,27,72,99
TOMINA,atencion odontologica, restauraciones,2014-02-01,25,61,25,61,86
TORO TORO,atencion odontologica, restauraciones,2014-02-01,19,47,19,47,66
TOTORA(CBBA),atencion odontologica, restauraciones,2014-02-01,71,79,71,79,150
TOTORA(ORR),atencion odontologica, restauraciones,2014-02-01,7,11,7,11,18
TRIGAL,atencion odontologica, restauraciones,2014-02-01,24,35,24,35,59
TRINIDAD,atencion odontologica, restauraciones,2014-02-01,305,401,305,401,706
TUPIZA,atencion odontologica, restauraciones,2014-02-01,191,227,191,227,418
TURCO,atencion odontologica, restauraciones,2014-02-01,7,38,7,38,45
UNCIA,atencion odontologica, restauraciones,2014-02-01,56,72,56,72,128
URIONDO (A. CONCEPCION),atencion odontologica, restauraciones,2014-02-01,200,341,200,341,541
URUBICHA,atencion odontologica, restauraciones,2014-02-01,7,16,7,16,23
UYUNI,atencion odontologica, restauraciones,2014-02-01,25,37,25,37,62
VACAS,atencion odontologica, restauraciones,2014-02-01,25,68,25,68,93
VALLEGRANDE,atencion odontologica, restauraciones,2014-02-01,95,148,95,148,243
VIACHA,atencion odontologica, restauraciones,2014-02-01,122,168,122,168,290
VILLA CHARCAS,atencion odontologica, restauraciones,2014-02-01,10,19,10,19,29
VILLA MONTES,atencion odontologica, restauraciones,2014-02-01,257,456,257,456,713
VILLA RIVERO,atencion odontologica, restauraciones,2014-02-01,28,50,28,50,78
VILLA SERRANO,atencion odontologica, restauraciones,2014-02-01,33,81,33,81,114
