,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES,TOTALES,TOTALES
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,4,3,4,3,7
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,0,4,0,4,4
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,3,0,3,0,3
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,5,1,5,1,6
VILLA NUEVA (LOMA ALTA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,0,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,8,6,8,6,14
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,3,1,3,1,4
VITICHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,0,1,0,1,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,7,4,7,4,11
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,8,3,8,3,11
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,4,1,4,5
YOTALA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-10-01,1,1,1,1,2
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,0,2,0,2,2
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,1,1,1,2
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,0,1,0,1,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
ANZALDO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
BATALLAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,4,2,4,2,6
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,1,1,1,2
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,0,1,0,1,1
CAMARGO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,1,1,1,2
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,2,1,2,3
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,8,6,8,6,14
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,2,1,2,1,3
CHAYANTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,0,1,0,1,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,3,1,3,1,4
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,10,13,10,13,23
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,0,1,0,1,1
COLQUECHACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
COMBAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,2,0,2,0,2
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,3,0,3,0,3
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,1,1,1,2
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,1,1,1,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,27,21,27,21,48
EL PUENTE(TJA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,0,1,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,3,0,3,0,3
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,2,2,2,2,4
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,0,1,0,1,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,3,0,3,0,3
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,2,1,2,3
GUTIERREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,0,1,0,1,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
HUMANATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,1,1,1,2
IXIAMAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,4,3,4,3,7
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,5,3,5,3,8
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,56,27,56,27,83
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
LURIBAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,0,1,0,1,1
MAGDALENA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,0,1,0,1,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,2,0,2,0,2
MECAPACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,0,2,0,2,2
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,1,1,1,2
MOJOCOYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,8,4,8,4,12
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,7,5,7,5,12
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,4,0,4,0,4
PAMPA GRANDE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,0,1,0,1,1
PORCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,7,5,7,5,12
PRESTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,2,0,2,0,2
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,5,1,5,1,6
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,2,3,2,3,5
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,8,3,8,3,11
RAVELO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,0,1,0,1,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,4,1,4,1,5
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,1,1,1,2
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,3,4,3,4,7
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
SAMAIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
SAN BENITO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,0,1,0,1,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,3,0,3,0,3
SAN JUAN DE YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,2,0,2,0,2
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,0,2,0,2,2
SAN MATIAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
SAN PABLO DE LIPEZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
SANTA ANA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,95,47,95,47,142
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
SANTIAGO DE HUATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,0,1,0,1,1
SANTIVAÑES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
SAPAHAQUI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,1,1,1,2
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,3,0,3,0,3
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,3,0,3,0,3
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,6,1,6,1,7
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,21,16,21,16,37
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,1,1,1,2
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,0,2,0,2,2
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,4,1,4,1,5
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,2,0,2,0,2
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,2,1,2,1,3
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,0,1,0,1,1
TURCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,1,1,1,2
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,3,3,3,3,6
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,4,2,4,2,6
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,2,0,2,0,2
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,4,0,4,0,4
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,2,5,2,5,7
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,12,3,12,3,15
YAMPARAEZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,2,0,2,0,2
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,4,4,4,4,8
YOTALA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,1,1,1,2
ZUDAÑEZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-11-01,1,0,1,0,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
ARANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,0,1,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
BATALLAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
CALAMARCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,4,3,4,3,7
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,3,0,3,0,3
CARACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,3,4,3,4,7
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
CARMEN RIVERO TORREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,2,0,2,0,2
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,3,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,4,1,4,1,5
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,4,0,4,0,4
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,17,7,17,7,24
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,0,1,0,1,1
COLPA BELGICA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
COLQUECHACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
COMARAPA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,1,1,1,2
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,3,0,3,0,3
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,3,0,3,0,3
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,3,1,3,1,4
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,47,18,47,18,65
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,3,5,3,5,8
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,1,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,6,0,6,0,6
EUCALIPTUS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
HUARINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,2,1,2,3
IXIAMAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,0,1,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,2,0,2,0,2
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,2,1,2,1,3
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,75,45,75,45,120
LICOMA PAMPA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
LORETO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
MACHARETI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,2,0,2,0,2
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,0,1,0,1,1
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
MOJOCOYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,0,1,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,4,6,4,6,10
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,5,3,5,3,8
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,2,0,2,0,2
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,3,1,3,1,4
PAZÑA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,2,0,2,0,2
POOPO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,3,2,3,2,5
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,0,1,0,1,1
PUERTO ACOSTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,0,1,0,1,1
PUERTO GONZALO MORENO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,2,1,2,1,3
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,2,0,2,0,2
PUNA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,0,1,0,1,1
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,3,0,3,0,3
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,5,2,5,2,7
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,4,3,4,3,7
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,2,0,2,0,2
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,4,3,4,3,7
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,2,0,2,0,2
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,0,2,0,2,2
SAN JOAQUIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,1,1,1,2
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,0,1,0,1,1
SAN MATIAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,0,2,0,2,2
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,1,1,1,2
SANTA ANA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,81,64,81,64,145
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,2,1,2,1,3
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,1,1,1,2
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
SOPACHUY,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,1,1,1,2
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,2,0,2,0,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,12,5,12,5,17
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
TACOPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,0,1,0,1,1
TARATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,6,7,6,7,13
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,2,3,2,3,5
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,1,1,1,2
TOCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,0,1,0,1,1
TOMAVE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,4,3,4,3,7
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,2,0,2,0,2
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,2,0,2,0,2
VILA VILA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,5,1,5,1,6
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,2,3,2,3,5
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,3,0,3,0,3
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,5,1,5,1,6
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,2,1,2,3
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,8,9,8,9,17
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,0,2,0,2,2
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,3,3,3,3,6
YOTALA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-12-01,1,0,1,0,1
