municipality,group,variable,month,Polio 2da dosis -DENTRO,TOTAL DENTRO,Polio 2da dosis -FUERA,TOTAL FUERA
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,68,68,15,15
SAN JAVIER(BNI),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,2,2,2,2
SAN JAVIER(STC),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,16,16,0,0
SAN JOAQUIN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,8,8,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,31,31,1,1
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,12,12,5,5
SAN JULIAN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,51,51,31,31
SAN LORENZO(PND),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,6,6,8,8
SAN LORENZO(TJA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,13,13,17,17
SAN LUCAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,22,22,31,31
SAN MATIAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,10,10,10,10
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,12,12,2,2
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,1,1,0,0
SAN PEDRO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,42,42,0,0
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,3,3,21,21
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,0,0,11,11
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,1,1,1,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,2,2,4,4
SAN PEDRO(PND),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,0,0,4,4
SAN RAMON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,7,7,3,3
SAN RAMON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,17,17,1,1
SANTA ANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,25,25,3,3
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,2048,2048,56,56
SANTA ROSA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,12,12,7,7
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,25,25,12,12
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,0,0,8,8
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,5,5,12,12
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,3,3,0,0
SANTIVAÑES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,4,4,1,1
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,2,2,2,2
SAPAHAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,0,0,9,9
SENA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,1,1,0,0
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,12,12,36,36
SICAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,0,0,3,3
SIPE SIPE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,39,39,29,29
SOPACHUY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,6,6,16,16
SORACACHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,1,1,10,10
SORATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,6,6,22,22
SUCRE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,359,359,21,21
TACACHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,3,3,1,1
TACACOMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,9,9,7,7
TACOBAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,3,3,8,8
TACOPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,9,9,5,5
TAPACARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,21,21,41,41
TARABUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,14,14,28,28
TARACO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,1,1,7,7
TARATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,10,10,2,2
TARIJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,293,293,13,13
TARVITA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,18,18,33,33
TEOPONTE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,1,1,3,3
TIAWANACU,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,11,11,9,9
TINGUIPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,3,3,26,26
TIPUANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,9,9,7,7
TIQUIPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,78,78,7,7
TIRAQUE (CBBA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,54,54,29,29
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,0,0,3,3
TOCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,2,2,5,5
TOLATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,5,5,2,2
TOLEDO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,4,4,4,4
TOMAVE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,2,2,2,2
TOMINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,9,9,23,23
TORO TORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,3,3,10,10
TOTORA(CBBA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,7,7,2,2
TOTORA(ORR),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,3,3,0,0
TRINIDAD,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,145,145,3,3
TUPIZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,46,46,30,30
TURCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,5,5,3,3
UMALA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,0,0,8,8
UNCIA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,6,6,45,45
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,13,13,5,5
URUBICHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,13,13,0,0
UYUNI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,20,20,18,18
VACAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,9,9,2,2
VALLEGRANDE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,25,25,3,3
VIACHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,55,55,21,21
VILA VILA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,4,4,0,0
VILLA MONTES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,45,45,15,15
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,0,0,5,5
VILLA RIVERO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,3,3,1,1
VILLA SERRANO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,13,13,13,13
VILLA TUNARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,93,93,29,29
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,5,5,9,9
VILLAZON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,53,53,14,14
VINTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,53,53,14,14
VITICHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,4,4,11,11
WALDO BALLIVIAN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,0,0,6,6
WARNES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,58,58,14,14
YACO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,1,1,6,6
YACUIBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,122,122,15,15
YAMPARAEZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,11,11,5,5
YANACACHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,5,5,4,4
YAPACANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,59,59,16,16
YOCALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,0,0,2,2
YOTALA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,13,13,6,6
YUNCHARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,3,3,6,6
ZUDAÑEZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,9,9,6,6
ACACIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,0,0,10,10
ACHACACHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,13,13,77,77
ACHOCALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,4,4,15,15
AIQUILE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,26,26,11,11
ALALAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,2,2,0,0
ALCALA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,2,2,5,5
ANCORAIMES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,0,0,12,12
ANDAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,2,2,4,4
ANTEQUERA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,2,2,2,2
ANZALDO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,2,2,8,8
APOLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,2,2,13,13
ARAMPAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,1,1,6,6
ARANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,7,7,8,8
ARBIETO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,5,5,7,7
ARQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,14,14,17,17
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,55,55,1,1
ATOCHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,14,14,8,8
AUCAPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,1,1,8,8
AYATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,1,1,8,8
AYO AYO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,0,0,3,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,10,10,26,26
AZURDUY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,10,10,29,29
BATALLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,14,14,14,14
BAURES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,7,7,0,0
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,0,0,2,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,0,0,2,2
BELLA FLOR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,1,1,3,3
BERMEJO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,38,38,0,0
BETANZOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,20,20,29,29
BOLIVAR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,4,4,4,4
BOYUIBE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,4,4,6,6
BUENA VISTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,16,16,7,7
CABEZAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,14,14,19,19
CAIROMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,0,0,19,19
"CAIZA ""D""",vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,5,5,14,14
CAJUATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,17,17,11,11
CALACOTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,0,0,4,4
CALAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,12,12,10,10
CAMARGO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,12,12,12,12
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,5,5,0,0
CAMIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,34,34,27,27
CAPINOTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,17,17,8,8
CAQUIAVIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,4,4,6,6
CARACOLLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,13,13,7,7
CARANAVI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,47,47,37,37
CARANGAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,0,0,1,1
CARAPARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,14,14,5,5
CARIPUYO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,1,1,9,9
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,1,1,1,1
CHACARILLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,0,0,1,1
CHALLAPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,12,12,33,33
CHAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,6,6,4,4
CHARAGUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,28,28,86,86
CHARAÑA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,0,0,5,5
CHAYANTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,9,9,18,18
CHIMORE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-02-01,25,25,10,10
