municipality,group,variable,month,Total Días camas disponibles maternidad,TOTAL
COLQUENCHA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
COMARAPA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,168,168
CONCEPCION,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,140,140
CORIPATA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,84,84
CORO CORO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
COROICO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,252,252
COTOCA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,252,252
CUATRO CAÑADAS,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,166,166
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,28,28
CUEVO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,84,84
CULPINA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,336,336
CURAHUARA DE CARANGAS,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
DESAGUADERO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,28,28
EL ALTO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,6483,6483
EL PUENTE(STC),internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,112,112
EL TORNO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,588,588
EL VILLAR,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,168,168
ENTRE RIOS TRJ,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,168,168
ENTRE RIOS CBBA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,280,280
ESCOMA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,168,168
EUCALIPTUS,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
EXALTACION,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,28,28
FILADELFIA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,90,90
GENERAL SAAVEDRA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,112,112
GUANAY,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,168,168
GUAQUI,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
GUAYARAMERIN,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,730,730
GUTIERREZ,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,146,146
HUACARETA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,303,303
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,78,78
HUACHACALLA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
HUANUNI,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,912,912
HUARACAJE,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
HUATAJATA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,28,28
HUAYLLAMARCA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,84,84
ICLA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,352,352
INCAHUASI,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,252,252
INGAVI (HUMAITA),internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,27,27
INQUISIVI,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,140,140
IXIAMAS,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,84,84
JESUS DE MACHACA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,84,84
LA ASUNTA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,199,199
LA GUARDIA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,636,636
LA PAZ,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,14188,14188
LAGUNILLAS,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,112,112
LAJA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,84,84
LAS CARRERAS,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,127,127
LLALLAGUA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,336,336
LLICA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
LURIBAY,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
MACHACAMARCA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
MACHARETI,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,196,196
MAGDALENA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,140,140
MAIRANA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,112,112
MAPIRI,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,140,140
MECAPACA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,28,28
MIZQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,727,727
MOCOMOCO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,84,84
MOJINETE,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,28,28
MOJOCOYA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,239,239
MONTEAGUDO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,672,672
MONTERO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,1304,1304
MORO MORO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,88,88
MOROCHATA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,280,280
OCURI,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,224,224
OKINAWA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,84,84
OMEREQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,224,224
ORURO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,3921,3921
PADILLA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,308,308
PAILON,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,135,135
PALCA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
PALOS BLANCOS,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,308,308
PAMPA AULLAGAS,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
PAMPA GRANDE,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
PAPEL PAMPA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,28,28
PASORAPA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,168,168
PATACAMAYA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,270,270
PAZÑA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
POCOATA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,84,84
POCONA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,336,336
POJO (CBBA),internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,252,252
POOPO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,84,84
POROMA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,532,532
PORONGO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,252,252
PORTACHUELO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,336,336
PORVENIR,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,168,168
POSTRER VALLE,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
POTOSI,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,2016,2016
PRESTO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,189,189
PUCARANI,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,28,28
PUERTO ACOSTA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,28,28
PUERTO CARABUCO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,28,28
PUERTO GONZALO MORENO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,82,82
PUERTO QUIJARRO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,174,174
PUERTO RICO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,140,140
PUERTO VILLARROEL,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,1126,1126
PUNA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,168,168
PUNATA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,588,588
QUILLACOLLO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,1055,1055
QUIME,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,77,77
QUIRUSILLAS,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,28,28
RAVELO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
REYES,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,84,84
RIBERALTA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,1238,1238
ROBORE,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,263,263
RURRENABAQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,224,224
SABAYA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,28,28
SACABA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,1316,1316
SACABAMBA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,112,112
SACACA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,84,84
SAIPINA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,100,100
SALINAS DE GARCI MENDOZA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,200,200
SAMAIPATA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,112,112
SAN AGUSTIN,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,2,2
SAN ANDRES DE MACHACA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,72,72
SAN BENITO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,168,168
SAN BORJA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,448,448
SAN BUENA VENTURA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,112,112
SAN CARLOS,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,336,336
SAN IGNACIO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,426,426
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,1176,1176
SAN JAVIER(STC),internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,112,112
SAN JOAQUIN,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,112,112
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,674,674
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,187,187
SAN JULIAN,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,888,888
SAN LUCAS,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,566,566
SAN MATIAS,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,225,225
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,140,140
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,28,28
SAN PEDRO DE TIQUINA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,27,27
SAN RAFAEL,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,112,112
SAN RAMON BENI,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,84,84
SAN RAMON SCZ,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,140,140
SANTA ANA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,196,196
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,15301,15301
SANTA ROSA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,84,84
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,364,364
SANTIAGO DE HUARI,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,112,112
SANTIAGO DE MACHACA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
SANTIVAÑES,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,84,84
SANTUARIO DE QUILLACAS,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,84,84
SAPAHAQUI,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,59,59
SENA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,80,80
SHINAOTA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,448,448
SICA SICA (VILLA AROMA),internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,171,171
SICAYA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,53,53
SIPE SIPE,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,896,896
SOPACHUY,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,280,280
SORACACHI,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,54,54
SUCRE,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,3732,3732
