municipality,group,variable,month,Total Días camas ocupadas maternidad,TOTAL
EL ALTO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,2785,2785
EL PUENTE(STC),internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,7,7
EL TORNO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,414,414
EL VILLAR,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,13,13
ENTRE RIOS TRJ,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,21,21
ENTRE RIOS CBBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,22,22
ESCOMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,33,33
EUCALIPTUS,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,28,28
EXALTACION,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,1,1
GENERAL SAAVEDRA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,3,3
GUANAY,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,17,17
GUAQUI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,5,5
GUAYARAMERIN,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,325,325
GUTIERREZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,19,19
HUACARETA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,22,22
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,2,2
HUACHACALLA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,2,2
HUANUNI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,266,266
HUARACAJE,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,30,30
HUATAJATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,8,8
HUAYLLAMARCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,1,1
ICLA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,12,12
INCAHUASI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,21,21
INGAVI (HUMAITA),internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,3,3
INQUISIVI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,4,4
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,18,18
IXIAMAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,4,4
JESUS DE MACHACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,10,10
LA ASUNTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,45,45
LA GUARDIA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,111,111
LA PAZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,5549,5549
LAGUNILLAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,42,42
LAJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,7,7
LAS CARRERAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,13,13
LLALLAGUA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,316,316
LLICA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,10,10
MACHACAMARCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,2,2
MACHARETI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,15,15
MAGDALENA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,78,78
MAIRANA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,83,83
MAPIRI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,18,18
MECAPACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,1,1
MIZQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,61,61
MOCOMOCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,3,3
MOJOCOYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,13,13
MONTEAGUDO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,184,184
MONTERO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,737,737
MOROCHATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,14,14
OCURI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,3,3
OKINAWA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,30,30
OMEREQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,8,8
ORURO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,2338,2338
PADILLA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,79,79
PAILON,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,11,11
PALCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,4,4
PALOS BLANCOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,39,39
PAMPA AULLAGAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,2,2
PAMPA GRANDE,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,13,13
PAPEL PAMPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,4,4
PASORAPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,4,4
PATACAMAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,37,37
PAZÑA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,2,2
POCOATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,17,17
POCONA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,24,24
POJO (CBBA),internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,12,12
POOPO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,1,1
POROMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,24,24
PORONGO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,4,4
PORTACHUELO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,103,103
POSTRER VALLE,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,2,2
POTOSI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,1115,1115
PRESTO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,6,6
PUCARANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,19,19
PUERTO ACOSTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,1,1
PUERTO CARABUCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,1,1
PUERTO GONZALO MORENO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,2,2
PUERTO QUIJARRO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,35,35
PUERTO RICO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,28,28
PUERTO VILLARROEL,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,227,227
PUNA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,27,27
PUNATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,232,232
QUILLACOLLO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,580,580
QUIME,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,7,7
QUIRUSILLAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,4,4
REYES,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,42,42
RIBERALTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,848,848
ROBORE,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,66,66
RURRENABAQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,174,174
SABAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,6,6
SACABA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,353,353
SACABAMBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,1,1
SACACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,41,41
SAIPINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,12,12
SALINAS DE GARCI MENDOZA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,20,20
SAMAIPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,19,19
SAN AGUSTIN,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,3,3
SAN ANDRES DE MACHACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,3,3
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,12,12
SAN BENITO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,7,7
SAN BORJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,195,195
SAN BUENA VENTURA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,18,18
SAN CARLOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,135,135
SAN IGNACIO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,69,69
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,408,408
SAN JAVIER(STC),internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,67,67
SAN JOAQUIN,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,12,12
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,135,135
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,22,22
SAN JULIAN,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,238,238
SAN LUCAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,68,68
SAN MATIAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,51,51
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,32,32
SAN PEDRO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,5,5
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,11,11
SAN PEDRO DE TIQUINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,1,1
SAN RAFAEL,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,7,7
SAN RAMON BENI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,45,45
SAN RAMON SCZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,23,23
SANTA ANA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,169,169
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,9953,9953
SANTA ROSA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,30,30
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,15,15
SANTIAGO DE HUARI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,6,6
SANTIAGO DE MACHACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,2,2
SANTIVAÑES,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,6,6
SANTUARIO DE QUILLACAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,1,1
SAPAHAQUI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,6,6
SENA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,10,10
SHINAOTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,79,79
SICA SICA (VILLA AROMA),internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,26,26
SICAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,5,5
SIPE SIPE,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,41,41
SOPACHUY,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,40,40
SORACACHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,1,1
SORATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,12,12
SUCRE,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,1834,1834
TACOPAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,4,4
TAPACARI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,5,5
TARABUCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,48,48
TARACO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,2,2
TARATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,14,14
TARIJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,1453,1453
TARVITA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,59,59
TEOPONTE,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,12,12
TIAWANACU,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,3,3
TIPUANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,10,10
TIQUIPAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,256,256
TIRAQUE (CBBA),internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,15,15
TOCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,3,3
TODOS SANTOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,4,4
TOLATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,6,6
TOMINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,30,30
TORO TORO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,6,6
TOTORA(CBBA),internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,64,64
TOTORA(ORR),internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,2,2
TRIGAL,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,2,2
TRINIDAD,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,930,930
TUPIZA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,165,165
UNCIA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,34,34
URUBICHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,24,24
UYUNI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,138,138
VACAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,4,4
VALLEGRANDE,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,80,80
VIACHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,108,108
VILA VILA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,1,1
VILLA CHARCAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,46,46
VILLA MONTES,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,306,306
VILLA RIVERO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,7,7
VILLA SERRANO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,30,30
VILLA TUNARI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,482,482
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,22,22
VILLAZON,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,168,168
VINTO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,208,208
VITICHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,2,2
WARNES,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,260,260
YACO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,2,2
YACUIBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,414,414
YAMPARAEZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,10,10
YANACACHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,6,6
YAPACANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,7,7
YOTALA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,73,73
ZUDAÑEZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,9,9
ACACIO,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,3,3
ACHACACHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-03-01,99,99
