,group,variable,month,L 16.6 HIPERTENSIÓN ARTERIAL SISTÉMICA EN MAYORES DE 5 AÑOS CANTIDAD,L 16.6 HIPERTENSIÓN ARTERIAL SISTÉMICA EN MAYORES DE 5 AÑOS CANTIDAD,TOTALES
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,1,1,2
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,19,13,32
YACO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,1,1,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,31,41,72
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,3,1,4
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,0,1,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,8,3,11
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,0,2,2
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,1,2,3
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-01-01,5,3,8
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,4,1,5
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,11,11,22
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,2,2,4
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,2,1,3
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,0,1,1
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,7,3,10
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,3,0,3
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,2,0,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,5,3,8
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,2,1,3
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,1,1,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,13,29,42
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,10,19,29
BOLIVAR,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,1,0,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,0,7,7
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,13,21,34
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,0,2,2
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,1,1,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,9,12,21
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,74,117,191
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,9,6,15
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,2,5,7
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,0,5,5
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,3,5,8
CATACORA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,2,3,5
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,10,8,18
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,2,1,3
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,2,3,5
CHUQUIHUTA AYLLU JUCUMANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,11,12,23
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,36,58,94
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,239,413,652
COIPASA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,0,1,1
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,6,4,10
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,2,4,6
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,1,4,5
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,10,19,29
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,1,0,1
COMANCHE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,1,1,2
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,10,12,22
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,2,5,7
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,1,0,1
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,2,1,3
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,1,4,5
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,4,1,5
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,19,17,36
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,8,13,21
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,3,5,8
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,5,6,11
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,218,338,556
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,1,3,4
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,24,25,49
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,0,3,3
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,4,4,8
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,2,0,2
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,2,1,3
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,10,5,15
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,2,2,4
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,1,9,10
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,4,2,6
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,8,8,16
HUARINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,0,1,1
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,0,2,2
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,2,4,6
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,4,0,4
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,1,3,4
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,16,14,30
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,626,908,1534
LA RIVERA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,0,1,1
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,5,7,12
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,2,5,7
LLICA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,0,1,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,7,6,13
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,1,1,2
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,1,3,4
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,1,2,3
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,1,0,1
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,1,1,2
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,1,5,6
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,8,20,28
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,10,19,29
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,2,1,3
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,2,1,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,137,203,340
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,0,1,1
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,22,16,38
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,3,4,7
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,3,1,4
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,2,1,3
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,0,1,1
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,1,0,1
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-02-01,3,9,12
