,group,variable,month,O.P.V. 1RA DOSIS,O.P.V. 1RA DOSIS,TOTALES,TOTALES,TOTALES
SORACACHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,2,10,2,10,12
SORATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,18,30,18,30,48
SUCRE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,452,17,452,17,469
TACACHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1,0,1,0,1
TACACOMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,7,7,7,7,14
TACOBAMBA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,4,12,4,12,16
TACOPAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,16,9,16,9,25
TAPACARI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,25,17,25,17,42
TARABUCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,21,18,21,18,39
TARACO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,3,3,3,3,6
TARATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,9,0,9,0,9
TARIJA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,332,8,332,8,340
TARVITA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,16,15,16,15,31
TEOPONTE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,4,9,4,9,13
TIAWANACU,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,7,18,7,18,25
TINGUIPAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,12,17,12,17,29
TIPUANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,13,2,13,2,15
TIQUIPAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,84,8,84,8,92
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,69,21,69,21,90
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,2,1,2,1,3
TOCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,5,6,5,6,11
TODOS SANTOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1,0,1,0,1
TOLATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,4,2,4,2,6
TOLEDO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,2,1,2,1,3
TOMAVE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,10,10,10,10,20
TOMINA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,14,12,14,12,26
TORO TORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,4,7,4,7,11
TOTORA(CBBA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,15,12,15,12,27
TOTORA(ORR),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,0,5,0,5,5
TRIGAL,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,0,2,0,2,2
TRINIDAD,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,201,5,201,5,206
TUPIZA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,70,13,70,13,83
TURCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,2,0,2,0,2
UMALA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,0,12,0,12,12
UNCIA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,30,27,30,27,57
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,13,11,13,11,24
URUBICHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1,12,1,12,13
UYUNI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,40,3,40,3,43
VACAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,12,8,12,8,20
VALLEGRANDE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,21,1,21,1,22
VIACHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,32,30,32,30,62
VILA VILA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1,7,1,7,8
VILLA MONTES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,52,11,52,11,63
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,0,1,0,1,1
VILLA RIVERO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,3,1,3,1,4
VILLA SERRANO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,17,5,17,5,22
VILLA TUNARI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,121,12,121,12,133
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,13,5,13,5,18
VILLAZON,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,75,8,75,8,83
VINTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,75,10,75,10,85
VITICHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,9,7,9,7,16
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1,0,1,0,1
WARNES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,111,15,111,15,126
YACO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,9,3,9,3,12
YACUIBA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,126,11,126,11,137
YAMPARAEZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,11,2,11,2,13
YANACACHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,8,1,8,1,9
YAPACANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,52,12,52,12,64
YOCALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,0,8,0,8,8
YOTALA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,13,7,13,7,20
YUNCHARA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,3,6,3,6,9
ZUDAÑEZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,12,8,12,8,20
ACACIO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,5,14,5,14,19
ACHACACHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,19,89,19,89,108
ACHOCALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,7,17,7,17,24
AIQUILE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,29,12,29,12,41
ALALAY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,1,3,1,3,4
ALCALA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,5,1,5,1,6
ANCORAIMES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,6,26,6,26,32
ANDAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,3,0,3,0,3
ANTEQUERA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,3,2,3,2,5
ANZALDO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,2,12,2,12,14
APOLO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,14,15,14,15,29
ARAMPAMPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,5,6,5,6,11
ARANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,2,11,2,11,13
ARBIETO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,1,14,1,14,15
ARQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,20,7,20,7,27
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,51,12,51,12,63
ATOCHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,6,4,6,4,10
AUCAPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,0,4,0,4,4
AYATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,0,4,0,4,4
AYO AYO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,10,0,10,0,10
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,25,21,25,21,46
AZURDUY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,11,11,11,11,22
BATALLAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,12,17,12,17,29
BAURES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,11,2,11,2,13
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,1,0,1,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,2,1,2,1,3
BERMEJO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,36,5,36,5,41
BETANZOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,25,31,25,31,56
BOLIVAR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,3,6,3,6,9
BOLPEBRA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,0,4,0,4,4
BOYUIBE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,5,3,5,3,8
BUENA VISTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,10,11,10,11,21
CABEZAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,26,10,26,10,36
CAIROMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,4,12,4,12,16
"CAIZA ""D""",vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,4,11,4,11,15
CAJUATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,18,3,18,3,21
CALACOTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,0,6,0,6,6
CALAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,4,6,4,6,10
CAMARGO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,16,8,16,8,24
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,1,0,1,0,1
CAMIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,56,5,56,5,61
CAPINOTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,19,5,19,5,24
CAQUIAVIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,0,13,0,13,13
CARACOLLO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,22,10,22,10,32
CARANAVI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,59,40,59,40,99
CARAPARI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,11,7,11,7,18
CARIPUYO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,5,16,5,16,21
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,5,0,5,0,5
CATACORA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,1,0,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,27,17,27,17,44
CHAQUI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,3,4,3,4,7
CHARAGUA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,28,35,28,35,63
CHARAÑA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,2,2,2,2,4
CHAYANTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,13,15,13,15,28
CHIMORE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,15,7,15,7,22
CHIPAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,18,13,18,13,31
CHUMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,7,9,7,9,16
CLIZA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,7,25,7,25,32
COBIJA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,58,8,58,8,66
COCHABAMBA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,1093,19,1093,19,1112
COLCAPIRHUA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,56,1,56,1,57
"COLCHA ""K""",vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,11,6,11,6,17
COLLANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,5,0,5,0,5
COLOMI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,31,9,31,9,40
COLPA BELGICA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,12,4,12,4,16
COLQUECHACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,20,68,20,68,88
COLQUENCHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,7,5,7,5,12
COLQUIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,11,22,11,22,33
COMANCHE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,4,2,4,2,6
COMARAPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,27,4,27,4,31
COMBAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,0,4,0,4,4
CONCEPCION,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,37,4,37,4,41
COPACABANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,9,21,9,21,30
CORIPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,19,4,19,4,23
CORO CORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,2,8,2,8,10
COROICO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,16,3,16,3,19
CORQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,1,4,1,4,5
COTAGAITA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,8,15,8,15,23
COTOCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,36,3,36,3,39
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,16,7,16,7,23
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,1,1,1,1,2
CUEVO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,6,5,6,5,11
CULPINA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,15,18,15,18,33
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,6,1,6,1,7
CURVA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,1,2,1,2,3
DESAGUADERO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,6,2,6,2,8
EL ALTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,1314,64,1314,64,1378
EL CHORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,4,4,4,4,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,14,3,14,3,17
EL PUENTE(TJA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,9,5,9,5,14
EL TORNO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,67,6,67,6,73
EL VILLAR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,2,2,2,2,4
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,15,9,15,9,24
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,35,9,35,9,44
ESCARA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,0,1,0,1,1
EUCALIPTUS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,6,1,6,1,7
EXALTACION,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,8,1,8,1,9
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,11,1,11,1,12
FILADELFIA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,4,2,4,2,6
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,14,7,14,7,21
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,5,9,5,9,14
GUANAY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,10,11,10,11,21
GUAQUI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,4,3,4,3,7
GUAYARAMERIN,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,72,16,72,16,88
GUTIERREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,20,11,20,11,31
HUACARETA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,10,8,10,8,18
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,0,2,0,2,2
HUACHACALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,1,0,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,15,4,15,4,19
HUARACAJE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,3,0,3,0,3
HUAYLLAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,1,4,1,4,5
ICHOCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,1,5,1,5,6
ICLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,2,11,2,11,13
INCAHUASI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,24,17,24,17,41
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,2,0,2,0,2
INQUISIVI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,5,20,5,20,25
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,13,11,13,11,24
IXIAMAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,7,3,7,3,10
JESUS DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,10,5,10,5,15
LA ASUNTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,54,22,54,22,76
LA GUARDIA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,84,2,84,2,86
LA PAZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,1120,29,1120,29,1149
LAGUNILLAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,9,6,9,6,15
LAJA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,7,11,7,11,18
LAS CARRERAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,3,2,3,2,5
LICOMA PAMPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,5,0,5,0,5
LLALLAGUA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,22,7,22,7,29
LLICA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,2,2,2,2,4
LORETO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,2,1,2,1,3
LURIBAY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,5,4,5,4,9
MACHACAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,5,1,5,1,6
MACHARETI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,7,4,7,4,11
MAGDALENA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,13,6,13,6,19
MAIRANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,21,1,21,1,22
MALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,1,4,1,4,5
MAPIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,12,4,12,4,16
MECAPACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,6,18,6,18,24
MINEROS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,31,2,31,2,33
MIZQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,23,40,23,40,63
MOCOMOCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,9,15,9,15,24
MOJINETE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,1,0,1,0,1
MOJOCOYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,1,10,1,10,11
MONTEAGUDO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,21,3,21,3,24
MONTERO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,168,9,168,9,177
MORO MORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,1,0,1,0,1
MOROCHATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,14,47,14,47,61
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,0,4,0,4,4
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,0,6,0,6,6
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,0,2,0,2,2
OCURI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,12,32,12,32,44
OKINAWA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,17,2,17,2,19
OMEREQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,1,2,1,2,3
ORURO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,126,9,126,9,135
PADCAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,14,6,14,6,20
PADILLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,2,0,2,0,2
PAILON,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,35,111,35,111,146
PALCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,2,8,2,8,10
PALOS BLANCOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,35,14,35,14,49
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,6,1,6,1,7
PAMPA GRANDE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,13,1,13,1,14
PAPEL PAMPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,0,4,0,4,4
PASORAPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,2,1,2,1,3
PATACAMAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,22,27,22,27,49
PAZÑA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,4,2,4,2,6
PELECHUCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,3,6,3,6,9
POCOATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,8,41,8,41,49
POCONA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,6,17,6,17,23
POJO (CBBA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,19,8,19,8,27
PORCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,13,5,13,5,18
POROMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,11,11,11,11,22
PORONGO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,7,4,7,4,11
PORTACHUELO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,36,3,36,3,39
PORVENIR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,0,9,0,9,9
POSTRER VALLE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,1,0,1,0,1
POTOSI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,261,36,261,36,297
PRESTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,5,9,5,9,14
PUCARA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,1,0,1,0,1
PUCARANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,18,24,18,24,42
PUERTO ACOSTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,5,19,5,19,24
PUERTO CARABUCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,5,14,5,14,19
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,3,10,3,10,13
PUERTO PEREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,0,1,0,1,1
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,15,7,15,7,22
PUERTO RICO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,7,0,7,0,7
PUERTO SILES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,3,0,3,0,3
PUERTO SUAREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,25,0,25,0,25
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-02-01,71,8,71,8,79
