,group,variable,month,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA EMB,PRIMERA CONSULTA EMB,PRIMERA CONSULTA POST,PRIMERA CONSULTA POST,TOTALES,TOTALES,TOTALES
SAN AGUSTIN,atencion odontologica,primera consulta,2016-01-01,0,0,0,0,0,1,1,0,2,0,0,0,0,0,3,1,4
SAN ANDRES,atencion odontologica,primera consulta,2016-01-01,0,0,1,6,3,4,5,5,1,0,0,0,0,0,10,15,25
SAN ANDRES DE MACHACA,atencion odontologica,primera consulta,2016-01-01,5,2,6,4,1,2,10,18,15,11,0,3,0,2,37,42,79
SAN ANTONIO DE ESMORUCO,atencion odontologica,primera consulta,2016-01-01,0,1,1,1,1,0,1,5,1,0,0,0,0,0,4,7,11
SAN ANTONIO DE LOMERIO,atencion odontologica,primera consulta,2016-01-01,0,2,2,2,5,5,8,10,2,2,0,2,0,1,17,24,41
SAN BENITO,atencion odontologica,primera consulta,2016-01-01,16,8,8,13,1,7,2,16,2,2,0,7,0,33,29,86,115
SAN BORJA,atencion odontologica,primera consulta,2016-01-01,20,15,9,22,13,22,22,49,5,3,0,8,0,13,69,132,201
SAN BUENA VENTURA,atencion odontologica,primera consulta,2016-01-01,4,10,12,10,3,7,3,36,2,4,0,9,0,4,24,80,104
SAN CARLOS,atencion odontologica,primera consulta,2016-01-01,15,11,12,5,5,4,10,16,2,4,0,3,0,4,44,47,91
SAN IGNACIO,atencion odontologica,primera consulta,2016-01-01,20,18,60,57,34,58,55,91,14,7,0,7,0,17,183,255,438
SAN IGNACIO DE VELASCO,atencion odontologica,primera consulta,2016-01-01,14,9,0,1,1,2,9,20,14,26,0,9,0,14,38,81,119
SAN JAVIER(BNI),atencion odontologica,primera consulta,2016-01-01,1,2,5,7,0,2,1,7,1,0,0,0,0,2,8,20,28
SAN JAVIER(STC),atencion odontologica,primera consulta,2016-01-01,13,8,7,15,0,0,4,19,1,2,0,5,0,3,25,52,77
SAN JOAQUIN,atencion odontologica,primera consulta,2016-01-01,4,8,1,2,2,4,1,6,3,0,0,7,0,3,11,30,41
SAN JOSE DE CHIQUITOS,atencion odontologica,primera consulta,2016-01-01,5,8,27,13,9,15,9,50,4,0,0,17,0,4,54,107,161
SAN JUAN DE YAPACANI,atencion odontologica,primera consulta,2016-01-01,35,37,9,16,4,7,1,23,4,4,0,10,0,10,53,107,160
SAN JULIAN,atencion odontologica,primera consulta,2016-01-01,57,34,9,9,1,11,6,27,20,5,0,30,0,29,93,145,238
SAN LORENZO(PND),atencion odontologica,primera consulta,2016-01-01,11,13,0,0,0,9,0,3,0,0,0,0,0,0,11,25,36
SAN LORENZO(TJA),atencion odontologica,primera consulta,2016-01-01,7,7,54,66,21,45,51,138,7,7,0,2,0,0,140,265,405
SAN LUCAS,atencion odontologica,primera consulta,2016-01-01,172,184,30,31,13,40,32,138,7,4,0,38,0,32,254,467,721
SAN MATIAS,atencion odontologica,primera consulta,2016-01-01,4,3,4,1,1,10,11,8,7,0,0,2,0,0,27,24,51
SAN MIGUEL DE VELASCO,atencion odontologica,primera consulta,2016-01-01,8,7,8,5,5,9,15,25,3,4,0,1,0,2,39,53,92
SAN PABLO DE LIPEZ,atencion odontologica,primera consulta,2016-01-01,5,6,4,3,1,4,9,9,0,0,0,3,0,3,19,28,47
SAN PEDRO,atencion odontologica,primera consulta,2016-01-01,24,28,25,23,20,26,16,68,9,16,0,18,0,10,94,189,283
SAN PEDRO DE BUENA VISTA,atencion odontologica,primera consulta,2016-01-01,16,10,10,7,3,13,13,53,4,10,0,16,0,18,46,127,173
SAN PEDRO DE CURAHUARA,atencion odontologica,primera consulta,2016-01-01,3,4,2,2,1,8,4,14,1,6,0,2,0,4,11,40,51
SAN PEDRO DE QUEMES,atencion odontologica,primera consulta,2016-01-01,0,1,1,2,1,0,0,9,2,2,0,0,0,2,4,16,20
SAN PEDRO DE TIQUINA,atencion odontologica,primera consulta,2016-01-01,2,3,2,9,2,9,16,19,6,4,0,7,0,2,28,53,81
SAN RAFAEL,atencion odontologica,primera consulta,2016-01-01,27,23,0,2,0,4,1,10,1,0,0,9,0,2,29,50,79
SAN RAMON BENI,atencion odontologica,primera consulta,2016-01-01,1,0,9,13,4,2,0,10,0,0,0,0,0,0,14,25,39
SAN RAMON SCZ,atencion odontologica,primera consulta,2016-01-01,13,15,15,25,10,15,5,5,1,1,0,6,0,5,44,72,116
SANTA ANA,atencion odontologica,primera consulta,2016-01-01,12,4,35,47,11,34,18,37,6,2,0,3,0,5,82,132,214
SANTA CRUZ DE LA SIERRA,atencion odontologica,primera consulta,2016-01-01,1604,1560,582,588,237,545,584,1453,570,433,0,1143,0,382,3577,6104,9681
SANTA ROSA,atencion odontologica,primera consulta,2016-01-01,6,12,15,10,4,6,5,21,5,3,0,2,0,4,35,58,93
SANTA ROSA DEL SARA,atencion odontologica,primera consulta,2016-01-01,14,7,9,18,6,9,13,26,9,8,0,7,0,13,51,88,139
SANTIAGO DE CALLAPA,atencion odontologica,primera consulta,2016-01-01,0,0,1,0,0,1,0,2,2,0,0,0,0,0,3,3,6
SANTIAGO DE HUARI,atencion odontologica,primera consulta,2016-01-01,24,19,20,21,7,11,14,34,19,26,0,9,0,5,84,125,209
SANTIAGO DE HUATA,atencion odontologica,primera consulta,2016-01-01,20,13,3,6,3,6,8,21,10,11,0,1,0,4,44,62,106
SANTIAGO DE MACHACA,atencion odontologica,primera consulta,2016-01-01,2,3,9,11,4,6,12,32,8,7,0,1,0,2,35,62,97
SANTIVAÑES,atencion odontologica,primera consulta,2016-01-01,5,3,6,9,5,8,8,15,2,3,0,1,0,2,26,41,67
SANTUARIO DE QUILLACAS,atencion odontologica,primera consulta,2016-01-01,9,10,0,1,1,0,2,3,1,6,0,2,0,2,13,24,37
SAPAHAQUI,atencion odontologica,primera consulta,2016-01-01,17,16,6,8,1,11,13,40,12,3,0,13,0,4,49,95,144
SENA,atencion odontologica,primera consulta,2016-01-01,4,2,2,3,2,10,6,20,0,1,0,17,0,2,14,55,69
SHINAOTA,atencion odontologica,primera consulta,2016-01-01,15,9,11,13,3,13,6,22,4,3,0,19,0,69,39,148,187
SICAYA,atencion odontologica,primera consulta,2016-01-01,1,4,4,2,1,0,0,9,0,0,0,1,0,0,6,16,22
SIPE SIPE,atencion odontologica,primera consulta,2016-01-01,71,76,94,96,32,41,32,138,22,56,0,24,0,31,251,462,713
SOPACHUY,atencion odontologica,primera consulta,2016-01-01,9,9,23,27,8,8,16,35,4,2,0,5,0,3,60,89,149
SORACACHI,atencion odontologica,primera consulta,2016-01-01,20,28,37,53,10,18,16,35,11,12,0,10,0,7,94,163,257
SORATA,atencion odontologica,primera consulta,2016-01-01,17,14,6,5,5,13,6,23,6,5,0,144,0,108,40,312,352
SUCRE,atencion odontologica,primera consulta,2016-01-01,1057,1063,443,478,183,403,399,1487,189,91,0,812,0,221,2271,4555,6826
TACACOMA,atencion odontologica,primera consulta,2016-01-01,4,1,3,12,8,3,10,13,2,2,0,1,0,1,27,33,60
TACOBAMBA,atencion odontologica,primera consulta,2016-01-01,1,2,4,1,1,1,1,6,2,3,0,1,0,0,9,14,23
TACOPAYA,atencion odontologica,primera consulta,2016-01-01,7,7,3,9,5,7,13,34,11,10,0,7,0,7,39,81,120
TAPACARI,atencion odontologica,primera consulta,2016-01-01,18,24,15,9,5,15,19,52,21,12,0,13,0,13,78,138,216
TARABUCO,atencion odontologica,primera consulta,2016-01-01,115,107,16,4,3,20,20,94,17,21,0,17,0,49,171,312,483
TARACO,atencion odontologica,primera consulta,2016-01-01,11,9,3,4,7,7,3,12,9,6,0,5,0,1,33,44,77
TARATA,atencion odontologica,primera consulta,2016-01-01,4,8,10,13,4,9,15,24,4,10,0,4,0,9,37,77,114
TARIJA,atencion odontologica,primera consulta,2016-01-01,159,124,326,414,171,382,387,850,43,48,0,53,0,7,1086,1878,2964
TARVITA,atencion odontologica,primera consulta,2016-01-01,74,66,9,13,8,12,22,57,8,4,0,32,0,15,121,199,320
TEOPONTE,atencion odontologica,primera consulta,2016-01-01,16,14,11,15,11,16,14,26,18,4,0,2,0,11,70,88,158
TIAWANACU,atencion odontologica,primera consulta,2016-01-01,15,6,12,17,10,23,16,51,10,9,0,5,0,4,63,115,178
TINGUIPAYA,atencion odontologica,primera consulta,2016-01-01,26,32,1,2,4,3,6,22,5,8,0,6,0,9,42,82,124
TIPUANI,atencion odontologica,primera consulta,2016-01-01,14,13,9,7,3,6,7,11,5,1,0,3,0,9,38,50,88
TIQUIPAYA,atencion odontologica,primera consulta,2016-01-01,140,107,55,64,19,64,31,133,7,16,0,31,0,59,252,474,726
TIRAQUE (CBBA),atencion odontologica,primera consulta,2016-01-01,18,22,12,21,5,18,6,34,4,5,0,2,0,14,45,116,161
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,primera consulta,2016-01-01,1,0,0,0,1,1,1,3,0,0,0,0,0,1,3,5,8
TOCO,atencion odontologica,primera consulta,2016-01-01,6,4,10,9,3,4,9,19,4,8,0,4,0,6,32,54,86
TODOS SANTOS,atencion odontologica,primera consulta,2016-01-01,8,7,1,1,2,0,3,1,0,1,0,2,0,0,14,12,26
TOLATA,atencion odontologica,primera consulta,2016-01-01,16,16,17,11,4,5,6,23,2,5,0,5,0,7,45,72,117
TOLEDO,atencion odontologica,primera consulta,2016-01-01,3,1,4,0,0,1,7,7,1,1,0,2,0,0,15,12,27
TOMAVE,atencion odontologica,primera consulta,2016-01-01,9,10,10,10,9,12,14,22,10,3,0,0,0,8,52,65,117
TOMINA,atencion odontologica,primera consulta,2016-01-01,20,20,15,14,8,10,26,53,2,1,0,6,0,10,71,114,185
TORO TORO,atencion odontologica,primera consulta,2016-01-01,6,2,3,4,1,5,19,36,6,6,0,20,0,9,35,82,117
TOTORA(CBBA),atencion odontologica,primera consulta,2016-01-01,8,2,10,15,1,20,14,26,3,2,0,2,0,7,36,74,110
TOTORA(ORR),atencion odontologica,primera consulta,2016-01-01,11,10,2,2,2,4,6,13,0,5,0,2,0,2,21,38,59
TRIGAL,atencion odontologica,primera consulta,2016-01-01,13,9,14,15,2,7,6,17,5,4,0,2,0,3,40,57,97
TRINIDAD,atencion odontologica,primera consulta,2016-01-01,55,63,186,194,52,79,110,169,33,13,0,32,0,21,436,571,1007
TUPIZA,atencion odontologica,primera consulta,2016-01-01,53,73,31,49,15,32,37,86,13,14,0,45,0,8,149,307,456
TURCO,atencion odontologica,primera consulta,2016-01-01,3,3,5,5,4,4,17,17,3,3,0,2,0,2,32,36,68
UMALA,atencion odontologica,primera consulta,2016-01-01,5,3,4,2,0,2,5,6,1,1,0,1,0,1,15,16,31
UNCIA,atencion odontologica,primera consulta,2016-01-01,21,24,11,14,10,14,14,34,9,9,0,18,0,14,65,127,192
URIONDO (A. CONCEPCION),atencion odontologica,primera consulta,2016-01-01,24,28,43,99,37,75,69,176,4,5,0,2,0,0,177,385,562
URUBICHA,atencion odontologica,primera consulta,2016-01-01,4,5,6,6,4,9,3,20,3,3,0,11,0,2,20,56,76
UYUNI,atencion odontologica,primera consulta,2016-01-01,13,23,15,19,5,12,15,24,7,7,0,6,0,17,55,108,163
VACAS,atencion odontologica,primera consulta,2016-01-01,8,2,6,13,2,12,7,28,3,5,0,7,0,1,26,68,94
VALLEGRANDE,atencion odontologica,primera consulta,2016-01-01,57,57,25,30,14,23,24,73,11,8,0,22,0,18,131,231,362
VIACHA,atencion odontologica,primera consulta,2016-01-01,127,145,50,42,17,48,22,76,52,47,0,7,0,24,268,389,657
VILA VILA,atencion odontologica,primera consulta,2016-01-01,2,4,5,6,0,2,2,3,3,2,0,0,0,0,12,17,29
VILLA CHARCAS,atencion odontologica,primera consulta,2016-01-01,12,14,5,13,3,11,4,41,7,1,0,14,0,12,31,106,137
VILLA MONTES,atencion odontologica,primera consulta,2016-01-01,31,30,129,153,95,195,149,315,11,5,0,25,0,4,415,727,1142
VILLA NUEVA (LOMA ALTA),atencion odontologica,primera consulta,2016-01-01,9,7,8,10,0,1,4,5,0,1,0,3,0,4,21,31,52
VILLA RIVERO,atencion odontologica,primera consulta,2016-01-01,3,4,3,3,2,1,4,8,2,5,0,0,0,0,14,21,35
VILLA SERRANO,atencion odontologica,primera consulta,2016-01-01,23,20,7,9,3,9,11,20,7,2,0,7,0,5,51,72,123
VILLA TUNARI,atencion odontologica,primera consulta,2016-01-01,43,35,15,23,15,29,11,69,19,8,0,30,0,27,103,221,324
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,primera consulta,2016-01-01,15,15,10,11,4,14,5,39,3,2,0,14,0,5,37,100,137
VILLAZON,atencion odontologica,primera consulta,2016-01-01,66,59,66,73,19,44,39,131,24,40,0,25,0,16,214,388,602
VINTO,atencion odontologica,primera consulta,2016-01-01,122,92,35,57,5,15,81,64,15,12,0,17,0,30,258,287,545
VITICHI,atencion odontologica,primera consulta,2016-01-01,16,2,4,9,2,13,15,32,3,7,0,7,0,4,40,74,114
WALDO BALLIVIAN,atencion odontologica,primera consulta,2016-01-01,4,4,9,11,11,10,9,22,0,4,0,1,0,4,33,56,89
WARNES,atencion odontologica,primera consulta,2016-01-01,38,24,17,22,5,22,11,62,7,5,0,9,0,15,78,159,237
YACO,atencion odontologica,primera consulta,2016-01-01,3,1,0,1,0,0,1,1,3,1,0,0,0,0,7,4,11
YACUIBA,atencion odontologica,primera consulta,2016-01-01,25,29,148,165,91,163,139,353,29,16,0,15,0,0,432,741,1173
YAMPARAEZ,atencion odontologica,primera consulta,2016-01-01,36,38,7,8,4,23,14,42,10,15,0,16,0,10,71,152,223
YANACACHI,atencion odontologica,primera consulta,2016-01-01,6,9,16,13,3,7,13,16,2,3,0,2,0,3,40,53,93
YAPACANI,atencion odontologica,primera consulta,2016-01-01,94,122,24,30,6,33,21,70,24,14,0,31,0,42,169,342,511
YOCALLA,atencion odontologica,primera consulta,2016-01-01,2,3,6,7,3,6,6,15,6,4,0,1,0,4,23,40,63
YOTALA,atencion odontologica,primera consulta,2016-01-01,17,19,10,17,2,17,9,31,2,1,0,13,0,5,40,103,143
YUNCHARA,atencion odontologica,primera consulta,2016-01-01,5,6,23,30,5,23,13,68,3,7,0,4,0,3,49,141,190
ZUDAÑEZ,atencion odontologica,primera consulta,2016-01-01,48,49,5,4,3,10,10,36,1,2,0,10,0,8,67,119,186
ACACIO,atencion odontologica,primera consulta,2016-02-01,12,9,0,5,0,2,0,8,0,3,0,2,0,0,12,29,41
ACHACACHI,atencion odontologica,primera consulta,2016-02-01,47,35,13,15,5,16,18,64,24,26,0,9,0,7,107,172,279
ACHOCALLA,atencion odontologica,primera consulta,2016-02-01,13,2,3,7,3,9,4,21,3,3,0,14,0,10,26,66,92
AIQUILE,atencion odontologica,primera consulta,2016-02-01,24,29,10,8,6,7,10,12,14,8,0,8,0,5,64,77,141
ALALAY,atencion odontologica,primera consulta,2016-02-01,1,2,0,0,0,1,2,1,1,0,0,0,0,1,4,5,9
ALCALA,atencion odontologica,primera consulta,2016-02-01,49,48,6,13,7,9,11,29,2,1,0,3,0,6,75,109,184
ALTO BENI,atencion odontologica,primera consulta,2016-02-01,11,7,1,4,2,0,1,10,4,0,0,1,0,5,19,27,46
ANCORAIMES,atencion odontologica,primera consulta,2016-02-01,19,25,4,7,3,8,9,19,3,8,0,5,0,12,38,84,122
ANDAMARCA,atencion odontologica,primera consulta,2016-02-01,8,16,39,32,0,4,10,19,10,8,0,6,0,1,67,86,153
ANTEQUERA,atencion odontologica,primera consulta,2016-02-01,1,3,3,2,0,2,5,9,0,1,0,1,0,2,9,20,29
ANZALDO,atencion odontologica,primera consulta,2016-02-01,11,12,9,6,0,5,7,14,1,9,0,0,0,1,28,47,75
APOLO,atencion odontologica,primera consulta,2016-02-01,26,12,4,3,0,4,1,11,2,1,0,4,0,3,33,38,71
ARAMPAMPA,atencion odontologica,primera consulta,2016-02-01,24,18,0,2,0,1,5,16,21,29,0,5,0,6,50,77,127
ARANI,atencion odontologica,primera consulta,2016-02-01,2,5,6,2,2,1,4,7,1,4,0,2,0,0,15,21,36
ARBIETO,atencion odontologica,primera consulta,2016-02-01,49,38,3,8,5,10,18,34,13,29,0,16,0,9,88,144,232
ARQUE,atencion odontologica,primera consulta,2016-02-01,2,4,1,6,4,3,11,26,0,2,0,2,0,7,18,50,68
ASCENCION DE GUARAYOS,atencion odontologica,primera consulta,2016-02-01,41,42,14,11,3,11,2,24,9,11,0,60,0,6,69,165,234
ATOCHA,atencion odontologica,primera consulta,2016-02-01,7,15,35,42,18,34,73,61,14,8,0,5,0,0,147,165,312
AUCAPATA,atencion odontologica,primera consulta,2016-02-01,1,1,4,0,2,2,2,7,2,1,0,1,0,1,11,13,24
AYATA,atencion odontologica,primera consulta,2016-02-01,5,6,3,1,5,6,10,18,7,5,0,1,0,2,30,39,69
AYO AYO,atencion odontologica,primera consulta,2016-02-01,5,1,0,1,2,0,2,7,1,0,0,0,0,0,10,9,19
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,primera consulta,2016-02-01,16,17,17,16,4,14,31,43,11,8,0,10,0,19,79,127,206
AZURDUY,atencion odontologica,primera consulta,2016-02-01,4,8,3,6,1,15,8,36,3,2,0,19,0,5,19,91,110
BATALLAS,atencion odontologica,primera consulta,2016-02-01,16,11,8,7,6,6,17,31,11,11,0,3,0,10,58,79,137
BAURES,atencion odontologica,primera consulta,2016-02-01,1,0,4,12,8,5,24,24,4,4,0,1,0,0,41,46,87
BELEN DE ANDAMARCA,atencion odontologica,primera consulta,2016-02-01,10,3,4,0,1,1,1,12,2,3,0,9,0,2,18,30,48
BELEN DE URMIRI,atencion odontologica,primera consulta,2016-02-01,2,2,0,2,3,1,0,1,1,2,0,2,0,0,6,10,16
BELLA FLOR,atencion odontologica,primera consulta,2016-02-01,6,1,0,1,4,3,2,4,1,2,0,7,0,0,13,18,31
BERMEJO,atencion odontologica,primera consulta,2016-02-01,47,29,73,71,70,118,147,213,42,50,0,32,0,8,379,521,900
BETANZOS,atencion odontologica,primera consulta,2016-02-01,14,29,23,25,17,28,35,59,24,19,0,5,0,9,113,174,287
BOLIVAR,atencion odontologica,primera consulta,2016-02-01,10,14,5,2,4,3,2,17,5,1,0,1,0,3,26,41,67
BOYUIBE,atencion odontologica,primera consulta,2016-02-01,5,6,1,0,1,1,2,4,1,1,0,2,0,0,10,14,24
BUENA VISTA,atencion odontologica,primera consulta,2016-02-01,37,49,10,12,2,10,8,18,11,6,0,22,0,17,68,134,202
CABEZAS,atencion odontologica,primera consulta,2016-02-01,69,75,10,15,11,13,31,65,12,10,0,28,0,12,133,218,351
CAIROMA,atencion odontologica,primera consulta,2016-02-01,7,10,12,8,1,11,16,23,2,0,0,5,0,2,38,59,97
"CAIZA ""D""",atencion odontologica,primera consulta,2016-02-01,15,20,14,9,8,8,13,44,4,10,0,9,0,3,54,103,157
CAJUATA,atencion odontologica,primera consulta,2016-02-01,23,19,6,7,7,10,13,15,12,7,0,3,0,2,61,63,124
CALACOTO,atencion odontologica,primera consulta,2016-02-01,1,2,3,7,1,0,2,3,2,1,0,0,0,3,9,16,25
CALAMARCA,atencion odontologica,primera consulta,2016-02-01,15,10,8,15,17,18,19,64,6,2,0,17,0,16,65,142,207
CAMARGO,atencion odontologica,primera consulta,2016-02-01,29,24,8,5,1,5,1,21,2,3,0,11,0,6,41,75,116
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,primera consulta,2016-02-01,30,19,2,5,0,2,0,13,1,0,0,4,0,3,33,46,79
CAMIRI,atencion odontologica,primera consulta,2016-02-01,192,167,129,108,14,57,34,158,16,21,0,101,0,29,385,641,1026
CAPINOTA,atencion odontologica,primera consulta,2016-02-01,31,30,5,6,0,2,7,28,4,6,0,4,0,8,47,84,131
CAQUIAVIRI,atencion odontologica,primera consulta,2016-02-01,8,7,9,13,8,11,10,15,5,8,0,6,0,4,40,64,104
CARACOLLO,atencion odontologica,primera consulta,2016-02-01,21,13,20,29,14,12,26,69,3,7,0,6,0,6,84,142,226
CARANAVI,atencion odontologica,primera consulta,2016-02-01,43,35,18,30,16,24,21,60,16,3,0,14,0,20,114,186,300
CARAPARI,atencion odontologica,primera consulta,2016-02-01,5,6,40,31,21,30,40,66,7,1,0,0,0,2,113,136,249
CARIPUYO,atencion odontologica,primera consulta,2016-02-01,3,11,26,20,2,10,11,21,6,6,0,5,0,3,48,76,124
CARMEN RIVERO TORREZ,atencion odontologica,primera consulta,2016-02-01,45,75,2,3,15,16,5,28,5,6,0,23,0,9,72,160,232
CATACORA,atencion odontologica,primera consulta,2016-02-01,1,2,0,0,0,6,2,5,1,0,0,1,0,1,4,15,19
CHALLAPATA,atencion odontologica,primera consulta,2016-02-01,58,52,82,87,19,24,36,117,36,41,0,28,0,21,231,370,601
CHAQUI,atencion odontologica,primera consulta,2016-02-01,7,5,6,10,5,9,17,28,9,17,0,4,0,6,44,79,123
CHARAGUA,atencion odontologica,primera consulta,2016-02-01,44,31,35,31,20,27,35,61,4,3,0,18,0,15,138,186,324
CHARAÑA,atencion odontologica,primera consulta,2016-02-01,2,5,4,0,0,2,4,4,3,0,0,0,0,0,13,11,24
CHAYANTA,atencion odontologica,primera consulta,2016-02-01,4,9,2,1,5,4,5,9,5,8,0,3,0,5,21,39,60
CHIMORE,atencion odontologica,primera consulta,2016-02-01,39,22,8,12,7,17,15,42,3,2,0,14,0,16,72,125,197
CHIPAYA,atencion odontologica,primera consulta,2016-02-01,1,0,0,4,1,0,1,4,2,1,0,2,0,0,5,11,16
CHOQUE COTA,atencion odontologica,primera consulta,2016-02-01,2,2,5,1,2,2,3,10,4,5,0,4,0,0,16,24,40
CHUA COCANI,atencion odontologica,primera consulta,2016-02-01,4,0,0,1,1,0,2,0,1,2,0,0,0,0,8,3,11
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,primera consulta,2016-02-01,39,36,37,39,0,5,11,31,9,1,0,7,0,10,96,129,225
CHUMA,atencion odontologica,primera consulta,2016-02-01,17,23,13,13,14,26,46,55,30,20,0,7,0,5,120,149,269
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,primera consulta,2016-02-01,2,4,1,1,1,0,3,5,0,3,0,0,0,3,7,16,23
CKOCHAS,atencion odontologica,primera consulta,2016-02-01,5,6,4,5,2,5,15,14,2,3,0,3,0,3,28,39,67
CLIZA,atencion odontologica,primera consulta,2016-02-01,12,7,12,13,3,8,17,51,10,17,0,9,0,3,54,108,162
COBIJA,atencion odontologica,primera consulta,2016-02-01,175,137,77,77,10,52,45,127,7,3,0,84,0,17,314,497,811
COCAPATA,atencion odontologica,primera consulta,2016-02-01,67,87,7,3,5,19,13,50,38,36,0,29,0,29,130,253,383
COCHABAMBA,atencion odontologica,primera consulta,2016-02-01,429,408,158,185,76,166,123,477,100,103,0,342,0,130,886,1811,2697
COIPASA,atencion odontologica,primera consulta,2016-02-01,2,1,3,2,2,0,4,4,1,1,0,2,0,0,12,10,22
COLCAPIRHUA,atencion odontologica,primera consulta,2016-02-01,42,22,4,5,0,6,3,44,9,12,0,10,0,27,58,126,184
"COLCHA ""K""",atencion odontologica,primera consulta,2016-02-01,22,29,7,14,6,7,11,33,6,13,0,4,0,7,52,107,159
COLLANA,atencion odontologica,primera consulta,2016-02-01,2,5,2,1,2,2,3,10,3,2,0,2,0,2,12,24,36
COLOMI,atencion odontologica,primera consulta,2016-02-01,23,23,0,3,2,2,0,15,4,2,0,6,0,11,29,62,91
COLPA BELGICA,atencion odontologica,primera consulta,2016-02-01,3,0,0,1,0,2,0,8,0,0,0,5,0,7,3,23,26
COLQUECHACA,atencion odontologica,primera consulta,2016-02-01,40,33,19,21,14,17,37,50,14,21,0,12,0,14,124,168,292
COLQUENCHA,atencion odontologica,primera consulta,2016-02-01,7,2,12,15,9,13,11,27,5,1,0,7,0,0,44,65,109
COLQUIRI,atencion odontologica,primera consulta,2016-02-01,35,35,34,34,14,20,36,91,17,20,0,14,0,13,136,227,363
COMANCHE,atencion odontologica,primera consulta,2016-02-01,0,0,0,0,0,0,2,8,0,1,0,0,0,0,2,9,11
COMARAPA,atencion odontologica,primera consulta,2016-02-01,22,21,12,6,9,10,20,28,5,4,0,3,0,4,68,76,144
COMBAYA,atencion odontologica,primera consulta,2016-02-01,0,2,1,2,1,2,3,6,11,12,0,0,0,1,16,25,41
CONCEPCION,atencion odontologica,primera consulta,2016-02-01,20,21,11,8,5,7,19,23,4,1,0,5,0,0,59,65,124
COPACABANA,atencion odontologica,primera consulta,2016-02-01,7,7,6,7,2,5,8,18,3,2,0,1,0,1,26,41,67
CORIPATA,atencion odontologica,primera consulta,2016-02-01,46,41,25,24,4,13,23,29,4,4,0,0,0,3,102,114,216
CORO CORO,atencion odontologica,primera consulta,2016-02-01,6,6,2,2,2,4,1,5,2,0,0,0,0,1,13,18,31
CORQUE,atencion odontologica,primera consulta,2016-02-01,4,2,2,4,4,3,10,11,10,14,0,0,0,0,30,34,64
COTAGAITA,atencion odontologica,primera consulta,2016-02-01,22,22,53,63,15,22,75,116,17,29,0,11,0,6,182,269,451
COTOCA,atencion odontologica,primera consulta,2016-02-01,216,194,14,10,2,20,10,158,38,38,0,112,0,22,280,554,834
CUATRO CAÑADAS,atencion odontologica,primera consulta,2016-02-01,148,123,11,39,5,18,25,71,17,8,0,61,0,16,206,336,542
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,primera consulta,2016-02-01,3,2,3,4,0,4,0,1,3,4,0,0,0,0,9,15,24
CUEVO,atencion odontologica,primera consulta,2016-02-01,9,11,1,1,8,5,8,38,2,4,0,8,0,1,28,68,96
CULPINA,atencion odontologica,primera consulta,2016-02-01,26,33,10,15,12,24,21,62,10,10,0,18,0,10,79,172,251
CURAHUARA DE CARANGAS,atencion odontologica,primera consulta,2016-02-01,6,4,0,3,1,2,3,16,2,7,0,4,0,5,12,41,53
CURVA,atencion odontologica,primera consulta,2016-02-01,1,2,1,0,1,0,0,5,0,0,0,0,0,1,3,8,11
DESAGUADERO,atencion odontologica,primera consulta,2016-02-01,6,7,2,1,4,1,4,12,15,14,0,0,0,0,31,35,66
EL ALTO,atencion odontologica,primera consulta,2016-02-01,896,952,510,528,233,386,228,786,111,82,0,359,0,226,1978,3319,5297
EL CHORO,atencion odontologica,primera consulta,2016-02-01,12,10,2,5,1,5,6,12,1,4,0,2,0,5,22,43,65
EL PUENTE(STC),atencion odontologica,primera consulta,2016-02-01,13,25,6,4,2,6,8,20,9,4,0,8,0,7,38,74,112
EL PUENTE(TJA),atencion odontologica,primera consulta,2016-02-01,11,7,13,12,6,8,17,58,7,4,0,3,0,0,54,92,146
EL TORNO,atencion odontologica,primera consulta,2016-02-01,158,171,133,151,11,62,44,159,40,22,0,73,0,29,386,667,1053
EL VILLAR,atencion odontologica,primera consulta,2016-02-01,29,24,10,11,2,7,8,15,0,2,0,0,0,1,49,60,109
ENTRE RIOS TRJ,atencion odontologica,primera consulta,2016-02-01,22,26,72,84,25,46,44,114,11,14,0,15,0,8,174,307,481
ENTRE RIOS CBBA,atencion odontologica,primera consulta,2016-02-01,21,20,7,7,1,6,5,17,1,0,0,5,0,11,35,66,101
ESCOMA,atencion odontologica,primera consulta,2016-02-01,3,6,14,25,4,8,9,14,6,13,0,3,0,4,36,73,109
