,group,variable,month,TELEDISPOSITIVOS ELECTROCARDIOGRAFO < A 6 MESES,TELEDISPOSITIVOS ELECTROCARDIOGRAFO < A 6 MESES,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 6 MESES < 1 AÑO,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 6 MESES < 1 AÑO,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 1 A 4 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 1 A 4 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 5 A 9 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 5 A 9 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 10 A 14 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 10 A 14 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 15 A 19 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 15 A 19 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 20 A 39 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 20 A 39 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 40 A 49 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 40 A 49 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 50 A 59 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 50 A 59 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 60 A MAS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 60 A MAS,TOTALES,TOTALES,TOTALES
RAVELO,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,3,4
ROBORE,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,3,8,7,10,17
SACABA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,1,0,0,0,1,3,9,11,4,9,0,11,14,15,29,49,78
SACABAMBA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,3
SAMAIPATA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,2,0,3,8,11
SAN BENITO,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,2,1,1,1,2,6,8,14
SAN BORJA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,3,4,2,5,6,11,15,26
SAN IGNACIO DE VELASCO,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,2,3
SAN JAVIER(BNI),telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,4,2,8,10
SAN JAVIER(STC),telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,2,3,0,2,4,0,2,1,5,2,6,8,19,27
SAN JULIAN,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,5,2,7
SAN LORENZO(PND),telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2
SAN LUCAS,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,1,4,3,5,5,14,19
SAN RAFAEL,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,7,10
SAN RAMON BENI,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,3
SANTA CRUZ DE LA SIERRA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,1,2,0,4,4,8
SANTIAGO DE HUARI,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SANTIAGO DE MACHACA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,4,4
SAPAHAQUI,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SENA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,68,0,97,97
SICA SICA (VILLA AROMA),telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SIPE SIPE,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,1,2,0,1,1,1,1,6,7,2,4,1,3,5,19,18,36,54
SOPACHUY,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,3
SORACACHI,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,1,0,1,0,8,8
SORATA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,1,4,5
SUCRE,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,2,3,3,2,1,15,7,22
TARACO,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,6,6
TARATA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,2,2,2,1,1,1,3,0,2,1,0,2,4,7,14,21
TARVITA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,2,5,0,2,4,3,1,2,4,2,3,14,14,28
TITO YUPANQUI (PARQUIPUJIO),telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TOCO,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,2,5,3,8
TODOS SANTOS,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,0,0,2,4,6
TOLATA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,1,2,6,4,10,14
TOMINA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,3
TOTORA(CBBA),telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,3,0,2,0,0,4,7,11
UNCIA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
URIONDO (A. CONCEPCION),telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,2,2,2,1,4,7,11
UYUNI,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,1,2,1,0,1,4,1,5,2,6,10,10,16,27,43
VACAS,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2
VALLEGRANDE,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,1,3,4,7
VIACHA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,3
VILLA CHARCAS,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,3,0,1,0,2,0,11,11
VILLA MONTES,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,5,4,7,8,15
VILLA SERRANO,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,1,1,2,5,7
VINTO,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,2,0,0,1,3,7,10
VITICHI,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,5,1,2,4,1,5,0,4,1,3,5,4,14,21,35
YANACACHI,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,1,2,1,3,1,2,0,0,0,5,0,3,3,2,5,8,11,25,36
ZUDAÑEZ,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,2,6,11,2,1,0,1,2,3,10,18,28
ACACIO,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,10,10
AIQUILE,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,1,0,0,2,0,2,0,1,4,6,2,0,6,5,13,19,26,35,61
ALCALA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,1,0,0,5,3,2,3,0,3,0,2,0,0,7,12,19
ANCORAIMES,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,9,4,11,7,18
ANDAMARCA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,2,2,6,8
ANZALDO,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,1,1,1,0,0,0,4,0,1,0,2,2,2,3,11,14
APOLO,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,1,2,5,7
ASCENCION DE GUARAYOS,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,4,0,4,3,7
ATOCHA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,2,4
BATALLAS,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,1,7,8
BERMEJO,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,3,2,5,8,4,7,9,9,10,2,31,28,59
BETANZOS,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,11,4,7,1,5,7,16,12,40,52
BOYUIBE,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,1,1,1,5,3,2,1,2,4,4,10,14,24
CABEZAS,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,1,0,2,0,6,2,8
CAJUATA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,1,0,0,0,0,0,0,10,1,11,1,2,1,1,1,11,5,35,40
CALAMARCA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,3
CAMIRI,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,3,4
CARACOLLO,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,2,0,0,0,1,6,0,2,0,0,0,0,3,8,11
CARANAVI,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,1,0,2,1,0,1,4,0,1,2,0,4,4,8,12,20
CHALLAPATA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,8,1,0,2,4,11,18,29
CLIZA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,1,3,1,8,17,0,9,2,10,25,41,38,79,117
COBIJA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,3,0,2,0,3,3,14,17
COCAPATA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,6,10,6,15,21
COCHABAMBA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,5,30,16,36,25,61
COLCAPIRHUA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,1,1,2,1,0,4,1,0,1,2,8,6,13,14,27
"COLCHA ""K""",telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COLLANA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,2,2,4
COLOMI,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,2,0,1,1,0,1,1,0,1,6,1,9,5,5,10,9,21,31,52
COLQUECHACA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2
COLQUENCHA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,1,0,0,1,1,0,6,0,4,0,1,0,0,1,13,14
COMARAPA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,3,5
CONCEPCION,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,1,0,0,0,0,0,1,2,2,0,4,0,0,4,8,6,16,22
CORQUE,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,4,8,4,12
COTOCA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,4,3,5,2,2,4,10,3,12,12,33,45
CUATRO CAÑADAS,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,1,1,2,4,6,2,13,2,6,3,4,6,10,18,42,60
CULPINA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,3,4
CURAHUARA DE CARANGAS,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
EL CHORO,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,4,2,6
EL PUENTE(STC),telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,0,3,0,4,5,9
EL VILLAR,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3
ESCOMA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2
EUREKA (SANTOS MERCADO),telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
FERNANDEZ ALONSO,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,4,5
GAIOC JATUN AYLLU YURA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,1,0,0,4,0,4,0,0,0,0,3,3,4,11,15
GUAQUI,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,1,2,4,4,8
GUTIERREZ,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,4,1,10,0,2,1,0,1,0,3,16,19
HUACARETA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,1,0,0,0,0,0,0,2,0,5,4,0,4,0,7,7,16,23
HUACAYA (VILLA DE HUACAYA),telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
HUACHACALLA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
HUANUNI,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,1,3,6,6,10,16
HUATAJATA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,2,0,0,1,2,1,2,1,0,2,1,0,7,5,12
ICLA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,1,2,1,4,7,9,0,4,0,2,3,4,12,25,37
LA ASUNTA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,0,2,1,3,6,9
LA GUARDIA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,2,4,8,10,13,22,35
LA PAZ,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1,0,2,0,2,3,9,12
LAGUNILLAS,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,3,4
LAS CARRERAS,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,3,2,5
LICOMA PAMPA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,2,1,1,6,0,10,4,14
LLALLAGUA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,1,0,1,0,5,5,0,4,1,1,8,7,16,17,33
LLICA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
LURIBAY,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7
MACHARETI,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,0,3,8,2,9,10,19
MAIRANA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,4,0,1,2,3,4,12,16
MECAPACA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,3,1,4
MOCOMOCO,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,1,0,1,0,0,5,1,2,2,2,0,5,1,14,6,20
MOJINETE,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,3,2,5
MONTEAGUDO,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,3,3,4,8,12
NUEVO MANOA (NUEVA ESPERANZA),telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,2,2,2,0,10,0,9,1,0,1,1,1,0,0,24,5,29
OCURI,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0,0,0,0,1,0,8,8
OKINAWA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,2,2,4
OMEREQUE,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,3,1,4,8,12
ORURO,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,12,4,15,5,20
PAILON,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,4,3,2,6,4,5,8,9,10,12,28,35,63
PATACAMAYA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,1,3,2,6,6,12
POCOATA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
PORCO,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,1,3
PUERTO ACOSTA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,1,1,1,7,8
PUERTO CARABUCO,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,3
PUERTO RICO,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,4,0,3,1,2,0,1,2,3,1,13,4,17
PUERTO VILLARROEL,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,1,0,1,3,3,10,6,4,10,5,8,8,10,30,39,69
PUNA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,0,0,0,2,4,6
QUIABAYA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,1,1,0,1,1,2,5,0,0,0,1,0,1,4,9,13
QUIRUSILLAS,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,0,0,3,3,6,9
RIBERALTA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,1,5,2,2,7,10,17
ROBORE,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,3,1,8,4,13,17
SACABA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,1,0,1,3,4,1,9,6,2,7,4,11,7,10,28,38,66
SAMAIPATA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2,4,0,1,2,8,8,16
SAN AGUSTIN,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,2,4
SAN ANTONIO DE LOMERIO,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2
SAN BENITO,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,0,2,4,6
SAN BORJA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,1,0,0,1,0,3,3,2,1,3,4,6,13,15,22,37
SAN CARLOS,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,4
SAN IGNACIO DE VELASCO,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,1,0,2,5,7
SAN JAVIER(STC),telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2,0,1,1,1,3,6,9
SAN JOAQUIN,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,4,8,5,13
SAN JULIAN,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,1,1,0,2,5,7
SAN LORENZO(PND),telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,4,1,5
SAN LUCAS,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,1,2,0,1,0,3,3,2,7,7,7,6,18,21,39
SAN MIGUEL DE VELASCO,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,2,2,3,2,8,10,18
SAN RAMON BENI,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,3,3,6
SANTIAGO DE CALLAPA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SENA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,2,0,1,2,3,6,9
SICA SICA (VILLA AROMA),telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,3
SOPACHUY,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,5,5,10
SUCRE,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,3,1,4,2,11,13
TARACO,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,2,1,1,0,1,2,11,1,3,0,5,2,10,6,33,39
TARATA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,1,0,3,1,3,3,2,2,1,3,3,8,13,17,30
TARIJA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TARVITA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,1,0,2,0,1,2,1,1,0,0,2,1,7,4,11
TOCO,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,3,2,6,8
TOLATA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,3
TOMINA,telesalud,teledispositivos electrocardiografo,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,1,0,0,0,9,9
