,group,variable,month,TELEDISPOSITIVOS OTOSCOPIO < A 6 MESES,TELEDISPOSITIVOS OTOSCOPIO < A 6 MESES,TELEDISPOSITIVOS OTOSCOPIO 6 MESES < 1 AÑO,TELEDISPOSITIVOS OTOSCOPIO 6 MESES < 1 AÑO,TELEDISPOSITIVOS OTOSCOPIO 1 A 4 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 1 A 4 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 5 A 9 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 5 A 9 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 10 A 14 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 10 A 14 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 15 A 19 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 15 A 19 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 20 A 39 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 20 A 39 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 40 A 49 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 40 A 49 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 50 A 59 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 50 A 59 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 60 A MAS,TELEDISPOSITIVOS OTOSCOPIO 60 A MAS,TOTALES,TOTALES,TOTALES
TACACOMA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,0,0,1,2,3,9,5,14
TITO YUPANQUI (PARQUIPUJIO),telesalud,teledispositivos otoscopio,2024-11-01,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,1,0,2,3,7,6,12,18
TOLATA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
UNCIA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,1,0,0,0,1,2,6,8
VILLA SERRANO,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,2,2,4
WALDO BALLIVIAN,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,4,0,9,0,14,13,12,0,0,0,0,0,0,0,1,13,40,53
WARNES,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,3,0,6,0,19,19
YAPACANI,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,9,0,2,0,1,0,31,31
YOTALA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,2,1,7,8
ANCORAIMES,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,5
AUCAPATA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,15,13,3,2,0,0,0,0,0,0,0,0,0,0,18,15,33
AYO AYO,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,2,5,4,8,12
BERMEJO,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,2,4,1,4,9,13
"CAIZA ""D""",telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,2,6,5,8,13
CALAMARCA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,5,5
CARACOLLO,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,4
CARANAVI,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CARIPUYO,telesalud,teledispositivos otoscopio,2024-12-01,0,0,1,1,0,0,0,0,0,0,0,0,0,5,1,1,0,0,2,3,4,10,14
CHACARILLA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,3,4
CHUMA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
COLQUECHACA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,2,2,4
COLQUIRI,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
COMANCHE,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,2,5,4,9
CORO CORO,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
CORQUE,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,1,0,0,0,0,0,0,1,3,3,0,0,2,0,4,4,10,8,18
CUCHUMUELA (V. G. VILLARROEL),telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,10
CURVA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,2,2,4
DESAGUADERO,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL VILLAR,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
ESCOMA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,9,6,10,16
FERNANDEZ ALONSO,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2
GRAL. J.J. PEREZ (CHARAZANI),telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
HUACARETA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,1,4
HUMANATA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,3,3,4,6,10
JESUS DE MACHACA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,1,0,0,0,0,0,0,4,6,1,1,2,1,4,9,11,18,29
LICOMA PAMPA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
LLICA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,2,4,6
MOCOMOCO,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4
MOJINETE,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
OCURI,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4,0,0,1,0,2,6,8
ORURO,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,21,7,21,28
PAILON,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,2,1,6,5,11
PALCA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,1,2,0,1,0,1,1,2,0,2,1,0,0,0,3,8,11
PELECHUCO,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,4,4,8
POCOATA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
POROMA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,0,2,0,0,7,3,10
PUERTO RICO,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4
PUERTO SUAREZ,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,1,0,1,1,1,1,2,1,3,2,4,3,2,5,9,13,23,36
PUNA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,2,4,6
QUIABAYA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,2,0,2,1,0,0,0,0,0,1,1,0,0,0,0,1,5,3,8
SAMAIPATA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,1,2,4,6
SAN ANDRES DE MACHACA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0,0,1,2,0,4,5,9
SAN BENITO,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2
SAN PEDRO DE CURAHUARA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,4,2,5,5,10
SANTIAGO DE CALLAPA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,5
SANTIAGO DE HUARI,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,1,2,1,3,6,9
SANTIAGO DE MACHACA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,6,9,15
SANTUARIO DE QUILLACAS,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SORATA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,1,0,1,4,2,13,15
TOLATA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TOTORA(ORR),telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
VILA VILA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
VILLA SERRANO,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2,2,4
YAPACANI,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,8,0,3,0,0,0,29,29
YOTALA,telesalud,teledispositivos otoscopio,2024-12-01,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,4,0,2,0,0,1,16,17
