,group,variable,month,17.24 COVID-19 2DA DOSIS DENTRO,17.24 COVID-19 2DA DOSIS DENTRO,17.24 COVID-19 2DA DOSIS FUERA,17.24 COVID-19 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
UMALA,otras vacunaciones,covid-19 2da dosis,2023-01-01,8,1,1,2,9,3,12
UNCIA,otras vacunaciones,covid-19 2da dosis,2023-01-01,45,6,6,5,51,11,62
URIONDO (A. CONCEPCION),otras vacunaciones,covid-19 2da dosis,2023-01-01,2,3,0,0,2,3,5
URUBICHA,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,0,5,3,5,3,8
UYUNI,otras vacunaciones,covid-19 2da dosis,2023-01-01,13,4,1,0,14,4,18
VACAS,otras vacunaciones,covid-19 2da dosis,2023-01-01,6,4,0,0,6,4,10
VALLEGRANDE,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,7,11,10,14,17,31
VIACHA,otras vacunaciones,covid-19 2da dosis,2023-01-01,7,6,0,0,7,6,13
VILLA CHARCAS,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,1,0,0,0,1,1
VILLA MONTES,otras vacunaciones,covid-19 2da dosis,2023-01-01,32,9,2,4,34,13,47
VILLA NUEVA (LOMA ALTA),otras vacunaciones,covid-19 2da dosis,2023-01-01,0,0,12,9,12,9,21
VILLA RIVERO,otras vacunaciones,covid-19 2da dosis,2023-01-01,9,11,10,3,19,14,33
VILLA TUNARI,otras vacunaciones,covid-19 2da dosis,2023-01-01,50,19,5,5,55,24,79
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid-19 2da dosis,2023-01-01,6,4,0,0,6,4,10
VILLAZON,otras vacunaciones,covid-19 2da dosis,2023-01-01,23,23,12,8,35,31,66
VINTO,otras vacunaciones,covid-19 2da dosis,2023-01-01,74,65,74,97,148,162,310
VITICHI,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,1,0,0,1,1,2
WALDO BALLIVIAN,otras vacunaciones,covid-19 2da dosis,2023-01-01,4,2,1,1,5,3,8
WARNES,otras vacunaciones,covid-19 2da dosis,2023-01-01,98,75,3,4,101,79,180
YACO,otras vacunaciones,covid-19 2da dosis,2023-01-01,15,5,2,5,17,10,27
YACUIBA,otras vacunaciones,covid-19 2da dosis,2023-01-01,36,24,1,2,37,26,63
YAMPARAEZ,otras vacunaciones,covid-19 2da dosis,2023-01-01,5,4,1,1,6,5,11
YANACACHI,otras vacunaciones,covid-19 2da dosis,2023-01-01,4,1,0,2,4,3,7
YAPACANI,otras vacunaciones,covid-19 2da dosis,2023-01-01,24,21,1,0,25,21,46
YOCALLA,otras vacunaciones,covid-19 2da dosis,2023-01-01,8,5,1,0,9,5,14
YOTALA,otras vacunaciones,covid-19 2da dosis,2023-01-01,2,3,1,3,3,6,9
YUNCHARA,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,0,0,0,1,0,1
ZUDAÑEZ,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,0,1,3,1,3,4
ACACIO,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,1,1,0,2,1,3
ACHACACHI,otras vacunaciones,covid-19 2da dosis,2023-02-01,5,9,22,9,27,18,45
AIQUILE,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,1,1,1,2,2,4
ALALAY,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,0,0,0,2,0,2
ALCALA,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,0,2,0,2,2
ALTO BENI,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,1,0,0,2,1,3
ANCORAIMES,otras vacunaciones,covid-19 2da dosis,2023-02-01,3,1,2,2,5,3,8
ANDAMARCA,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,3,0,0,1,3,4
ANTEQUERA,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,1,1,3,2,4,6
ANZALDO,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,1,1,1,2,2,4
APOLO,otras vacunaciones,covid-19 2da dosis,2023-02-01,4,2,6,1,10,3,13
ARANI,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,1,1,1,3,2,5
ARBIETO,otras vacunaciones,covid-19 2da dosis,2023-02-01,8,5,1,2,9,7,16
ARQUE,otras vacunaciones,covid-19 2da dosis,2023-02-01,4,4,1,1,5,5,10
ASCENCION DE GUARAYOS,otras vacunaciones,covid-19 2da dosis,2023-02-01,4,2,2,0,6,2,8
ATOCHA,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,2,7,16,7,18,25
AUCAPATA,otras vacunaciones,covid-19 2da dosis,2023-02-01,5,3,1,3,6,6,12
AYATA,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,0,2,8,3,8,11
AYO AYO,otras vacunaciones,covid-19 2da dosis,2023-02-01,3,2,0,0,3,2,5
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 2da dosis,2023-02-01,8,4,9,11,17,15,32
AZURDUY,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,0,0,1,2,1,3
BATALLAS,otras vacunaciones,covid-19 2da dosis,2023-02-01,5,3,4,6,9,9,18
BAURES,otras vacunaciones,covid-19 2da dosis,2023-02-01,8,0,0,3,8,3,11
BELLA FLOR,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,0,2,8,4,8,12
BERMEJO,otras vacunaciones,covid-19 2da dosis,2023-02-01,7,3,0,0,7,3,10
BETANZOS,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,5,1,1,2,6,8
BOLIVAR,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,2,0,0,0,2,2
BOLPEBRA,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,2,3,2,3,5
BOYUIBE,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,0,0,0,1,0,1
BUENA VISTA,otras vacunaciones,covid-19 2da dosis,2023-02-01,41,6,0,1,41,7,48
CAIROMA,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,3,10,7,11,10,21
"CAIZA ""D""",otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,1,14,1,14,15
CAJUATA,otras vacunaciones,covid-19 2da dosis,2023-02-01,3,5,5,5,8,10,18
CALACOTO,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,2,6,2,6,8
CALAMARCA,otras vacunaciones,covid-19 2da dosis,2023-02-01,9,7,1,1,10,8,18
CAMARGO,otras vacunaciones,covid-19 2da dosis,2023-02-01,7,6,0,0,7,6,13
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid-19 2da dosis,2023-02-01,0,1,0,1,0,2,2
CAMIRI,otras vacunaciones,covid-19 2da dosis,2023-02-01,11,9,1,1,12,10,22
CAPINOTA,otras vacunaciones,covid-19 2da dosis,2023-02-01,26,15,0,0,26,15,41
CAQUIAVIRI,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,1,0,1,1,2,3
CARACOLLO,otras vacunaciones,covid-19 2da dosis,2023-02-01,5,3,0,0,5,3,8
CARANAVI,otras vacunaciones,covid-19 2da dosis,2023-02-01,13,14,101,2,114,16,130
CARANGAS,otras vacunaciones,covid-19 2da dosis,2023-02-01,3,0,0,0,3,0,3
CARAPARI,otras vacunaciones,covid-19 2da dosis,2023-02-01,3,1,0,0,3,1,4
CARIPUYO,otras vacunaciones,covid-19 2da dosis,2023-02-01,4,0,1,2,5,2,7
CATACORA,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,0,5,0,5,5
CHALLAPATA,otras vacunaciones,covid-19 2da dosis,2023-02-01,7,4,0,2,7,6,13
CHAQUI,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,0,1,0,1,1
CHARAGUA,otras vacunaciones,covid-19 2da dosis,2023-02-01,3,5,6,4,9,9,18
CHARAÑA,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,3,1,3,1,4
CHAYANTA,otras vacunaciones,covid-19 2da dosis,2023-02-01,5,1,1,0,6,1,7
CHIMORE,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,1,1,2,3,3,6
CHIPAYA,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,2,0,0,0,2,2
CHOQUE COTA,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,1,0,0,1,1,2
CHUA COCANI,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid-19 2da dosis,2023-02-01,0,2,6,5,6,7,13
CHUMA,otras vacunaciones,covid-19 2da dosis,2023-02-01,7,7,10,21,17,28,45
CKOCHAS,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,0,1,1,2,1,3
CLIZA,otras vacunaciones,covid-19 2da dosis,2023-02-01,9,7,2,3,11,10,21
COBIJA,otras vacunaciones,covid-19 2da dosis,2023-02-01,20,25,161,65,181,90,271
COCAPATA,otras vacunaciones,covid-19 2da dosis,2023-02-01,7,4,0,4,7,8,15
COCHABAMBA,otras vacunaciones,covid-19 2da dosis,2023-02-01,270,319,134,130,404,449,853
COLCAPIRHUA,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,1,49,29,51,30,81
"COLCHA ""K""",otras vacunaciones,covid-19 2da dosis,2023-02-01,7,2,1,2,8,4,12
COLLANA,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,1,0,0,0,1,1
COLOMI,otras vacunaciones,covid-19 2da dosis,2023-02-01,4,0,0,2,4,2,6
COLPA BELGICA,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,0,0,0,1,0,1
COLQUECHACA,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,2,2,6,3,8,11
COLQUENCHA,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,1,0,0,1,1,2
COLQUIRI,otras vacunaciones,covid-19 2da dosis,2023-02-01,5,2,4,6,9,8,17
COMANCHE,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,2,0,2,0,2
COMARAPA,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,0,1,0,2,0,2
CONCEPCION,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,5,0,0,2,5,7
COPACABANA,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,4,0,0,0,4,4
CORIPATA,otras vacunaciones,covid-19 2da dosis,2023-02-01,6,4,3,4,9,8,17
CORO CORO,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,6,8,3,8,9,17
COROICO,otras vacunaciones,covid-19 2da dosis,2023-02-01,3,5,1,1,4,6,10
CORQUE,otras vacunaciones,covid-19 2da dosis,2023-02-01,8,6,0,0,8,6,14
COTAGAITA,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,1,2,3,4,4,8
COTOCA,otras vacunaciones,covid-19 2da dosis,2023-02-01,33,26,16,22,49,48,97
CUATRO CAÑADAS,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,2,5,2,5,4,9
CUEVO,otras vacunaciones,covid-19 2da dosis,2023-02-01,3,2,2,0,5,2,7
CULPINA,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,2,1,2,1,4,5
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,0,0,0,1,0,1
CURVA,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,9,5,9,5,14
DESAGUADERO,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,2,0,0,1,2,3
EL ALTO,otras vacunaciones,covid-19 2da dosis,2023-02-01,304,213,116,121,420,334,754
EL CHORO,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,0,1,2,2,2,4
EL PUENTE(STC),otras vacunaciones,covid-19 2da dosis,2023-02-01,1,3,0,0,1,3,4
EL PUENTE(TJA),otras vacunaciones,covid-19 2da dosis,2023-02-01,1,2,0,2,1,4,5
EL TORNO,otras vacunaciones,covid-19 2da dosis,2023-02-01,20,18,0,0,20,18,38
ENTRE RIOS TRJ,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,1,1,0,3,1,4
ENTRE RIOS CBBA,otras vacunaciones,covid-19 2da dosis,2023-02-01,19,10,11,8,30,18,48
ESCOMA,otras vacunaciones,covid-19 2da dosis,2023-02-01,3,4,0,1,3,5,8
EUCALIPTUS,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,0,0,0,1,0,1
FERNANDEZ ALONSO,otras vacunaciones,covid-19 2da dosis,2023-02-01,11,2,1,0,12,2,14
FILADELFIA,otras vacunaciones,covid-19 2da dosis,2023-02-01,3,2,6,11,9,13,22
GENERAL SAAVEDRA,otras vacunaciones,covid-19 2da dosis,2023-02-01,11,6,0,0,11,6,17
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid-19 2da dosis,2023-02-01,1,1,6,4,7,5,12
GUANAY,otras vacunaciones,covid-19 2da dosis,2023-02-01,4,3,4,6,8,9,17
GUAQUI,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,2,61,0,61,2,63
GUAYARAMERIN,otras vacunaciones,covid-19 2da dosis,2023-02-01,5,2,5,14,10,16,26
GUTIERREZ,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,3,1,0,2,3,5
HUACARETA,otras vacunaciones,covid-19 2da dosis,2023-02-01,3,0,0,0,3,0,3
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,2,0,2,0,2
HUANUNI,otras vacunaciones,covid-19 2da dosis,2023-02-01,13,14,0,0,13,14,27
HUARINA,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,4,2,1,4,5,9
HUAYLLAMARCA,otras vacunaciones,covid-19 2da dosis,2023-02-01,3,1,3,1,6,2,8
ICHOCA,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,1,0,1,0,1
INCAHUASI,otras vacunaciones,covid-19 2da dosis,2023-02-01,6,7,0,0,6,7,13
INQUISIVI,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,0,6,2,8,2,10
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 2da dosis,2023-02-01,5,6,4,2,9,8,17
IXIAMAS,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,0,11,5,13,5,18
JESUS DE MACHACA,otras vacunaciones,covid-19 2da dosis,2023-02-01,5,5,13,12,18,17,35
LA ASUNTA,otras vacunaciones,covid-19 2da dosis,2023-02-01,10,7,8,3,18,10,28
LA GUARDIA,otras vacunaciones,covid-19 2da dosis,2023-02-01,40,42,0,2,40,44,84
LA PAZ,otras vacunaciones,covid-19 2da dosis,2023-02-01,153,228,224,271,377,499,876
LAGUNILLAS,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,0,3,0,3,3
LAJA,otras vacunaciones,covid-19 2da dosis,2023-02-01,8,6,14,9,22,15,37
LAS CARRERAS,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,1,6,1,6,2,8
LICOMA PAMPA,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,0,1,0,1,1
LLALLAGUA,otras vacunaciones,covid-19 2da dosis,2023-02-01,17,13,42,35,59,48,107
LLICA,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,1,0,0,1,1,2
LURIBAY,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,3,18,23,20,26,46
MACHACAMARCA,otras vacunaciones,covid-19 2da dosis,2023-02-01,9,8,0,0,9,8,17
MACHARETI,otras vacunaciones,covid-19 2da dosis,2023-02-01,6,2,0,0,6,2,8
MALLA,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,0,2,1,3,1,4
MAPIRI,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,2,0,0,2,2,4
MECAPACA,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,0,1,0,2,0,2
MINEROS,otras vacunaciones,covid-19 2da dosis,2023-02-01,9,3,0,0,9,3,12
MIZQUE,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,2,7,5,9,7,16
MOCOMOCO,otras vacunaciones,covid-19 2da dosis,2023-02-01,6,10,5,5,11,15,26
MOJINETE,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,0,1,0,1,1
MOJOCOYA,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,3,1,3,1,4
MONTEAGUDO,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,1,1,2,3,3,6
MONTERO,otras vacunaciones,covid-19 2da dosis,2023-02-01,78,33,2,0,80,33,113
MOROCHATA,otras vacunaciones,covid-19 2da dosis,2023-02-01,4,3,0,0,4,3,7
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,0,2,0,2,2
OCURI,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,1,0,0,0,1,1
OKINAWA,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,1,0,0,2,1,3
ORURO,otras vacunaciones,covid-19 2da dosis,2023-02-01,155,136,0,5,155,141,296
PADCAYA,otras vacunaciones,covid-19 2da dosis,2023-02-01,3,0,2,2,5,2,7
PADILLA,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,0,0,0,1,0,1
PAILON,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,1,0,2,0,3,3
PALOS BLANCOS,otras vacunaciones,covid-19 2da dosis,2023-02-01,8,8,5,8,13,16,29
PAMPA GRANDE,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,1,0,0,0,1,1
PAPEL PAMPA,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,3,7,4,7,7,14
PASORAPA,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,1,1,1,2,2,4
PATACAMAYA,otras vacunaciones,covid-19 2da dosis,2023-02-01,83,5,1,1,84,6,90
PAZÑA,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,0,1,0,1,1
PELECHUCO,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,1,9,2,9,3,12
POCOATA,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,1,0,0,1,1,2
POCONA,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,2,2,3,4,5,9
POJO (CBBA),otras vacunaciones,covid-19 2da dosis,2023-02-01,3,0,26,22,29,22,51
POOPO,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,5,0,0,1,5,6
PORCO,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,0,1,0,1,1
POROMA,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,0,0,1,1,1,2
PORONGO,otras vacunaciones,covid-19 2da dosis,2023-02-01,5,10,2,2,7,12,19
PORTACHUELO,otras vacunaciones,covid-19 2da dosis,2023-02-01,9,4,3,1,12,5,17
PORVENIR,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,4,0,5,1,9,10
POTOSI,otras vacunaciones,covid-19 2da dosis,2023-02-01,50,72,47,5,97,77,174
PUCARANI,otras vacunaciones,covid-19 2da dosis,2023-02-01,7,10,5,5,12,15,27
PUERTO ACOSTA,otras vacunaciones,covid-19 2da dosis,2023-02-01,4,2,5,1,9,3,12
PUERTO CARABUCO,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,2,4,3,4,5,9
PUERTO GONZALO MORENO,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,1,1,0,3,1,4
PUERTO PEREZ,otras vacunaciones,covid-19 2da dosis,2023-02-01,4,4,1,1,5,5,10
PUERTO QUIJARRO,otras vacunaciones,covid-19 2da dosis,2023-02-01,6,3,1,0,7,3,10
PUERTO RICO,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,1,73,0,74,1,75
PUERTO SILES,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,3,4,3,4,7
PUERTO VILLARROEL,otras vacunaciones,covid-19 2da dosis,2023-02-01,11,10,44,10,55,20,75
PUNA,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,1,2,0,2,1,3
PUNATA,otras vacunaciones,covid-19 2da dosis,2023-02-01,5,4,0,0,5,4,9
QUIABAYA,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,6,3,6,3,9
QUILLACOLLO,otras vacunaciones,covid-19 2da dosis,2023-02-01,75,66,78,59,153,125,278
QUIME,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,5,2,5,2,7
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 2da dosis,2023-02-01,3,1,5,0,8,1,9
RAVELO,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,4,1,4,1,5
REYES,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,0,0,0,1,0,1
RIBERALTA,otras vacunaciones,covid-19 2da dosis,2023-02-01,17,14,2,1,19,15,34
ROBORE,otras vacunaciones,covid-19 2da dosis,2023-02-01,4,2,146,0,150,2,152
RURRENABAQUE,otras vacunaciones,covid-19 2da dosis,2023-02-01,4,5,2,0,6,5,11
SABAYA,otras vacunaciones,covid-19 2da dosis,2023-02-01,3,1,0,0,3,1,4
SACABA,otras vacunaciones,covid-19 2da dosis,2023-02-01,66,79,39,42,105,121,226
SACABAMBA,otras vacunaciones,covid-19 2da dosis,2023-02-01,3,4,0,1,3,5,8
SACACA,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,1,4,4,6,5,11
SAIPINA,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,1,1,0,1,1,2
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,1,0,1,2,2,4
SAMAIPATA,otras vacunaciones,covid-19 2da dosis,2023-02-01,3,1,1,0,4,1,5
SAN ANDRES,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,1,0,0,0,1,1
SAN ANDRES DE MACHACA,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,5,8,5,8,13
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,2,0,0,0,2,2
SAN BENITO,otras vacunaciones,covid-19 2da dosis,2023-02-01,4,5,0,0,4,5,9
SAN BORJA,otras vacunaciones,covid-19 2da dosis,2023-02-01,9,3,7,4,16,7,23
SAN BUENA VENTURA,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,0,1,1,2,1,3
SAN CARLOS,otras vacunaciones,covid-19 2da dosis,2023-02-01,6,5,0,0,6,5,11
SAN IGNACIO,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,1,4,4,4,5,9
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 2da dosis,2023-02-01,35,16,0,0,35,16,51
SAN JAVIER(STC),otras vacunaciones,covid-19 2da dosis,2023-02-01,3,4,0,0,3,4,7
SAN JOAQUIN,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,5,1,0,1,5,6
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid-19 2da dosis,2023-02-01,3,20,0,0,3,20,23
SAN JUAN DE YAPACANI,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,1,0,2,2,3,5
SAN JULIAN,otras vacunaciones,covid-19 2da dosis,2023-02-01,10,5,0,0,10,5,15
SAN LORENZO(PND),otras vacunaciones,covid-19 2da dosis,2023-02-01,0,2,4,4,4,6,10
SAN LORENZO(TJA),otras vacunaciones,covid-19 2da dosis,2023-02-01,3,1,3,1,6,2,8
SAN LUCAS,otras vacunaciones,covid-19 2da dosis,2023-02-01,4,2,0,0,4,2,6
SAN MATIAS,otras vacunaciones,covid-19 2da dosis,2023-02-01,10,3,12,0,22,3,25
SAN MIGUEL DE VELASCO,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,2,4,3,4,5,9
SAN PABLO DE LIPEZ,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,0,0,1,1,1,2
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid-19 2da dosis,2023-02-01,6,7,8,8,14,15,29
SAN PEDRO DE CURAHUARA,otras vacunaciones,covid-19 2da dosis,2023-02-01,4,1,2,1,6,2,8
SAN PEDRO DE MACHA,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,2,6,2,7,4,11
SAN PEDRO DE TIQUINA,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,0,0,0,1,0,1
SAN PEDRO(PND),otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,2,0,2,0,2
SAN RAFAEL,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,1,0,0,2,1,3
SAN RAMON BENI,otras vacunaciones,covid-19 2da dosis,2023-02-01,7,19,0,0,7,19,26
SAN RAMON SCZ,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,1,0,0,2,1,3
SANTA ANA,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,0,13,9,14,9,23
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 2da dosis,2023-02-01,484,348,103,85,587,433,1020
SANTA ROSA,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,0,0,0,1,0,1
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 2da dosis,2023-02-01,3,3,0,0,3,3,6
SANTIAGO DE CALLAPA,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,0,0,0,1,0,1
SANTIAGO DE HUARI,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,2,2,2,2,4
SANTIAGO DE MACHACA,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,8,1,8,1,9
SANTIVAÑES,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,1,2,0,3,1,4
SANTUARIO DE QUILLACAS,otras vacunaciones,covid-19 2da dosis,2023-02-01,3,8,1,2,4,10,14
SENA,otras vacunaciones,covid-19 2da dosis,2023-02-01,12,14,7,7,19,21,40
SHINAOTA,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,3,10,0,10,3,13
SICA SICA (VILLA AROMA),otras vacunaciones,covid-19 2da dosis,2023-02-01,3,6,0,1,3,7,10
SIPE SIPE,otras vacunaciones,covid-19 2da dosis,2023-02-01,3,4,14,17,17,21,38
SORACACHI,otras vacunaciones,covid-19 2da dosis,2023-02-01,5,2,0,0,5,2,7
SORATA,otras vacunaciones,covid-19 2da dosis,2023-02-01,3,2,5,5,8,7,15
SUCRE,otras vacunaciones,covid-19 2da dosis,2023-02-01,75,48,7,8,82,56,138
TACACOMA,otras vacunaciones,covid-19 2da dosis,2023-02-01,5,3,0,0,5,3,8
TACOBAMBA,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,0,1,0,1,0,1
TACOPAYA,otras vacunaciones,covid-19 2da dosis,2023-02-01,4,7,17,14,21,21,42
TAPACARI,otras vacunaciones,covid-19 2da dosis,2023-02-01,10,10,8,4,18,14,32
TARACO,otras vacunaciones,covid-19 2da dosis,2023-02-01,4,0,2,4,6,4,10
TARATA,otras vacunaciones,covid-19 2da dosis,2023-02-01,3,0,0,0,3,0,3
TARIJA,otras vacunaciones,covid-19 2da dosis,2023-02-01,36,18,2,3,38,21,59
TARVITA,otras vacunaciones,covid-19 2da dosis,2023-02-01,2,1,1,1,3,2,5
TEOPONTE,otras vacunaciones,covid-19 2da dosis,2023-02-01,0,1,1,0,1,1,2
TIAHUANACU,otras vacunaciones,covid-19 2da dosis,2023-02-01,6,7,2,2,8,9,17
TINGUIPAYA,otras vacunaciones,covid-19 2da dosis,2023-02-01,1,0,1,1,2,1,3
TIPUANI,otras vacunaciones,covid-19 2da dosis,2023-02-01,4,4,2,3,6,7,13
TIQUIPAYA,otras vacunaciones,covid-19 2da dosis,2023-02-01,18,24,31,22,49,46,95
TIRAQUE (CBBA),otras vacunaciones,covid-19 2da dosis,2023-02-01,7,4,7,8,14,12,26
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,covid-19 2da dosis,2023-02-01,8,11,0,0,8,11,19
TOCO,otras vacunaciones,covid-19 2da dosis,2023-02-01,6,4,1,3,7,7,14
