,group,variable,month,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) DENTRO,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) DENTRO,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) FUERA,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) FUERA,TOTALES,TOTALES,TOTALES
SORACACHI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,4,8,0,0,4,8,12
SORATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,4,10,1,2,5,12,17
SUCRE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,280,420,64,68,344,488,832
TACACHI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,0,2,0,2,2
TACACOMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,1,4,3,4,4,8
TACOBAMBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,1,1,1,1,2
TACOPAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,3,0,1,2,4,6
TAHUA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,3,0,0,1,3,4
TAPACARI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,27,19,2,2,29,21,50
TARABUCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,4,5,7,8,11,19
TARACO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,1,0,1,1,2,3
TARATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,18,16,0,10,18,26,44
TARIJA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,149,216,2,3,151,219,370
TARVITA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,6,1,9,4,15,19
TEOPONTE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,3,4,6,4,9,13
TIAHUANACU,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,1,0,1,3,2,5
TINGUIPAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,1,0,1,0,1
TIPUANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,16,17,16,17,33
TIQUIPAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,113,186,58,62,171,248,419
TIRAQUE (CBBA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,8,5,8,5,16,10,26
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,5,1,12,13,17,14,31
TOCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,10,14,1,1,11,15,26
TODOS SANTOS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,3,0,0,1,3,4
TOLATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,6,9,1,2,7,11,18
TOLEDO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,7,0,0,3,7,10
TOMAVE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,0,0,0,1,0,1
TOMINA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,4,1,4,1,5
TORO TORO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,5,6,0,2,5,8,13
TOTORA(CBBA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,5,12,14,1,19,13,32
TRIGAL,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,1,1,2,2,3,5
TRINIDAD,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,51,63,56,108,107,171,278
TUPIZA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,34,50,5,5,39,55,94
TURCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,4,1,0,0,4,1,5
UMALA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,1,0,0,0,1,1
UNCIA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,6,9,23,6,29,15,44
URIONDO (A. CONCEPCION),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,5,4,0,1,5,5,10
URUBICHA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,2,5,2,5,7
UYUNI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,35,24,3,2,38,26,64
VACAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,1,0,1,1,2,3
VALLEGRANDE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,18,26,25,41,43,67,110
VIACHA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,9,7,0,0,9,7,16
VILLA CHARCAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,0,0,0,1,0,1
VILLA MONTES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,130,31,23,21,153,52,205
VILLA NUEVA (LOMA ALTA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,9,7,9,7,16
VILLA RIVERO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,9,10,153,5,162,15,177
VILLA TUNARI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,29,27,5,3,34,30,64
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,17,3,0,0,17,3,20
VILLAZON,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,55,82,25,28,80,110,190
VINTO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,55,115,178,282,233,397,630
VITICHI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,5,0,0,1,5,6
WALDO BALLIVIAN,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,2,0,0,0,2,0,2
WARNES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,150,148,11,23,161,171,332
YACO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,1,5,7,8,8,16
YACUIBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,43,45,3,5,46,50,96
YAMPARAEZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,2,6,3,7,5,12
YANACACHI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,6,4,5,6,11,10,21
YAPACANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,31,26,0,0,31,26,57
YOCALLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,4,13,1,2,5,15,20
YOTALA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,4,11,7,12,11,23,34
YUNCHARA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,1,1,2,2,3,5
ZUDAÑEZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,2,2,5,3,7,10
ACHACACHI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,4,7,5,3,9,10,19
AIQUILE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,8,3,6,5,14,19
ALALAY,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,9,14,0,0,9,14,23
ALCALA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,0,10,12,11,12,23
ALTO BENI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,7,3,0,0,7,3,10
ANCORAIMES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,0,1,2,2,2,4
ANDAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,4,0,0,0,4,4
ANTEQUERA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,0,7,4,7,4,11
ANZALDO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,0,1,0,1,0,1
APOLO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,0,2,4,2,4,6
ARANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,1,0,1,2,2,4
ARBIETO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,3,9,3,6,6,15,21
ARQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,3,3,1,4,4,7,11
ASCENCION DE GUARAYOS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,4,2,7,3,11,14
ATOCHA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,9,31,83,33,92,125
AUCAPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,0,6,2,7,2,9
AYATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,1,2,0,2,1,3
AYO AYO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,5,6,0,1,5,7,12
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,24,41,23,15,47,56,103
AZURDUY,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,9,1,1,2,10,12
BATALLAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,4,2,1,4,5,9
BAURES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,3,3,3,0,6,3,9
BELEN DE ANDAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,4,0,0,0,4,0,4
BELLA FLOR,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,3,3,13,3,16,19
BERMEJO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,3,7,0,0,3,7,10
BETANZOS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,4,2,8,12,12,14,26
BOLIVAR,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,3,4,3,1,6,5,11
BOLPEBRA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,1,4,3,5,4,9
BOYUIBE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,1,0,0,1,1,2
BUENA VISTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,27,13,0,0,27,13,40
CABEZAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,2,7,12,9,14,23
CAIROMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,3,3,6,2,9,5,14
"CAIZA ""D""",otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,2,3,2,4,4,8
CAJUATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,3,8,3,10,6,16
CALACOTO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,0,6,2,6,2,8
CALAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,2,1,4,3,6,9
CAMARGO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,10,17,0,1,10,18,28
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,1,1,0,1,1,2
CAMIRI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,17,13,0,1,17,14,31
CAPINOTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,4,13,0,0,4,13,17
CAQUIAVIRI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,0,3,0,3,0,3
CARACOLLO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,2,0,0,0,2,2
CARANAVI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,9,6,13,1,22,7,29
CARAPARI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,6,2,0,0,6,2,8
CARIPUYO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,0,1,0,1,0,1
CARMEN RIVERO TORREZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,1,0,0,2,1,3
CATACORA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,0,7,5,7,5,12
CHACARILLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,4,9,0,0,4,9,13
CHALLAPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,2,1,0,2,2,4
CHAQUI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,1,3,2,4,3,7
CHARAGUA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,6,0,0,0,6,0,6
CHAYANTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,0,0,0,1,0,1
CHIMORE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,1,8,3,9,4,13
CHIPAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,0,0,0,1,0,1
CHOQUE COTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,0,0,1,0,1,1
CHUA COCANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,2,3,2,3,4,7
CHUMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,0,8,10,9,10,19
CKOCHAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,0,2,2,2,2,4
CLIZA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,12,17,9,13,21,30,51
COBIJA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,20,22,54,77,74,99,173
COCAPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,2,0,0,0,2,2
COCHABAMBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,802,1097,521,618,1323,1715,3038
COIPASA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,3,0,0,0,3,0,3
COLCAPIRHUA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,5,7,103,109,108,116,224
"COLCHA ""K""",otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,43,16,4,5,47,21,68
COLLANA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,2,1,0,3,2,5
COLOMI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,3,1,0,0,3,1,4
COLPA BELGICA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,4,0,0,1,4,5
COLQUECHACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,0,1,1,1,1,2
COLQUENCHA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,3,5,3,0,6,5,11
COLQUIRI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,3,0,3,8,6,8,14
COMANCHE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,0,3,2,3,2,5
COMARAPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,1,0,0,2,1,3
CONCEPCION,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,1,0,0,1,1,2
CORIPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,4,4,4,5,8,13
CORO CORO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,0,1,0,2,0,2
COROICO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,10,8,1,1,11,9,20
CORQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,2,0,0,0,2,2
COTAGAITA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,3,35,33,37,36,73
COTOCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,18,15,10,21,28,36,64
CRUZ DE MACHACAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,1,0,0,0,1,1
CUATRO CAÑADAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,3,1,15,3,18,4,22
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,3,1,2,6,5,7,12
CUEVO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,3,0,2,0,5,0,5
CULPINA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,7,6,9,7,16,13,29
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,4,0,0,0,4,4
CURVA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,0,7,7,7,7,14
EL ALTO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,205,189,169,142,374,331,705
EL CHORO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,4,0,4,2,8,10
EL PUENTE(STC),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,4,9,0,0,4,9,13
EL PUENTE(TJA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,3,1,1,2,4,3,7
EL TORNO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,8,9,0,0,8,9,17
EL VILLAR,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,2,0,0,0,2,2
ENTRE RIOS TRJ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,18,8,13,7,31,15,46
ENTRE RIOS CBBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,15,5,41,7,56,12,68
ESCOMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,3,2,1,0,4,2,6
EUREKA (SANTOS MERCADO),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,1,0,0,0,1,1
FERNANDEZ ALONSO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,11,4,1,4,12,8,20
FILADELFIA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,5,7,2,13,7,20,27
GENERAL SAAVEDRA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,3,5,0,1,3,6,9
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,0,3,2,5,2,7
GUANAY,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,4,2,6,4,10,14
GUAQUI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,2,12,1,12,3,15
GUAYARAMERIN,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,4,0,31,30,35,30,65
GUTIERREZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,6,1,1,1,7,8
HUACARAJE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,2,0,0,0,2,2
HUACARETA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,1,0,0,2,1,3
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,1,0,0,0,1,1
HUANUNI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,3,5,0,0,3,5,8
HUARINA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,0,3,2,4,2,6
HUATAJATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,0,1,4,1,4,5
HUAYLLAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,3,0,2,0,5,5
HUMANATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,0,1,1,1,1,2
ICHOCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,1,2,2,3,3,6
INCAHUASI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,3,0,0,1,3,4
INQUISIVI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,0,1,1,1,1,2
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,7,4,3,6,10,16
IXIAMAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,0,8,2,10,2,12
JESUS DE MACHACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,3,15,12,17,15,32
LA ASUNTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,2,5,1,7,3,10
LA GUARDIA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,46,34,2,1,48,35,83
LA PAZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,370,694,897,1068,1267,1762,3029
LA RIVERA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,1,0,0,1,1,2
LAGUNILLAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,1,1,0,2,1,3
LAJA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,5,1,4,8,9,9,18
LAS CARRERAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,0,0,2,0,2,2
LICOMA PAMPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,0,3,3,3,3,6
LLALLAGUA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,11,12,17,29,28,41,69
LLICA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,1,0,0,0,1,1
LURIBAY,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,1,5,7,7,8,15
MACHARETI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,10,6,1,1,11,7,18
MAIRANA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,6,0,0,1,6,7
MECAPACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,1,1,1,3,2,5
MINEROS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,20,14,1,0,21,14,35
MIZQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,6,2,15,20,21,22,43
MOCOMOCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,2,9,7,11,9,20
MOJOCOYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,2,12,12,12,14,26
MONTEAGUDO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,6,5,4,9,10,14,24
MONTERO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,65,56,6,5,71,61,132
MORO MORO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,1,2,2,3,3,6
OCURI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,1,3,1,4,2,6
OKINAWA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,4,3,0,0,4,3,7
ORURO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,157,154,14,21,171,175,346
PADCAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,7,2,0,2,7,4,11
PADILLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,7,31,24,23,31,54,85
PALCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,1,0,0,1,1,2
PALOS BLANCOS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,3,9,7,5,10,14,24
PAMPA GRANDE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,1,1,1,1,2,3
PAPEL PAMPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,2,1,3,2,5,7
PASORAPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,8,7,9,9,17,16,33
PATACAMAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,14,2,4,6,18,8,26
PAZÑA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,1,3,1,3,2,5
PELECHUCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,3,4,10,3,13,7,20
POCOATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,4,0,0,2,4,6
POCONA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,3,1,19,27,22,28,50
POJO (CBBA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,2,1,3,2,5,7
POOPO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,3,3,0,0,3,3,6
POROMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,0,2,0,2,0,2
PORONGO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,5,7,4,7,9,14,23
PORTACHUELO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,4,1,0,4,4,5,9
PORVENIR,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,4,1,7,2,11,13
POSTRER VALLE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,0,0,0,1,0,1
POTOSI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,66,69,23,14,89,83,172
PRESTO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,0,0,1,0,1,1
PUCARA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,3,0,0,2,3,5
PUCARANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,0,1,7,2,7,9
PUERTO ACOSTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,1,1,1,1,2,3
PUERTO CARABUCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,0,5,7,6,7,13
PUERTO GONZALO MORENO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,1,0,0,0,1,1
PUERTO RICO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,1,15,1,16,2,18
PUERTO SILES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,0,4,8,4,8,12
PUERTO SUAREZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,4,0,0,2,4,6
PUERTO VILLARROEL,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,9,10,39,28,48,38,86
PUNA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,1,2,1,2,2,4,6
PUNATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,14,11,1,1,15,12,27
QUIABAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,0,0,1,0,1,1
QUILLACOLLO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,95,136,162,209,257,345,602
QUIME,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,0,1,4,7,4,8,12
QUIRUSILLAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,2,0,1,1,3,1,4
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-02-01,20,19,15,20,35,39,74
