,group,variable,month,(O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS,(O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS,TOTALES,TOTALES,TOTALES
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,5,2,5,2,7
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,3,2,3,2,5
SAN BENITO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,12,1,12,1,13
SAN BORJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,71,14,71,14,85
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,16,4,16,4,20
SAN CARLOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,30,3,30,3,33
SAN IGNACIO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,29,15,29,15,44
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,94,12,94,12,106
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,3,0,3,0,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,34,1,34,1,35
SAN JOAQUIN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,7,4,7,4,11
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,30,6,30,6,36
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,16,2,16,2,18
SAN JULIAN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,51,8,51,8,59
SAN LORENZO(PND),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,0,7,0,7,7
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,16,5,16,5,21
SAN LUCAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,33,37,33,37,70
SAN MATIAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,24,7,24,7,31
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,15,1,15,1,16
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,0,2,0,2,2
SAN PEDRO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,22,0,22,0,22
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,17,12,17,12,29
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,5,5,5,5,10
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,4,1,4,1,5
SAN RAFAEL,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,8,4,8,4,12
SAN RAMON BENI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,7,4,7,4,11
SAN RAMON SCZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,16,0,16,0,16
SANTA ANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,23,1,23,1,24
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,2133,79,2133,79,2212
SANTA ROSA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,13,0,13,0,13
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,20,2,20,2,22
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,4,1,4,1,5
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,10,3,10,3,13
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,4,2,4,2,6
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,0,13,0,13,13
SANTIVAÑES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,12,1,12,1,13
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,7,4,7,4,11
SAPAHAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,12,6,12,6,18
SENA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,2,0,2,0,2
SHINAOTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,47,5,47,5,52
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,14,12,14,12,26
SICAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,4,1,4,1,5
SIPE SIPE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,69,4,69,4,73
SOPACHUY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,7,9,7,9,16
SORACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,12,5,12,5,17
SORATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,18,16,18,16,34
SUCRE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,438,12,438,12,450
TACACOMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,8,8,8,8,16
TACOBAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,11,9,11,9,20
TACOPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,22,0,22,0,22
TAHUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,3,1,3,1,4
TAPACARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,34,17,34,17,51
TARABUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,20,14,20,14,34
TARACO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,4,4,4,4,8
TARATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,19,1,19,1,20
TARIJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,245,9,245,9,254
TARVITA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,14,18,14,18,32
TEOPONTE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,11,4,11,4,15
TIAWANACU,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,12,17,12,17,29
TINGUIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,16,10,16,10,26
TIPUANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,16,1,16,1,17
TIQUIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,93,4,93,4,97
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,32,7,32,7,39
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,1,0,1,0,1
TOCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,9,2,9,2,11
TOLATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,10,0,10,0,10
TOLEDO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,7,1,7,1,8
TOMAVE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,12,5,12,5,17
TOMINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,11,10,11,10,21
TORO TORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,6,2,6,2,8
TOTORA(CBBA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,22,9,22,9,31
TOTORA(ORR),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,4,2,4,2,6
TRIGAL,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,2,0,2,0,2
TRINIDAD,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,143,4,143,4,147
TUPIZA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,63,14,63,14,77
TURCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,7,2,7,2,9
UMALA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,0,13,0,13,13
UNCIA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,15,5,15,5,20
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,22,3,22,3,25
URUBICHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,15,1,15,1,16
UYUNI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,38,5,38,5,43
VACAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,4,8,4,8,12
VALLEGRANDE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,31,3,31,3,34
VIACHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,86,1,86,1,87
VILA VILA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,5,5,5,5,10
VILLA CHARCAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,14,6,14,6,20
VILLA MONTES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,51,9,51,9,60
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,1,3,1,3,4
VILLA RIVERO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,4,0,4,0,4
VILLA SERRANO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,15,2,15,2,17
VILLA TUNARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,98,23,98,23,121
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,13,3,13,3,16
VILLAZON,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,74,12,74,12,86
VINTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,74,2,74,2,76
VITICHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,12,3,12,3,15
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,5,0,5,0,5
WARNES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,81,25,81,25,106
YACO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,7,5,7,5,12
YACUIBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,127,10,127,10,137
YAMPARAEZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,9,1,9,1,10
YANACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,3,0,3,0,3
YAPACANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,75,6,75,6,81
YOCALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,11,1,11,1,12
YOTALA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,12,3,12,3,15
YUNCHARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,5,8,5,8,13
ZUDAÑEZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-01-01,4,3,4,3,7
ACACIO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,4,9,4,9,13
ACHACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,42,33,42,33,75
ACHOCALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,7,7,7,7,14
AIQUILE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,23,6,23,6,29
ALALAY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,4,1,4,1,5
ALCALA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,1,1,1,1,2
ALTO BENI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,13,5,13,5,18
ANCORAIMES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,7,12,7,12,19
ANDAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,1,0,1,0,1
ANTEQUERA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,6,0,6,0,6
ANZALDO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,9,11,9,11,20
APOLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,18,11,18,11,29
ARAMPAMPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,2,5,2,5,7
ARANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,9,5,9,5,14
ARBIETO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,6,5,6,5,11
ARQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,11,3,11,3,14
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,60,0,60,0,60
ATOCHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,16,5,16,5,21
AUCAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,1,5,1,5,6
AYATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,4,9,4,9,13
AYO AYO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,8,6,8,6,14
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,27,21,27,21,48
AZURDUY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,3,5,3,5,8
BATALLAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,23,5,23,5,28
BAURES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,9,0,9,0,9
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,1,0,1,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,0,2,0,2,2
BELLA FLOR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,0,3,0,3,3
BERMEJO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,40,3,40,3,43
BETANZOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,37,21,37,21,58
BOLIVAR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,7,9,7,9,16
BOLPEBRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,1,2,1,2,3
BOYUIBE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,4,2,4,2,6
BUENA VISTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,12,8,12,8,20
CABEZAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,24,52,24,52,76
CAIROMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,5,6,5,6,11
"CAIZA ""D""",vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,2,8,2,8,10
CAJUATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,11,5,11,5,16
CALACOTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,6,2,6,2,8
CALAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,5,8,5,8,13
CAMARGO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,21,3,21,3,24
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,4,3,4,3,7
CAMIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,40,2,40,2,42
CAPINOTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,40,2,40,2,42
CAQUIAVIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,7,6,7,6,13
CARACOLLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,24,10,24,10,34
CARANAVI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,76,16,76,16,92
CARANGAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,1,0,1,0,1
CARAPARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,9,12,9,12,21
CARIPUYO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,10,13,10,13,23
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,3,1,3,1,4
CATACORA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,0,1,0,1,1
CHACARILLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,1,0,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,39,17,39,17,56
CHAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,4,3,4,3,7
CHARAGUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,32,77,32,77,109
CHARAÑA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,3,0,3,0,3
CHAYANTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,21,11,21,11,32
CHIMORE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,30,3,30,3,33
CHIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,4,0,4,0,4
CHOQUE COTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,16,15,16,15,31
CHUMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,3,4,3,4,7
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,1,10,1,10,11
CKOCHAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,3,21,3,21,24
CLIZA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,19,9,19,9,28
COBIJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,73,5,73,5,78
COCAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,14,30,14,30,44
COCHABAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,1138,30,1138,30,1168
COLCAPIRHUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,85,4,85,4,89
"COLCHA ""K""",vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,20,7,20,7,27
COLLANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,2,0,2,0,2
COLOMI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,30,3,30,3,33
COLPA BELGICA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,6,3,6,3,9
COLQUECHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,17,63,17,63,80
COLQUENCHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,12,1,12,1,13
COLQUIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,7,35,7,35,42
COMANCHE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,5,0,5,0,5
COMARAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,28,3,28,3,31
COMBAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,0,2,0,2,2
CONCEPCION,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,29,15,29,15,44
COPACABANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,7,8,7,8,15
CORIPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,16,6,16,6,22
CORO CORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,6,8,6,8,14
COROICO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,14,4,14,4,18
CORQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,4,1,4,1,5
COTAGAITA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,8,10,8,10,18
COTOCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,71,14,71,14,85
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,19,18,19,18,37
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,2,1,2,1,3
CUEVO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,5,5,5,5,10
CULPINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,17,10,17,10,27
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,10,1,10,1,11
CURVA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,2,1,2,1,3
DESAGUADERO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,6,1,6,1,7
EL ALTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,1252,16,1252,16,1268
EL CHORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,4,6,4,6,10
EL PUENTE(STC),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,8,3,8,3,11
EL PUENTE(TJA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,19,5,19,5,24
EL TORNO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,56,5,56,5,61
EL VILLAR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,2,6,2,6,8
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,25,7,25,7,32
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,48,5,48,5,53
ESCOMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,7,1,7,1,8
EUCALIPTUS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-02-01,9,1,9,1,10
