municipality,group,variable,month,9. Días camas disponibles maternidad,TOTAL
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles maternidad,2024-02-01,293,293
CHUMA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,87,87
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,52,52
CKOCHAS,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,230,230
CLIZA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,435,435
COBIJA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,1742,1742
COCAPATA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,522,522
COCHABAMBA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,10711,10711
COLCAPIRHUA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,513,513
"COLCHA ""K""",internaciones dias camas,dias camas disponibles maternidad,2024-02-01,435,435
COLLANA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,30,30
COLOMI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,493,493
COLQUECHACA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,290,290
COLQUENCHA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,58,58
COLQUIRI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,116,116
COMARAPA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,174,174
CONCEPCION,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,155,155
CORIPATA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,173,173
CORO CORO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,29,29
COROICO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,232,232
CORQUE,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,377,377
COTAGAITA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,176,176
COTOCA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,580,580
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,232,232
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles maternidad,2024-02-01,116,116
CUEVO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,87,87
CULPINA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,551,551
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,174,174
CURVA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,29,29
DESAGUADERO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,83,83
EL ALTO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,6923,6923
EL CHORO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,292,292
EL PUENTE(STC),internaciones dias camas,dias camas disponibles maternidad,2024-02-01,174,174
EL TORNO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,551,551
EL VILLAR,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,232,232
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,174,174
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,464,464
ESCOMA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,116,116
EUCALIPTUS,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,174,174
EXALTACION,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,29,29
FERNANDEZ ALONSO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,123,123
GAIOC JATUN AYLLU YURA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,56,56
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,dias camas disponibles maternidad,2024-02-01,58,58
GUANAY,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,261,261
GUAQUI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,29,29
GUAYARAMERIN,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,667,667
GUTIERREZ,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,116,116
HUACARAJE,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,58,58
HUACARETA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,464,464
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas disponibles maternidad,2024-02-01,87,87
HUANUNI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,232,232
HUARINA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,58,58
HUATAJATA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,29,29
ICLA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,406,406
INCAHUASI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,377,377
INQUISIVI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,56,56
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas disponibles maternidad,2024-02-01,27,27
IXIAMAS,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,87,87
JESUS DE MACHACA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,272,272
LA ASUNTA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,319,319
LA GUARDIA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,1061,1061
LA PAZ,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,13883,13883
LA RIVERA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,26,26
LAGUNILLAS,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,2,2
LAJA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,87,87
LAS CARRERAS,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,319,319
LICOMA PAMPA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,60,60
LLALLAGUA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,348,348
LLICA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,58,58
LORETO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,27,27
LURIBAY,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,120,120
MACHACAMARCA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,116,116
MACHARETI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,349,349
MAGDALENA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,124,124
MAIRANA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,116,116
MALLA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,87,87
MAPIRI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,145,145
MINEROS,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,90,90
MIZQUE,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,522,522
MOCOMOCO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,59,59
MOJOCOYA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,290,290
MONTEAGUDO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,986,986
MONTERO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,2355,2355
MOROCHATA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,116,116
OCURI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,696,696
OKINAWA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,186,186
OMEREQUE,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,116,116
ORURO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,4642,4642
PADILLA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,319,319
PAILON,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,178,178
PALCA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,117,117
PALOS BLANCOS,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,290,290
PAMPA AULLAGAS,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,29,29
PAMPA GRANDE,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,90,90
PATACAMAYA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,182,182
PAZÑA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,87,87
PELECHUCO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,58,58
POCOATA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,696,696
POCONA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,435,435
POJO (CBBA),internaciones dias camas,dias camas disponibles maternidad,2024-02-01,290,290
PORCO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,3,3
POROMA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,932,932
PORONGO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,60,60
PORTACHUELO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,406,406
PORVENIR,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,114,114
POTOSI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,2890,2890
PRESTO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,290,290
PUCARANI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,253,253
PUERTO ACOSTA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,60,60
PUERTO CARABUCO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,59,59
PUERTO GONZALO MORENO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,46,46
PUERTO PEREZ,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,29,29
PUERTO QUIJARRO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,276,276
PUERTO RICO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,141,141
PUERTO VILLARROEL,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,1303,1303
PUNA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,551,551
PUNATA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,986,986
QUIABAYA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,29,29
QUILLACOLLO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,1846,1846
QUIME,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,92,92
QUIRUSILLAS,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,2,2
RAQAYPAMPA(ETA),internaciones dias camas,dias camas disponibles maternidad,2024-02-01,174,174
RAVELO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,493,493
REYES,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,87,87
RIBERALTA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,1363,1363
ROBORE,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,203,203
RURRENABAQUE,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,232,232
SABAYA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,116,116
SACABA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,1859,1859
SACABAMBA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,115,115
SACACA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,146,146
SAIPINA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,51,51
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,290,290
SAMAIPATA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,116,116
SAN ANDRES,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,2,2
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,69,69
SAN BENITO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,175,175
SAN BORJA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,374,374
SAN BUENA VENTURA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,290,290
SAN CARLOS,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,58,58
SAN IGNACIO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,495,495
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,1163,1163
SAN JAVIER(BNI),internaciones dias camas,dias camas disponibles maternidad,2024-02-01,29,29
SAN JAVIER(STC),internaciones dias camas,dias camas disponibles maternidad,2024-02-01,145,145
SAN JOAQUIN,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,116,116
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,436,436
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,82,82
SAN JULIAN,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,780,780
SAN LUCAS,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,1537,1537
SAN MATIAS,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,291,291
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,145,145
SAN PEDRO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,145,145
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,113,113
SAN PEDRO DE CURAHUARA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,29,29
SAN PEDRO DE MACHA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,464,464
SAN PEDRO DE TIQUINA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,54,54
SAN RAFAEL,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,145,145
SAN RAMON BENI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,118,118
SAN RAMON SCZ,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,145,145
SANTA ANA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,225,225
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,17506,17506
SANTA ROSA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,174,174
SANTA ROSA DEL SARA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,350,350
SANTIAGO DE CALLAPA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,58,58
SANTIAGO DE HUARI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,348,348
SANTIVAÑES,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,145,145
SANTUARIO DE QUILLACAS,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,143,143
SAPAHAQUI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,58,58
SENA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,165,165
SHINAOTA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,402,402
SICA SICA (VILLA AROMA),internaciones dias camas,dias camas disponibles maternidad,2024-02-01,58,58
SICAYA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,87,87
SIPE SIPE,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,348,348
SOPACHUY,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,290,290
SORACACHI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,116,116
SORATA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,112,112
