,group,variable,month,TOTAL PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) DENTRO,TOTAL PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) DENTRO,TOTAL PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) FUERA,TOTAL PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) FUERA,TOTALES
SAN PEDRO DE BUENA VISTA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,0,0,0,1,1
SAN PEDRO DE TIQUINA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,0,0,1,1,2
SAN RAFAEL,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,2,1,0,0,3
SAN RAMON BENI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,4,1,1,0,6
SAN RAMON SCZ,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,0,1,0,0,1
SANTA ANA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,2,1,0,0,3
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,454,420,38,25,937
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,8,11,4,2,25
SANTIAGO DE CALLAPA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,1,0,3,1,5
SANTIAGO DE HUARI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,1,7,0,1,9
SANTIAGO DE HUATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,0,1,1,2,4
SANTIAGO DE MACHACA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,1,2,0,0,3
SANTIVAÑES,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,2,2,1,0,5
SANTUARIO DE QUILLACAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,0,0,2,1,3
SAPAHAQUI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,2,1,0,1,4
SENA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,0,1,0,0,1
SHINAOTA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,7,7,1,2,17
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,3,2,0,10,15
SICAYA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,0,0,2,2,4
SIPE SIPE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,5,6,3,2,16
SOPACHUY,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,1,1,0,0,2
SORACACHI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,3,3,4,0,10
SORATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,1,0,3,3,7
SUCRE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,93,89,2,3,187
TACACHI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,1,0,0,0,1
TACACOMA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,0,0,0,1,1
TACOBAMBA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,0,0,1,0,1
TACOPAYA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,0,1,3,3,7
TAPACARI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,2,1,2,2,7
TARABUCO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,1,2,1,3,7
TARACO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,0,0,1,3,4
TARATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,2,4,2,1,9
TARIJA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,125,126,4,4,259
TARVITA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,1,0,1,2,4
TEOPONTE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,4,0,1,0,5
TIAWANACU,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,2,1,1,0,4
TIPUANI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,2,3,0,0,5
TIQUIPAYA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,25,19,0,1,45
TIRAQUE (CBBA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,1,0,3,4,8
TITO YUPANQUI (PARQUIPUJIO),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,1,1,0,0,2
TOCO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,0,3,1,2,6
TOLATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,1,2,6,3,12
TOMAVE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,2,3,0,0,5
TOMINA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,1,1,1,3,6
TORO TORO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,0,0,1,1,2
TOTORA(CBBA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,3,1,2,3,9
TOTORA(ORR),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,2,2,0,0,4
TRINIDAD,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,32,28,16,11,87
TUPIZA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,11,11,1,1,24
TURCO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,1,0,0,0,1
UMALA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,1,0,0,0,1
UNCIA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,2,0,0,0,2
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,4,2,1,4,11
UYUNI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,4,0,1,1,6
VACAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,0,1,3,1,5
VALLEGRANDE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,9,9,0,0,18
VIACHA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,27,30,7,4,68
VILLA CHARCAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,4,6,0,2,12
VILLA MONTES,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,17,20,9,6,52
VILLA NUEVA (LOMA ALTA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,0,2,0,0,2
VILLA RIVERO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,1,4,0,0,5
VILLA SERRANO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,3,8,0,2,13
VILLA TUNARI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,22,14,7,5,48
VILLAZON,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,24,24,2,5,55
VINTO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,11,12,2,5,30
VITICHI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,1,0,0,0,1
WARNES,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,30,42,0,2,74
YACUIBA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,42,33,8,12,95
YAMPARAEZ,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,2,2,2,1,7
YANACACHI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,0,1,0,0,1
YAPACANI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,5,5,6,4,20
YOCALLA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,0,1,0,0,1
YOTALA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,1,0,2,1,4
YUNCHARA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,0,3,2,4,9
ZUDAÑEZ,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-01-01,0,0,1,1,2
ACACIO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,0,1,2,4
ACHACACHI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,2,3,5,5,15
ACHOCALLA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,2,1,6,1,10
AIQUILE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,2,3,6,11
ALALAY,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,0,2,2,4
ALCALA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,0,2,4,6
ALTO BENI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,4,4,1,0,9
ANCORAIMES,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,2,0,4,6
ANDAMARCA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,0,1,0,2
ANTEQUERA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,1,2,0,3
ANZALDO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,2,4,1,7
APOLO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,3,1,0,1,5
ARANI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,2,1,1,0,4
ARBIETO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,0,5,9,15
ARQUE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,2,3,2,1,8
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,10,7,2,3,22
ATOCHA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,2,0,1,3
AUCAPATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,0,1,0,2
AYO AYO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,0,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,3,1,6,7,17
AZURDUY,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,1,5,1,7
BATALLAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,3,1,5,9,18
BAURES,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,3,4,0,1,8
BELEN DE URMIRI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,1,0,0,1
BELLA FLOR,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,3,3,5,11
BERMEJO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,3,10,2,0,15
BETANZOS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,2,1,2,3,8
BOLIVAR,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,0,2,2,4
BOLPEBRA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,2,0,0,2
BOYUIBE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,6,2,1,0,9
BUENA VISTA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,8,4,4,3,19
CABEZAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,10,1,16,15,42
CAIROMA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,6,3,0,1,10
"CAIZA ""D""",vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,2,0,0,0,2
CALACOTO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,0,1,4,6
CALAMARCA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,2,0,2,0,4
CAMARGO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,2,5,4,3,14
CAMATAQUI (C. VILLA ABECIA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,2,0,0,2
CAMIRI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,9,6,4,6,25
CAPINOTA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,3,17,8,29
CAQUIAVIRI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,1,0,0,1
CARACOLLO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,6,5,1,0,12
CARANAVI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,5,15,6,2,28
CARAPARI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,4,8,1,3,16
CARMEN RIVERO TORREZ,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,2,1,0,3
CATACORA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,0,2,0,2
CHALLAPATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,2,1,1,4
CHAQUI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,1,0,0,2
CHARAGUA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,3,3,9,12,27
CHARAÑA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,1,0,0,1
CHIMORE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,6,2,2,0,10
CHOQUE COTA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,5,4,3,3,15
CHUMA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,2,1,5,1,9
CKOCHAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,2,0,0,2
CLIZA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,4,4,3,4,15
COBIJA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,7,4,4,6,21
COCAPATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,3,1,8,5,17
COCHABAMBA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,111,103,69,76,359
COLCAPIRHUA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,6,5,1,0,12
"COLCHA ""K""",vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,2,1,0,0,3
COLOMI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,5,4,0,1,10
COLPA BELGICA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,1,0,0,2
COLQUECHACA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,4,2,5,12
COLQUIRI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,2,1,0,2,5
COMARAPA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,3,0,3,2,8
CONCEPCION,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,6,6,12,7,31
COPACABANA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,0,7,5,13
CORIPATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,6,0,2,9
CORO CORO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,3,4,5,4,16
COROICO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,5,7,2,1,15
COTAGAITA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,2,4,5,1,12
COTOCA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,4,3,0,0,7
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,18,9,7,5,39
CUCHUMUELA (V. G. VILLARROEL),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,1,2,2,6
CUEVO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,1,2,1,5
CULPINA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,2,0,0,0,2
CURVA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,0,0,0,1
DESAGUADERO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,0,0,0,1
EL ALTO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,116,119,26,37,298
EL PUENTE(STC),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,2,0,0,3,5
EL PUENTE(TJA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,6,3,1,11
EL TORNO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,33,31,9,4,77
EL VILLAR,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,3,0,1,5
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,6,10,6,6,28
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,11,6,0,0,17
ESCOMA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,0,0,1,2
ESMERALDA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,1,0,0,1
EUCALIPTUS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,1,0,0,1
EUREKA (SANTOS MERCADO),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,0,0,1,2
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,23,19,1,0,43
FILADELFIA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,3,1,0,0,4
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,2,0,0,3
GUANAY,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,2,5,2,9
GUAQUI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,0,0,1,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,11,12,1,2,26
GUTIERREZ,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,3,0,6,4,13
HUACARETA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,2,2,3,2,9
HUACAYA (VILLA DE HUACAYA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,0,1,1,2
HUANUNI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,7,7,0,1,15
HUARINA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,1,0,0,2
HUMANATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,0,2,3,5
ICHOCA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,0,1,3,4
ICLA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,2,2,0,8,12
INCAHUASI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,2,1,0,4
INQUISIVI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,1,1,2,4
IRUPANA (VILLA DE LANZA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,2,1,3,4,10
IXIAMAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,4,3,0,1,8
JESUS DE MACHACA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,2,2,0,3,7
LA ASUNTA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,8,11,2,0,21
LA GUARDIA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,33,27,1,2,63
LA PAZ,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,159,117,29,36,341
LAGUNILLAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,2,1,1,1,5
LAJA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,10,2,0,2,14
LICOMA PAMPA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,2,2,0,0,4
LLALLAGUA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,5,2,7,4,18
LLICA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,0,5,4,9
LORETO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,0,0,3,3
LURIBAY,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,0,3,3,7
MACHACAMARCA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,2,1,1,1,5
MACHARETI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,3,1,4,3,11
MAGDALENA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,8,8,0,0,16
MAIRANA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,3,3,0,0,6
MALLA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,0,0,0,1
MAPIRI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,3,2,0,6
MECAPACA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,0,4,5,10
MINEROS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,0,2,1,3
MIZQUE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,7,4,7,4,22
MOCOMOCO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,4,3,8,5,20
MOJINETE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,0,1,2,3
