,group,variable,month,(O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS,(O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS,TOTALES
SAN IGNACIO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,40,13,53
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,116,22,138
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,2,1,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,27,0,27
SAN JOAQUIN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,11,3,14
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,34,0,34
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,14,0,14
SAN JULIAN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,86,64,150
SAN LORENZO(PND),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,7,12,19
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,21,2,23
SAN LUCAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,25,37,62
SAN MATIAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,25,12,37
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,25,0,25
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,1,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,35,0,35
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,23,32,55
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,3,3,6
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,2,3,5
SAN PEDRO(PND),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,0,1,1
SAN RAFAEL,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,8,1,9
SAN RAMON BENI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,2,12,14
SAN RAMON SCZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,24,0,24
SANTA ANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,38,0,38
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,2681,63,2744
SANTA ROSA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,20,0,20
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,32,3,35
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,1,1,2
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,6,6,12
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,3,6,9
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,2,0,2
SANTIVAÑES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,10,2,12
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,4,0,4
SAPAHAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,5,5,10
SENA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,10,0,10
SHINAOTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,35,5,40
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,12,20,32
SICAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,3,2,5
SIPE SIPE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,79,0,79
SOPACHUY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,5,4,9
SORACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,8,6,14
SORATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,15,10,25
SUCRE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,532,14,546
TACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,2,2,4
TACACOMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,8,6,14
TACOBAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,5,3,8
TACOPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,11,9,20
TAHUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,2,0,2
TAPACARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,25,11,36
TARABUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,7,12,19
TARACO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,6,3,9
TARATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,11,1,12
TARIJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,371,6,377
TARVITA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,15,4,19
TEOPONTE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,14,6,20
TIAWANACU,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,15,8,23
TINGUIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,31,8,39
TIPUANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,19,2,21
TIQUIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,89,7,96
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,25,13,38
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,3,0,3
TOCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,5,5,10
TOLATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,3,1,4
TOLEDO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,5,1,6
TOMAVE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,12,6,18
TOMINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,8,5,13
TORO TORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,12,3,15
TOTORA(CBBA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,20,8,28
TOTORA(ORR),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,4,3,7
TRIGAL,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,0,1,1
TRINIDAD,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,222,10,232
TUPIZA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,79,8,87
TURCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,3,1,4
UMALA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,5,6,11
UNCIA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,19,6,25
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,23,8,31
URUBICHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,9,8,17
UYUNI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,37,4,41
VACAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,7,9,16
VALLEGRANDE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,21,1,22
VIACHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,89,4,93
VILA VILA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,8,5,13
VILLA CHARCAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,12,6,18
VILLA MONTES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,71,19,90
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,4,5,9
VILLA RIVERO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,13,2,15
VILLA SERRANO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,16,5,21
VILLA TUNARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,127,13,140
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,14,2,16
VILLAZON,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,63,4,67
VINTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,70,1,71
VITICHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,3,1,4
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,1,0,1
WARNES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,190,7,197
YACO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,4,10,14
YACUIBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,132,13,145
YAMPARAEZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,8,3,11
YANACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,4,1,5
YAPACANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,65,7,72
YOCALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,4,4,8
YOTALA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,7,4,11
YUNCHARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,3,8,11
ZUDAÑEZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-01-01,2,6,8
ACACIO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,2,6,8
ACHACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,35,13,48
ACHOCALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,12,12,24
AIQUILE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,29,14,43
ALALAY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,0,5,5
ALCALA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,4,0,4
ALTO BENI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,16,0,16
ANCORAIMES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,9,3,12
ANDAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,4,2,6
ANTEQUERA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,5,3,8
ANZALDO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,2,3,5
APOLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,23,21,44
ARAMPAMPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,4,6,10
ARANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,15,1,16
ARBIETO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,15,8,23
ARQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,17,1,18
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,35,5,40
ATOCHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,17,7,24
AUCAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,0,10,10
AYATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,4,8,12
AYO AYO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,8,3,11
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,26,19,45
AZURDUY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,10,9,19
BATALLAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,14,11,25
BAURES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,7,0,7
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,3,1,4
BELEN DE URMIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,0,3,3
BELLA FLOR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,0,4,4
BERMEJO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,42,13,55
BETANZOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,29,10,39
BOLIVAR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,9,7,16
BOYUIBE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,6,1,7
BUENA VISTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,19,11,30
CABEZAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,23,47,70
CAIROMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,6,10,16
"CAIZA ""D""",vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,12,6,18
CAJUATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,14,3,17
CALACOTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,2,2,4
CALAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,13,4,17
CAMARGO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,19,6,25
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,2,1,3
CAMIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,53,9,62
CAPINOTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,30,8,38
CAQUIAVIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,2,10,12
CARACOLLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,23,9,32
CARANAVI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,61,18,79
CARAPARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,16,14,30
CARIPUYO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,2,12,14
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,4,8,12
CATACORA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,30,12,42
CHAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,9,6,15
CHARAGUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,33,68,101
CHARAÑA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,1,1,2
CHAYANTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,15,5,20
CHIMORE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,39,2,41
CHIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,4,0,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,19,5,24
CHUMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,15,5,20
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,2,2,4
CKOCHAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,17,4,21
CLIZA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,29,5,34
COBIJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,92,6,98
COCAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,8,19,27
COCHABAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,1113,22,1135
COLCAPIRHUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,58,1,59
"COLCHA ""K""",vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,19,4,23
COLLANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,2,0,2
COLOMI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,39,12,51
COLPA BELGICA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,16,1,17
COLQUECHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,20,26,46
COLQUENCHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,14,1,15
COLQUIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,10,18,28
COMANCHE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,1,0,1
COMARAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,21,8,29
COMBAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,1,1,2
CONCEPCION,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,28,5,33
COPACABANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,10,7,17
CORIPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,22,1,23
CORO CORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,4,8,12
COROICO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,13,2,15
CORQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,2,4,6
COTAGAITA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,15,15,30
COTOCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,122,17,139
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,32,44,76
CUEVO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,4,2,6
CULPINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,26,14,40
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,2,1,3
CURVA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,0,2,2
DESAGUADERO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,6,7,13
EL ALTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,1240,29,1269
EL CHORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,6,4,10
EL PUENTE(STC),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,18,0,18
EL PUENTE(TJA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,8,8,16
EL TORNO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,79,3,82
EL VILLAR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,4,0,4
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,17,16,33
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,31,6,37
ESCOMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,6,3,9
ESMERALDA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,0,3,3
EUCALIPTUS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,4,0,4
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,1,1,2
EXALTACION,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,1,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,16,7,23
FILADELFIA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,1,1,2
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,29,8,37
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,6,10,16
GUANAY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,15,11,26
GUAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,2,3,5
GUAYARAMERIN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,40,37,77
GUTIERREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,20,21,41
HUACARETA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,16,3,19
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,5,2,7
HUANUNI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,30,0,30
HUARACAJE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,7,0,7
HUARINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-02-01,7,4,11
