,group,variable,month,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTALES
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,2,1,1,5
SAN JAVIER(STC),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,2,0,1,4
SAN JOAQUIN,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,2,0,0,5
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,4,5,0,0,9
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,26,24,6,10,66
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,3,2,3,9
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,5,1,2,10
SAN LUCAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,4,0,1,7
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,4,3,0,9
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,0,0,2,5
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,1,0,0,3
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,26,16,80,60,182
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,2,0,0,2
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,5,8,14
SAN RAFAEL,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,1,0,0,1
SAN RAMON BENI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,0,1,2
SAN RAMON SCZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,2,0,0,5
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,3,0,0,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,416,368,150,163,1097
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,5,0,0,8
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,6,11,4,23
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,0,6,3,11
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,1,1,0,3
SANTIVAÑES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,4,0,0,0,4
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,3,6,4,15
SAPAHAQUI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,1,6,8
SENA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,3,7,3,13
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,3,0,1,7
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,6,1,1,1,9
SICAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,8,5,1,1,15
SORACACHI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,1,0,0,3
SORATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,6,2,8,3,19
SUCRE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,60,45,4,5,114
TACACOMA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,6,4,11,8,29
TACOBAMBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,5,10,16,11,42
TACOPAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,0,0,1
TAPACARI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,6,1,4,13
TARABUCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,0,0,1,2
TARACO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,1,2,1,5
TARATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,3,0,0,6
TARIJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,34,34,2,3,73
TARVITA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,2,1,1,4
TEOPONTE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,5,6,1,1,13
TIAWANACU,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,0,3,8,11
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,3,16,15,35
TIPUANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,6,0,0,8
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,9,3,7,3,22
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,2,1,1,4
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,1,0,0,2
TOCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,1,0,0,3
TOLEDO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,2,6,3,11
TOMAVE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,12,2,15,10,39
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,0,3,1,4
TOTORA(ORR),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,18,18,26,0,62
TUPIZA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,12,14,40,45,111
TURCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,3,5,1,0,9
UMALA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,3,0,2,5
UNCIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,6,37,32,77
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,4,0,0,1,5
URUBICHA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,2,0,0,3
UYUNI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,18,17,6,9,50
VACAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,1,0,0,2
VALLEGRANDE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,5,1,0,0,6
VIACHA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,5,9,8,4,26
VILA VILA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,0,0,1,1
VILLA CHARCAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,1,1,0,2
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,7,6,0,4,17
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,4,2,16,15,37
VILLA RIVERO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,1,0,0,2
VILLA SERRANO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,1,0,4,5
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,19,22,0,0,41
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,0,0,2,2
VILLAZON,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,51,42,13,15,121
VINTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,5,4,0,4,13
WARNES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,49,49,2,1,101
YACO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,0,1,0,0,1
YACUIBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,13,5,2,2,22
YANACACHI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,2,1,9,7,19
YAPACANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,6,6,2,3,17
YOCALLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,11,2,4,2,19
YOTALA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-01-01,1,1,3,2,7
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,2,1,1,0,4
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,4,1,2,2,9
AIQUILE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,0,3,0,4
ALALAY,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,0,1,0,1
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,2,2,0,4
ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,1,0,0,1
ANZALDO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,0,3,2,5
APOLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,0,0,1,1
ARAMPAMPA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,0,2,1,3
ARANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,5,3,0,1,9
ARBIETO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,2,3,5,4,14
ARQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,3,4,2,10
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,8,2,0,0,10
ATOCHA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,2,0,0,2
AYATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,2,1,2,2,7
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,3,3,4,11
BATALLAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,0,2,3,6
BETANZOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,2,1,0,0,3
BOLIVAR,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,1,2,0,4
BOYUIBE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,1,1,0,2
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,0,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,2,2,4,2,10
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,3,2,0,0,5
CAJUATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,2,5,0,0,7
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,2,2,1,2,7
CAMARGO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,1,1,0,3
CAMIRI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,9,12,0,0,21
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,4,3,5,3,15
CAQUIAVIRI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,1,0,0,2
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,4,0,3,3,10
CARANAVI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,9,10,2,2,23
CARAPARI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,1,0,0,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,2,1,1,2,6
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,4,1,1,3,9
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,2,0,26,30,58
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,0,0,0,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,9,8,8,8,33
CHIPAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,1,0,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,1,1,0,3
CHUMA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,1,0,0,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,2,0,0,0,2
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,0,2,0,2
CLIZA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,1,1,0,2
COBIJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,10,8,11,11,40
COCAPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,3,0,5,9
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,93,79,7,15,194
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,3,2,0,0,5
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,2,1,0,0,3
COLLANA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,2,0,0,2
COLOMI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,3,2,5,2,12
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,2,1,1,0,4
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,4,3,6,3,16
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,0,1,4,6
COMARAPA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,3,0,1,4
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,2,6,3,2,13
COPACABANA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,1,0,0,1
CORIPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,1,1,0,3
CORO CORO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,0,0,1,1
COROICO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,3,8,1,1,13
COTAGAITA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,0,4,3,7
COTOCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,11,11,0,0,22
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,0,0,2,2
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,0,0,0,1
CUEVO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,0,2,1,4
CULPINA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,0,0,0,1
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,0,0,1,2
DESAGUADERO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,0,2,1,4
EL ALTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,159,168,105,103,535
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,3,0,1,0,4
EL PUENTE(TJA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,0,0,0,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,7,5,0,1,13
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,1,0,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,2,4,0,0,6
ESCOMA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,2,0,0,2
EUCALIPTUS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,0,0,1,2
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,2,0,0,2
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,2,0,0,0,2
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,3,1,0,4
GUANAY,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,2,0,4,7
GUAQUI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,1,2,2,5
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,2,3,2,0,7
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,6,7,1,1,15
HUACARETA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,1,0,0,2
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,1,0,0,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,5,3,15,15,38
HUARACAJE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,3,1,0,0,4
HUARINA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,0,0,0,1
HUATAJATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,1,0,0,2
HUAYLLAMARCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,1,0,0,1
HUMANATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,0,1,2,3
ICHOCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,1,0,0,1
ICLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,0,1,0,1
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,1,0,0,1
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,1,1,0,2
INQUISIVI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,1,1,0,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,3,3,3,10
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,3,2,0,5
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,2,4,0,0,6
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,20,26,7,14,67
LA PAZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,158,153,3,4,318
LAGUNILLAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,2,1,0,0,3
LAJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,3,4,0,3,10
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,4,8,6,19
MACHACAMARCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,1,0,0,1
MACHARETI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,2,0,0,1,3
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,3,0,0,4
MAIRANA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,1,0,0,2
MAPIRI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,3,6,2,1,12
MECAPACA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,0,1,0,0,1
MINEROS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,5,9,0,0,14
MIZQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,7,4,5,15,31
MOCOMOCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,1,1,0,1,3
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-02-01,4,1,0,1,6
