,group,variable,month,TOTAL TALLA NORMAL < DE 1 AÑO,TOTAL TALLA NORMAL < DE 1 AÑO,TOTAL TALLA NORMAL 1 A MENOR DE 2 AÑOS,TOTAL TALLA NORMAL 1 A MENOR DE 2 AÑOS,TOTAL TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTAL TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
TARIJA,estado nutricional,total talla normal,2014-01-01,1839,1694,1247,1366,983,971,4069,4031,8100
TARVITA,estado nutricional,total talla normal,2014-01-01,102,89,88,64,139,139,329,292,621
TEOPONTE,estado nutricional,total talla normal,2014-01-01,99,90,71,90,92,81,262,261,523
TIAWANACU,estado nutricional,total talla normal,2014-01-01,88,73,54,65,49,53,191,191,382
TINGUIPAYA,estado nutricional,total talla normal,2014-01-01,151,131,91,87,71,60,313,278,591
TIPUANI,estado nutricional,total talla normal,2014-01-01,112,99,99,92,74,75,285,266,551
TIQUIPAYA,estado nutricional,total talla normal,2014-01-01,559,524,396,357,353,345,1308,1226,2534
TIRAQUE (CBBA),estado nutricional,total talla normal,2014-01-01,163,174,134,126,89,77,386,377,763
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,total talla normal,2014-01-01,7,1,5,5,1,2,13,8,21
TOCO,estado nutricional,total talla normal,2014-01-01,51,38,46,37,37,35,134,110,244
TODOS SANTOS,estado nutricional,total talla normal,2014-01-01,0,2,0,0,0,1,0,3,3
TOLATA,estado nutricional,total talla normal,2014-01-01,34,24,22,13,28,17,84,54,138
TOLEDO,estado nutricional,total talla normal,2014-01-01,46,19,37,34,27,23,110,76,186
TOMAVE,estado nutricional,total talla normal,2014-01-01,80,95,69,72,35,39,184,206,390
TORO TORO,estado nutricional,total talla normal,2014-01-01,84,69,60,46,73,71,217,186,403
TOTORA(CBBA),estado nutricional,total talla normal,2014-01-01,162,173,127,115,64,67,353,355,708
TOTORA(ORR),estado nutricional,total talla normal,2014-01-01,44,32,39,23,37,35,120,90,210
TRIGAL,estado nutricional,total talla normal,2014-01-01,13,10,11,8,8,13,32,31,63
TRINIDAD,estado nutricional,total talla normal,2014-01-01,971,837,509,477,479,441,1959,1755,3714
TUPIZA,estado nutricional,total talla normal,2014-01-01,170,182,133,199,145,122,448,503,951
TURCO,estado nutricional,total talla normal,2014-01-01,31,37,22,42,46,38,99,117,216
UMALA,estado nutricional,total talla normal,2014-01-01,38,69,53,47,43,69,134,185,319
UNCIA,estado nutricional,total talla normal,2014-01-01,136,117,90,104,50,34,276,255,531
URIONDO (A. CONCEPCION),estado nutricional,total talla normal,2014-01-01,146,161,104,110,107,127,357,398,755
URUBICHA,estado nutricional,total talla normal,2014-01-01,73,66,43,47,52,32,168,145,313
UYUNI,estado nutricional,total talla normal,2014-01-01,220,218,153,145,58,55,431,418,849
VACAS,estado nutricional,total talla normal,2014-01-01,58,60,38,40,41,43,137,143,280
VALLEGRANDE,estado nutricional,total talla normal,2014-01-01,124,118,84,94,104,89,312,301,613
VIACHA,estado nutricional,total talla normal,2014-01-01,511,524,284,322,267,251,1062,1097,2159
VILA VILA,estado nutricional,total talla normal,2014-01-01,32,21,25,30,28,29,85,80,165
VILLA CHARCAS,estado nutricional,total talla normal,2014-01-01,115,120,83,87,112,95,310,302,612
VILLA MONTES,estado nutricional,total talla normal,2014-01-01,366,338,219,221,250,245,835,804,1639
VILLA NUEVA (LOMA ALTA),estado nutricional,total talla normal,2014-01-01,36,34,28,40,50,47,114,121,235
VILLA RIVERO,estado nutricional,total talla normal,2014-01-01,122,108,66,72,47,55,235,235,470
VILLA TUNARI,estado nutricional,total talla normal,2014-01-01,792,748,567,540,674,564,2033,1852,3885
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,total talla normal,2014-01-01,82,67,82,47,110,92,274,206,480
VILLAZON,estado nutricional,total talla normal,2014-01-01,20,41,0,2,1,1,21,44,65
VINTO,estado nutricional,total talla normal,2014-01-01,343,379,229,243,189,270,761,892,1653
VITICHI,estado nutricional,total talla normal,2014-01-01,67,62,56,63,75,57,198,182,380
WALDO BALLIVIAN,estado nutricional,total talla normal,2014-01-01,20,10,12,15,11,23,43,48,91
WARNES,estado nutricional,total talla normal,2014-01-01,499,545,329,326,350,351,1178,1222,2400
YACO,estado nutricional,total talla normal,2014-01-01,45,52,42,49,37,32,124,133,257
YACUIBA,estado nutricional,total talla normal,2014-01-01,890,782,666,596,578,503,2134,1881,4015
YAMPARAEZ,estado nutricional,total talla normal,2014-01-01,42,45,35,34,61,66,138,145,283
YANACACHI,estado nutricional,total talla normal,2014-01-01,58,57,29,38,46,53,133,148,281
YAPACANI,estado nutricional,total talla normal,2014-01-01,511,487,390,349,277,252,1178,1088,2266
YOCALLA,estado nutricional,total talla normal,2014-01-01,85,73,73,71,56,51,214,195,409
YOTALA,estado nutricional,total talla normal,2014-01-01,49,44,40,49,89,88,178,181,359
YUNCHARA,estado nutricional,total talla normal,2014-01-01,39,30,41,47,79,81,159,158,317
YUNGUYO DE LITORAL,estado nutricional,total talla normal,2014-01-01,0,0,0,0,1,0,1,0,1
ZUDAÑEZ,estado nutricional,total talla normal,2014-01-01,50,48,50,47,79,90,179,185,364
ACACIO,estado nutricional,total talla normal,2014-02-01,35,38,27,35,46,43,108,116,224
ACHACACHI,estado nutricional,total talla normal,2014-02-01,201,209,140,165,136,134,477,508,985
ACHOCALLA,estado nutricional,total talla normal,2014-02-01,34,33,32,33,37,36,103,102,205
AIQUILE,estado nutricional,total talla normal,2014-02-01,240,229,192,191,135,178,567,598,1165
ALALAY,estado nutricional,total talla normal,2014-02-01,16,19,14,14,12,6,42,39,81
ALTO BENI,estado nutricional,total talla normal,2014-02-01,102,67,64,53,67,66,233,186,419
ANCORAIMES,estado nutricional,total talla normal,2014-02-01,98,98,68,78,71,88,237,264,501
ANDAMARCA,estado nutricional,total talla normal,2014-02-01,19,24,12,29,46,45,77,98,175
ANTEQUERA,estado nutricional,total talla normal,2014-02-01,23,22,13,14,14,9,50,45,95
ANZALDO,estado nutricional,total talla normal,2014-02-01,30,27,31,25,30,38,91,90,181
APOLO,estado nutricional,total talla normal,2014-02-01,150,118,93,92,81,85,324,295,619
ARAMPAMPA,estado nutricional,total talla normal,2014-02-01,27,25,34,33,53,36,114,94,208
ARANI,estado nutricional,total talla normal,2014-02-01,113,95,69,69,63,57,245,221,466
ARBIETO,estado nutricional,total talla normal,2014-02-01,173,145,120,110,146,144,439,399,838
ARQUE,estado nutricional,total talla normal,2014-02-01,95,96,87,85,93,83,275,264,539
ASCENCION DE GUARAYOS,estado nutricional,total talla normal,2014-02-01,280,255,110,120,139,125,529,500,1029
ATOCHA,estado nutricional,total talla normal,2014-02-01,117,104,81,67,105,88,303,259,562
AUCAPATA,estado nutricional,total talla normal,2014-02-01,47,38,26,35,17,22,90,95,185
AYATA,estado nutricional,total talla normal,2014-02-01,47,39,26,33,32,25,105,97,202
AYO AYO,estado nutricional,total talla normal,2014-02-01,39,57,34,48,35,26,108,131,239
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,total talla normal,2014-02-01,201,223,161,168,143,116,505,507,1012
AZURDUY,estado nutricional,total talla normal,2014-02-01,99,84,69,58,128,130,296,272,568
BATALLAS,estado nutricional,total talla normal,2014-02-01,116,106,78,108,73,84,267,298,565
BAURES,estado nutricional,total talla normal,2014-02-01,39,29,22,27,38,26,99,82,181
BELEN DE ANDAMARCA,estado nutricional,total talla normal,2014-02-01,11,9,17,12,13,14,41,35,76
BELEN DE URMIRI,estado nutricional,total talla normal,2014-02-01,6,3,12,9,2,6,20,18,38
BELLA FLOR,estado nutricional,total talla normal,2014-02-01,24,30,22,23,41,26,87,79,166
BERMEJO,estado nutricional,total talla normal,2014-02-01,322,259,247,263,288,280,857,802,1659
BETANZOS,estado nutricional,total talla normal,2014-02-01,224,234,182,187,193,211,599,632,1231
BOLIVAR,estado nutricional,total talla normal,2014-02-01,27,54,39,27,44,29,110,110,220
BOLPEBRA,estado nutricional,total talla normal,2014-02-01,15,15,18,16,18,22,51,53,104
BOYUIBE,estado nutricional,total talla normal,2014-02-01,26,21,24,16,33,30,83,67,150
BUENA VISTA,estado nutricional,total talla normal,2014-02-01,93,101,90,96,112,82,295,279,574
CABEZAS,estado nutricional,total talla normal,2014-02-01,160,159,105,94,102,131,367,384,751
CAIROMA,estado nutricional,total talla normal,2014-02-01,64,64,67,60,55,64,186,188,374
"CAIZA ""D""",estado nutricional,total talla normal,2014-02-01,68,64,57,47,64,57,189,168,357
CAJUATA,estado nutricional,total talla normal,2014-02-01,99,67,70,43,69,75,238,185,423
CALACOTO,estado nutricional,total talla normal,2014-02-01,24,32,26,30,15,22,65,84,149
CALAMARCA,estado nutricional,total talla normal,2014-02-01,86,81,66,61,65,71,217,213,430
CAMARGO,estado nutricional,total talla normal,2014-02-01,104,124,77,83,125,125,306,332,638
CAMATAQUI (C. VILLA ABECIA),estado nutricional,total talla normal,2014-02-01,20,27,18,22,27,29,65,78,143
CAMIRI,estado nutricional,total talla normal,2014-02-01,296,312,202,150,196,169,694,631,1325
CAPINOTA,estado nutricional,total talla normal,2014-02-01,46,50,34,26,22,22,102,98,200
CAQUIAVIRI,estado nutricional,total talla normal,2014-02-01,54,58,34,47,37,36,125,141,266
CARACOLLO,estado nutricional,total talla normal,2014-02-01,137,166,106,111,85,93,328,370,698
CARANAVI,estado nutricional,total talla normal,2014-02-01,301,317,236,220,227,207,764,744,1508
CARANGAS,estado nutricional,total talla normal,2014-02-01,0,1,0,1,1,0,1,2,3
CARAPARI,estado nutricional,total talla normal,2014-02-01,147,128,129,121,146,110,422,359,781
CARIPUYO,estado nutricional,total talla normal,2014-02-01,63,58,29,42,57,49,149,149,298
CARMEN RIVERO TORREZ,estado nutricional,total talla normal,2014-02-01,29,43,23,23,24,30,76,96,172
CATACORA,estado nutricional,total talla normal,2014-02-01,6,9,2,1,12,5,20,15,35
CHACARILLA,estado nutricional,total talla normal,2014-02-01,3,5,4,3,9,5,16,13,29
CHALLAPATA,estado nutricional,total talla normal,2014-02-01,320,345,185,194,222,208,727,747,1474
CHAQUI,estado nutricional,total talla normal,2014-02-01,60,53,37,48,25,22,122,123,245
CHARAGUA,estado nutricional,total talla normal,2014-02-01,199,200,161,131,213,194,573,525,1098
CHARAÑA,estado nutricional,total talla normal,2014-02-01,9,14,10,5,6,7,25,26,51
CHAYANTA,estado nutricional,total talla normal,2014-02-01,78,99,59,70,39,66,176,235,411
CHIMORE,estado nutricional,total talla normal,2014-02-01,263,220,203,164,225,185,691,569,1260
CHIPAYA,estado nutricional,total talla normal,2014-02-01,18,16,13,10,7,4,38,30,68
CHOQUE COTA,estado nutricional,total talla normal,2014-02-01,5,6,10,7,9,4,24,17,41
CHUA COCANI,estado nutricional,total talla normal,2014-02-01,13,22,15,6,25,11,53,39,92
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,total talla normal,2014-02-01,117,120,72,85,69,60,258,265,523
CHUMA,estado nutricional,total talla normal,2014-02-01,67,63,55,50,36,38,158,151,309
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,total talla normal,2014-02-01,47,52,28,33,38,32,113,117,230
CKOCHAS,estado nutricional,total talla normal,2014-02-01,111,138,104,94,77,81,292,313,605
CLIZA,estado nutricional,total talla normal,2014-02-01,217,204,140,95,97,102,454,401,855
COBIJA,estado nutricional,total talla normal,2014-02-01,533,490,290,304,249,254,1072,1048,2120
COCAPATA,estado nutricional,total talla normal,2014-02-01,157,124,69,76,62,86,288,286,574
COCHABAMBA,estado nutricional,total talla normal,2014-02-01,3414,3054,2170,2191,1641,1578,7225,6823,14048
COIPASA,estado nutricional,total talla normal,2014-02-01,10,7,8,7,4,3,22,17,39
COLCAPIRHUA,estado nutricional,total talla normal,2014-02-01,346,263,199,156,178,137,723,556,1279
"COLCHA ""K""",estado nutricional,total talla normal,2014-02-01,99,89,68,71,47,54,214,214,428
COLLANA,estado nutricional,total talla normal,2014-02-01,18,22,29,7,27,28,74,57,131
COLOMI,estado nutricional,total talla normal,2014-02-01,204,195,119,138,92,90,415,423,838
COLPA BELGICA,estado nutricional,total talla normal,2014-02-01,3,1,0,1,0,0,3,2,5
COLQUECHACA,estado nutricional,total talla normal,2014-02-01,256,283,185,175,99,106,540,564,1104
COLQUENCHA,estado nutricional,total talla normal,2014-02-01,53,51,43,53,59,75,155,179,334
COLQUIRI,estado nutricional,total talla normal,2014-02-01,115,128,76,66,56,50,247,244,491
COMANCHE,estado nutricional,total talla normal,2014-02-01,26,16,17,11,5,10,48,37,85
COMARAPA,estado nutricional,total talla normal,2014-02-01,126,152,103,95,91,93,320,340,660
COMBAYA,estado nutricional,total talla normal,2014-02-01,10,13,23,20,13,16,46,49,95
CONCEPCION,estado nutricional,total talla normal,2014-02-01,158,160,96,104,72,150,326,414,740
COPACABANA,estado nutricional,total talla normal,2014-02-01,77,50,60,52,117,85,254,187,441
CORIPATA,estado nutricional,total talla normal,2014-02-01,43,26,21,14,22,24,86,64,150
CORO CORO,estado nutricional,total talla normal,2014-02-01,46,39,30,35,16,28,92,102,194
COROICO,estado nutricional,total talla normal,2014-02-01,51,61,37,31,56,41,144,133,277
CORQUE,estado nutricional,total talla normal,2014-02-01,50,38,31,37,63,45,144,120,264
COTAGAITA,estado nutricional,total talla normal,2014-02-01,159,136,114,145,133,133,406,414,820
COTOCA,estado nutricional,total talla normal,2014-02-01,417,370,240,224,167,174,824,768,1592
CRUZ DE MACHACAMARCA,estado nutricional,total talla normal,2014-02-01,0,1,0,2,1,0,1,3,4
CUATRO CAÑADAS,estado nutricional,total talla normal,2014-02-01,170,198,136,134,140,138,446,470,916
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,total talla normal,2014-02-01,5,6,9,6,1,7,15,19,34
CUEVO,estado nutricional,total talla normal,2014-02-01,24,27,22,19,22,30,68,76,144
CULPINA,estado nutricional,total talla normal,2014-02-01,143,149,116,114,149,164,408,427,835
CURAHUARA DE CARANGAS,estado nutricional,total talla normal,2014-02-01,32,37,21,38,31,39,84,114,198
CURVA,estado nutricional,total talla normal,2014-02-01,27,20,12,24,9,11,48,55,103
DESAGUADERO,estado nutricional,total talla normal,2014-02-01,24,44,36,34,28,19,88,97,185
EL ALTO,estado nutricional,total talla normal,2014-02-01,4986,4708,3318,3228,3599,3424,11903,11360,23263
EL CHORO,estado nutricional,total talla normal,2014-02-01,52,43,34,30,39,52,125,125,250
EL PUENTE(STC),estado nutricional,total talla normal,2014-02-01,96,73,74,73,66,82,236,228,464
EL PUENTE(TJA),estado nutricional,total talla normal,2014-02-01,91,77,74,71,90,84,255,232,487
EL TORNO,estado nutricional,total talla normal,2014-02-01,406,344,242,221,235,220,883,785,1668
ENTRE RIOS TRJ,estado nutricional,total talla normal,2014-02-01,163,188,180,163,134,142,477,493,970
ENTRE RIOS CBBA,estado nutricional,total talla normal,2014-02-01,331,328,245,209,200,177,776,714,1490
ESCARA,estado nutricional,total talla normal,2014-02-01,2,3,0,2,1,5,3,10,13
ESCOMA,estado nutricional,total talla normal,2014-02-01,23,21,20,15,22,17,65,53,118
ESMERALDA,estado nutricional,total talla normal,2014-02-01,2,0,1,2,2,1,5,3,8
EUCALIPTUS,estado nutricional,total talla normal,2014-02-01,34,34,50,51,41,28,125,113,238
EUREKA (SANTOS MERCADO),estado nutricional,total talla normal,2014-02-01,12,11,8,10,15,18,35,39,74
EXALTACION,estado nutricional,total talla normal,2014-02-01,5,23,6,8,12,11,23,42,65
FERNANDEZ ALONSO,estado nutricional,total talla normal,2014-02-01,122,132,110,93,126,106,358,331,689
FILADELFIA,estado nutricional,total talla normal,2014-02-01,50,45,62,45,66,54,178,144,322
GENERAL SAAVEDRA,estado nutricional,total talla normal,2014-02-01,118,92,89,72,69,71,276,235,511
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,total talla normal,2014-02-01,58,57,56,57,34,42,148,156,304
GUANAY,estado nutricional,total talla normal,2014-02-01,120,124,109,127,99,118,328,369,697
GUAQUI,estado nutricional,total talla normal,2014-02-01,25,35,25,33,26,24,76,92,168
GUAYARAMERIN,estado nutricional,total talla normal,2014-02-01,504,505,360,332,291,255,1155,1092,2247
GUTIERREZ,estado nutricional,total talla normal,2014-02-01,119,124,108,123,117,121,344,368,712
HUACARETA,estado nutricional,total talla normal,2014-02-01,68,67,52,60,108,95,228,222,450
HUACAYA (VILLA DE HUACAYA),estado nutricional,total talla normal,2014-02-01,35,31,26,26,58,44,119,101,220
HUACHACALLA,estado nutricional,total talla normal,2014-02-01,7,9,1,8,11,9,19,26,45
HUANUNI,estado nutricional,total talla normal,2014-02-01,178,196,124,118,116,112,418,426,844
HUARACAJE,estado nutricional,total talla normal,2014-02-01,26,28,18,27,22,18,66,73,139
HUARINA,estado nutricional,total talla normal,2014-02-01,25,29,17,31,24,24,66,84,150
HUATAJATA,estado nutricional,total talla normal,2014-02-01,23,22,9,17,14,24,46,63,109
HUAYLLAMARCA,estado nutricional,total talla normal,2014-02-01,30,34,22,29,29,22,81,85,166
HUMANATA,estado nutricional,total talla normal,2014-02-01,21,12,15,12,21,19,57,43,100
ICHOCA,estado nutricional,total talla normal,2014-02-01,18,27,13,15,21,22,52,64,116
ICLA,estado nutricional,total talla normal,2014-02-01,50,50,45,45,97,114,192,209,401
INGAVI (HUMAITA),estado nutricional,total talla normal,2014-02-01,13,7,7,7,8,7,28,21,49
INQUISIVI,estado nutricional,total talla normal,2014-02-01,67,76,75,50,45,48,187,174,361
IRUPANA (VILLA DE LANZA),estado nutricional,total talla normal,2014-02-01,8,7,12,10,3,8,23,25,48
IXIAMAS,estado nutricional,total talla normal,2014-02-01,72,71,44,48,58,60,174,179,353
JESUS DE MACHACA,estado nutricional,total talla normal,2014-02-01,65,68,35,70,59,77,159,215,374
LA ASUNTA,estado nutricional,total talla normal,2014-02-01,40,32,18,33,25,19,83,84,167
LA GUARDIA,estado nutricional,total talla normal,2014-02-01,669,663,278,323,245,249,1192,1235,2427
LA PAZ,estado nutricional,total talla normal,2014-02-01,4584,4069,2911,2758,3101,2768,10596,9595,20191
LA RIVERA,estado nutricional,total talla normal,2014-02-01,3,1,3,2,0,0,6,3,9
LAGUNILLAS,estado nutricional,total talla normal,2014-02-01,59,45,52,58,95,102,206,205,411
LAJA,estado nutricional,total talla normal,2014-02-01,90,90,63,79,53,47,206,216,422
LAS CARRERAS,estado nutricional,total talla normal,2014-02-01,24,27,21,21,41,28,86,76,162
LICOMA PAMPA,estado nutricional,total talla normal,2014-02-01,10,17,21,17,15,11,46,45,91
LLALLAGUA,estado nutricional,total talla normal,2014-02-01,307,296,241,215,128,121,676,632,1308
LLICA,estado nutricional,total talla normal,2014-02-01,36,23,25,27,13,22,74,72,146
LORETO,estado nutricional,total talla normal,2014-02-01,19,18,13,8,39,40,71,66,137
LURIBAY,estado nutricional,total talla normal,2014-02-01,67,63,50,38,53,34,170,135,305
MACHACAMARCA,estado nutricional,total talla normal,2014-02-01,26,30,27,23,24,27,77,80,157
MACHARETI,estado nutricional,total talla normal,2014-02-01,49,66,49,42,100,71,198,179,377
MAGDALENA,estado nutricional,total talla normal,2014-02-01,106,104,74,73,70,82,250,259,509
MAIRANA,estado nutricional,total talla normal,2014-02-01,4,5,1,0,0,3,5,8,13
MALLA,estado nutricional,total talla normal,2014-02-01,13,8,7,4,12,13,32,25,57
MAPIRI,estado nutricional,total talla normal,2014-02-01,83,90,53,73,64,67,200,230,430
MECAPACA,estado nutricional,total talla normal,2014-02-01,101,67,61,52,72,71,234,190,424
MINEROS,estado nutricional,total talla normal,2014-02-01,204,176,140,134,120,121,464,431,895
MIZQUE,estado nutricional,total talla normal,2014-02-01,247,275,209,208,180,183,636,666,1302
MOCOMOCO,estado nutricional,total talla normal,2014-02-01,66,65,78,82,60,58,204,205,409
MOJINETE,estado nutricional,total talla normal,2014-02-01,5,4,5,9,10,3,20,16,36
MOJOCOYA,estado nutricional,total talla normal,2014-02-01,58,47,48,45,85,110,191,202,393
