,group,variable,month,TOTAL TALLA BAJA < DE 1 AÑO,TOTAL TALLA BAJA < DE 1 AÑO,TOTAL TALLA BAJA 1 A MENOR DE 2 AÑOS,TOTAL TALLA BAJA 1 A MENOR DE 2 AÑOS,TOTAL TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTAL TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
TOTORA(CBBA),estado nutricional,total talla baja,2014-01-01,8,4,30,12,7,13,45,29,74
TOTORA(ORR),estado nutricional,total talla baja,2014-01-01,8,1,6,7,2,12,16,20,36
TRIGAL,estado nutricional,total talla baja,2014-01-01,0,0,0,0,1,0,1,0,1
TRINIDAD,estado nutricional,total talla baja,2014-01-01,7,8,13,18,19,22,39,48,87
TUPIZA,estado nutricional,total talla baja,2014-01-01,8,3,8,13,7,9,23,25,48
TURCO,estado nutricional,total talla baja,2014-01-01,3,0,3,3,3,2,9,5,14
UMALA,estado nutricional,total talla baja,2014-01-01,0,0,1,2,1,5,2,7,9
UNCIA,estado nutricional,total talla baja,2014-01-01,17,6,36,20,19,19,72,45,117
URIONDO (A. CONCEPCION),estado nutricional,total talla baja,2014-01-01,3,2,1,2,4,3,8,7,15
URUBICHA,estado nutricional,total talla baja,2014-01-01,4,6,16,8,2,2,22,16,38
UYUNI,estado nutricional,total talla baja,2014-01-01,8,8,12,10,11,13,31,31,62
VACAS,estado nutricional,total talla baja,2014-01-01,16,14,32,20,15,21,63,55,118
VALLEGRANDE,estado nutricional,total talla baja,2014-01-01,3,2,3,3,1,1,7,6,13
VIACHA,estado nutricional,total talla baja,2014-01-01,62,33,57,50,34,24,153,107,260
VILA VILA,estado nutricional,total talla baja,2014-01-01,0,3,13,13,9,22,22,38,60
VILLA CHARCAS,estado nutricional,total talla baja,2014-01-01,19,13,48,45,95,79,162,137,299
VILLA MONTES,estado nutricional,total talla baja,2014-01-01,6,5,9,3,5,7,20,15,35
VILLA NUEVA (LOMA ALTA),estado nutricional,total talla baja,2014-01-01,0,0,5,1,1,1,6,2,8
VILLA RIVERO,estado nutricional,total talla baja,2014-01-01,9,8,18,9,2,2,29,19,48
VILLA TUNARI,estado nutricional,total talla baja,2014-01-01,22,23,78,77,96,99,196,199,395
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,total talla baja,2014-01-01,1,0,7,0,6,5,14,5,19
VILLAZON,estado nutricional,total talla baja,2014-01-01,6,5,7,0,0,2,13,7,20
VINTO,estado nutricional,total talla baja,2014-01-01,4,8,22,21,16,13,42,42,84
VITICHI,estado nutricional,total talla baja,2014-01-01,9,4,11,6,13,38,33,48,81
WALDO BALLIVIAN,estado nutricional,total talla baja,2014-01-01,0,0,7,4,2,2,9,6,15
WARNES,estado nutricional,total talla baja,2014-01-01,36,15,29,16,22,10,87,41,128
YACO,estado nutricional,total talla baja,2014-01-01,2,4,13,13,9,14,24,31,55
YACUIBA,estado nutricional,total talla baja,2014-01-01,32,17,40,19,27,31,99,67,166
YAMPARAEZ,estado nutricional,total talla baja,2014-01-01,8,4,19,10,43,51,70,65,135
YANACACHI,estado nutricional,total talla baja,2014-01-01,1,2,0,0,2,4,3,6,9
YAPACANI,estado nutricional,total talla baja,2014-01-01,4,2,6,3,5,1,15,6,21
YOCALLA,estado nutricional,total talla baja,2014-01-01,3,3,16,6,5,6,24,15,39
YOTALA,estado nutricional,total talla baja,2014-01-01,3,2,6,10,13,11,22,23,45
YUNCHARA,estado nutricional,total talla baja,2014-01-01,15,7,19,12,28,20,62,39,101
YUNGUYO DE LITORAL,estado nutricional,total talla baja,2014-01-01,0,0,0,0,1,0,1,0,1
ZUDAÑEZ,estado nutricional,total talla baja,2014-01-01,4,2,7,7,39,38,50,47,97
ACACIO,estado nutricional,total talla baja,2014-02-01,5,8,20,17,25,41,50,66,116
ACHACACHI,estado nutricional,total talla baja,2014-02-01,21,7,33,26,12,16,66,49,115
ACHOCALLA,estado nutricional,total talla baja,2014-02-01,3,3,8,4,6,9,17,16,33
AIQUILE,estado nutricional,total talla baja,2014-02-01,7,2,19,13,15,11,41,26,67
ALALAY,estado nutricional,total talla baja,2014-02-01,2,3,6,7,5,2,13,12,25
ALTO BENI,estado nutricional,total talla baja,2014-02-01,0,2,5,5,6,3,11,10,21
ANCORAIMES,estado nutricional,total talla baja,2014-02-01,20,9,16,12,18,20,54,41,95
ANDAMARCA,estado nutricional,total talla baja,2014-02-01,7,2,7,7,23,20,37,29,66
ANTEQUERA,estado nutricional,total talla baja,2014-02-01,0,0,3,6,1,1,4,7,11
ANZALDO,estado nutricional,total talla baja,2014-02-01,8,4,16,16,18,11,42,31,73
APOLO,estado nutricional,total talla baja,2014-02-01,6,5,18,15,15,10,39,30,69
ARAMPAMPA,estado nutricional,total talla baja,2014-02-01,7,1,10,4,12,14,29,19,48
ARANI,estado nutricional,total talla baja,2014-02-01,6,8,4,6,14,4,24,18,42
ARBIETO,estado nutricional,total talla baja,2014-02-01,5,2,4,7,10,9,19,18,37
ARQUE,estado nutricional,total talla baja,2014-02-01,6,1,25,22,31,27,62,50,112
ASCENCION DE GUARAYOS,estado nutricional,total talla baja,2014-02-01,1,4,11,8,11,12,23,24,47
ATOCHA,estado nutricional,total talla baja,2014-02-01,13,7,9,7,9,22,31,36,67
AUCAPATA,estado nutricional,total talla baja,2014-02-01,3,1,8,3,6,6,17,10,27
AYATA,estado nutricional,total talla baja,2014-02-01,4,5,23,17,19,14,46,36,82
AYO AYO,estado nutricional,total talla baja,2014-02-01,7,4,15,20,22,19,44,43,87
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,total talla baja,2014-02-01,20,17,42,32,29,25,91,74,165
AZURDUY,estado nutricional,total talla baja,2014-02-01,14,10,21,20,63,77,98,107,205
BATALLAS,estado nutricional,total talla baja,2014-02-01,10,6,18,11,13,9,41,26,67
BAURES,estado nutricional,total talla baja,2014-02-01,1,0,2,3,5,3,8,6,14
BELEN DE ANDAMARCA,estado nutricional,total talla baja,2014-02-01,0,0,2,5,5,1,7,6,13
BELEN DE URMIRI,estado nutricional,total talla baja,2014-02-01,1,2,3,1,4,4,8,7,15
BELLA FLOR,estado nutricional,total talla baja,2014-02-01,2,1,2,0,5,1,9,2,11
BERMEJO,estado nutricional,total talla baja,2014-02-01,9,8,13,7,10,7,32,22,54
BETANZOS,estado nutricional,total talla baja,2014-02-01,28,21,105,66,83,93,216,180,396
BOLIVAR,estado nutricional,total talla baja,2014-02-01,26,22,33,21,23,31,82,74,156
BOLPEBRA,estado nutricional,total talla baja,2014-02-01,3,2,2,0,2,2,7,4,11
BOYUIBE,estado nutricional,total talla baja,2014-02-01,1,4,4,3,1,1,6,8,14
BUENA VISTA,estado nutricional,total talla baja,2014-02-01,0,2,7,3,3,3,10,8,18
CABEZAS,estado nutricional,total talla baja,2014-02-01,2,2,2,2,2,2,6,6,12
CAIROMA,estado nutricional,total talla baja,2014-02-01,3,5,13,8,13,12,29,25,54
"CAIZA ""D""",estado nutricional,total talla baja,2014-02-01,5,2,13,7,18,18,36,27,63
CAJUATA,estado nutricional,total talla baja,2014-02-01,7,4,5,3,9,11,21,18,39
CALACOTO,estado nutricional,total talla baja,2014-02-01,3,0,4,3,0,0,7,3,10
CALAMARCA,estado nutricional,total talla baja,2014-02-01,11,4,30,11,27,34,68,49,117
CAMARGO,estado nutricional,total talla baja,2014-02-01,12,8,34,12,50,47,96,67,163
CAMATAQUI (C. VILLA ABECIA),estado nutricional,total talla baja,2014-02-01,2,0,1,1,11,5,14,6,20
CAMIRI,estado nutricional,total talla baja,2014-02-01,9,2,8,5,5,7,22,14,36
CAPINOTA,estado nutricional,total talla baja,2014-02-01,3,2,7,10,9,8,19,20,39
CAQUIAVIRI,estado nutricional,total talla baja,2014-02-01,9,3,14,6,7,7,30,16,46
CARACOLLO,estado nutricional,total talla baja,2014-02-01,7,4,28,11,23,13,58,28,86
CARANAVI,estado nutricional,total talla baja,2014-02-01,12,12,29,18,37,48,78,78,156
CARANGAS,estado nutricional,total talla baja,2014-02-01,0,0,0,0,0,1,0,1,1
CARAPARI,estado nutricional,total talla baja,2014-02-01,2,1,1,1,7,3,10,5,15
CARIPUYO,estado nutricional,total talla baja,2014-02-01,7,11,30,18,36,50,73,79,152
CARMEN RIVERO TORREZ,estado nutricional,total talla baja,2014-02-01,0,0,0,0,1,0,1,0,1
CATACORA,estado nutricional,total talla baja,2014-02-01,3,1,3,3,6,4,12,8,20
CHACARILLA,estado nutricional,total talla baja,2014-02-01,0,0,1,0,0,0,1,0,1
CHALLAPATA,estado nutricional,total talla baja,2014-02-01,43,22,67,36,58,49,168,107,275
CHAQUI,estado nutricional,total talla baja,2014-02-01,11,2,20,19,9,8,40,29,69
CHARAGUA,estado nutricional,total talla baja,2014-02-01,3,2,3,5,2,3,8,10,18
CHARAÑA,estado nutricional,total talla baja,2014-02-01,1,0,0,0,1,0,2,0,2
CHAYANTA,estado nutricional,total talla baja,2014-02-01,33,17,37,47,33,39,103,103,206
CHIMORE,estado nutricional,total talla baja,2014-02-01,2,0,2,2,8,3,12,5,17
CHIPAYA,estado nutricional,total talla baja,2014-02-01,1,0,4,1,1,3,6,4,10
CHOQUE COTA,estado nutricional,total talla baja,2014-02-01,0,3,0,0,0,0,0,3,3
CHUA COCANI,estado nutricional,total talla baja,2014-02-01,0,0,0,0,0,3,0,3,3
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,total talla baja,2014-02-01,1,2,4,1,1,2,6,5,11
CHUMA,estado nutricional,total talla baja,2014-02-01,9,5,11,9,21,11,41,25,66
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,total talla baja,2014-02-01,7,6,15,8,12,10,34,24,58
CKOCHAS,estado nutricional,total talla baja,2014-02-01,13,19,54,50,58,55,125,124,249
CLIZA,estado nutricional,total talla baja,2014-02-01,3,3,8,7,4,8,15,18,33
COBIJA,estado nutricional,total talla baja,2014-02-01,19,13,21,8,20,17,60,38,98
COCAPATA,estado nutricional,total talla baja,2014-02-01,26,17,39,41,58,54,123,112,235
COCHABAMBA,estado nutricional,total talla baja,2014-02-01,128,64,198,122,101,118,427,304,731
COLCAPIRHUA,estado nutricional,total talla baja,2014-02-01,7,7,16,16,12,12,35,35,70
"COLCHA ""K""",estado nutricional,total talla baja,2014-02-01,7,5,5,6,10,3,22,14,36
COLLANA,estado nutricional,total talla baja,2014-02-01,2,1,3,1,3,6,8,8,16
COLOMI,estado nutricional,total talla baja,2014-02-01,11,5,41,18,32,33,84,56,140
COLQUECHACA,estado nutricional,total talla baja,2014-02-01,47,49,100,95,82,89,229,233,462
COLQUENCHA,estado nutricional,total talla baja,2014-02-01,8,6,13,13,22,16,43,35,78
COLQUIRI,estado nutricional,total talla baja,2014-02-01,22,12,15,15,10,10,47,37,84
COMANCHE,estado nutricional,total talla baja,2014-02-01,0,0,5,3,3,1,8,4,12
COMARAPA,estado nutricional,total talla baja,2014-02-01,8,5,13,5,12,10,33,20,53
COMBAYA,estado nutricional,total talla baja,2014-02-01,1,0,0,0,6,3,7,3,10
CONCEPCION,estado nutricional,total talla baja,2014-02-01,13,4,15,12,19,19,47,35,82
COPACABANA,estado nutricional,total talla baja,2014-02-01,0,1,10,6,7,5,17,12,29
CORIPATA,estado nutricional,total talla baja,2014-02-01,0,0,2,2,0,0,2,2,4
CORO CORO,estado nutricional,total talla baja,2014-02-01,3,6,17,3,12,9,32,18,50
COROICO,estado nutricional,total talla baja,2014-02-01,2,1,2,4,1,3,5,8,13
CORQUE,estado nutricional,total talla baja,2014-02-01,11,4,7,6,10,7,28,17,45
COTAGAITA,estado nutricional,total talla baja,2014-02-01,14,10,41,30,36,26,91,66,157
COTOCA,estado nutricional,total talla baja,2014-02-01,4,1,6,2,3,5,13,8,21
CUATRO CAÑADAS,estado nutricional,total talla baja,2014-02-01,2,3,2,2,1,1,5,6,11
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,total talla baja,2014-02-01,1,0,0,0,0,0,1,0,1
CUEVO,estado nutricional,total talla baja,2014-02-01,1,1,4,4,6,6,11,11,22
CULPINA,estado nutricional,total talla baja,2014-02-01,9,11,5,7,7,12,21,30,51
CURAHUARA DE CARANGAS,estado nutricional,total talla baja,2014-02-01,8,5,12,4,11,3,31,12,43
CURVA,estado nutricional,total talla baja,2014-02-01,4,5,6,5,14,8,24,18,42
DESAGUADERO,estado nutricional,total talla baja,2014-02-01,0,0,1,2,4,3,5,5,10
EL ALTO,estado nutricional,total talla baja,2014-02-01,402,262,535,338,413,320,1350,920,2270
EL CHORO,estado nutricional,total talla baja,2014-02-01,1,0,0,2,2,1,3,3,6
EL PUENTE(STC),estado nutricional,total talla baja,2014-02-01,1,1,1,1,4,2,6,4,10
EL PUENTE(TJA),estado nutricional,total talla baja,2014-02-01,4,1,13,14,22,19,39,34,73
EL TORNO,estado nutricional,total talla baja,2014-02-01,1,2,7,6,10,8,18,16,34
ENTRE RIOS TRJ,estado nutricional,total talla baja,2014-02-01,0,6,2,6,12,8,14,20,34
ENTRE RIOS CBBA,estado nutricional,total talla baja,2014-02-01,4,2,2,5,9,13,15,20,35
ESCARA,estado nutricional,total talla baja,2014-02-01,0,0,0,0,1,0,1,0,1
ESCOMA,estado nutricional,total talla baja,2014-02-01,1,6,3,4,4,3,8,13,21
ESMERALDA,estado nutricional,total talla baja,2014-02-01,0,0,0,1,0,0,0,1,1
EUCALIPTUS,estado nutricional,total talla baja,2014-02-01,2,1,20,3,6,4,28,8,36
EUREKA (SANTOS MERCADO),estado nutricional,total talla baja,2014-02-01,0,0,0,0,1,1,1,1,2
EXALTACION,estado nutricional,total talla baja,2014-02-01,0,0,0,0,1,0,1,0,1
FERNANDEZ ALONSO,estado nutricional,total talla baja,2014-02-01,1,1,3,2,3,3,7,6,13
FILADELFIA,estado nutricional,total talla baja,2014-02-01,1,1,3,0,4,3,8,4,12
GENERAL SAAVEDRA,estado nutricional,total talla baja,2014-02-01,6,0,3,2,2,5,11,7,18
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,total talla baja,2014-02-01,14,10,17,14,22,15,53,39,92
GUANAY,estado nutricional,total talla baja,2014-02-01,4,5,8,7,7,4,19,16,35
GUAQUI,estado nutricional,total talla baja,2014-02-01,1,1,3,7,8,13,12,21,33
GUAYARAMERIN,estado nutricional,total talla baja,2014-02-01,56,41,44,28,34,31,134,100,234
GUTIERREZ,estado nutricional,total talla baja,2014-02-01,15,12,32,15,26,25,73,52,125
HUACARETA,estado nutricional,total talla baja,2014-02-01,3,1,2,3,3,2,8,6,14
HUACAYA (VILLA DE HUACAYA),estado nutricional,total talla baja,2014-02-01,0,1,4,0,4,4,8,5,13
HUACHACALLA,estado nutricional,total talla baja,2014-02-01,0,0,3,1,0,0,3,1,4
HUANUNI,estado nutricional,total talla baja,2014-02-01,21,18,19,27,17,24,57,69,126
HUARACAJE,estado nutricional,total talla baja,2014-02-01,1,0,0,1,0,1,1,2,3
HUARINA,estado nutricional,total talla baja,2014-02-01,4,3,5,1,3,3,12,7,19
HUATAJATA,estado nutricional,total talla baja,2014-02-01,6,0,2,3,5,5,13,8,21
HUAYLLAMARCA,estado nutricional,total talla baja,2014-02-01,2,4,5,3,5,8,12,15,27
HUMANATA,estado nutricional,total talla baja,2014-02-01,2,2,21,9,6,10,29,21,50
ICHOCA,estado nutricional,total talla baja,2014-02-01,7,7,10,11,12,12,29,30,59
ICLA,estado nutricional,total talla baja,2014-02-01,16,8,20,17,82,68,118,93,211
INGAVI (HUMAITA),estado nutricional,total talla baja,2014-02-01,1,1,2,2,1,1,4,4,8
INQUISIVI,estado nutricional,total talla baja,2014-02-01,2,3,7,5,7,8,16,16,32
IRUPANA (VILLA DE LANZA),estado nutricional,total talla baja,2014-02-01,0,1,1,1,0,0,1,2,3
IXIAMAS,estado nutricional,total talla baja,2014-02-01,1,2,4,5,3,4,8,11,19
JESUS DE MACHACA,estado nutricional,total talla baja,2014-02-01,5,7,7,7,6,11,18,25,43
LA ASUNTA,estado nutricional,total talla baja,2014-02-01,1,2,4,2,4,7,9,11,20
LA GUARDIA,estado nutricional,total talla baja,2014-02-01,6,9,8,8,4,6,18,23,41
LA PAZ,estado nutricional,total talla baja,2014-02-01,338,233,448,216,246,237,1032,686,1718
LAGUNILLAS,estado nutricional,total talla baja,2014-02-01,2,2,3,5,4,6,9,13,22
LAJA,estado nutricional,total talla baja,2014-02-01,12,4,15,12,7,4,34,20,54
LAS CARRERAS,estado nutricional,total talla baja,2014-02-01,1,0,2,1,4,5,7,6,13
LICOMA PAMPA,estado nutricional,total talla baja,2014-02-01,0,0,4,1,0,3,4,4,8
LLALLAGUA,estado nutricional,total talla baja,2014-02-01,25,22,39,40,30,21,94,83,177
LLICA,estado nutricional,total talla baja,2014-02-01,4,2,4,2,3,0,11,4,15
LORETO,estado nutricional,total talla baja,2014-02-01,3,0,1,1,2,0,6,1,7
LURIBAY,estado nutricional,total talla baja,2014-02-01,5,1,6,2,6,9,17,12,29
MACHACAMARCA,estado nutricional,total talla baja,2014-02-01,5,4,6,7,6,6,17,17,34
MACHARETI,estado nutricional,total talla baja,2014-02-01,2,1,4,1,9,4,15,6,21
MAGDALENA,estado nutricional,total talla baja,2014-02-01,3,1,6,6,4,1,13,8,21
MAIRANA,estado nutricional,total talla baja,2014-02-01,0,2,4,1,0,1,4,4,8
MALLA,estado nutricional,total talla baja,2014-02-01,4,1,2,3,10,4,16,8,24
MAPIRI,estado nutricional,total talla baja,2014-02-01,0,0,31,1,5,3,36,4,40
MECAPACA,estado nutricional,total talla baja,2014-02-01,2,1,8,3,17,9,27,13,40
MINEROS,estado nutricional,total talla baja,2014-02-01,0,2,9,8,1,2,10,12,22
MIZQUE,estado nutricional,total talla baja,2014-02-01,15,39,56,28,31,42,102,109,211
MOCOMOCO,estado nutricional,total talla baja,2014-02-01,4,2,15,8,6,4,25,14,39
MOJINETE,estado nutricional,total talla baja,2014-02-01,1,0,2,0,2,1,5,1,6
MOJOCOYA,estado nutricional,total talla baja,2014-02-01,7,1,14,5,25,35,46,41,87
MONTEAGUDO,estado nutricional,total talla baja,2014-02-01,5,1,9,7,19,24,33,32,65
MONTERO,estado nutricional,total talla baja,2014-02-01,16,18,19,15,17,19,52,52,104
MORO MORO,estado nutricional,total talla baja,2014-02-01,0,1,3,1,1,1,4,3,7
MOROCHATA,estado nutricional,total talla baja,2014-02-01,14,10,27,16,42,30,83,56,139
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,total talla baja,2014-02-01,0,0,2,0,3,3,5,3,8
NAZACARA DE PACAJES,estado nutricional,total talla baja,2014-02-01,0,0,0,0,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,total talla baja,2014-02-01,0,0,3,1,5,0,8,1,9
OCURI,estado nutricional,total talla baja,2014-02-01,26,13,67,38,72,67,165,118,283
OKINAWA,estado nutricional,total talla baja,2014-02-01,3,1,0,1,3,2,6,4,10
OMEREQUE,estado nutricional,total talla baja,2014-02-01,1,1,3,5,1,1,5,7,12
ORURO,estado nutricional,total talla baja,2014-02-01,213,135,308,197,118,113,639,445,1084
PADCAYA,estado nutricional,total talla baja,2014-02-01,0,0,4,3,6,3,10,6,16
PAILON,estado nutricional,total talla baja,2014-02-01,1,1,0,3,3,1,4,5,9
PALCA,estado nutricional,total talla baja,2014-02-01,15,6,22,30,12,14,49,50,99
PALOS BLANCOS,estado nutricional,total talla baja,2014-02-01,3,5,13,17,15,21,31,43,74
PAMPA AULLAGAS,estado nutricional,total talla baja,2014-02-01,2,0,4,6,2,5,8,11,19
PAMPA GRANDE,estado nutricional,total talla baja,2014-02-01,1,0,3,2,0,1,4,3,7
PAPEL PAMPA,estado nutricional,total talla baja,2014-02-01,5,4,7,5,4,4,16,13,29
PASORAPA,estado nutricional,total talla baja,2014-02-01,0,1,6,2,4,6,10,9,19
PATACAMAYA,estado nutricional,total talla baja,2014-02-01,17,8,18,24,18,13,53,45,98
PAZÑA,estado nutricional,total talla baja,2014-02-01,5,0,9,6,9,13,23,19,42
PELECHUCO,estado nutricional,total talla baja,2014-02-01,2,1,8,2,11,5,21,8,29
POCOATA,estado nutricional,total talla baja,2014-02-01,27,18,69,65,108,107,204,190,394
POCONA,estado nutricional,total talla baja,2014-02-01,10,8,12,13,13,16,35,37,72
POJO (CBBA),estado nutricional,total talla baja,2014-02-01,5,4,14,11,7,15,26,30,56
POOPO,estado nutricional,total talla baja,2014-02-01,3,0,6,6,6,3,15,9,24
PORCO,estado nutricional,total talla baja,2014-02-01,7,3,10,4,2,9,19,16,35
POROMA,estado nutricional,total talla baja,2014-02-01,9,7,27,21,33,29,69,57,126
PORONGO,estado nutricional,total talla baja,2014-02-01,0,0,0,1,0,2,0,3,3
PORTACHUELO,estado nutricional,total talla baja,2014-02-01,1,2,0,1,2,3,3,6,9
PORVENIR,estado nutricional,total talla baja,2014-02-01,6,1,2,4,2,4,10,9,19
POSTRER VALLE,estado nutricional,total talla baja,2014-02-01,0,0,3,1,1,3,4,4,8
POTOSI,estado nutricional,total talla baja,2014-02-01,228,124,286,203,129,101,643,428,1071
PRESTO,estado nutricional,total talla baja,2014-02-01,9,10,28,16,62,54,99,80,179
PUCARA,estado nutricional,total talla baja,2014-02-01,0,0,2,0,4,3,6,3,9
PUCARANI,estado nutricional,total talla baja,2014-02-01,11,8,22,10,14,6,47,24,71
PUERTO ACOSTA,estado nutricional,total talla baja,2014-02-01,5,4,10,5,3,2,18,11,29
PUERTO CARABUCO,estado nutricional,total talla baja,2014-02-01,3,6,15,8,14,11,32,25,57
PUERTO GONZALO MORENO,estado nutricional,total talla baja,2014-02-01,12,3,16,10,29,17,57,30,87
PUERTO PEREZ,estado nutricional,total talla baja,2014-02-01,3,2,3,3,2,3,8,8,16
PUERTO RICO,estado nutricional,total talla baja,2014-02-01,6,0,9,7,10,4,25,11,36
PUERTO SILES,estado nutricional,total talla baja,2014-02-01,0,0,0,1,2,0,2,1,3
PUERTO SUAREZ,estado nutricional,total talla baja,2014-02-01,9,2,4,4,2,1,15,7,22
PUERTO VILLARROEL,estado nutricional,total talla baja,2014-02-01,12,12,21,24,18,14,51,50,101
PUNA,estado nutricional,total talla baja,2014-02-01,14,8,31,37,43,53,88,98,186
PUNATA,estado nutricional,total talla baja,2014-02-01,18,11,19,8,5,6,42,25,67
QUIABAYA,estado nutricional,total talla baja,2014-02-01,10,3,6,1,87,9,103,13,116
QUILLACOLLO,estado nutricional,total talla baja,2014-02-01,84,61,112,82,116,122,312,265,577
QUIME,estado nutricional,total talla baja,2014-02-01,4,4,9,2,5,10,18,16,34
QUIRUSILLAS,estado nutricional,total talla baja,2014-02-01,0,0,0,1,0,0,0,1,1
RAVELO,estado nutricional,total talla baja,2014-02-01,24,23,64,51,128,125,216,199,415
REYES,estado nutricional,total talla baja,2014-02-01,6,2,6,5,4,5,16,12,28
RIBERALTA,estado nutricional,total talla baja,2014-02-01,37,19,80,55,43,38,160,112,272
ROBORE,estado nutricional,total talla baja,2014-02-01,0,0,1,0,0,0,1,0,1
RURRENABAQUE,estado nutricional,total talla baja,2014-02-01,5,4,13,8,8,12,26,24,50
SABAYA,estado nutricional,total talla baja,2014-02-01,1,1,3,2,0,1,4,4,8
SACABA,estado nutricional,total talla baja,2014-02-01,46,24,70,62,44,48,160,134,294
SACABAMBA,estado nutricional,total talla baja,2014-02-01,3,4,8,7,15,11,26,22,48
SACACA,estado nutricional,total talla baja,2014-02-01,52,45,121,70,104,99,277,214,491
SAIPINA,estado nutricional,total talla baja,2014-02-01,0,0,1,1,3,4,4,5,9
SALINAS DE GARCI MENDOZA,estado nutricional,total talla baja,2014-02-01,17,9,39,17,43,23,99,49,148
SAMAIPATA,estado nutricional,total talla baja,2014-02-01,0,2,1,0,0,0,1,2,3
SAN AGUSTIN,estado nutricional,total talla baja,2014-02-01,1,1,1,0,2,0,4,1,5
SAN ANDRES,estado nutricional,total talla baja,2014-02-01,0,1,2,0,5,5,7,6,13
SAN ANDRES DE MACHACA,estado nutricional,total talla baja,2014-02-01,1,1,2,2,2,2,5,5,10
SAN ANTONIO DE ESMORUCO,estado nutricional,total talla baja,2014-02-01,2,4,4,0,3,2,9,6,15
SAN ANTONIO DE LOMERIO,estado nutricional,total talla baja,2014-02-01,5,3,7,7,14,22,26,32,58
SAN BENITO,estado nutricional,total talla baja,2014-02-01,2,3,5,12,5,3,12,18,30
SAN BORJA,estado nutricional,total talla baja,2014-02-01,22,12,29,20,48,42,99,74,173
SAN BUENA VENTURA,estado nutricional,total talla baja,2014-02-01,1,1,3,3,6,6,10,10,20
SAN CARLOS,estado nutricional,total talla baja,2014-02-01,1,3,2,0,2,1,5,4,9
SAN IGNACIO,estado nutricional,total talla baja,2014-02-01,12,11,24,14,32,28,68,53,121
SAN IGNACIO DE VELASCO,estado nutricional,total talla baja,2014-02-01,20,13,19,17,20,12,59,42,101
SAN JAVIER(BNI),estado nutricional,total talla baja,2014-02-01,0,1,0,0,2,0,2,1,3
SAN JAVIER(STC),estado nutricional,total talla baja,2014-02-01,1,2,0,0,1,0,2,2,4
SAN JOAQUIN,estado nutricional,total talla baja,2014-02-01,2,2,5,2,6,2,13,6,19
